   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_283.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0299745, 566, 0, 0, 23.8328, 566, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0221053, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0142361, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00636691, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0015023, 0, 6.60726e-24, 0, 1.41421, -6.60726e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99225e-27, 0, 6.12336e-29, 0, 6.60221e-24, 0, 0, 0
0.0093715, 0, 1.92333e-23, 0, 1.41421, -1.92333e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45321e-26, 0, 1.80586e-28, 0, 1.92186e-23, 0, 0, 0
0.0172407, 0, 5.41727e-23, 0, 1.41421, -5.41727e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09313e-26, 0, 5.1543e-28, 0, 5.41313e-23, 0, 0, 0
0.0251099, 0, 1.48194e-22, 0, 1.41421, -1.48194e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11971e-25, 0, 1.42906e-27, 0, 1.48081e-22, 0, 0, 0
0.0329791, 0, 3.949e-22, 0, 1.41421, -3.949e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98374e-25, 0, 3.85999e-27, 0, 3.94598e-22, 0, 0, 0
0.0408483, 0, 1.02746e-21, 0, 1.41421, -1.02746e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.76316e-25, 0, 1.01812e-26, 0, 1.02667e-21, 0, 0, 0
0.0487175, 0, 2.61515e-21, 0, 1.41421, -2.61515e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97593e-24, 0, 2.62734e-26, 0, 2.61315e-21, 0, 0, 0
0.0565867, 0, 6.52194e-21, 0, 1.41421, -6.52194e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92778e-24, 0, 6.64417e-26, 0, 6.51695e-21, 0, 0, 0
0.0644559, 0, 1.59801e-20, 0, 1.41421, -1.59801e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20741e-23, 0, 1.65224e-25, 0, 1.59679e-20, 0, 0, 0
0.0723251, 0, 3.84493e-20, 0, 1.41421, -3.84493e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90511e-23, 0, 4.03478e-25, 0, 3.84198e-20, 0, 0, 0
0.0801943, 0, 9.55451e-20, 0, 1.41421, -9.55451e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21909e-23, 0, 1.02503e-24, 0, 9.54719e-20, 0, 0, 0
0.0880635, 0, 2.21116e-19, 0, 1.41421, -2.21116e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67068e-22, 0, 2.40693e-24, 0, 2.20946e-19, 0, 0, 0
0.0959327, 0, 5.04214e-19, 0, 1.41421, -5.04214e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80969e-22, 0, 5.5697e-24, 0, 5.03828e-19, 0, 0, 0
0.103802, 0, 1.13357e-18, 0, 1.41421, -1.13357e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5649e-22, 0, 1.27087e-23, 0, 1.1327e-18, 0, 0, 0
0.111671, 0, 2.51391e-18, 0, 1.41421, -2.51391e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89943e-21, 0, 2.86091e-23, 0, 2.51198e-18, 0, 0, 0
0.11954, 0, 5.502e-18, 0, 1.41421, -5.502e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.15714e-21, 0, 6.35702e-23, 0, 5.49778e-18, 0, 0, 0
0.12741, 0, 1.18889e-17, 0, 1.41421, -1.18889e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.98288e-21, 0, 1.39487e-22, 0, 1.18798e-17, 0, 0, 0
0.135279, 0, 2.53733e-17, 0, 1.41421, -2.53733e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91712e-20, 0, 3.02351e-22, 0, 2.53538e-17, 0, 0, 0
0.143148, 0, 5.35022e-17, 0, 1.41421, -5.35022e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.04246e-20, 0, 6.47657e-22, 0, 5.34611e-17, 0, 0, 0
0.151017, 0, 1.11497e-16, 0, 1.41421, -1.11497e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.42433e-20, 0, 1.37143e-21, 0, 1.11411e-16, 0, 0, 0
0.158886, 0, 2.29705e-16, 0, 1.41421, -2.29705e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73558e-19, 0, 2.87164e-21, 0, 2.29529e-16, 0, 0, 0
0.166756, 0, 4.67962e-16, 0, 1.41421, -4.67962e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.53576e-19, 0, 5.94747e-21, 0, 4.67602e-16, 0, 0, 0
0.174625, 0, 9.42941e-16, 0, 1.41421, -9.42941e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.12454e-19, 0, 1.21869e-20, 0, 9.42216e-16, 0, 0, 0
0.182494, 0, 1.8797e-15, 0, 1.41421, -1.8797e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42024e-18, 0, 2.47126e-20, 0, 1.87826e-15, 0, 0, 0
0.190363, 0, 3.70776e-15, 0, 1.41421, -3.70776e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.80145e-18, 0, 4.96023e-20, 0, 3.70491e-15, 0, 0, 0
0.198232, 0, 7.23827e-15, 0, 1.41421, -7.23827e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.46897e-18, 0, 9.85677e-20, 0, 7.23271e-15, 0, 0, 0
0.206102, 0, 1.39873e-14, 0, 1.41421, -1.39873e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05682e-17, 0, 1.93954e-19, 0, 1.39765e-14, 0, 0, 0
0.213971, 0, 2.67593e-14, 0, 1.41421, -2.67593e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02182e-17, 0, 3.77984e-19, 0, 2.67387e-14, 0, 0, 0
0.22184, 0, 5.06903e-14, 0, 1.41421, -5.06903e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82993e-17, 0, 7.29672e-19, 0, 5.06512e-14, 0, 0, 0
0.229709, 0, 9.5091e-14, 0, 1.41421, -9.5091e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.18463e-17, 0, 1.39558e-18, 0, 9.50178e-14, 0, 0, 0
0.237578, 0, 1.76674e-13, 0, 1.41421, -1.76674e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33486e-16, 0, 2.64494e-18, 0, 1.76538e-13, 0, 0, 0
0.245448, 0, 3.25142e-13, 0, 1.41421, -3.25142e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45661e-16, 0, 4.96801e-18, 0, 3.24892e-13, 0, 0, 0
0.253317, 0, 5.9277e-13, 0, 1.41421, -5.9277e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.47867e-16, 0, 9.24963e-18, 0, 5.92313e-13, 0, 0, 0
0.261186, 0, 1.07066e-12, 0, 1.41421, -1.07066e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.08937e-16, 0, 1.7073e-17, 0, 1.06983e-12, 0, 0, 0
0.269055, 0, 1.91604e-12, 0, 1.41421, -1.91604e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44768e-15, 0, 3.12475e-17, 0, 1.91456e-12, 0, 0, 0
0.276924, 0, 3.39769e-12, 0, 1.41421, -3.39769e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56718e-15, 0, 5.67177e-17, 0, 3.39507e-12, 0, 0, 0
0.284794, 0, 5.97062e-12, 0, 1.41421, -5.97062e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.51127e-15, 0, 1.02119e-16, 0, 5.96601e-12, 0, 0, 0
0.292663, 0, 1.03978e-11, 0, 1.41421, -1.03978e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.85658e-15, 0, 1.82422e-16, 0, 1.03897e-11, 0, 0, 0
0.300532, 0, 1.79464e-11, 0, 1.41421, -1.79464e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35609e-14, 0, 3.23397e-16, 0, 1.79325e-11, 0, 0, 0
0.308401, 0, 3.07009e-11, 0, 1.41421, -3.07009e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32001e-14, 0, 5.69116e-16, 0, 3.06772e-11, 0, 0, 0
0.31627, 0, 5.20586e-11, 0, 1.41421, -5.20586e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9343e-14, 0, 9.94532e-16, 0, 5.20183e-11, 0, 0, 0
0.32414, 0, 8.75028e-11, 0, 1.41421, -8.75028e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.61374e-14, 0, 1.72637e-15, 0, 8.74349e-11, 0, 0, 0
