   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_148.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0284085, 296, 0, 0, 17.2627, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0205366, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0126647, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00479281, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00307909, 0, 3.30942e-23, 0, 1.41421, -3.30942e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.36522e-28, 8.46289e-29, 0, 3.30936e-23, 0, 0, 0
0.010951, 0, 8.75228e-23, 0, 1.41421, -8.75228e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17346e-27, 2.29462e-28, 0, 8.75214e-23, 0, 0, 0
0.0188229, 0, 2.26077e-22, 0, 1.41421, -2.26077e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0809e-27, 6.06483e-28, 0, 2.26073e-22, 0, 0, 0
0.0266948, 0, 5.71457e-22, 0, 1.41421, -5.71457e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.91539e-27, 1.56616e-27, 0, 5.71447e-22, 0, 0, 0
0.0345667, 0, 1.41577e-21, 0, 1.41421, -1.41577e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99319e-26, 3.95897e-27, 0, 1.41575e-21, 0, 0, 0
0.0424386, 0, 3.44244e-21, 0, 1.41421, -3.44244e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92603e-26, 9.81197e-27, 0, 3.44238e-21, 0, 0, 0
0.0503105, 0, 8.2242e-21, 0, 1.41421, -8.2242e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19624e-25, 2.38744e-26, 0, 8.22405e-21, 0, 0, 0
0.0581823, 0, 1.93243e-20, 0, 1.41421, -1.93243e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85721e-25, 5.70956e-26, 0, 1.93239e-20, 0, 0, 0
