   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_322.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.130637, 0, 1.74295e-16, 0, 1.41421, -1.74295e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85258e-18, 0, 0, 6.49507e-20, 0, 1.72377e-16, 0, 0, 0
0.138508, 0, 3.36381e-16, 0, 1.41421, -3.36381e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.57537e-18, 0, 0, 1.27788e-19, 0, 3.32678e-16, 0, 0, 0
0.14638, 0, 6.43087e-16, 0, 1.41421, -6.43087e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.83526e-18, 0, 0, 2.49129e-19, 0, 6.36003e-16, 0, 0, 0
0.154252, 0, 1.21807e-15, 0, 1.41421, -1.21807e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29465e-17, 0, 0, 4.81373e-19, 0, 1.20464e-15, 0, 0, 0
0.162124, 0, 2.28615e-15, 0, 1.41421, -2.28615e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42987e-17, 0, 0, 9.22052e-19, 0, 2.26093e-15, 0, 0, 0
0.169996, 0, 4.25235e-15, 0, 1.41421, -4.25235e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.51963e-17, 0, 0, 1.75118e-18, 0, 4.2054e-15, 0, 0, 0
0.177867, 0, 7.83976e-15, 0, 1.41421, -7.83976e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.33245e-17, 0, 0, 3.29826e-18, 0, 7.75314e-15, 0, 0, 0
0.185739, 0, 1.43278e-14, 0, 1.41421, -1.43278e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52281e-16, 0, 0, 6.16167e-18, 0, 1.41693e-14, 0, 0, 0
0.193611, 0, 2.59601e-14, 0, 1.41421, -2.59601e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7591e-16, 0, 0, 1.14194e-17, 0, 2.56728e-14, 0, 0, 0
0.201483, 0, 4.66367e-14, 0, 1.41421, -4.66367e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.95661e-16, 0, 0, 2.09985e-17, 0, 4.612e-14, 0, 0, 0
0.209354, 0, 8.30778e-14, 0, 1.41421, -8.30778e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.82956e-16, 0, 0, 3.83178e-17, 0, 8.21565e-14, 0, 0, 0
0.217226, 0, 1.46762e-13, 0, 1.41421, -1.46762e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55979e-15, 0, 0, 6.93969e-17, 0, 1.45133e-13, 0, 0, 0
0.225098, 0, 2.5713e-13, 0, 1.41421, -2.5713e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73276e-15, 0, 0, 1.24758e-16, 0, 2.54272e-13, 0, 0, 0
0.23297, 0, 4.46815e-13, 0, 1.41421, -4.46815e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74871e-15, 0, 0, 2.2266e-16, 0, 4.41844e-13, 0, 0, 0
0.240842, 0, 7.70142e-13, 0, 1.41421, -7.70142e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.18503e-15, 0, 0, 3.94566e-16, 0, 7.61563e-13, 0, 0, 0
0.248713, 0, 1.31677e-12, 0, 1.41421, -1.31677e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39947e-14, 0, 0, 6.94372e-16, 0, 1.30208e-12, 0, 0, 0
0.256585, 0, 2.2334e-12, 0, 1.41421, -2.2334e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.3737e-14, 0, 0, 1.21367e-15, 0, 2.20845e-12, 0, 0, 0
0.264457, 0, 3.75808e-12, 0, 1.41421, -3.75808e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99428e-14, 0, 0, 2.10722e-15, 0, 3.71603e-12, 0, 0, 0
0.272329, 0, 6.27378e-12, 0, 1.41421, -6.27378e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.66838e-14, 0, 0, 3.63485e-15, 0, 6.20347e-12, 0, 0, 0
0.2802, 0, 1.03915e-11, 0, 1.41421, -1.03915e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10458e-13, 0, 0, 6.23024e-15, 0, 1.02748e-11, 0, 0, 0
0.288072, 0, 1.70779e-11, 0, 1.41421, -1.70779e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81546e-13, 0, 0, 1.06131e-14, 0, 1.68857e-11, 0, 0, 0
0.295944, 0, 2.78491e-11, 0, 1.41421, -2.78491e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96083e-13, 0, 0, 1.79714e-14, 0, 2.7535e-11, 0, 0, 0
0.303816, 0, 4.50641e-11, 0, 1.41421, -4.50641e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79179e-13, 0, 0, 3.02566e-14, 0, 4.45546e-11, 0, 0, 0
0.311687, 0, 7.23619e-11, 4.34403e-44, 1.41421, -7.23619e-11, 0, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 4.34403e-44, 7.69594e-13, 4.34403e-44, 4.34403e-44, 5.0659e-14, 4.34403e-44, 7.15417e-11, 4.34403e-44, 4.34403e-44, 4.34403e-44
0.319559, 0, 1.15336e-10, 5.28149e-42, 1.41421, -1.15336e-10, 0, 5.28149e-42, 5.28149e-42, 5.28149e-42, 5.28149e-42, 5.28149e-42, 5.28149e-42, 5.28149e-42, 5.28149e-42, 5.28149e-42, 1.22696e-12, 5.28149e-42, 5.28149e-42, 8.45124e-14, 5.28149e-42, 1.14024e-10, 5.28149e-42, 5.28149e-42, 5.28149e-42
0.327431, 0, 1.8239e-10, 7.19637e-41, 1.41421, -1.8239e-10, 0, 7.19637e-41, 7.19637e-41, 7.19637e-41, 7.19637e-41, 7.19637e-41, 7.19637e-41, 7.19637e-41, 7.19637e-41, 7.19637e-41, 1.94091e-12, 7.19637e-41, 7.19637e-41, 1.40057e-13, 7.19637e-41, 1.80309e-10, 7.19637e-41, 7.19637e-41, 7.19637e-41
0.335303, 0, 2.86255e-10, 8.80852e-40, 1.41421, -2.86255e-10, 0, 8.80852e-40, 8.80852e-40, 8.80852e-40, 8.80852e-40, 8.80852e-40, 8.80852e-40, 8.80852e-40, 8.80852e-40, 8.80852e-40, 3.0474e-12, 8.80852e-40, 8.80852e-40, 2.31025e-13, 8.80852e-40, 2.82976e-10, 8.80852e-40, 8.80852e-40, 8.80852e-40
0.343175, 0, 4.459e-10, 9.72043e-39, 1.41421, -4.459e-10, 0, 9.72043e-39, 9.72043e-39, 9.72043e-39, 9.72043e-39, 9.72043e-39, 9.72043e-39, 9.72043e-39, 9.72043e-39, 9.72043e-39, 4.74929e-12, 9.72043e-39, 9.72043e-39, 3.79433e-13, 9.72043e-39, 4.40771e-10, 9.72043e-39, 9.72043e-39, 9.72043e-39
0.351046, 0, 6.89402e-10, 9.70236e-38, 1.41421, -6.89402e-10, 0, 9.70236e-38, 9.70236e-38, 9.70236e-38, 9.70236e-38, 9.70236e-38, 9.70236e-38, 9.70236e-38, 9.70236e-38, 9.70236e-38, 7.34729e-12, 9.70236e-38, 9.70236e-38, 6.20699e-13, 9.70236e-38, 6.81434e-10, 9.70236e-38, 9.70236e-38, 9.70236e-38
0.358918, 0, 1.05797e-09, 8.81647e-37, 1.41421, -1.05797e-09, 0, 8.81647e-37, 8.81647e-37, 8.81647e-37, 8.81647e-37, 8.81647e-37, 8.81647e-37, 8.81647e-37, 8.81647e-37, 8.81647e-37, 1.12837e-11, 8.81647e-37, 8.81647e-37, 1.01172e-12, 8.81647e-37, 1.04568e-09, 8.81647e-37, 8.81647e-37, 8.81647e-37
0.36679, 0, 1.61163e-09, 7.33685e-36, 1.41421, -1.61163e-09, 0, 7.33685e-36, 7.33685e-36, 7.33685e-36, 7.33685e-36, 7.33685e-36, 7.33685e-36, 7.33685e-36, 7.33685e-36, 7.33685e-36, 1.72043e-11, 7.33685e-36, 7.33685e-36, 1.64379e-12, 7.33685e-36, 1.59278e-09, 7.33685e-36, 7.33685e-36, 7.33685e-36
0.374662, 0, 2.43705e-09, 5.61204e-35, 1.41421, -2.43705e-09, 0, 5.61204e-35, 5.61204e-35, 5.61204e-35, 5.61204e-35, 5.61204e-35, 5.61204e-35, 5.61204e-35, 5.61204e-35, 5.61204e-35, 2.60442e-11, 5.61204e-35, 5.61204e-35, 2.66321e-12, 5.61204e-35, 2.40834e-09, 5.61204e-35, 5.61204e-35, 5.61204e-35
0.382533, 0, 3.65838e-09, 3.96292e-34, 1.41421, -3.65838e-09, 0, 3.96292e-34, 3.96292e-34, 3.96292e-34, 3.96292e-34, 3.96292e-34, 3.96292e-34, 3.96292e-34, 3.96292e-34, 3.96292e-34, 3.91479e-11, 3.96292e-34, 3.96292e-34, 4.30432e-12, 3.96292e-34, 3.61493e-09, 3.96292e-34, 3.96292e-34, 3.96292e-34
0.390405, 0, 5.4521e-09, 2.7174e-33, 1.41421, -5.4521e-09, 0, 2.7174e-33, 2.7174e-33, 2.7174e-33, 2.7174e-33, 2.7174e-33, 2.7174e-33, 2.7174e-33, 2.7174e-33, 2.7174e-33, 5.84341e-11, 2.7174e-33, 2.7174e-33, 6.94234e-12, 2.7174e-33, 5.38672e-09, 2.7174e-33, 2.7174e-33, 2.7174e-33
0.398277, 0, 8.06699e-09, 1.57858e-32, 1.41421, -8.06699e-09, 0, 1.57858e-32, 1.57858e-32, 1.57858e-32, 1.57858e-32, 1.57858e-32, 1.57858e-32, 1.57858e-32, 1.57858e-32, 1.57858e-32, 8.66218e-11, 1.57858e-32, 1.57858e-32, 1.11777e-11, 1.57858e-32, 7.96919e-09, 1.57858e-32, 1.57858e-32, 1.57858e-32
0.406149, 0, 1.1851e-08, 8.62181e-32, 1.41421, -1.1851e-08, 0, 8.62181e-32, 8.62181e-32, 8.62181e-32, 8.62181e-32, 8.62181e-32, 8.62181e-32, 8.62181e-32, 8.62181e-32, 8.62181e-32, 1.27536e-10, 8.62181e-32, 8.62181e-32, 1.79707e-11, 8.62181e-32, 1.17055e-08, 8.62181e-32, 8.62181e-32, 8.62181e-32
0.414021, 0, 1.72871e-08, 4.66715e-31, 1.41421, -1.72871e-08, 0, 4.66715e-31, 4.66715e-31, 4.66715e-31, 4.66715e-31, 4.66715e-31, 4.66715e-31, 4.66715e-31, 4.66715e-31, 4.66715e-31, 1.8652e-10, 4.66715e-31, 4.66715e-31, 2.8856e-11, 4.66715e-31, 1.70717e-08, 4.66715e-31, 4.66715e-31, 4.66715e-31
0.421892, 0, 2.50402e-08, 2.41845e-30, 1.41421, -2.50402e-08, 0, 2.41845e-30, 2.41845e-30, 2.41845e-30, 2.41845e-30, 2.41845e-30, 2.41845e-30, 2.41845e-30, 2.41845e-30, 2.41845e-30, 2.70993e-10, 2.41845e-30, 2.41845e-30, 4.62826e-11, 2.41845e-30, 2.47229e-08, 2.41845e-30, 2.41845e-30, 2.41845e-30
0.429764, 0, 3.6019e-08, 1.18552e-29, 1.41421, -3.6019e-08, 0, 1.18552e-29, 1.18552e-29, 1.18552e-29, 1.18552e-29, 1.18552e-29, 1.18552e-29, 1.18552e-29, 1.18552e-29, 1.18552e-29, 3.91184e-10, 1.18552e-29, 1.18552e-29, 7.41524e-11, 1.18552e-29, 3.55537e-08, 1.18552e-29, 1.18552e-29, 1.18552e-29
0.437636, 0, 5.14557e-08, 5.52512e-29, 1.41421, -5.14557e-08, 0, 5.52512e-29, 5.52512e-29, 5.52512e-29, 5.52512e-29, 5.52512e-29, 5.52512e-29, 5.52512e-29, 5.52512e-29, 5.52512e-29, 5.61108e-10, 5.52512e-29, 5.52512e-29, 1.18666e-10, 5.52512e-29, 5.0776e-08, 5.52512e-29, 5.52512e-29, 5.52512e-29
0.445508, 0, 7.30088e-08, 2.47901e-28, 1.41421, -7.30088e-08, 0, 2.47901e-28, 2.47901e-28, 2.47901e-28, 2.47901e-28, 2.47901e-28, 2.47901e-28, 2.47901e-28, 2.47901e-28, 2.47901e-28, 7.99854e-10, 2.47901e-28, 2.47901e-28, 1.89645e-10, 2.47901e-28, 7.20193e-08, 2.47901e-28, 2.47901e-28, 2.47901e-28
0.453379, 0, 1.02894e-07, 1.063e-27, 1.41421, -1.02894e-07, 0, 1.063e-27, 1.063e-27, 1.063e-27, 1.063e-27, 1.063e-27, 1.063e-27, 1.063e-27, 1.063e-27, 1.063e-27, 1.13326e-09, 1.063e-27, 1.063e-27, 3.02588e-10, 1.063e-27, 1.01458e-07, 1.063e-27, 1.063e-27, 1.063e-27
0.461251, 0, 1.4405e-07, 4.34427e-27, 1.41421, -1.4405e-07, 0, 4.34427e-27, 4.34427e-27, 4.34427e-27, 4.34427e-27, 4.34427e-27, 4.34427e-27, 4.34427e-27, 4.34427e-27, 4.34427e-27, 1.59612e-09, 4.34427e-27, 4.34427e-27, 4.8183e-10, 4.34427e-27, 1.41972e-07, 4.34427e-27, 4.34427e-27, 4.34427e-27
0.469123, 0, 2.00345e-07, 1.69517e-26, 1.41421, -2.00345e-07, 0, 1.69517e-26, 1.69517e-26, 1.69517e-26, 1.69517e-26, 1.69517e-26, 1.69517e-26, 1.69517e-26, 1.69517e-26, 1.69517e-26, 2.23496e-09, 1.69517e-26, 1.69517e-26, 7.65373e-10, 1.69517e-26, 1.97345e-07, 1.69517e-26, 1.69517e-26, 1.69517e-26
0.476995, 0, 2.76842e-07, 6.32413e-26, 1.41421, -2.76842e-07, 0, 6.32413e-26, 6.32413e-26, 6.32413e-26, 6.32413e-26, 6.32413e-26, 6.32413e-26, 3.13916e-12, 6.32413e-26, 6.32413e-26, 3.11171e-09, 6.32413e-26, 6.32413e-26, 1.21218e-09, 6.32413e-26, 2.72515e-07, 6.32413e-26, 6.32413e-26, 6.32413e-26
0.484867, 0, 3.80108e-07, 2.25993e-25, 1.41421, -3.80108e-07, 0, 2.25993e-25, 2.25993e-25, 2.25993e-25, 2.25993e-25, 2.25993e-25, 2.25993e-25, 1.06273e-11, 2.25993e-25, 2.25993e-25, 4.30835e-09, 2.25993e-25, 2.25993e-25, 1.91312e-09, 2.25993e-25, 3.73876e-07, 2.25993e-25, 2.25993e-25, 2.25993e-25
0.492738, 0, 5.20508e-07, 7.83646e-25, 1.41421, -5.20508e-07, 0, 1.94261e-14, 1.26519e-13, 5.1791e-10, 2.40655e-11, 2.94377e-13, 3.06474e-11, 1.7106e-10, 8.31383e-11, 1.00219e-09, 5.93285e-09, 9.88783e-13, 2.12699e-12, 3.00705e-09, 1.17946e-15, 5.09714e-07, 7.83646e-25, 7.83646e-25, 2.17549e-11
0.50061, 0, 7.09672e-07, 7.75417e-11, 1.41421, -7.09672e-07, 7.75417e-11, 7.76072e-11, 7.79682e-11, 1.82336e-09, 1.58664e-10, 7.8534e-11, 1.80851e-10, 6.26941e-10, 3.57792e-10, 3.45583e-09, 8.20392e-09, 8.08748e-11, 8.47116e-11, 4.7821e-09, 7.75457e-11, 6.90618e-07, 7.75417e-11, 7.75417e-11, 1.50875e-10
0.508482, 0, 9.64715e-07, 2.61026e-10, 1.41421, -9.64715e-07, 2.61026e-10, 2.61198e-10, 2.62144e-10, 4.83647e-09, 4.73632e-10, 2.63627e-10, 5.31779e-10, 1.67818e-09, 9.95507e-10, 9.11485e-09, 1.13338e-08, 2.69762e-10, 2.79817e-10, 7.58295e-09, 2.61037e-10, 9.30032e-07, 2.61026e-10, 2.61026e-10, 4.53219e-10
0.516354, 0, 1.31043e-06, 6.83843e-10, 1.41421, -1.31043e-06, 6.83843e-10, 6.84253e-10, 6.86513e-10, 1.1617e-08, 1.19187e-09, 6.90057e-10, 1.33081e-09, 4.0422e-09, 2.4389e-09, 2.18403e-08, 1.56937e-08, 7.04716e-10, 7.28744e-10, 1.20136e-08, 6.83867e-10, 1.2452e-06, 6.83843e-10, 6.83843e-10, 1.14309e-09
0.524225, 0, 1.78397e-06, 1.63453e-09, 1.41421, -1.78397e-06, 1.63453e-09, 1.63546e-09, 1.6406e-09, 2.65138e-08, 2.79058e-09, 1.64867e-09, 3.10676e-09, 9.2336e-09, 5.6283e-09, 4.97777e-08, 2.18784e-08, 1.68203e-09, 1.7367e-09, 1.9057e-08, 1.63458e-09, 1.65785e-06, 1.63453e-09, 1.63453e-09, 2.67958e-09
0.532097, 0, 2.44423e-06, 3.7206e-09, 1.41421, -2.44423e-06, 3.7206e-09, 3.72265e-09, 3.73397e-09, 5.84852e-08, 6.26532e-09, 3.75172e-09, 6.9613e-09, 2.03678e-08, 1.25118e-08, 1.09694e-07, 3.08872e-08, 3.82515e-09, 3.94551e-09, 3.03366e-08, 3.72072e-09, 2.19581e-06, 3.7206e-09, 3.7206e-09, 6.021e-09
0.539969, 0, 3.39113e-06, 8.19073e-09, 1.41421, -3.39113e-06, 8.19073e-09, 8.19513e-09, 8.21939e-09, 1.25536e-07, 1.36434e-08, 8.25742e-09, 1.51346e-08, 4.63885e-08, 2.70277e-08, 2.35262e-07, 4.44673e-08, 8.41476e-09, 8.67265e-09, 4.85999e-08, 8.19099e-09, 2.89486e-06, 8.19073e-09, 8.19073e-09, 1.31198e-08
0.547841, 0, 4.79156e-06, 1.75495e-08, 1.41421, -4.79156e-06, 1.75495e-08, 1.75587e-08, 1.76095e-08, 2.62975e-07, 2.89536e-08, 1.7689e-08, 3.20726e-08, 1.00564e-07, 5.69468e-08, 4.92466e-07, 6.5754e-08, 1.80181e-08, 1.85575e-08, 7.8411e-08, 1.75501e-08, 3.80182e-06, 1.75495e-08, 1.75495e-08, 2.78587e-08
0.555713, 0, 6.9731e-06, 3.66988e-08, 1.41421, -6.9731e-06, 3.66988e-08, 3.67176e-08, 3.68214e-08, 5.3836e-07, 6.00093e-08, 3.69839e-08, 6.63847e-08, 2.45376e-07, 1.17229e-07, 1.00745e-06, 1.00443e-07, 3.76566e-08, 3.87591e-08, 1.27672e-07, 3.66999e-08, 4.97924e-06, 3.66988e-08, 3.66988e-08, 5.77712e-08
0.563584, 0, 1.04632e-05, 7.49992e-08, 1.41421, -1.04632e-05, 7.49992e-08, 7.50368e-08, 7.52441e-08, 1.0778e-06, 1.21596e-07, 7.55692e-08, 1.3434e-07, 5.46889e-07, 2.35976e-07, 2.0155e-06, 1.5889e-07, 7.69137e-08, 7.91176e-08, 2.09937e-07, 7.50015e-08, 6.51324e-06, 7.49992e-08, 7.49992e-08, 1.17122e-07
0.571456, 0, 1.62215e-05, 1.49891e-07, 1.41421, -1.62215e-05, 1.49891e-07, 1.49964e-07, 1.5037e-07, 2.11095e-06, 2.41015e-07, 1.51005e-07, 2.65937e-07, 1.16311e-06, 4.64694e-07, 3.94469e-06, 2.59775e-07, 1.53635e-07, 1.57945e-07, 3.48492e-07, 1.49895e-07, 8.52611e-06, 1.49891e-07, 1.49891e-07, 2.32266e-07
0.579328, 0, 2.59335e-05, 2.93077e-07, 1.41421, -2.59335e-05, 2.93077e-07, 2.93218e-07, 2.93994e-07, 4.04578e-06, 4.67452e-07, 2.9521e-07, 5.15144e-07, 2.3996e-06, 8.95485e-07, 7.55482e-06, 4.36346e-07, 3.00242e-07, 3.08489e-07, 5.83131e-07, 2.93086e-07, 1.11969e-05, 2.93077e-07, 2.93077e-07, 4.5071e-07
0.5872, 0, 4.24897e-05, 5.60776e-07, 1.41421, -4.24897e-05, 5.60776e-07, 5.6104e-07, 5.62493e-07, 7.58908e-06, 8.87358e-07, 5.64771e-07, 9.76677e-07, 4.80608e-06, 1.68901e-06, 1.41611e-05, 7.46733e-07, 5.74195e-07, 5.89641e-07, 9.812e-07, 5.60792e-07, 1.47952e-05, 5.60776e-07, 5.60776e-07, 8.56002e-07
0.595071, 0, 7.08799e-05, 1.05024e-06, 1.41421, -7.08799e-05, 1.05024e-06, 1.05072e-06, 1.05339e-06, 1.39353e-05, 1.64896e-06, 1.05756e-06, 1.81271e-06, 9.47358e-06, 3.11863e-06, 2.59837e-05, 1.29056e-06, 1.07484e-06, 1.10316e-06, 1.6552e-06, 1.05027e-06, 1.97335e-05, 1.05024e-06, 1.05024e-06, 1.59148e-06
0.602943, 0, 0.000119441, 1.92552e-06, 1.41421, -0.000119441, 1.92552e-06, 1.92639e-06, 1.93117e-06, 2.50519e-05, 3.00013e-06, 1.93867e-06, 3.29403e-06, 1.83796e-05, 5.63792e-06, 4.66768e-05, 2.23483e-06, 1.96967e-06, 2.0205e-06, 2.79002e-06, 1.92557e-06, 2.66495e-05, 1.92552e-06, 1.92552e-06, 2.89695e-06
0.610815, 0, 0.000201887, 3.45654e-06, 1.41421, -0.000201887, 3.45654e-06, 3.45807e-06, 3.46647e-06, 4.40996e-05, 5.34509e-06, 3.47964e-06, 5.8616e-06, 3.50964e-05, 9.98083e-06, 8.21038e-05, 3.8531e-06, 3.53414e-06, 3.62346e-06, 4.68402e-06, 3.45663e-06, 3.65286e-05, 3.45654e-06, 3.45654e-06, 5.16376e-06
0.618687, 0, 0.000340355, 6.0763e-06, 1.41421, -0.000340355, 6.0763e-06, 6.07893e-06, 6.09339e-06, 7.60261e-05, 9.32664e-06, 6.11606e-06, 1.02156e-05, 6.59576e-05, 1.73051e-05, 0.000141434, 6.5829e-06, 6.20985e-06, 6.36358e-06, 7.80904e-06, 6.07646e-06, 5.08894e-05, 6.0763e-06, 6.0763e-06, 9.01456e-06
0.626558, 0, 0.000569868, 1.04619e-05, 1.41421, -0.000569868, 1.04619e-05, 1.04663e-05, 1.04907e-05, 0.000128379, 1.59411e-05, 1.05289e-05, 1.74396e-05, 0.00012198, 2.93906e-05, 0.000238639, 1.1107e-05, 1.0687e-05, 1.09462e-05, 1.28952e-05, 1.04622e-05, 7.20286e-05, 1.04619e-05, 1.04619e-05, 1.5415e-05
0.63443, 0, 0.000944789, 1.76452e-05, 1.41421, -0.000944789, 1.76452e-05, 1.76525e-05, 1.76928e-05, 0.00021237, 2.66934e-05, 1.77559e-05, 2.91681e-05, 0.000221952, 4.89037e-05, 0.000394452, 1.84642e-05, 1.8017e-05, 1.84449e-05, 2.1047e-05, 1.76457e-05, 0.000103382, 1.76452e-05, 1.76452e-05, 2.58247e-05
0.642302, 0, 0.00154787, 2.91584e-05, 1.41421, -0.00154787, 2.91584e-05, 2.91702e-05, 2.92353e-05, 0.000344221, 4.37983e-05, 2.93375e-05, 4.78023e-05, 0.000397267, 7.97343e-05, 0.000638829, 3.01954e-05, 2.97599e-05, 3.04523e-05, 3.38959e-05, 2.91591e-05, 0.000149993, 2.91584e-05, 2.91584e-05, 4.23927e-05
