   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_322.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0346705, 644, 0, 0, 25.4165, 644, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0267988, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.018927, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0110552, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00318345, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00468833, 0, 1.04811e-21, 0, 1.41421, -1.04811e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11414e-23, 0, 0, 2.84672e-25, 0, 1.03668e-21, 0, 0, 0
0.0125601, 0, 2.45339e-21, 0, 1.41421, -2.45339e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60795e-23, 0, 0, 6.82268e-25, 0, 2.42663e-21, 0, 0, 0
0.0204319, 0, 5.65117e-21, 0, 1.41421, -5.65117e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.00716e-23, 0, 0, 1.6073e-24, 0, 5.58949e-21, 0, 0, 0
0.0283036, 0, 1.28206e-20, 0, 1.41421, -1.28206e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36281e-22, 0, 0, 3.72598e-24, 0, 1.26806e-20, 0, 0, 0
0.0361754, 0, 2.86687e-20, 0, 1.41421, -2.86687e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04743e-22, 0, 0, 8.50731e-24, 0, 2.83554e-20, 0, 0, 0
0.0440472, 0, 6.32313e-20, 0, 1.41421, -6.32313e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.72132e-22, 0, 0, 1.91471e-23, 0, 6.254e-20, 0, 0, 0
0.051919, 0, 1.37637e-19, 0, 1.41421, -1.37637e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46303e-21, 0, 0, 4.25084e-23, 0, 1.36131e-19, 0, 0, 0
0.0597907, 0, 2.95826e-19, 0, 1.41421, -2.95826e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14452e-21, 0, 0, 9.31484e-23, 0, 2.92588e-19, 0, 0, 0
0.0676625, 0, 6.28115e-19, 0, 1.41421, -6.28115e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.67658e-21, 0, 0, 2.01577e-22, 0, 6.21237e-19, 0, 0, 0
0.0755343, 0, 1.31801e-18, 0, 1.41421, -1.31801e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40098e-20, 0, 0, 4.31006e-22, 0, 1.30357e-18, 0, 0, 0
0.0834061, 0, 2.73424e-18, 0, 1.41421, -2.73424e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90634e-20, 0, 0, 9.10948e-22, 0, 2.70427e-18, 0, 0, 0
0.0912778, 0, 5.60961e-18, 0, 1.41421, -5.60961e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.96265e-20, 0, 0, 1.90389e-21, 0, 5.54808e-18, 0, 0, 0
0.0991496, 0, 1.13852e-17, 0, 1.41421, -1.13852e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21016e-19, 0, 0, 3.9363e-21, 0, 1.12602e-17, 0, 0, 0
0.107021, 0, 2.28651e-17, 0, 1.41421, -2.28651e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43038e-19, 0, 0, 8.05333e-21, 0, 2.2614e-17, 0, 0, 0
0.114893, 0, 4.5451e-17, 0, 1.41421, -4.5451e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83105e-19, 0, 0, 1.63094e-20, 0, 4.49516e-17, 0, 0, 0
0.122765, 0, 8.94437e-17, 0, 1.41421, -8.94437e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.50703e-19, 0, 0, 3.27042e-20, 0, 8.84603e-17, 0, 0, 0
