   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_173.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0296869, 346, 0, 0, 18.6548, 346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0218154, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0139439, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00607244, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00179906, 0, 2.22153e-24, 0, 1.41421, -2.22153e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46207e-29, 0, 1.3102e-29, 0, 2.22149e-24, 0, 0, 0
0.00967056, 0, 6.64903e-24, 0, 1.41421, -6.64903e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0495e-28, 0, 4.06897e-29, 0, 6.64888e-24, 0, 0, 0
0.0175421, 0, 1.92462e-23, 0, 1.41421, -1.92462e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07745e-28, 0, 1.21672e-28, 0, 1.92458e-23, 0, 0, 0
0.0254136, 0, 5.40821e-23, 0, 1.41421, -5.40821e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.76155e-28, 0, 3.52016e-28, 0, 5.40809e-23, 0, 0, 0
0.0332851, 0, 1.47965e-22, 0, 1.41421, -1.47965e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42894e-27, 0, 9.89013e-28, 0, 1.47961e-22, 0, 0, 0
0.0411566, 0, 3.95082e-22, 0, 1.41421, -3.95082e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.5724e-27, 0, 2.70627e-27, 0, 3.95073e-22, 0, 0, 0
