   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_251.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0290085, 502, 0, 0, 22.4499, 502, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0211385, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0132686, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0053986, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00247137, 0, 1.86565e-22, 0, 1.41421, -1.86565e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38881e-24, 0, 0, 1.97821e-26, 0, 1.82156e-22, 0, 0, 0
0.0103413, 0, 4.50549e-22, 0, 1.41421, -4.50549e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05988e-23, 0, 0, 4.87763e-26, 0, 4.39901e-22, 0, 0, 0
0.0182113, 0, 1.0686e-21, 0, 1.41421, -1.0686e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5138e-23, 0, 0, 1.17998e-25, 0, 1.04335e-21, 0, 0, 0
0.0260813, 0, 2.49196e-21, 0, 1.41421, -2.49196e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.86213e-23, 0, 0, 2.80442e-25, 0, 2.43306e-21, 0, 0, 0
0.0339512, 0, 5.71922e-21, 0, 1.41421, -5.71922e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3454e-22, 0, 0, 6.55541e-25, 0, 5.58403e-21, 0, 0, 0
0.0418212, 0, 1.2929e-20, 0, 1.41421, -1.2929e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04143e-22, 0, 0, 1.50856e-24, 0, 1.26234e-20, 0, 0, 0
0.0496912, 0, 2.88102e-20, 0, 1.41421, -2.88102e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.77731e-22, 0, 0, 3.4206e-24, 0, 2.8129e-20, 0, 0, 0
0.0575611, 0, 6.58157e-20, 0, 1.41421, -6.58157e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.54824e-21, 0, 0, 8.00869e-24, 0, 6.42594e-20, 0, 0, 0
0.0654311, 0, 1.42225e-19, 0, 1.41421, -1.42225e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34569e-21, 0, 0, 1.75976e-23, 0, 1.38862e-19, 0, 0, 0
0.0733011, 0, 3.03596e-19, 0, 1.41421, -3.03596e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.14174e-21, 0, 0, 3.81915e-23, 0, 2.96416e-19, 0, 0, 0
0.081171, 0, 6.40422e-19, 0, 1.41421, -6.40422e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50651e-20, 0, 0, 8.19043e-23, 0, 6.25275e-19, 0, 0, 0
0.089041, 0, 1.33552e-18, 0, 1.41421, -1.33552e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.14164e-20, 0, 0, 1.73645e-22, 0, 1.30393e-18, 0, 0, 0
