   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_64.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0293397, 128, 0, 0, 11.4018, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0214581, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0135765, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00569492, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00218668, 0, 1.69676e-22, 0, 1.41421, -1.69676e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29325e-25, 0, 1.60599e-27, 3.76891e-26, 0, 1.69208e-22, 0, 0, 0
0.0100683, 0, 4.13404e-22, 0, 1.41421, -4.13404e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04601e-24, 0, 3.94887e-27, 9.42578e-26, 0, 4.1226e-22, 0, 0, 0
0.0179499, 0, 9.89474e-22, 0, 1.41421, -9.89474e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50359e-24, 0, 9.54074e-27, 2.31312e-25, 0, 9.86729e-22, 0, 0, 0
0.0258315, 0, 2.32903e-21, 0, 1.41421, -2.32903e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.89295e-24, 0, 2.26745e-26, 5.57705e-25, 0, 2.32256e-21, 0, 0, 0
0.0337131, 0, 5.39623e-21, 0, 1.41421, -5.39623e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36535e-23, 0, 5.30573e-26, 1.32252e-24, 0, 5.3812e-21, 0, 0, 0
0.0415947, 0, 1.23168e-20, 0, 1.41421, -1.23168e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.11637e-23, 0, 1.22335e-25, 3.08745e-24, 0, 1.22824e-20, 0, 0, 0
0.0494763, 0, 2.77139e-20, 0, 1.41421, -2.77139e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.0121e-23, 0, 2.78139e-25, 7.10139e-24, 0, 2.76364e-20, 0, 0, 0
0.0573579, 0, 6.15121e-20, 0, 1.41421, -6.15121e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55635e-22, 0, 6.23943e-25, 1.61044e-23, 0, 6.13398e-20, 0, 0, 0
0.0652395, 0, 1.34747e-19, 0, 1.41421, -1.34747e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4093e-22, 0, 1.38178e-24, 3.60314e-23, 0, 1.34369e-19, 0, 0, 0
0.0731211, 0, 2.91464e-19, 0, 1.41421, -2.91464e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.37441e-22, 0, 3.02241e-24, 7.95778e-23, 0, 2.90644e-19, 0, 0, 0
0.0810027, 0, 6.2279e-19, 0, 1.41421, -6.2279e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.57573e-21, 0, 6.5325e-24, 1.7358e-22, 0, 6.21034e-19, 0, 0, 0
0.0888843, 0, 1.31509e-18, 0, 1.41421, -1.31509e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32732e-21, 0, 1.39568e-23, 3.74109e-22, 0, 1.31138e-18, 0, 0, 0
0.0967659, 0, 2.74523e-18, 0, 1.41421, -2.74523e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.94566e-21, 0, 2.94868e-23, 7.97017e-22, 0, 2.73746e-18, 0, 0, 0
