   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_289.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.341038, 0, 1.71364e-10, 3.91817e-41, 1.41421, -1.71364e-10, 0, 3.91817e-41, 3.91817e-41, 3.91817e-41, 3.91817e-41, 3.91817e-41, 3.91817e-41, 3.91817e-41, 3.91817e-41, 3.91817e-41, 3.91817e-41, 3.49507e-15, 3.91817e-41, 1.7136e-10, 3.91817e-41, 3.91817e-41, 3.91817e-41
0.348903, 0, 2.78483e-10, 5.01166e-40, 1.41421, -2.78483e-10, 0, 5.01166e-40, 5.01166e-40, 5.01166e-40, 5.01166e-40, 5.01166e-40, 5.01166e-40, 5.01166e-40, 5.01166e-40, 5.01166e-40, 5.01166e-40, 5.92761e-15, 5.01166e-40, 2.78478e-10, 5.01166e-40, 5.01166e-40, 5.01166e-40
0.356768, 0, 4.48763e-10, 5.74386e-39, 1.41421, -4.48763e-10, 0, 5.74386e-39, 5.74386e-39, 5.74386e-39, 5.74386e-39, 5.74386e-39, 5.74386e-39, 5.74386e-39, 5.74386e-39, 5.74386e-39, 5.74386e-39, 1.00079e-14, 5.74386e-39, 4.48753e-10, 5.74386e-39, 5.74386e-39, 5.74386e-39
0.364633, 0, 7.17123e-10, 5.94783e-38, 1.41421, -7.17123e-10, 0, 5.94783e-38, 5.94783e-38, 5.94783e-38, 5.94783e-38, 5.94783e-38, 5.94783e-38, 5.94783e-38, 5.94783e-38, 5.94783e-38, 5.94783e-38, 1.683e-14, 5.94783e-38, 7.17106e-10, 5.94783e-38, 5.94783e-38, 5.94783e-38
0.372498, 0, 1.13645e-09, 5.5946e-37, 1.41421, -1.13645e-09, 0, 5.5946e-37, 5.5946e-37, 5.5946e-37, 5.5946e-37, 5.5946e-37, 5.5946e-37, 5.5946e-37, 5.5946e-37, 5.5946e-37, 5.5946e-37, 2.82072e-14, 5.5946e-37, 1.13642e-09, 5.5946e-37, 5.5946e-37, 5.5946e-37
0.380364, 0, 1.78613e-09, 4.80769e-36, 1.41421, -1.78613e-09, 0, 4.80769e-36, 4.80769e-36, 4.80769e-36, 4.80769e-36, 4.80769e-36, 4.80769e-36, 4.80769e-36, 4.80769e-36, 4.80769e-36, 4.80769e-36, 4.7143e-14, 4.80769e-36, 1.78608e-09, 4.80769e-36, 4.80769e-36, 4.80769e-36
0.388229, 0, 2.78419e-09, 3.79181e-35, 1.41421, -2.78419e-09, 0, 3.79181e-35, 3.79181e-35, 3.79181e-35, 3.79181e-35, 3.79181e-35, 3.79181e-35, 3.79181e-35, 3.79181e-35, 3.79181e-35, 3.79181e-35, 7.86133e-14, 3.79181e-35, 2.78411e-09, 3.79181e-35, 3.79181e-35, 3.79181e-35
0.396094, 0, 4.30461e-09, 2.75738e-34, 1.41421, -4.30461e-09, 0, 2.75738e-34, 2.75738e-34, 2.75738e-34, 2.75738e-34, 2.75738e-34, 2.75738e-34, 2.75738e-34, 2.75738e-34, 2.75738e-34, 2.75738e-34, 1.30864e-13, 2.75738e-34, 4.30448e-09, 2.75738e-34, 2.75738e-34, 2.75738e-34
0.403959, 0, 6.60151e-09, 1.90564e-33, 1.41421, -6.60151e-09, 0, 1.90564e-33, 1.90564e-33, 1.90564e-33, 1.90564e-33, 1.90564e-33, 1.90564e-33, 1.90564e-33, 1.90564e-33, 1.90564e-33, 1.90564e-33, 2.17559e-13, 1.90564e-33, 6.60129e-09, 1.90564e-33, 1.90564e-33, 1.90564e-33
0.411824, 0, 1.00427e-08, 1.19262e-32, 1.41421, -1.00427e-08, 0, 1.19262e-32, 1.19262e-32, 1.19262e-32, 1.19262e-32, 1.19262e-32, 1.19262e-32, 1.19262e-32, 1.19262e-32, 1.19262e-32, 1.19262e-32, 3.61339e-13, 1.19262e-32, 1.00423e-08, 1.19262e-32, 1.19262e-32, 1.19262e-32
0.419689, 0, 1.51559e-08, 7.33182e-32, 1.41421, -1.51559e-08, 0, 7.33182e-32, 7.33182e-32, 7.33182e-32, 7.33182e-32, 7.33182e-32, 7.33182e-32, 7.33182e-32, 7.33182e-32, 7.33182e-32, 7.33182e-32, 5.997e-13, 7.33182e-32, 1.51553e-08, 7.33182e-32, 7.33182e-32, 7.33182e-32
0.427554, 0, 2.26917e-08, 4.09143e-31, 1.41421, -2.26917e-08, 0, 4.09143e-31, 4.09143e-31, 4.09143e-31, 4.09143e-31, 4.09143e-31, 4.09143e-31, 4.09143e-31, 4.09143e-31, 4.09143e-31, 4.09143e-31, 9.94648e-13, 4.09143e-31, 2.26907e-08, 4.09143e-31, 4.09143e-31, 4.09143e-31
0.43542, 0, 3.3708e-08, 2.19484e-30, 1.41421, -3.3708e-08, 0, 2.19484e-30, 2.19484e-30, 2.19484e-30, 2.19484e-30, 2.19484e-30, 2.19484e-30, 2.19484e-30, 2.19484e-30, 2.19484e-30, 2.19484e-30, 1.64855e-12, 2.19484e-30, 3.37064e-08, 2.19484e-30, 2.19484e-30, 2.19484e-30
0.443285, 0, 4.96833e-08, 1.1156e-29, 1.41421, -4.96833e-08, 0, 1.1156e-29, 1.1156e-29, 1.1156e-29, 1.1156e-29, 1.1156e-29, 1.1156e-29, 1.1156e-29, 1.1156e-29, 1.1156e-29, 1.1156e-29, 2.7299e-12, 1.1156e-29, 4.96806e-08, 1.1156e-29, 1.1156e-29, 1.1156e-29
0.45115, 0, 7.26658e-08, 5.35239e-29, 1.41421, -7.26658e-08, 0, 5.35239e-29, 5.35239e-29, 5.35239e-29, 5.35239e-29, 5.35239e-29, 5.35239e-29, 5.35239e-29, 5.35239e-29, 5.35239e-29, 5.35239e-29, 4.5151e-12, 5.35239e-29, 7.26613e-08, 5.35239e-29, 5.35239e-29, 5.35239e-29
0.459015, 0, 1.05469e-07, 2.46378e-28, 1.41421, -1.05469e-07, 0, 2.46378e-28, 2.46378e-28, 2.46378e-28, 2.46378e-28, 2.46378e-28, 2.46378e-28, 2.46378e-28, 2.46378e-28, 2.46378e-28, 2.46378e-28, 7.45564e-12, 2.46378e-28, 1.05462e-07, 2.46378e-28, 2.46378e-28, 2.46378e-28
0.46688, 0, 1.51926e-07, 1.0818e-27, 1.41421, -1.51926e-07, 0, 1.0818e-27, 1.0818e-27, 1.0818e-27, 1.0818e-27, 1.0818e-27, 1.0818e-27, 1.0818e-27, 1.0818e-27, 1.0818e-27, 1.0818e-27, 1.22852e-11, 1.0818e-27, 1.51914e-07, 1.0818e-27, 1.0818e-27, 1.0818e-27
0.474745, 0, 2.17211e-07, 4.52409e-27, 1.41421, -2.17211e-07, 0, 4.52409e-27, 4.52409e-27, 4.52409e-27, 4.52409e-27, 4.52409e-27, 4.52409e-27, 4.52409e-27, 4.52409e-27, 4.52409e-27, 4.52409e-27, 2.0189e-11, 4.52409e-27, 2.17191e-07, 4.52409e-27, 4.52409e-27, 4.52409e-27
0.482611, 0, 3.08259e-07, 1.80436e-26, 1.41421, -3.08259e-07, 0, 1.80436e-26, 1.80436e-26, 1.80436e-26, 1.80436e-26, 1.80436e-26, 1.80436e-26, 1.80436e-26, 1.80436e-26, 1.80436e-26, 1.80436e-26, 3.30702e-11, 1.80436e-26, 3.08226e-07, 1.80436e-26, 1.80436e-26, 1.80436e-26
0.490476, 0, 4.34282e-07, 6.87456e-26, 1.41421, -4.34282e-07, 0, 6.87456e-26, 6.87456e-26, 6.87456e-26, 6.87456e-26, 6.87456e-26, 3.08909e-12, 6.87456e-26, 6.87456e-26, 6.87456e-26, 6.87456e-26, 5.39625e-11, 6.87456e-26, 4.34225e-07, 6.87456e-26, 6.87456e-26, 6.87456e-26
0.498341, 0, 6.07415e-07, 2.50709e-25, 1.41421, -6.07415e-07, 0, 2.50709e-25, 2.50709e-25, 2.50709e-25, 2.50709e-25, 2.50709e-25, 1.07258e-11, 2.50709e-25, 2.50709e-25, 2.50709e-25, 2.50709e-25, 8.7666e-11, 2.50709e-25, 6.07316e-07, 2.50709e-25, 2.50709e-25, 2.50709e-25
0.506206, 0, 8.43525e-07, 8.83328e-25, 1.41421, -8.43525e-07, 0, 8.83328e-25, 8.83328e-25, 8.83328e-25, 8.83328e-25, 8.83328e-25, 2.8972e-11, 8.83328e-25, 8.83328e-25, 8.83328e-25, 8.83328e-25, 1.41717e-10, 8.83328e-25, 8.43354e-07, 8.83328e-25, 8.83328e-25, 8.83328e-25
0.514071, 0, 1.16794e-06, 5.06614e-10, 1.41421, -1.16794e-06, 5.06614e-10, 5.06698e-10, 1.14879e-09, 5.20042e-10, 5.06627e-10, 5.29516e-10, 7.23822e-10, 9.48764e-10, 3.25472e-09, 5.06926e-10, 5.08942e-10, 7.34465e-10, 5.06616e-10, 1.16358e-06, 5.06614e-10, 5.06614e-10, 5.48361e-10
0.521936, 0, 1.60932e-06, 1.75993e-09, 1.41421, -1.60932e-06, 1.75993e-09, 1.76022e-09, 3.97697e-09, 1.80629e-09, 1.75997e-09, 1.83899e-09, 2.43058e-09, 3.28639e-09, 1.12474e-08, 1.761e-09, 1.76796e-09, 2.12417e-09, 1.75993e-09, 1.59477e-06, 1.75993e-09, 1.75993e-09, 1.90405e-09
0.529802, 0, 2.21102e-06, 4.74721e-09, 1.41421, -2.21102e-06, 4.74721e-09, 4.74799e-09, 1.07051e-08, 4.8718e-09, 4.74734e-09, 4.95969e-09, 6.47827e-09, 8.84928e-09, 3.02429e-08, 4.75011e-09, 4.76881e-09, 5.32586e-09, 4.74724e-09, 2.1724e-06, 4.74721e-09, 4.74721e-09, 5.13452e-09
0.537667, 0, 3.03867e-06, 1.19014e-08, 1.41421, -3.03867e-06, 1.19014e-08, 1.19033e-08, 2.67852e-08, 1.22126e-08, 1.19017e-08, 1.24322e-08, 1.6112e-08, 2.21491e-08, 7.55943e-08, 1.19086e-08, 1.19554e-08, 1.28147e-08, 1.19015e-08, 2.94285e-06, 1.19014e-08, 1.19014e-08, 1.2869e-08
0.545532, 0, 4.18671e-06, 2.7474e-08, 1.41421, -4.18671e-06, 2.7474e-08, 2.74784e-08, 6.17969e-08, 2.81917e-08, 2.74747e-08, 2.8698e-08, 3.76468e-08, 5.11058e-08, 1.74353e-07, 2.74907e-08, 2.75984e-08, 2.89054e-08, 2.74741e-08, 3.96595e-06, 2.7474e-08, 2.7474e-08, 2.97052e-08
0.553397, 0, 5.81918e-06, 6.16244e-08, 1.41421, -5.81918e-06, 6.16244e-08, 6.16345e-08, 1.38547e-07, 6.3233e-08, 6.1626e-08, 6.43678e-08, 8.55113e-08, 1.14587e-07, 3.90803e-07, 6.16619e-08, 6.19033e-08, 6.38521e-08, 6.16247e-08, 5.32432e-06, 6.16244e-08, 6.16244e-08, 6.6625e-08
0.561262, 0, 8.22482e-06, 1.34643e-07, 1.41421, -8.22482e-06, 1.34643e-07, 1.34665e-07, 3.02588e-07, 1.38155e-07, 1.34646e-07, 1.40632e-07, 2.00611e-07, 2.50276e-07, 8.53337e-07, 1.34724e-07, 1.35252e-07, 1.38084e-07, 1.34643e-07, 7.132e-06, 1.34643e-07, 1.34643e-07, 1.45561e-07
0.569127, 0, 1.18975e-05, 2.86892e-07, 1.41421, -1.18975e-05, 2.86892e-07, 2.86939e-07, 6.44495e-07, 2.9437e-07, 2.86899e-07, 2.99645e-07, 4.46675e-07, 5.33106e-07, 1.81719e-06, 2.87066e-07, 2.88189e-07, 2.9217e-07, 2.86893e-07, 9.55336e-06, 2.86892e-07, 2.86892e-07, 3.10139e-07
0.576993, 0, 1.77352e-05, 5.96514e-07, 1.41421, -1.77352e-05, 5.96514e-07, 5.96611e-07, 1.33953e-06, 6.12051e-07, 5.96529e-07, 6.23013e-07, 9.6129e-07, 1.10809e-06, 3.77613e-06, 5.96876e-07, 5.99208e-07, 6.04551e-07, 5.96517e-07, 1.28347e-05, 5.96514e-07, 5.96514e-07, 6.44816e-07
0.584858, 0, 2.73565e-05, 1.21072e-06, 1.41421, -2.73565e-05, 1.21072e-06, 1.21092e-06, 2.71771e-06, 1.24223e-06, 1.21075e-06, 1.26447e-06, 2.01372e-06, 2.24831e-06, 7.65964e-06, 1.21145e-06, 1.21619e-06, 1.22287e-06, 1.21073e-06, 1.73582e-05, 1.21072e-06, 1.21072e-06, 1.30869e-06
0.592723, 0, 4.36569e-05, 2.39937e-06, 1.41421, -4.36569e-05, 2.39937e-06, 2.39976e-06, 5.38365e-06, 2.46177e-06, 2.39943e-06, 2.5058e-06, 4.11904e-06, 4.45409e-06, 1.51701e-05, 2.40082e-06, 2.41019e-06, 2.41758e-06, 2.39938e-06, 2.37338e-05, 2.39937e-06, 2.39937e-06, 2.59337e-06
0.600588, 0, 7.17484e-05, 4.64384e-06, 1.41421, -7.17484e-05, 4.64384e-06, 4.64459e-06, 1.04152e-05, 4.76452e-06, 4.64396e-06, 4.84966e-06, 8.24657e-06, 8.61751e-06, 2.93415e-05, 4.64665e-06, 4.66476e-06, 4.67096e-06, 4.64386e-06, 3.29495e-05, 4.64384e-06, 4.64384e-06, 5.01902e-06
0.608453, 0, 0.000120503, 8.77938e-06, 1.41421, -0.000120503, 8.77938e-06, 8.7808e-06, 1.96815e-05, 9.00735e-06, 8.7796e-06, 9.16818e-06, 1.61939e-05, 1.62856e-05, 5.54331e-05, 8.78468e-06, 8.8189e-06, 8.81947e-06, 8.77942e-06, 4.66145e-05, 8.77938e-06, 8.77938e-06, 9.4881e-06
0.616318, 0, 0.000204981, 1.62158e-05, 1.41421, -0.000204981, 1.62158e-05, 1.62185e-05, 3.6335e-05, 1.66365e-05, 1.62162e-05, 1.69334e-05, 3.12031e-05, 3.00682e-05, 0.000102313, 1.62256e-05, 1.62888e-05, 1.62747e-05, 1.62159e-05, 6.73352e-05, 1.62158e-05, 1.62158e-05, 1.75237e-05
0.624184, 0, 0.000350201, 2.92675e-05, 1.41421, -0.000350201, 2.92675e-05, 2.92722e-05, 6.55469e-05, 3.00261e-05, 2.92682e-05, 3.05613e-05, 5.90139e-05, 5.42464e-05, 0.000184519, 2.92851e-05, 2.9399e-05, 2.93533e-05, 2.92676e-05, 9.92923e-05, 2.92675e-05, 2.92675e-05, 3.16259e-05
0.632049, 0, 0.000596741, 5.16275e-05, 1.41421, -0.000596741, 5.16275e-05, 5.16358e-05, 0.000115563, 5.29644e-05, 5.16288e-05, 5.39076e-05, 0.000109584, 9.56477e-05, 0.000325228, 5.16586e-05, 5.18592e-05, 5.17518e-05, 5.16277e-05, 0.000149058, 5.16275e-05, 5.16275e-05, 5.57838e-05
0.639914, 0, 0.00100891, 8.90255e-05, 1.41421, -0.00100891, 8.90255e-05, 8.90399e-05, 0.000199163, 9.13286e-05, 8.90278e-05, 9.29534e-05, 0.000199841, 0.000164857, 0.00056034, 8.90791e-05, 8.94248e-05, 8.92045e-05, 8.90259e-05, 0.000226774, 8.90255e-05, 8.90255e-05, 9.61853e-05
0.647779, 2, 0.00168619, 0.000150097, 2, 1.99831, 0.000150097, 0.000150121, 0.000335591, 0.000153976, 0.000150101, 0.000156712, 0.000357969, 0.000277812, 0.000943885, 0.000150187, 0.00015077, 0.000150353, 0.000150098, 0.000347724, 0.000150097, 0.000150097, 0.000162156
0.655644, 0, 0.00277879, 0.000247482, 1.41421, -0.00277879, 0.000247482, 0.000247522, 0.000552982, 0.000253871, 0.000247488, 0.000258377, 0.000629915, 0.000457822, 0.00155482, 0.000247631, 0.00024859, 0.000247847, 0.000247483, 0.00053437, 0.000247482, 0.000247482, 0.000267342
0.663509, 0, 0.00450806, 0.000399138, 1.41421, -0.00450806, 0.000399138, 0.000399203, 0.000891259, 0.000409429, 0.000399148, 0.000416689, 0.00108898, 0.00073797, 0.00250509, 0.000399378, 0.000400922, 0.000399655, 0.00039914, 0.000818861, 0.000399138, 0.000399138, 0.00043113
0.671375, 0, 0.00719239, 0.000629808, 1.41421, -0.00719239, 0.000629808, 0.000629909, 0.00140536, 0.000646025, 0.000629824, 0.000657466, 0.00184955, 0.00116378, 0.00394863, 0.000630185, 0.00063262, 0.000630537, 0.00062981, 0.00124596, 0.000629808, 0.000629808, 0.000680225
0.67924, 0, 0.0112786, 0.000972522, 1.41421, -0.0112786, 0.000972522, 0.000972678, 0.00216849, 0.000997531, 0.000972546, 0.00101517, 0.00308598, 0.00179596, 0.00609048, 0.000973104, 0.000976858, 0.000973546, 0.000972526, 0.00187627, 0.000972522, 0.000972522, 0.00105027
0.687105, 0, 0.0173788, 0.00146996, 1.41421, -0.0173788, 0.00146996, 0.0014702, 0.00327512, 0.00150771, 0.00147, 0.00153434, 0.00505782, 0.00271283, 0.00919482, 0.00147084, 0.00147651, 0.0014714, 0.00146997, 0.00278943, 0.00146996, 0.00146996, 0.00158732
0.69497, 0, 0.0263102, 0.00217541, 1.41421, -0.0263102, 0.00217541, 0.00217576, 0.00484289, 0.00223119, 0.00217547, 0.00227054, 0.0081417, 0.004012, 0.0135904, 0.00217671, 0.00218509, 0.00217741, 0.00217542, 0.00408712, 0.00217541, 0.00217541, 0.00234883
0.702835, 0, 0.0391371, 0.003153, 1.41421, -0.0391371, 0.003153, 0.0031535, 0.00701307, 0.00323372, 0.00315308, 0.00329066, 0.0128699, 0.00581069, 0.0196715, 0.00315488, 0.003167, 0.00315577, 0.00315301, 0.00589528, 0.003153, 0.003153, 0.00340395
