   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_23.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0321433, 46, 0, 0, 6.9282, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0242412, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0163391, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00843704, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00053495, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00736714, 0, 9.2247e-20, 0, 1.41421, -9.2247e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20924e-23, 0, 0, 2.20391e-24, 0, 9.22227e-20, 0, 0, 0
0.0152692, 0, 1.9571e-19, 0, 1.41421, -1.9571e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.68708e-23, 0, 0, 4.75967e-24, 0, 1.95658e-19, 0, 0, 0
0.0231713, 0, 4.10272e-19, 0, 1.41421, -4.10272e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.82565e-23, 0, 0, 1.01571e-23, 0, 4.10163e-19, 0, 0, 0
0.0310734, 0, 8.502e-19, 0, 1.41421, -8.502e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03615e-22, 0, 0, 2.14273e-23, 0, 8.49975e-19, 0, 0, 0
0.0389755, 0, 1.74235e-18, 0, 1.41421, -1.74235e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.17278e-22, 0, 0, 4.47049e-23, 0, 1.74189e-18, 0, 0, 0
0.0468776, 0, 3.53242e-18, 0, 1.41421, -3.53242e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.45983e-22, 0, 0, 9.22773e-23, 0, 3.53149e-18, 0, 0, 0
0.0547797, 0, 7.08762e-18, 0, 1.41421, -7.08762e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69742e-21, 0, 0, 1.88544e-22, 0, 7.08574e-18, 0, 0, 0
0.0626818, 0, 1.4352e-17, 0, 1.41421, -1.4352e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43718e-21, 0, 0, 3.90967e-22, 0, 1.43482e-17, 0, 0, 0
0.0705839, 0, 2.8168e-17, 0, 1.41421, -2.8168e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.74598e-21, 0, 0, 7.81286e-22, 0, 2.81605e-17, 0, 0, 0
0.078486, 0, 5.47643e-17, 0, 1.41421, -5.47643e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31155e-20, 0, 0, 1.54681e-21, 0, 5.47496e-17, 0, 0, 0
0.0863881, 0, 1.05494e-16, 0, 1.41421, -1.05494e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.52647e-20, 0, 0, 3.03471e-21, 0, 1.05465e-16, 0, 0, 0
0.0942902, 0, 2.01383e-16, 0, 1.41421, -2.01383e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.82294e-20, 0, 0, 5.90116e-21, 0, 2.01329e-16, 0, 0, 0
0.102192, 0, 3.81036e-16, 0, 1.41421, -3.81036e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.12542e-20, 0, 0, 1.13757e-20, 0, 3.80933e-16, 0, 0, 0
0.110094, 0, 7.14695e-16, 0, 1.41421, -7.14695e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71162e-19, 0, 0, 2.17425e-20, 0, 7.14503e-16, 0, 0, 0
0.117996, 0, 1.32909e-15, 0, 1.41421, -1.32909e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18302e-19, 0, 0, 4.12101e-20, 0, 1.32873e-15, 0, 0, 0
0.125899, 0, 2.45085e-15, 0, 1.41421, -2.45085e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.86952e-19, 0, 0, 7.74675e-20, 0, 2.45018e-15, 0, 0, 0
0.133801, 0, 4.48198e-15, 0, 1.41421, -4.48198e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07338e-18, 0, 0, 1.4445e-19, 0, 4.48076e-15, 0, 0, 0
0.141703, 0, 8.12944e-15, 0, 1.41421, -8.12944e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94691e-18, 0, 0, 2.67211e-19, 0, 8.12722e-15, 0, 0, 0
0.149605, 0, 1.46263e-14, 0, 1.41421, -1.46263e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50281e-18, 0, 0, 4.90426e-19, 0, 1.46223e-14, 0, 0, 0
0.157507, 0, 2.61055e-14, 0, 1.41421, -2.61055e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.25195e-18, 0, 0, 8.93159e-19, 0, 2.60984e-14, 0, 0, 0
0.165409, 0, 4.62271e-14, 0, 1.41421, -4.62271e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10708e-17, 0, 0, 1.61428e-18, 0, 4.62144e-14, 0, 0, 0
0.173311, 0, 8.12195e-14, 0, 1.41421, -8.12195e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9451e-17, 0, 0, 2.89578e-18, 0, 8.11972e-14, 0, 0, 0
0.181213, 0, 1.41599e-13, 0, 1.41421, -1.41599e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39112e-17, 0, 0, 5.15631e-18, 0, 1.4156e-13, 0, 0, 0
0.189115, 0, 2.44978e-13, 0, 1.41421, -2.44978e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.86692e-17, 0, 0, 9.1147e-18, 0, 2.4491e-13, 0, 0, 0
0.197017, 0, 4.20621e-13, 0, 1.41421, -4.20621e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00734e-16, 0, 0, 1.59965e-17, 0, 4.20504e-13, 0, 0, 0
0.204919, 0, 7.16766e-13, 0, 1.41421, -7.16766e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71658e-16, 0, 0, 2.78762e-17, 0, 7.16566e-13, 0, 0, 0
0.212822, 0, 1.21231e-12, 0, 1.41421, -1.21231e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.90339e-16, 0, 0, 4.82414e-17, 0, 1.21197e-12, 0, 0, 0
