   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_59.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0307409, 118, 0, 0, 10.9545, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.022855, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0149692, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00708336, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000802472, 0, 2.76336e-21, 0, 1.41421, -2.76336e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58615e-24, 0, 0, 2.94681e-27, 0, 2.76077e-21, 0, 0, 0
0.00868831, 0, 6.46653e-21, 0, 1.41421, -6.46653e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.05185e-24, 0, 0, 7.00001e-27, 0, 6.46047e-21, 0, 0, 0
0.0165741, 0, 1.48839e-20, 0, 1.41421, -1.48839e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39294e-23, 0, 0, 1.6356e-26, 0, 1.48699e-20, 0, 0, 0
0.02446, 0, 3.37282e-20, 0, 1.41421, -3.37282e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15653e-23, 0, 0, 3.7629e-26, 0, 3.36966e-20, 0, 0, 0
0.0323458, 0, 7.53137e-20, 0, 1.41421, -7.53137e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.0484e-23, 0, 0, 8.53131e-26, 0, 7.52431e-20, 0, 0, 0
0.0402317, 0, 1.65836e-19, 0, 1.41421, -1.65836e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55201e-22, 0, 0, 1.90758e-25, 0, 1.6568e-19, 0, 0, 0
