   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_89.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0296221, 178, 0, 0, 13.4164, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0217427, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0138632, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00598379, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00189565, 0, 2.68125e-22, 0, 1.41421, -2.68125e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12943e-24, 0, 0, 3.41234e-27, 2.23813e-26, 0, 2.6697e-22, 0, 0, 0
0.00977508, 0, 6.56326e-22, 0, 1.41421, -6.56326e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.76465e-24, 0, 0, 8.48953e-27, 5.59097e-26, 0, 6.53497e-22, 0, 0, 0
0.0176545, 0, 1.57748e-21, 0, 1.41421, -1.57748e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64482e-24, 0, 0, 2.07384e-26, 1.36998e-25, 0, 1.57068e-21, 0, 0, 0
0.025534, 0, 3.72701e-21, 0, 1.41421, -3.72701e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56993e-23, 0, 0, 4.97997e-26, 3.29721e-25, 0, 3.71093e-21, 0, 0, 0
0.0334134, 0, 8.66421e-21, 0, 1.41421, -8.66421e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64962e-23, 0, 0, 1.1767e-25, 7.80302e-25, 0, 8.62681e-21, 0, 0, 0
0.0412928, 0, 1.98353e-20, 0, 1.41421, -1.98353e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.35519e-23, 0, 0, 2.7382e-25, 1.81757e-24, 0, 1.97496e-20, 0, 0, 0
