   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_219.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.072036, 0, 2.67438e-19, 0, 1.41421, -2.67438e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22842e-21, 0, 0, 2.21709e-24, 0, 5.06892e-24, 0, 2.66202e-19, 0, 0, 0
0.0799065, 0, 5.90209e-19, 0, 1.41421, -5.90209e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71101e-21, 0, 0, 4.96761e-24, 0, 1.13873e-23, 0, 5.87482e-19, 0, 0, 0
0.0877771, 0, 1.28547e-18, 0, 1.41421, -1.28547e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90455e-21, 0, 0, 1.09858e-23, 0, 2.52399e-23, 0, 1.27953e-18, 0, 0, 0
0.0956477, 0, 2.76434e-18, 0, 1.41421, -2.76434e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26974e-20, 0, 0, 2.39908e-23, 0, 5.52266e-23, 0, 2.75156e-18, 0, 0, 0
0.103518, 0, 5.87191e-18, 0, 1.41421, -5.87191e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.69714e-20, 0, 0, 5.17584e-23, 0, 1.19349e-22, 0, 5.84477e-18, 0, 0, 0
0.111389, 0, 1.23251e-17, 0, 1.41421, -1.23251e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66126e-20, 0, 0, 1.1036e-22, 0, 2.54855e-22, 0, 1.22681e-17, 0, 0, 0
0.119259, 0, 2.55724e-17, 0, 1.41421, -2.55724e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17461e-19, 0, 0, 2.32645e-22, 0, 5.37958e-22, 0, 2.54541e-17, 0, 0, 0
0.12713, 0, 5.24641e-17, 0, 1.41421, -5.24641e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.40983e-19, 0, 0, 4.85036e-22, 0, 1.12292e-21, 0, 5.22215e-17, 0, 0, 0
0.135001, 0, 1.06461e-16, 0, 1.41421, -1.06461e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.89005e-19, 0, 0, 1.00043e-21, 0, 2.3187e-21, 0, 1.05968e-16, 0, 0, 0
0.142871, 0, 2.1373e-16, 0, 1.41421, -2.1373e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.81724e-19, 0, 0, 2.04201e-21, 0, 4.73779e-21, 0, 2.12742e-16, 0, 0, 0
0.150742, 0, 4.24619e-16, 0, 1.41421, -4.24619e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95039e-18, 0, 0, 4.12569e-21, 0, 9.58232e-21, 0, 4.22654e-16, 0, 0, 0
0.158612, 0, 8.34997e-16, 0, 1.41421, -8.34997e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83537e-18, 0, 0, 8.25298e-21, 0, 1.91889e-20, 0, 8.31135e-16, 0, 0, 0
0.166483, 0, 1.62559e-15, 0, 1.41421, -1.62559e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.46679e-18, 0, 0, 1.63491e-20, 0, 3.8056e-20, 0, 1.61807e-15, 0, 0, 0
0.174354, 0, 3.13375e-15, 0, 1.41421, -3.13375e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43941e-17, 0, 0, 3.20804e-20, 0, 7.47646e-20, 0, 3.11925e-15, 0, 0, 0
0.182224, 0, 5.98292e-15, 0, 1.41421, -5.98292e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7481e-17, 0, 0, 6.23625e-20, 0, 1.45534e-19, 0, 5.95523e-15, 0, 0, 0
0.190095, 0, 1.13143e-14, 0, 1.41421, -1.13143e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.19693e-17, 0, 0, 1.20123e-19, 0, 2.80748e-19, 0, 1.12619e-14, 0, 0, 0
0.197965, 0, 2.11969e-14, 0, 1.41421, -2.11969e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.73619e-17, 0, 0, 2.29303e-19, 0, 5.36834e-19, 0, 2.10987e-14, 0, 0, 0
0.205836, 0, 3.9346e-14, 0, 1.41421, -3.9346e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80724e-16, 0, 0, 4.33853e-19, 0, 1.01768e-18, 0, 3.91638e-14, 0, 0, 0
0.213706, 0, 7.23713e-14, 0, 1.41421, -7.23713e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32416e-16, 0, 0, 8.13775e-19, 0, 1.91296e-18, 0, 7.20362e-14, 0, 0, 0
