   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_62.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0299289, 124, 0, 0, 11.225, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0220452, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0141615, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00627783, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00160586, 0, 2.80753e-23, 0, 1.41421, -2.80753e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.23552e-25, 0, 0, 0, 2.74517e-23, 0, 0, 0
0.00948955, 0, 7.34046e-23, 0, 1.41421, -7.34046e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63032e-24, 0, 0, 0, 7.17743e-23, 0, 0, 0
0.0173732, 0, 1.87231e-22, 0, 1.41421, -1.87231e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1584e-24, 0, 0, 0, 1.83073e-22, 0, 0, 0
0.0252569, 0, 4.66969e-22, 0, 1.41421, -4.66969e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03714e-23, 0, 0, 0, 4.56597e-22, 0, 0, 0
0.0331406, 0, 1.22601e-21, 0, 1.41421, -1.22601e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72296e-23, 0, 0, 0, 1.19878e-21, 0, 0, 0
0.0410243, 0, 2.91488e-21, 0, 1.41421, -2.91488e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.47395e-23, 0, 0, 0, 2.85014e-21, 0, 0, 0
0.048908, 0, 6.81461e-21, 0, 1.41421, -6.81461e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51352e-22, 0, 0, 0, 6.66326e-21, 0, 0, 0
0.0567917, 0, 1.56801e-20, 0, 1.41421, -1.56801e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48254e-22, 0, 0, 0, 1.53318e-20, 0, 0, 0
