   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_231.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0284227, 462, 0, 0, 21.5407, 462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0205541, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0126855, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00481692, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00305167, 0, 2.48843e-24, 0, 1.41421, -2.48843e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9094e-26, 0, 0, 0, 2.43934e-24, 0, 0, 0
0.0109203, 0, 7.24444e-24, 0, 1.41421, -7.24444e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42925e-25, 0, 0, 0, 7.10152e-24, 0, 0, 0
0.0187888, 0, 2.04064e-23, 0, 1.41421, -2.04064e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02597e-25, 0, 0, 0, 2.00038e-23, 0, 0, 0
0.0266574, 0, 5.58272e-23, 0, 1.41421, -5.58272e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10141e-24, 0, 0, 0, 5.47258e-23, 0, 0, 0
0.034526, 0, 1.48771e-22, 0, 1.41421, -1.48771e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93509e-24, 0, 0, 0, 1.45836e-22, 0, 0, 0
0.0423946, 0, 3.87083e-22, 0, 1.41421, -3.87083e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.63672e-24, 0, 0, 0, 3.79446e-22, 0, 0, 0
0.0502632, 0, 9.85226e-22, 0, 1.41421, -9.85226e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94374e-23, 0, 0, 0, 9.65789e-22, 0, 0, 0
0.0581318, 0, 2.45701e-21, 0, 1.41421, -2.45701e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84742e-23, 0, 0, 0, 2.40854e-21, 0, 0, 0
