   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_231.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0660004, 0, 6.01997e-21, 0, 1.41421, -6.01997e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18767e-22, 0, 0, 0, 5.9012e-21, 0, 0, 0
0.073869, 0, 1.44836e-20, 0, 1.41421, -1.44836e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85746e-22, 0, 0, 0, 1.41979e-20, 0, 0, 0
0.0817376, 0, 3.59844e-20, 0, 1.41421, -3.59844e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.09933e-22, 0, 0, 0, 3.52745e-20, 0, 0, 0
0.0896062, 0, 8.32709e-20, 0, 1.41421, -8.32709e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64284e-21, 0, 0, 0, 8.16281e-20, 0, 0, 0
0.0974747, 0, 1.89866e-19, 0, 1.41421, -1.89866e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.74585e-21, 0, 0, 0, 1.8612e-19, 0, 0, 0
0.105343, 0, 4.26809e-19, 0, 1.41421, -4.26809e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.42049e-21, 0, 0, 0, 4.18389e-19, 0, 0, 0
0.113212, 0, 9.46413e-19, 0, 1.41421, -9.46413e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86717e-20, 0, 0, 0, 9.27741e-19, 0, 0, 0
0.121081, 0, 2.07105e-18, 0, 1.41421, -2.07105e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.08596e-20, 0, 0, 0, 2.03019e-18, 0, 0, 0
0.128949, 0, 4.4745e-18, 0, 1.41421, -4.4745e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.82771e-20, 0, 0, 0, 4.38623e-18, 0, 0, 0
0.136818, 0, 9.54787e-18, 0, 1.41421, -9.54787e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88369e-19, 0, 0, 0, 9.35951e-18, 0, 0, 0
0.144686, 0, 2.0129e-17, 0, 1.41421, -2.0129e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.97124e-19, 0, 0, 0, 1.97319e-17, 0, 0, 0
0.152555, 0, 4.194e-17, 0, 1.41421, -4.194e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.27431e-19, 0, 0, 0, 4.11126e-17, 0, 0, 0
0.160423, 0, 8.63868e-17, 0, 1.41421, -8.63868e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70432e-18, 0, 0, 0, 8.46825e-17, 0, 0, 0
0.168292, 0, 1.75951e-16, 0, 1.41421, -1.75951e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47131e-18, 0, 0, 0, 1.72479e-16, 0, 0, 0
0.176161, 0, 3.54457e-16, 0, 1.41421, -3.54457e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.99303e-18, 0, 0, 0, 3.47464e-16, 0, 0, 0
0.184029, 0, 7.06418e-16, 0, 1.41421, -7.06418e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39368e-17, 0, 0, 0, 6.92481e-16, 0, 0, 0
0.191898, 0, 1.39307e-15, 0, 1.41421, -1.39307e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.74837e-17, 0, 0, 0, 1.36559e-15, 0, 0, 0
0.199766, 0, 2.71883e-15, 0, 1.41421, -2.71883e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.36392e-17, 0, 0, 0, 2.66519e-15, 0, 0, 0
0.207635, 0, 5.25242e-15, 0, 1.41421, -5.25242e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03624e-16, 0, 0, 0, 5.1488e-15, 0, 0, 0
0.215504, 0, 1.00456e-14, 0, 1.41421, -1.00456e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98187e-16, 0, 0, 0, 9.84745e-15, 0, 0, 0
0.223372, 0, 1.90238e-14, 0, 1.41421, -1.90238e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75314e-16, 0, 0, 0, 1.86485e-14, 0, 0, 0
0.231241, 0, 3.56764e-14, 0, 1.41421, -3.56764e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.03845e-16, 0, 0, 0, 3.49726e-14, 0, 0, 0
0.239109, 0, 6.62641e-14, 0, 1.41421, -6.62641e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30729e-15, 0, 0, 0, 6.49568e-14, 0, 0, 0
0.246978, 0, 1.2191e-13, 0, 1.41421, -1.2191e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4051e-15, 0, 0, 0, 1.19505e-13, 0, 0, 0
0.254847, 0, 2.22182e-13, 0, 1.41421, -2.22182e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38332e-15, 0, 0, 0, 2.17799e-13, 0, 0, 0
0.262715, 0, 4.0117e-13, 0, 1.41421, -4.0117e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.91451e-15, 0, 0, 0, 3.93255e-13, 0, 0, 0
0.270584, 0, 7.17684e-13, 0, 1.41421, -7.17684e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4159e-14, 0, 0, 0, 7.03525e-13, 0, 0, 0
0.278452, 0, 1.27222e-12, 0, 1.41421, -1.27222e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.50995e-14, 0, 0, 0, 1.24712e-12, 0, 0, 0
0.286321, 0, 2.23482e-12, 0, 1.41421, -2.23482e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40915e-14, 0, 0, 0, 2.19073e-12, 0, 0, 0
0.294189, 0, 3.89052e-12, 0, 1.41421, -3.89052e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67596e-14, 0, 0, 0, 3.81376e-12, 0, 0, 0
0.302058, 0, 6.7125e-12, 0, 1.41421, -6.7125e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32443e-13, 0, 0, 0, 6.58006e-12, 0, 0, 0
0.309927, 0, 1.14789e-11, 0, 1.41421, -1.14789e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26502e-13, 0, 0, 0, 1.12524e-11, 0, 0, 0
0.317795, 0, 1.94571e-11, 0, 1.41421, -1.94571e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83961e-13, 0, 0, 0, 1.90731e-11, 0, 0, 0
0.325664, 0, 3.26922e-11, 0, 1.41421, -3.26922e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.45214e-13, 0, 0, 0, 3.2047e-11, 0, 0, 0
0.333532, 0, 5.44528e-11, 3.82554e-43, 1.41421, -5.44528e-11, 0, 3.82554e-43, 3.82554e-43, 3.82554e-43, 3.82554e-43, 3.82554e-43, 3.82554e-43, 3.82554e-43, 3.82554e-43, 3.82554e-43, 1.07485e-12, 3.82554e-43, 3.82554e-43, 3.82554e-43, 5.33779e-11, 3.82554e-43, 3.82554e-43, 3.82554e-43
0.341401, 0, 8.99145e-11, 6.60992e-42, 1.41421, -8.99145e-11, 0, 6.60992e-42, 6.60992e-42, 6.60992e-42, 6.60992e-42, 6.60992e-42, 6.60992e-42, 6.60992e-42, 6.60992e-42, 6.60992e-42, 1.77519e-12, 6.60992e-42, 6.60992e-42, 6.60992e-42, 8.81393e-11, 6.60992e-42, 6.60992e-42, 6.60992e-42
0.34927, 0, 1.47228e-10, 4.76107e-40, 1.41421, -1.47228e-10, 0, 4.76107e-40, 4.76107e-40, 4.76107e-40, 4.76107e-40, 4.76107e-40, 4.76107e-40, 4.76107e-40, 4.76107e-40, 4.76107e-40, 2.90758e-12, 4.76107e-40, 4.76107e-40, 4.76107e-40, 1.44321e-10, 4.76107e-40, 4.76107e-40, 4.76107e-40
0.357138, 0, 2.38956e-10, 5.42218e-39, 1.41421, -2.38956e-10, 0, 5.42218e-39, 5.42218e-39, 5.42218e-39, 5.42218e-39, 5.42218e-39, 5.42218e-39, 5.42218e-39, 5.42218e-39, 5.42218e-39, 4.7207e-12, 5.42218e-39, 5.42218e-39, 5.42218e-39, 2.34235e-10, 5.42218e-39, 5.42218e-39, 5.42218e-39
0.365007, 0, 3.84545e-10, 5.58219e-38, 1.41421, -3.84545e-10, 0, 5.58219e-38, 5.58219e-38, 5.58219e-38, 5.58219e-38, 5.58219e-38, 5.58219e-38, 5.58219e-38, 5.58219e-38, 5.58219e-38, 7.60017e-12, 5.58219e-38, 5.58219e-38, 5.58219e-38, 3.76945e-10, 5.58219e-38, 5.58219e-38, 5.58219e-38
0.372875, 0, 6.13622e-10, 5.22226e-37, 1.41421, -6.13622e-10, 0, 5.22226e-37, 5.22226e-37, 5.22226e-37, 5.22226e-37, 5.22226e-37, 5.22226e-37, 5.22226e-37, 5.22226e-37, 5.22226e-37, 1.21342e-11, 5.22226e-37, 5.22226e-37, 5.22226e-37, 6.01488e-10, 5.22226e-37, 5.22226e-37, 5.22226e-37
0.380744, 0, 9.70959e-10, 4.46756e-36, 1.41421, -9.70959e-10, 0, 4.46756e-36, 4.46756e-36, 4.46756e-36, 4.46756e-36, 4.46756e-36, 4.46756e-36, 4.46756e-36, 4.46756e-36, 4.46756e-36, 1.92135e-11, 4.46756e-36, 4.46756e-36, 4.46756e-36, 9.51745e-10, 4.46756e-36, 4.46756e-36, 4.46756e-36
0.388613, 0, 1.5236e-09, 3.50907e-35, 1.41421, -1.5236e-09, 0, 3.50907e-35, 3.50907e-35, 3.50907e-35, 3.50907e-35, 3.50907e-35, 3.50907e-35, 3.50907e-35, 3.50907e-35, 3.50907e-35, 3.01745e-11, 3.50907e-35, 3.50907e-35, 3.50907e-35, 1.49342e-09, 3.50907e-35, 3.50907e-35, 3.50907e-35
0.396481, 0, 2.371e-09, 2.54216e-34, 1.41421, -2.371e-09, 0, 2.54216e-34, 2.54216e-34, 2.54216e-34, 2.54216e-34, 2.54216e-34, 2.54216e-34, 2.54216e-34, 2.54216e-34, 2.54216e-34, 4.70057e-11, 2.54216e-34, 2.54216e-34, 2.54216e-34, 2.324e-09, 2.54216e-34, 2.54216e-34, 2.54216e-34
0.40435, 0, 3.65941e-09, 1.75682e-33, 1.41421, -3.65941e-09, 0, 1.75682e-33, 1.75682e-33, 1.75682e-33, 1.75682e-33, 1.75682e-33, 1.75682e-33, 1.75682e-33, 1.75682e-33, 1.75682e-33, 7.26403e-11, 1.75682e-33, 1.75682e-33, 1.75682e-33, 3.58677e-09, 1.75682e-33, 1.75682e-33, 1.75682e-33
0.412218, 0, 5.60186e-09, 1.05046e-32, 1.41421, -5.60186e-09, 0, 1.05046e-32, 1.05046e-32, 1.05046e-32, 1.05046e-32, 1.05046e-32, 1.05046e-32, 1.05046e-32, 1.05046e-32, 1.05046e-32, 1.11369e-10, 1.05046e-32, 1.05046e-32, 1.05046e-32, 5.49049e-09, 1.05046e-32, 1.05046e-32, 1.05046e-32
0.420087, 0, 8.50596e-09, 6.28657e-32, 1.41421, -8.50596e-09, 0, 6.28657e-32, 6.28657e-32, 6.28657e-32, 6.28657e-32, 6.28657e-32, 6.28657e-32, 6.28657e-32, 6.28657e-32, 6.28657e-32, 1.69418e-10, 6.28657e-32, 6.28657e-32, 6.28657e-32, 8.33654e-09, 6.28657e-32, 6.28657e-32, 6.28657e-32
0.427955, 0, 1.28118e-08, 3.38097e-31, 1.41421, -1.28118e-08, 0, 3.38097e-31, 3.38097e-31, 3.38097e-31, 3.38097e-31, 3.38097e-31, 3.38097e-31, 3.38097e-31, 3.38097e-31, 3.38097e-31, 2.55746e-10, 3.38097e-31, 3.38097e-31, 3.38097e-31, 1.25561e-08, 3.38097e-31, 3.38097e-31, 3.38097e-31
0.435824, 0, 1.91437e-08, 1.7698e-30, 1.41421, -1.91437e-08, 0, 1.7698e-30, 1.7698e-30, 1.7698e-30, 1.7698e-30, 1.7698e-30, 1.7698e-30, 1.7698e-30, 1.7698e-30, 1.7698e-30, 3.83152e-10, 1.7698e-30, 1.7698e-30, 1.7698e-30, 1.87605e-08, 1.7698e-30, 1.7698e-30, 1.7698e-30
0.443693, 0, 2.83789e-08, 8.83002e-30, 1.41421, -2.83789e-08, 0, 8.83002e-30, 8.83002e-30, 8.83002e-30, 8.83002e-30, 8.83002e-30, 8.83002e-30, 8.83002e-30, 8.83002e-30, 8.83002e-30, 5.69772e-10, 8.83002e-30, 8.83002e-30, 8.83002e-30, 2.78092e-08, 8.83002e-30, 8.83002e-30, 8.83002e-30
0.451561, 0, 4.17404e-08, 4.17675e-29, 1.41421, -4.17404e-08, 0, 4.17675e-29, 4.17675e-29, 4.17675e-29, 4.17675e-29, 4.17675e-29, 4.17675e-29, 4.17675e-29, 4.17675e-29, 4.17675e-29, 8.41123e-10, 4.17675e-29, 4.17675e-29, 4.17675e-29, 4.08993e-08, 4.17675e-29, 4.17675e-29, 4.17675e-29
0.45943, 0, 6.09171e-08, 1.90712e-28, 1.41421, -6.09171e-08, 0, 1.90712e-28, 1.90712e-28, 1.90712e-28, 1.90712e-28, 1.90712e-28, 1.90712e-28, 1.90712e-28, 1.90712e-28, 1.90712e-28, 1.23285e-09, 1.90712e-28, 1.90712e-28, 1.90712e-28, 5.96842e-08, 1.90712e-28, 1.90712e-28, 1.90712e-28
0.467298, 0, 8.82224e-08, 8.33305e-28, 1.41421, -8.82224e-08, 0, 8.33305e-28, 8.33305e-28, 8.33305e-28, 8.33305e-28, 8.33305e-28, 8.33305e-28, 8.33305e-28, 8.33305e-28, 8.33305e-28, 1.7944e-09, 8.33305e-28, 8.33305e-28, 8.33305e-28, 8.6428e-08, 8.33305e-28, 8.33305e-28, 8.33305e-28
0.475167, 0, 1.26798e-07, 3.47344e-27, 1.41421, -1.26798e-07, 0, 3.47344e-27, 3.47344e-27, 3.47344e-27, 3.47344e-27, 3.47344e-27, 3.47344e-27, 3.47344e-27, 3.47344e-27, 3.47344e-27, 2.59392e-09, 3.47344e-27, 3.47344e-27, 3.47344e-27, 1.24204e-07, 3.47344e-27, 3.47344e-27, 3.47344e-27
0.483036, 0, 1.80875e-07, 1.38225e-26, 1.41421, -1.80875e-07, 0, 1.38225e-26, 1.38225e-26, 1.38225e-26, 1.38225e-26, 1.38225e-26, 1.38225e-26, 1.38225e-26, 1.38225e-26, 1.38225e-26, 3.72468e-09, 1.38225e-26, 1.38225e-26, 1.38225e-26, 1.7715e-07, 1.38225e-26, 1.38225e-26, 1.38225e-26
0.490904, 0, 2.56105e-07, 5.25829e-26, 1.41421, -2.56105e-07, 0, 5.25829e-26, 5.25829e-26, 5.25829e-26, 5.25829e-26, 5.25829e-26, 2.92695e-12, 5.25829e-26, 5.25829e-26, 5.25829e-26, 5.31357e-09, 5.25829e-26, 5.25829e-26, 5.25829e-26, 2.50789e-07, 5.25829e-26, 5.25829e-26, 5.25829e-26
0.498773, 0, 3.59973e-07, 1.91558e-25, 1.41421, -3.59973e-07, 0, 1.91558e-25, 1.91558e-25, 1.91558e-25, 1.91558e-25, 1.91558e-25, 1.02634e-11, 1.91558e-25, 1.91558e-25, 1.91558e-25, 7.53209e-09, 1.91558e-25, 1.91558e-25, 1.91558e-25, 3.5243e-07, 1.91558e-25, 1.91558e-25, 1.91558e-25
0.506641, 0, 5.02313e-07, 6.74864e-25, 1.41421, -5.02313e-07, 0, 6.74864e-25, 6.74864e-25, 6.74864e-25, 6.74864e-25, 6.74864e-25, 2.80287e-11, 6.74864e-25, 6.74864e-25, 6.74864e-25, 1.06107e-08, 6.74864e-25, 6.74864e-25, 6.74864e-25, 4.91674e-07, 6.74864e-25, 6.74864e-25, 6.74864e-25
0.51451, 0, 6.9855e-07, 1.27684e-10, 1.41421, -6.9855e-07, 1.27684e-10, 1.27736e-10, 7.56491e-10, 1.44498e-10, 1.28297e-10, 1.53706e-10, 3.357e-10, 3.42789e-10, 1.3233e-10, 1.44678e-09, 1.49849e-08, 1.29758e-10, 1.30149e-10, 1.27685e-10, 6.81238e-07, 1.27684e-10, 1.27684e-10, 1.59241e-10
0.522379, 0, 9.66549e-07, 4.42724e-10, 1.41421, -9.66549e-07, 4.42724e-10, 4.42905e-10, 2.63505e-09, 5.01347e-10, 4.44863e-10, 5.3345e-10, 1.08999e-09, 1.19268e-09, 4.58924e-10, 5.04174e-09, 2.11227e-08, 4.49956e-10, 4.51322e-10, 4.42731e-10, 9.37387e-07, 4.42724e-10, 4.42724e-10, 5.52748e-10
0.530247, 0, 1.33304e-06, 1.19964e-09, 1.41421, -1.33304e-06, 1.19964e-09, 1.20013e-09, 7.15589e-09, 1.35891e-09, 1.20545e-09, 1.44612e-09, 2.8872e-09, 3.23717e-09, 1.24365e-09, 1.36945e-08, 2.98172e-08, 1.21928e-09, 1.22299e-09, 1.19965e-09, 1.28145e-06, 1.19964e-09, 1.19964e-09, 1.49856e-09
0.538116, 0, 1.83704e-06, 2.96941e-09, 1.41421, -1.83704e-06, 2.96941e-09, 2.97063e-09, 1.77325e-08, 3.36417e-09, 2.98381e-09, 3.58035e-09, 7.05516e-09, 8.01962e-09, 3.0785e-09, 3.39391e-08, 4.2345e-08, 3.01811e-09, 3.0273e-09, 2.96946e-09, 1.74082e-06, 2.96941e-09, 2.96941e-09, 3.71031e-09
0.545984, 0, 2.53903e-06, 7.00039e-09, 1.41421, -2.53903e-06, 7.00039e-09, 7.00327e-09, 4.18236e-08, 7.93156e-09, 7.03436e-09, 8.44148e-09, 1.64702e-08, 1.89128e-08, 7.25771e-09, 8.00516e-08, 6.08737e-08, 7.11525e-09, 7.13695e-09, 7.0005e-09, 2.35124e-06, 7.00039e-09, 7.00039e-09, 8.74802e-09
0.553853, 0, 3.53925e-06, 1.59446e-08, 1.41421, -3.53925e-06, 1.59446e-08, 1.59512e-08, 9.52807e-08, 1.80661e-08, 1.6022e-08, 1.92278e-08, 3.86278e-08, 4.30842e-08, 1.65309e-08, 1.82374e-07, 8.92447e-08, 1.62063e-08, 1.62558e-08, 1.59449e-08, 3.15974e-06, 1.59446e-08, 1.59446e-08, 1.99262e-08
0.561722, 0, 5.00892e-06, 3.52842e-08, 1.41421, -5.00892e-06, 3.52842e-08, 3.52987e-08, 2.10878e-07, 3.99796e-08, 3.54555e-08, 4.25508e-08, 8.80893e-08, 9.53519e-08, 3.65818e-08, 4.0364e-07, 1.34469e-07, 3.58634e-08, 3.59728e-08, 3.52848e-08, 4.22938e-06, 3.52842e-08, 3.52842e-08, 4.40965e-08
0.56959, 0, 7.27955e-06, 7.60436e-08, 1.41421, -7.27955e-06, 7.60436e-08, 7.60749e-08, 4.54535e-07, 8.61645e-08, 7.64128e-08, 9.17068e-08, 2.22321e-07, 2.05519e-07, 7.88405e-08, 8.70035e-07, 2.09527e-07, 7.72921e-08, 7.75279e-08, 7.60448e-08, 5.64712e-06, 7.60436e-08, 7.60436e-08, 9.50386e-08
0.577459, 0, 1.09113e-05, 1.59788e-07, 1.41421, -1.09113e-05, 1.59788e-07, 1.59854e-07, 9.55228e-07, 1.81058e-07, 1.60564e-07, 1.92706e-07, 5.12551e-07, 4.31896e-07, 1.65666e-07, 1.82844e-06, 3.38467e-07, 1.62412e-07, 1.62908e-07, 1.59791e-07, 7.53704e-06, 1.59788e-07, 1.59788e-07, 1.99708e-07
0.585327, 0, 1.6949e-05, 3.27556e-07, 1.41421, -1.6949e-05, 3.27556e-07, 3.2769e-07, 1.95842e-06, 3.71165e-07, 3.29147e-07, 3.95046e-07, 1.12733e-06, 8.85449e-07, 3.39607e-07, 3.74875e-06, 5.65469e-07, 3.32935e-07, 3.33951e-07, 3.27561e-07, 1.00828e-05, 3.27556e-07, 3.27556e-07, 4.09402e-07
0.593196, 0, 2.7289e-05, 6.55298e-07, 1.41421, -2.7289e-05, 6.55298e-07, 6.55568e-07, 3.91851e-06, 7.42556e-07, 6.58481e-07, 7.9034e-07, 2.4014e-06, 1.77159e-06, 6.79412e-07, 7.50079e-06, 9.70439e-07, 6.66062e-07, 6.68095e-07, 6.55308e-07, 1.35656e-05, 6.55298e-07, 6.55298e-07, 8.19065e-07
0.601064, 0, 4.53268e-05, 1.27974e-06, 1.41421, -4.53268e-05, 1.27974e-06, 1.28026e-06, 7.65352e-06, 1.45017e-06, 1.28595e-06, 1.5435e-06, 4.98521e-06, 3.46011e-06, 1.32684e-06, 1.46505e-05, 1.69506e-06, 1.30076e-06, 1.30473e-06, 1.27976e-06, 1.84271e-05, 1.27974e-06, 1.27974e-06, 1.59961e-06
0.608933, 0, 7.70456e-05, 2.4402e-06, 1.41421, -7.70456e-05, 2.4402e-06, 2.44121e-06, 1.45955e-05, 2.76523e-06, 2.45206e-06, 2.94323e-06, 1.01283e-05, 6.59835e-06, 2.53002e-06, 2.79394e-05, 2.9849e-06, 2.4803e-06, 2.48787e-06, 2.44024e-06, 2.53715e-05, 2.4402e-06, 2.4402e-06, 3.05023e-06
0.616802, 0, 0.000132811, 4.5441e-06, 1.41421, -0.000132811, 4.5441e-06, 4.54597e-06, 2.71825e-05, 5.14945e-06, 4.56618e-06, 5.48095e-06, 2.02102e-05, 1.22883e-05, 4.71138e-06, 5.20344e-05, 5.25515e-06, 4.61877e-06, 4.63288e-06, 4.54417e-06, 3.55279e-05, 4.5441e-06, 4.5441e-06, 5.68023e-06
0.62467, 0, 0.00023014, 8.26525e-06, 1.41421, -0.00023014, 8.26525e-06, 8.26866e-06, 4.94467e-05, 9.36644e-06, 8.30542e-06, 9.96947e-06, 3.96095e-05, 2.23528e-05, 8.56956e-06, 9.46548e-05, 9.1894e-06, 8.40109e-06, 8.42675e-06, 8.26538e-06, 5.06956e-05, 8.26525e-06, 8.26525e-06, 1.0332e-05
0.632539, 0, 0.000398017, 1.46875e-05, 1.41421, -0.000398017, 1.46875e-05, 1.46935e-05, 8.78734e-05, 1.66445e-05, 1.47589e-05, 1.77161e-05, 7.62469e-05, 3.97232e-05, 1.52283e-05, 0.000168215, 1.58838e-05, 1.49289e-05, 1.49745e-05, 1.46877e-05, 7.37062e-05, 1.46875e-05, 1.46875e-05, 1.83604e-05
0.640407, 0, 0.000683326, 2.5504e-05, 1.41421, -0.000683326, 2.5504e-05, 2.55145e-05, 0.000152593, 2.89024e-05, 2.5628e-05, 3.07634e-05, 0.000144146, 6.8979e-05, 2.64431e-05, 0.000292108, 2.70469e-05, 2.59232e-05, 2.60024e-05, 2.55044e-05, 0.000108946, 2.5504e-05, 2.5504e-05, 3.18821e-05
0.648276, 0, 0.0011602, 4.32842e-05, 1.41421, -0.0011602, 4.32842e-05, 4.3302e-05, 0.000258973, 4.90517e-05, 4.34946e-05, 5.22101e-05, 0.000267597, 0.000117068, 4.4878e-05, 0.000495751, 4.52675e-05, 4.39956e-05, 4.413e-05, 4.32848e-05, 0.000163066, 4.32842e-05, 4.32842e-05, 5.41087e-05
0.656145, 0, 0.0019432, 7.18129e-05, 1.41421, -0.0019432, 7.18129e-05, 7.18425e-05, 0.000429643, 8.13813e-05, 7.2162e-05, 8.66211e-05, 0.000487721, 0.000194221, 7.44571e-05, 0.00082246, 7.43549e-05, 7.29932e-05, 7.32162e-05, 7.1814e-05, 0.000245921, 7.18129e-05, 7.18129e-05, 8.9771e-05
0.664013, 0, 0.00320538, 0.0001165, 1.41421, -0.00320538, 0.0001165, 0.000116548, 0.000696928, 0.000132021, 0.000117066, 0.00014052, 0.000872524, 0.000315055, 0.000120789, 0.00133411, 0.000119749, 0.000118415, 0.000118776, 0.000116502, 0.000371751, 0.0001165, 0.0001165, 0.000145629
0.671882, 0, 0.00520224, 0.000184842, 1.41421, -0.00520224, 0.000184842, 0.000184919, 0.00110559, 0.000209463, 0.000185741, 0.000222946, 0.00153176, 0.000499814, 0.000191646, 0.00211636, 0.000188985, 0.000187879, 0.000188453, 0.000184845, 0.000560582, 0.000184842, 0.000184842, 0.000231051
0.67975, 0, 0.00830239, 0.000286903, 1.41421, -0.00830239, 0.000286903, 0.000287022, 0.00171564, 0.000325108, 0.000288297, 0.000346029, 0.00263813, 0.000775648, 0.000297461, 0.00328407, 0.000292172, 0.000291616, 0.000292507, 0.000286908, 0.000839827, 0.000286903, 0.000286903, 0.000358607
0.687619, 0, 0.0130254, 0.000435755, 1.41421, -0.0130254, 0.000435755, 0.000435935, 0.00260491, 0.000493758, 0.000437871, 0.000525522, 0.00445634, 0.00117778, 0.000451784, 0.00498615, 0.000442436, 0.00044291, 0.000444263, 0.000435762, 0.00124595, 0.000435755, 0.000435755, 0.000544619
