   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0277806, 282, 0, 0, 16.8523, 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0199096, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0120387, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00416772, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00370323, 0, 1.30436e-21, 0, 1.41421, -1.30436e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.40905e-25, 0, 8.55367e-27, 0, 1.30351e-21, 0, 0, 0
0.0115742, 0, 3.10854e-21, 0, 1.41421, -3.10854e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00404e-24, 0, 2.05886e-26, 0, 3.10651e-21, 0, 0, 0
0.0194451, 0, 7.28381e-21, 0, 1.41421, -7.28381e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69578e-24, 0, 4.87349e-26, 0, 7.27907e-21, 0, 0, 0
0.0273161, 0, 1.67967e-20, 0, 1.41421, -1.67967e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08286e-23, 0, 1.13557e-25, 0, 1.67858e-20, 0, 0, 0
0.035187, 0, 3.8152e-20, 0, 1.41421, -3.8152e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45962e-23, 0, 2.60681e-25, 0, 3.81272e-20, 0, 0, 0
0.043058, 0, 8.54196e-20, 0, 1.41421, -8.54196e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.5069e-23, 0, 5.90001e-25, 0, 8.5364e-20, 0, 0, 0
