   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_192.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0292504, 384, 0, 0, 19.6469, 384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0213796, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0135088, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00563804, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00223276, 0, 4.1931e-23, 0, 1.41421, -4.1931e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62463e-25, 0, 0, 7.1879e-27, 0, 4.17613e-23, 0, 0, 0
0.0101036, 0, 1.09908e-22, 0, 1.41421, -1.09908e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25842e-25, 0, 0, 1.93367e-26, 0, 1.09463e-22, 0, 0, 0
0.0179744, 0, 2.81427e-22, 0, 1.41421, -2.81427e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09039e-24, 0, 0, 5.07145e-26, 0, 2.80286e-22, 0, 0, 0
0.0258451, 0, 7.05293e-22, 0, 1.41421, -7.05293e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73265e-24, 0, 0, 1.29973e-25, 0, 7.0243e-22, 0, 0, 0
0.0337159, 0, 1.73272e-21, 0, 1.41421, -1.73272e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71338e-24, 0, 0, 3.2611e-25, 0, 1.72568e-21, 0, 0, 0
0.0415867, 0, 4.17849e-21, 0, 1.41421, -4.17849e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61894e-23, 0, 0, 8.02348e-25, 0, 4.1615e-21, 0, 0, 0
0.0494575, 0, 9.90233e-21, 0, 1.41421, -9.90233e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.83661e-23, 0, 0, 1.93833e-24, 0, 9.86203e-21, 0, 0, 0
0.0573283, 0, 2.30837e-20, 0, 1.41421, -2.30837e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.94364e-23, 0, 0, 4.60312e-24, 0, 2.29897e-20, 0, 0, 0
0.0651991, 0, 5.30086e-20, 0, 1.41421, -5.30086e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05378e-22, 0, 0, 1.07673e-23, 0, 5.27924e-20, 0, 0, 0
0.0730699, 0, 1.24892e-19, 0, 1.41421, -1.24892e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.83883e-22, 0, 0, 2.60191e-23, 0, 1.24382e-19, 0, 0, 0
0.0809407, 0, 2.77288e-19, 0, 1.41421, -2.77288e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07432e-21, 0, 0, 5.87606e-23, 0, 2.76154e-19, 0, 0, 0
0.0888115, 0, 6.0756e-19, 0, 1.41421, -6.0756e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35392e-21, 0, 0, 1.30934e-22, 0, 6.05075e-19, 0, 0, 0
0.0966823, 0, 1.31437e-18, 0, 1.41421, -1.31437e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.09234e-21, 0, 0, 2.88024e-22, 0, 1.30899e-18, 0, 0, 0
0.104553, 0, 2.80863e-18, 0, 1.41421, -2.80863e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08816e-20, 0, 0, 6.25778e-22, 0, 2.79712e-18, 0, 0, 0
0.112424, 0, 5.93035e-18, 0, 1.41421, -5.93035e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29761e-20, 0, 0, 1.34343e-21, 0, 5.90603e-18, 0, 0, 0
0.120295, 0, 1.23772e-17, 0, 1.41421, -1.23772e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79532e-20, 0, 0, 2.8509e-21, 0, 1.23264e-17, 0, 0, 0
0.128165, 0, 2.55417e-17, 0, 1.41421, -2.55417e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.89561e-20, 0, 0, 5.98237e-21, 0, 2.54367e-17, 0, 0, 0
0.136036, 0, 5.21292e-17, 0, 1.41421, -5.21292e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01964e-19, 0, 0, 1.24174e-20, 0, 5.19149e-17, 0, 0, 0
0.143907, 0, 1.05251e-16, 0, 1.41421, -1.05251e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.07772e-19, 0, 0, 2.55028e-20, 0, 1.04818e-16, 0, 0, 0
0.151778, 0, 2.10274e-16, 0, 1.41421, -2.10274e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.14654e-19, 0, 0, 5.18394e-20, 0, 2.09408e-16, 0, 0, 0
0.159649, 0, 4.15765e-16, 0, 1.41421, -4.15765e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61077e-18, 0, 0, 1.04319e-19, 0, 4.1405e-16, 0, 0, 0
0.167519, 0, 8.13759e-16, 0, 1.41421, -8.13759e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15267e-18, 0, 0, 2.07873e-19, 0, 8.10399e-16, 0, 0, 0
0.17539, 0, 1.57692e-15, 0, 1.41421, -1.57692e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.10928e-18, 0, 0, 4.10269e-19, 0, 1.5704e-15, 0, 0, 0
0.183261, 0, 3.02594e-15, 0, 1.41421, -3.02594e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1723e-17, 0, 0, 8.02172e-19, 0, 3.01341e-15, 0, 0, 0
0.191132, 0, 5.75061e-15, 0, 1.41421, -5.75061e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22786e-17, 0, 0, 1.55412e-18, 0, 5.72677e-15, 0, 0, 0
0.199003, 0, 1.08251e-14, 0, 1.41421, -1.08251e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19375e-17, 0, 0, 2.98404e-18, 0, 1.07802e-14, 0, 0, 0
0.206873, 0, 2.0187e-14, 0, 1.41421, -2.0187e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.8206e-17, 0, 0, 5.67947e-18, 0, 2.01031e-14, 0, 0, 0
0.214744, 0, 3.72982e-14, 0, 1.41421, -3.72982e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44495e-16, 0, 0, 1.0717e-17, 0, 3.7143e-14, 0, 0, 0
0.222615, 0, 6.82854e-14, 0, 1.41421, -6.82854e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64539e-16, 0, 0, 2.00527e-17, 0, 6.80008e-14, 0, 0, 0
0.230486, 0, 1.2389e-13, 0, 1.41421, -1.2389e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.7995e-16, 0, 0, 3.72117e-17, 0, 1.23373e-13, 0, 0, 0
0.238357, 0, 2.22771e-13, 0, 1.41421, -2.22771e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.63006e-16, 0, 0, 6.84947e-17, 0, 2.21839e-13, 0, 0, 0
0.246227, 0, 3.97035e-13, 0, 1.41421, -3.97035e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53809e-15, 0, 0, 1.25076e-16, 0, 3.95372e-13, 0, 0, 0
0.254098, 0, 7.01431e-13, 0, 1.41421, -7.01431e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71731e-15, 0, 0, 2.26618e-16, 0, 6.98487e-13, 0, 0, 0
0.261969, 0, 1.22846e-12, 0, 1.41421, -1.22846e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.759e-15, 0, 0, 4.07488e-16, 0, 1.22329e-12, 0, 0, 0
0.26984, 0, 2.13297e-12, 0, 1.41421, -2.13297e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.26314e-15, 0, 0, 7.27259e-16, 0, 2.12398e-12, 0, 0, 0
0.277711, 0, 3.67188e-12, 0, 1.41421, -3.67188e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42251e-14, 0, 0, 1.28851e-15, 0, 3.65636e-12, 0, 0, 0
0.285581, 0, 6.26751e-12, 0, 1.41421, -6.26751e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42816e-14, 0, 0, 2.26667e-15, 0, 6.24096e-12, 0, 0, 0
0.293452, 0, 1.0608e-11, 0, 1.41421, -1.0608e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10993e-14, 0, 0, 3.95978e-15, 0, 1.05629e-11, 0, 0, 0
0.301323, 0, 1.78042e-11, 0, 1.41421, -1.78042e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.89848e-14, 0, 0, 6.87113e-15, 0, 1.77284e-11, 0, 0, 0
0.309194, 0, 2.9634e-11, 0, 1.41421, -2.9634e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14832e-13, 0, 0, 1.18456e-14, 0, 2.95073e-11, 0, 0, 0
0.317065, 0, 4.89164e-11, 0, 1.41421, -4.89164e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89575e-13, 0, 0, 2.0294e-14, 0, 4.87065e-11, 0, 0, 0
0.324935, 0, 8.00826e-11, 2.35418e-43, 1.41421, -8.00826e-11, 0, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 2.35418e-43, 3.10411e-13, 2.35418e-43, 2.35418e-43, 3.45606e-14, 2.35418e-43, 7.97376e-11, 2.35418e-43, 2.35418e-43, 2.35418e-43
0.332806, 0, 1.30035e-10, 4.09319e-42, 1.41421, -1.30035e-10, 0, 4.09319e-42, 4.09319e-42, 4.09319e-42, 4.09319e-42, 4.09319e-42, 4.09319e-42, 4.09319e-42, 4.09319e-42, 4.09319e-42, 5.04144e-13, 4.09319e-42, 4.09319e-42, 5.85235e-14, 4.09319e-42, 1.29472e-10, 4.09319e-42, 4.09319e-42, 4.09319e-42
0.340677, 0, 2.09432e-10, 5.91474e-41, 1.41421, -2.09432e-10, 0, 5.91474e-41, 5.91474e-41, 5.91474e-41, 5.91474e-41, 5.91474e-41, 5.91474e-41, 5.91474e-41, 5.91474e-41, 5.91474e-41, 8.12195e-13, 5.91474e-41, 5.91474e-41, 9.85746e-14, 5.91474e-41, 2.08522e-10, 5.91474e-41, 5.91474e-41, 5.91474e-41
0.348548, 0, 3.34584e-10, 7.56523e-40, 1.41421, -3.34584e-10, 0, 7.56523e-40, 7.56523e-40, 7.56523e-40, 7.56523e-40, 7.56523e-40, 7.56523e-40, 7.56523e-40, 7.56523e-40, 7.56523e-40, 1.29801e-12, 7.56523e-40, 7.56523e-40, 1.65214e-13, 7.56523e-40, 3.33121e-10, 7.56523e-40, 7.56523e-40, 7.56523e-40
0.356419, 0, 5.30309e-10, 3.65277e-38, 1.41421, -5.30309e-10, 0, 3.65277e-38, 3.65277e-38, 3.65277e-38, 3.65277e-38, 3.65277e-38, 3.65277e-38, 3.65277e-38, 3.65277e-38, 3.65277e-38, 2.05831e-12, 3.65277e-38, 3.65277e-38, 2.76124e-13, 3.65277e-38, 5.27974e-10, 3.65277e-38, 3.65277e-38, 3.65277e-38
0.364289, 0, 8.33686e-10, 3.44003e-37, 1.41421, -8.33686e-10, 0, 3.44003e-37, 3.44003e-37, 3.44003e-37, 3.44003e-37, 3.44003e-37, 3.44003e-37, 3.44003e-37, 3.44003e-37, 3.44003e-37, 3.23766e-12, 3.44003e-37, 3.44003e-37, 4.58805e-13, 3.44003e-37, 8.29989e-10, 3.44003e-37, 3.44003e-37, 3.44003e-37
0.37216, 0, 1.30023e-09, 2.95952e-36, 1.41421, -1.30023e-09, 0, 2.95952e-36, 2.95952e-36, 2.95952e-36, 2.95952e-36, 2.95952e-36, 2.95952e-36, 2.95952e-36, 2.95952e-36, 2.95952e-36, 5.05307e-12, 2.95952e-36, 2.95952e-36, 7.59558e-13, 2.95952e-36, 1.29441e-09, 2.95952e-36, 2.95952e-36, 2.95952e-36
0.380031, 0, 2.01187e-09, 2.33658e-35, 1.41421, -2.01187e-09, 0, 2.33658e-35, 2.33658e-35, 2.33658e-35, 2.33658e-35, 2.33658e-35, 2.33658e-35, 2.33658e-35, 2.33658e-35, 2.33658e-35, 7.82554e-12, 2.33658e-35, 2.33658e-35, 1.25344e-12, 2.33658e-35, 2.00279e-09, 2.33658e-35, 2.33658e-35, 2.33658e-35
0.387902, 0, 3.08864e-09, 1.7005e-34, 1.41421, -3.08864e-09, 0, 1.7005e-34, 1.7005e-34, 1.7005e-34, 1.7005e-34, 1.7005e-34, 1.7005e-34, 1.7005e-34, 1.7005e-34, 1.7005e-34, 1.20266e-11, 1.7005e-34, 1.7005e-34, 2.06282e-12, 1.7005e-34, 3.07455e-09, 1.7005e-34, 1.7005e-34, 1.7005e-34
0.395773, 0, 4.70482e-09, 1.17497e-33, 1.41421, -4.70482e-09, 0, 1.17497e-33, 1.17497e-33, 1.17497e-33, 1.17497e-33, 1.17497e-33, 1.17497e-33, 1.17497e-33, 1.17497e-33, 1.17497e-33, 1.83434e-11, 1.17497e-33, 1.17497e-33, 3.38708e-12, 1.17497e-33, 4.68309e-09, 1.17497e-33, 1.17497e-33, 1.17497e-33
0.403643, 0, 7.11134e-09, 7.33098e-33, 1.41421, -7.11134e-09, 0, 7.33098e-33, 7.33098e-33, 7.33098e-33, 7.33098e-33, 7.33098e-33, 7.33098e-33, 7.33098e-33, 7.33098e-33, 7.33098e-33, 2.77694e-11, 7.33098e-33, 7.33098e-33, 5.55111e-12, 7.33098e-33, 7.07802e-09, 7.33098e-33, 7.33098e-33, 7.33098e-33
0.411514, 0, 1.06664e-08, 4.50214e-32, 1.41421, -1.06664e-08, 0, 4.50214e-32, 4.50214e-32, 4.50214e-32, 4.50214e-32, 4.50214e-32, 4.50214e-32, 4.50214e-32, 4.50214e-32, 4.50214e-32, 4.17298e-11, 4.50214e-32, 4.50214e-32, 9.08406e-12, 4.50214e-32, 1.06156e-08, 4.50214e-32, 4.50214e-32, 4.50214e-32
0.419385, 0, 1.5877e-08, 2.50641e-31, 1.41421, -1.5877e-08, 0, 2.50641e-31, 2.50641e-31, 2.50641e-31, 2.50641e-31, 2.50641e-31, 2.50641e-31, 2.50641e-31, 2.50641e-31, 2.50641e-31, 6.22537e-11, 2.50641e-31, 2.50641e-31, 1.48473e-11, 2.50641e-31, 1.57999e-08, 2.50641e-31, 2.50641e-31, 2.50641e-31
