   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_30.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0309886, 60, 0, 0, 7.87401, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.023093, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0151973, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00730173, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000593895, 0, 1.27887e-19, 0, 1.41421, -1.27887e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.30106e-22, 0, 0, 0, 1.27156e-19, 0, 0, 0
0.00848952, 0, 2.63493e-19, 0, 1.41421, -2.63493e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50428e-21, 0, 0, 0, 2.61988e-19, 0, 0, 0
0.0163851, 0, 5.37056e-19, 0, 1.41421, -5.37056e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06606e-21, 0, 0, 0, 5.3399e-19, 0, 0, 0
0.0242808, 0, 1.08326e-18, 0, 1.41421, -1.08326e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18437e-21, 0, 0, 0, 1.07708e-18, 0, 0, 0
0.0321764, 0, 2.16297e-18, 0, 1.41421, -2.16297e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23484e-20, 0, 0, 0, 2.15062e-18, 0, 0, 0
0.040072, 0, 4.27659e-18, 0, 1.41421, -4.27659e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44151e-20, 0, 0, 0, 4.25217e-18, 0, 0, 0
0.0479676, 0, 8.37507e-18, 0, 1.41421, -8.37507e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.78134e-20, 0, 0, 0, 8.32726e-18, 0, 0, 0
0.0558632, 0, 1.62491e-17, 0, 1.41421, -1.62491e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.27664e-20, 0, 0, 0, 1.61563e-17, 0, 0, 0
0.0637589, 0, 3.12403e-17, 0, 1.41421, -3.12403e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78351e-19, 0, 0, 0, 3.1062e-17, 0, 0, 0
0.0716545, 0, 5.95296e-17, 0, 1.41421, -5.95296e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39855e-19, 0, 0, 0, 5.91898e-17, 0, 0, 0
0.0795501, 0, 1.12451e-16, 0, 1.41421, -1.12451e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.41986e-19, 0, 0, 0, 1.11809e-16, 0, 0, 0
0.0874457, 0, 2.10612e-16, 0, 1.41421, -2.10612e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20238e-18, 0, 0, 0, 2.09409e-16, 0, 0, 0
0.0953413, 0, 3.9116e-16, 0, 1.41421, -3.9116e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23314e-18, 0, 0, 0, 3.88927e-16, 0, 0, 0
0.103237, 0, 7.20514e-16, 0, 1.41421, -7.20514e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11342e-18, 0, 0, 0, 7.16401e-16, 0, 0, 0
0.111133, 0, 1.32626e-15, 0, 1.41421, -1.32626e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57161e-18, 0, 0, 0, 1.31869e-15, 0, 0, 0
0.119028, 0, 2.40188e-15, 0, 1.41421, -2.40188e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37123e-17, 0, 0, 0, 2.38817e-15, 0, 0, 0
0.126924, 0, 4.31605e-15, 0, 1.41421, -4.31605e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46403e-17, 0, 0, 0, 4.29141e-15, 0, 0, 0
0.134819, 0, 7.69623e-15, 0, 1.41421, -7.69623e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39377e-17, 0, 0, 0, 7.65229e-15, 0, 0, 0
0.142715, 0, 1.36196e-14, 0, 1.41421, -1.36196e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.77539e-17, 0, 0, 0, 1.35418e-14, 0, 0, 0
0.150611, 0, 2.39209e-14, 0, 1.41421, -2.39209e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36564e-16, 0, 0, 0, 2.37843e-14, 0, 0, 0
0.158506, 0, 4.17018e-14, 0, 1.41421, -4.17018e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38075e-16, 0, 0, 0, 4.14638e-14, 0, 0, 0
0.166402, 0, 7.21652e-14, 0, 1.41421, -7.21652e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1199e-16, 0, 0, 0, 7.17532e-14, 0, 0, 0
0.174298, 0, 1.23972e-13, 0, 1.41421, -1.23972e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.07754e-16, 0, 0, 0, 1.23264e-13, 0, 0, 0
