   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_84.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.207144, 0, 2.85546e-13, 0, 1.41421, -2.85546e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06066e-15, 0, 4.30072e-18, 0, 2.84481e-13, 0, 0, 0
0.215024, 0, 4.96601e-13, 0, 1.41421, -4.96601e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84463e-15, 0, 7.64622e-18, 0, 4.94749e-13, 0, 0, 0
0.222903, 0, 8.56833e-13, 0, 1.41421, -8.56833e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18273e-15, 0, 1.34937e-17, 0, 8.53636e-13, 0, 0, 0
0.230782, 0, 1.46679e-12, 0, 1.41421, -1.46679e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.44849e-15, 0, 2.364e-17, 0, 1.46132e-12, 0, 0, 0
0.238661, 0, 2.49142e-12, 0, 1.41421, -2.49142e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.25473e-15, 0, 4.11206e-17, 0, 2.48213e-12, 0, 0, 0
0.24654, 0, 4.19916e-12, 0, 1.41421, -4.19916e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55987e-14, 0, 7.10282e-17, 0, 4.18349e-12, 0, 0, 0
0.25442, 0, 7.02319e-12, 0, 1.41421, -7.02319e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60901e-14, 0, 1.21853e-16, 0, 6.99698e-12, 0, 0, 0
0.262299, 0, 1.16569e-11, 0, 1.41421, -1.16569e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33057e-14, 0, 2.0766e-16, 0, 1.16134e-11, 0, 0, 0
0.270178, 0, 1.92014e-11, 0, 1.41421, -1.92014e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.13383e-14, 0, 3.51625e-16, 0, 1.91298e-11, 0, 0, 0
0.278057, 0, 3.13908e-11, 0, 1.41421, -3.13908e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16635e-13, 0, 5.91713e-16, 0, 3.12736e-11, 0, 0, 0
0.285937, 0, 5.09341e-11, 0, 1.41421, -5.09341e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8927e-13, 0, 9.89817e-16, 0, 5.07439e-11, 0, 0, 0
0.293816, 0, 8.20298e-11, 0, 1.41421, -8.20298e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04864e-13, 0, 1.64641e-15, 0, 8.17233e-11, 0, 0, 0
0.301695, 0, 1.31132e-10, 0, 1.41421, -1.31132e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87441e-13, 0, 2.72395e-15, 0, 1.30642e-10, 0, 0, 0
0.309574, 0, 2.08082e-10, 2.98477e-43, 1.41421, -2.08082e-10, 0, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 2.98477e-43, 7.73657e-13, 2.98477e-43, 4.48423e-15, 2.98477e-43, 2.07304e-10, 2.98477e-43, 2.98477e-43, 2.98477e-43
0.317454, 0, 3.27769e-10, 5.12595e-42, 1.41421, -3.27769e-10, 0, 5.12595e-42, 5.12595e-42, 5.12595e-42, 5.12595e-42, 5.12595e-42, 5.12595e-42, 5.12595e-42, 5.12595e-42, 1.21901e-12, 5.12595e-42, 7.34811e-15, 5.12595e-42, 3.26543e-10, 5.12595e-42, 5.12595e-42, 5.12595e-42
0.325333, 0, 5.12539e-10, 7.31338e-41, 1.41421, -5.12539e-10, 0, 7.31338e-41, 7.31338e-41, 7.31338e-41, 7.31338e-41, 7.31338e-41, 7.31338e-41, 7.31338e-41, 7.31338e-41, 1.90688e-12, 7.31338e-41, 1.19907e-14, 7.31338e-41, 5.10621e-10, 7.31338e-41, 7.31338e-41, 7.31338e-41
0.333212, 0, 7.95657e-10, 9.24278e-40, 1.41421, -7.95657e-10, 0, 9.24278e-40, 9.24278e-40, 9.24278e-40, 9.24278e-40, 9.24278e-40, 9.24278e-40, 9.24278e-40, 9.24278e-40, 2.96154e-12, 9.24278e-40, 1.94935e-14, 9.24278e-40, 7.92676e-10, 9.24278e-40, 9.24278e-40, 9.24278e-40
0.341091, 0, 1.22626e-09, 1.04676e-38, 1.41421, -1.22626e-09, 0, 1.04676e-38, 1.04676e-38, 1.04676e-38, 1.04676e-38, 1.04676e-38, 1.04676e-38, 1.04676e-38, 1.04676e-38, 4.56681e-12, 1.04676e-38, 3.15876e-14, 1.04676e-38, 1.22166e-09, 1.04676e-38, 1.04676e-38, 1.04676e-38
0.34897, 0, 1.87635e-09, 1.07107e-37, 1.41421, -1.87635e-09, 0, 1.07107e-37, 1.07107e-37, 1.07107e-37, 1.07107e-37, 1.07107e-37, 1.07107e-37, 1.07107e-37, 1.07107e-37, 6.99257e-12, 1.07107e-37, 5.10434e-14, 1.07107e-37, 1.86931e-09, 1.07107e-37, 1.07107e-37, 1.07107e-37
0.35685, 0, 2.85061e-09, 9.95372e-37, 1.41421, -2.85061e-09, 0, 9.95372e-37, 9.95372e-37, 9.95372e-37, 9.95372e-37, 9.95372e-37, 9.95372e-37, 9.95372e-37, 9.95372e-37, 1.0632e-11, 9.95372e-37, 8.22944e-14, 9.95372e-37, 2.8399e-09, 9.95372e-37, 9.95372e-37, 9.95372e-37
0.364729, 0, 4.30003e-09, 8.45144e-36, 1.41421, -4.30003e-09, 0, 8.45144e-36, 8.45144e-36, 8.45144e-36, 8.45144e-36, 8.45144e-36, 8.45144e-36, 8.45144e-36, 8.45144e-36, 1.60539e-11, 8.45144e-36, 1.32439e-13, 8.45144e-36, 4.28385e-09, 8.45144e-36, 8.45144e-36, 8.45144e-36
0.372608, 0, 6.44071e-09, 6.58541e-35, 1.41421, -6.44071e-09, 0, 6.58541e-35, 6.58541e-35, 6.58541e-35, 6.58541e-35, 6.58541e-35, 6.58541e-35, 6.58541e-35, 6.58541e-35, 2.40745e-11, 6.58541e-35, 2.12849e-13, 6.58541e-35, 6.41642e-09, 6.58541e-35, 6.58541e-35, 6.58541e-35
