   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_54.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0320252, 108, 0, 0, 10.4881, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0241377, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0162501, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00836255, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000474987, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00741258, 0, 1.42245e-21, 0, 1.41421, -1.42245e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.48845e-24, 0, 0, 4.29877e-26, 0, 1.41792e-21, 0, 0, 0
0.0153001, 0, 3.4165e-21, 0, 1.41421, -3.4165e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07805e-23, 0, 0, 1.05418e-25, 0, 3.40561e-21, 0, 0, 0
0.0231877, 0, 8.06664e-21, 0, 1.41421, -8.06664e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54538e-23, 0, 0, 2.53908e-25, 0, 8.04093e-21, 0, 0, 0
0.0310753, 0, 1.87409e-20, 0, 1.41421, -1.87409e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.91356e-23, 0, 0, 6.0134e-25, 0, 1.86812e-20, 0, 0, 0
0.0389628, 0, 4.28787e-20, 0, 1.41421, -4.28787e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35301e-22, 0, 0, 1.40175e-24, 0, 4.2742e-20, 0, 0, 0
0.0468504, 0, 9.66867e-20, 0, 1.41421, -9.66867e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05088e-22, 0, 0, 3.21884e-24, 0, 9.63784e-20, 0, 0, 0
0.054738, 0, 2.15004e-19, 0, 1.41421, -2.15004e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.78429e-22, 0, 0, 7.28664e-24, 0, 2.14318e-19, 0, 0, 0
0.0626255, 0, 4.7177e-19, 0, 1.41421, -4.7177e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48864e-21, 0, 0, 1.62722e-23, 0, 4.70265e-19, 0, 0, 0
0.0705131, 0, 1.02197e-18, 0, 1.41421, -1.02197e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22476e-21, 0, 0, 3.58679e-23, 0, 1.01871e-18, 0, 0, 0
0.0784006, 0, 2.18662e-18, 0, 1.41421, -2.18662e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.89972e-21, 0, 0, 7.80801e-23, 0, 2.17965e-18, 0, 0, 0
0.0862882, 0, 4.62285e-18, 0, 1.41421, -4.62285e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4587e-20, 0, 0, 1.6794e-22, 0, 4.6081e-18, 0, 0, 0
0.0941758, 0, 9.66068e-18, 0, 1.41421, -9.66068e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04835e-20, 0, 0, 3.57053e-22, 0, 9.62984e-18, 0, 0, 0
0.102063, 0, 1.99624e-17, 0, 1.41421, -1.99624e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29898e-20, 0, 0, 7.50667e-22, 0, 1.98987e-17, 0, 0, 0
0.109951, 0, 4.07997e-17, 0, 1.41421, -4.07997e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2874e-19, 0, 0, 1.56117e-21, 0, 4.06694e-17, 0, 0, 0
0.117838, 0, 8.25e-17, 0, 1.41421, -8.25e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60321e-19, 0, 0, 3.21279e-21, 0, 8.22365e-17, 0, 0, 0
0.125726, 0, 1.65088e-16, 0, 1.41421, -1.65088e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20921e-19, 0, 0, 6.54448e-21, 0, 1.64561e-16, 0, 0, 0
0.133614, 0, 3.26998e-16, 0, 1.41421, -3.26998e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03181e-18, 0, 0, 1.31999e-20, 0, 3.25953e-16, 0, 0, 0
0.141501, 0, 6.4785e-16, 0, 1.41421, -6.4785e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04423e-18, 0, 0, 2.67396e-20, 0, 6.45779e-16, 0, 0, 0
0.149389, 0, 1.25651e-15, 0, 1.41421, -1.25651e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9648e-18, 0, 0, 5.2836e-20, 0, 1.2525e-15, 0, 0, 0
0.157276, 0, 2.41394e-15, 0, 1.41421, -2.41394e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.61693e-18, 0, 0, 1.03456e-19, 0, 2.40622e-15, 0, 0, 0
0.165164, 0, 4.59426e-15, 0, 1.41421, -4.59426e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44967e-17, 0, 0, 2.00777e-19, 0, 4.57957e-15, 0, 0, 0
0.173051, 0, 8.66355e-15, 0, 1.41421, -8.66355e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73368e-17, 0, 0, 3.86266e-19, 0, 8.63583e-15, 0, 0, 0
0.180939, 0, 1.6189e-14, 0, 1.41421, -1.6189e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.10822e-17, 0, 0, 7.36797e-19, 0, 1.61372e-14, 0, 0, 0
0.188827, 0, 2.99804e-14, 0, 1.41421, -2.99804e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.45991e-17, 0, 0, 1.39369e-18, 0, 2.98844e-14, 0, 0, 0
0.196714, 0, 5.50298e-14, 0, 1.41421, -5.50298e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73638e-16, 0, 0, 2.61465e-18, 0, 5.48535e-14, 0, 0, 0
0.204602, 0, 1.00125e-13, 0, 1.41421, -1.00125e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15928e-16, 0, 0, 4.86576e-18, 0, 9.9804e-14, 0, 0, 0
0.212489, 0, 1.80596e-13, 0, 1.41421, -1.80596e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69842e-16, 0, 0, 8.98334e-18, 0, 1.80017e-13, 0, 0, 0
0.220377, 0, 3.2295e-13, 0, 1.41421, -3.2295e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01902e-15, 0, 0, 1.64564e-17, 0, 3.21914e-13, 0, 0, 0
0.228264, 0, 5.72607e-13, 0, 1.41421, -5.72607e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80677e-15, 0, 0, 2.99158e-17, 0, 5.7077e-13, 0, 0, 0
0.236152, 0, 1.00671e-12, 0, 1.41421, -1.00671e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.17653e-15, 0, 0, 5.39746e-17, 0, 1.00348e-12, 0, 0, 0
0.244039, 0, 1.75512e-12, 0, 1.41421, -1.75512e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.53807e-15, 0, 0, 9.66675e-17, 0, 1.74948e-12, 0, 0, 0
0.251927, 0, 3.03453e-12, 0, 1.41421, -3.03453e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.57523e-15, 0, 0, 1.7188e-16, 0, 3.02478e-12, 0, 0, 0
0.259815, 0, 5.20337e-12, 0, 1.41421, -5.20337e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64192e-14, 0, 0, 3.03448e-16, 0, 5.18665e-12, 0, 0, 0
0.267702, 0, 8.84937e-12, 0, 1.41421, -8.84937e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7925e-14, 0, 0, 5.32014e-16, 0, 8.82091e-12, 0, 0, 0
0.27559, 0, 1.49278e-11, 0, 1.41421, -1.49278e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71081e-14, 0, 0, 9.26429e-16, 0, 1.48798e-11, 0, 0, 0
0.283477, 0, 2.4978e-11, 0, 1.41421, -2.4978e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.88286e-14, 0, 0, 1.60261e-15, 0, 2.48976e-11, 0, 0, 0
0.291365, 0, 4.14591e-11, 0, 1.41421, -4.14591e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30852e-13, 0, 0, 2.75457e-15, 0, 4.13255e-11, 0, 0, 0
0.299252, 0, 6.82655e-11, 0, 1.41421, -6.82655e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15481e-13, 0, 0, 4.70521e-15, 0, 6.80453e-11, 0, 0, 0
0.30714, 0, 1.11512e-10, 0, 1.41421, -1.11512e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.52039e-13, 0, 0, 7.98927e-15, 0, 1.11152e-10, 0, 0, 0
0.315028, 0, 1.80719e-10, 1.4013e-43, 1.41421, -1.80719e-10, 0, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 1.4013e-43, 5.70625e-13, 1.4013e-43, 1.4013e-43, 1.3488e-14, 1.4013e-43, 1.80134e-10, 1.4013e-43, 1.4013e-43, 1.4013e-43
0.322915, 0, 2.90576e-10, 2.50132e-42, 1.41421, -2.90576e-10, 0, 2.50132e-42, 2.50132e-42, 2.50132e-42, 2.50132e-42, 2.50132e-42, 2.50132e-42, 2.50132e-42, 2.50132e-42, 9.17719e-13, 2.50132e-42, 2.50132e-42, 2.26477e-14, 2.50132e-42, 2.89636e-10, 2.50132e-42, 2.50132e-42, 2.50132e-42
