   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_29.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0315503, 58, 0, 0, 7.74597, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0236525, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0157546, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0078568, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4.10376e-05, 0, 2.00564e-20, 0, 1.41421, -2.00564e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55547e-23, 0, 0, 3.11252e-25, 2.78957e-24, 0, 2.00378e-20, 0, 0, 0
0.00793888, 0, 4.33829e-20, 0, 1.41421, -4.33829e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.36454e-23, 0, 0, 6.85259e-25, 6.13567e-24, 0, 4.33424e-20, 0, 0, 0
0.0158367, 0, 9.26639e-20, 0, 1.41421, -9.26639e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.18648e-23, 0, 0, 1.48981e-24, 1.33239e-23, 0, 9.25772e-20, 0, 0, 0
0.0237346, 0, 1.95542e-19, 0, 1.41421, -1.95542e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51651e-22, 0, 0, 3.20002e-24, 2.85818e-23, 0, 1.95358e-19, 0, 0, 0
0.0316324, 0, 4.07856e-19, 0, 1.41421, -4.07856e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.16308e-22, 0, 0, 6.79411e-24, 6.05988e-23, 0, 4.07472e-19, 0, 0, 0
0.0395302, 0, 8.41169e-19, 0, 1.41421, -8.41169e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.52356e-22, 0, 0, 1.42642e-23, 1.27044e-22, 0, 8.40375e-19, 0, 0, 0
0.0474281, 0, 1.71604e-18, 0, 1.41421, -1.71604e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33085e-21, 0, 0, 2.9625e-23, 2.63476e-22, 0, 1.71441e-18, 0, 0, 0
0.0553259, 0, 3.46405e-18, 0, 1.41421, -3.46405e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68648e-21, 0, 0, 6.08866e-23, 5.4075e-22, 0, 3.46076e-18, 0, 0, 0
0.0632238, 0, 6.92115e-18, 0, 1.41421, -6.92115e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.36756e-21, 0, 0, 1.2387e-22, 1.09866e-21, 0, 6.91456e-18, 0, 0, 0
0.0711216, 0, 1.36908e-17, 0, 1.41421, -1.36908e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06176e-20, 0, 0, 2.49525e-22, 2.21048e-21, 0, 1.36777e-17, 0, 0, 0
0.0790194, 0, 2.68191e-17, 0, 1.41421, -2.68191e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07989e-20, 0, 0, 4.97834e-22, 4.40546e-21, 0, 2.67934e-17, 0, 0, 0
0.0869173, 0, 5.20379e-17, 0, 1.41421, -5.20379e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.03565e-20, 0, 0, 9.83953e-22, 8.69943e-21, 0, 5.19879e-17, 0, 0, 0
0.0948151, 0, 1.00035e-16, 0, 1.41421, -1.00035e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.75789e-20, 0, 0, 1.92709e-21, 1.70266e-20, 0, 9.99382e-17, 0, 0, 0
0.102713, 0, 1.90552e-16, 0, 1.41421, -1.90552e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47776e-19, 0, 0, 3.74051e-21, 3.30347e-20, 0, 1.90367e-16, 0, 0, 0
0.110611, 0, 3.59736e-16, 0, 1.41421, -3.59736e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7898e-19, 0, 0, 7.19691e-21, 6.35498e-20, 0, 3.59386e-16, 0, 0, 0
0.118509, 0, 6.78861e-16, 0, 1.41421, -6.78861e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26463e-19, 0, 0, 1.38913e-20, 1.22734e-19, 0, 6.78198e-16, 0, 0, 0
0.126406, 0, 1.25821e-15, 0, 1.41421, -1.25821e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.75747e-19, 0, 0, 2.62441e-20, 2.31997e-19, 0, 1.25697e-15, 0, 0, 0
0.134304, 0, 2.3124e-15, 0, 1.41421, -2.3124e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79327e-18, 0, 0, 4.91767e-20, 4.35102e-19, 0, 2.31013e-15, 0, 0, 0
0.142202, 0, 4.21471e-15, 0, 1.41421, -4.21471e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2685e-18, 0, 0, 9.1408e-20, 8.09769e-19, 0, 4.21055e-15, 0, 0, 0
0.1501, 0, 7.61924e-15, 0, 1.41421, -7.61924e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90867e-18, 0, 0, 1.68561e-19, 1.49574e-18, 0, 7.61167e-15, 0, 0, 0
0.157998, 0, 1.36627e-14, 0, 1.41421, -1.36627e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05953e-17, 0, 0, 3.08407e-19, 2.74241e-18, 0, 1.36491e-14, 0, 0, 0
0.165896, 0, 2.43043e-14, 0, 1.41421, -2.43043e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.88476e-17, 0, 0, 5.59949e-19, 4.99174e-18, 0, 2.42799e-14, 0, 0, 0
0.173794, 0, 4.28934e-14, 0, 1.41421, -4.28934e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32629e-17, 0, 0, 1.00896e-18, 9.02129e-18, 0, 4.28501e-14, 0, 0, 0
0.181691, 0, 7.51088e-14, 0, 1.41421, -7.51088e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.8245e-17, 0, 0, 1.80446e-18, 1.61895e-17, 0, 7.50325e-14, 0, 0, 0
0.189589, 0, 1.30501e-13, 0, 1.41421, -1.30501e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.012e-16, 0, 0, 3.20338e-18, 2.88533e-17, 0, 1.30368e-13, 0, 0, 0
0.197487, 0, 2.25007e-13, 0, 1.41421, -2.25007e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74486e-16, 0, 0, 5.64561e-18, 5.10744e-17, 0, 2.24776e-13, 0, 0, 0
0.205385, 0, 3.84998e-13, 0, 1.41421, -3.84998e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.98555e-16, 0, 0, 9.87866e-18, 8.98053e-17, 0, 3.846e-13, 0, 0, 0
0.213283, 0, 6.5378e-13, 0, 1.41421, -6.5378e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.06988e-16, 0, 0, 1.71641e-17, 1.56881e-16, 0, 6.53099e-13, 0, 0, 0
0.221181, 0, 1.10189e-12, 0, 1.41421, -1.10189e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5449e-16, 0, 0, 2.96165e-17, 2.72295e-16, 0, 1.10073e-12, 0, 0, 0
0.229078, 0, 1.84331e-12, 0, 1.41421, -1.84331e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42947e-15, 0, 0, 5.07565e-17, 4.69634e-16, 0, 1.84136e-12, 0, 0, 0
0.236976, 0, 3.06081e-12, 0, 1.41421, -3.06081e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37368e-15, 0, 0, 8.64086e-17, 8.04975e-16, 0, 3.05754e-12, 0, 0, 0
0.244874, 0, 5.04513e-12, 0, 1.41421, -5.04513e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91266e-15, 0, 0, 1.46152e-16, 1.37141e-15, 0, 5.0397e-12, 0, 0, 0
0.252772, 0, 8.25517e-12, 0, 1.41421, -8.25517e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.40244e-15, 0, 0, 2.45648e-16, 2.32257e-15, 0, 8.2462e-12, 0, 0, 0
0.26067, 0, 1.34096e-11, 0, 1.41421, -1.34096e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04007e-14, 0, 0, 4.10364e-16, 3.91072e-15, 0, 1.33949e-11, 0, 0, 0
0.268568, 0, 2.16251e-11, 0, 1.41421, -2.16251e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.67743e-14, 0, 0, 6.81499e-16, 6.54782e-15, 0, 2.16011e-11, 0, 0, 0
0.276465, 0, 3.46237e-11, 0, 1.41421, -3.46237e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.68601e-14, 0, 0, 1.12541e-15, 1.09035e-14, 0, 3.45848e-11, 0, 0, 0
0.284363, 0, 5.50396e-11, 0, 1.41421, -5.50396e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27044e-14, 0, 0, 1.84854e-15, 1.80611e-14, 0, 5.4977e-11, 0, 0, 0
0.292261, 0, 8.68726e-11, 0, 1.41421, -8.68726e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.74157e-14, 0, 0, 3.02102e-15, 2.97663e-14, 0, 8.67724e-11, 0, 0, 0
0.300159, 0, 1.36147e-10, 1.80768e-43, 1.41421, -1.36147e-10, 0, 1.80768e-43, 1.80768e-43, 1.80768e-43, 1.80768e-43, 1.80768e-43, 1.80768e-43, 1.80768e-43, 1.80768e-43, 1.80768e-43, 1.05679e-13, 1.80768e-43, 1.80768e-43, 4.91396e-15, 4.88205e-14, 1.80768e-43, 1.35988e-10, 1.80768e-43, 1.80768e-43, 1.80768e-43
0.308057, 0, 2.11872e-10, 3.1347e-42, 1.41421, -2.11872e-10, 0, 3.1347e-42, 3.1347e-42, 3.1347e-42, 3.1347e-42, 3.1347e-42, 3.1347e-42, 3.1347e-42, 3.1347e-42, 3.1347e-42, 1.64507e-13, 3.1347e-42, 3.1347e-42, 7.95846e-15, 7.97049e-14, 3.1347e-42, 2.1162e-10, 3.1347e-42, 3.1347e-42, 3.1347e-42
0.315955, 0, 3.27409e-10, 4.55114e-41, 1.41421, -3.27409e-10, 0, 4.55114e-41, 4.55114e-41, 4.55114e-41, 4.55114e-41, 4.55114e-41, 4.55114e-41, 4.55114e-41, 4.55114e-41, 4.55114e-41, 2.54309e-13, 4.55114e-41, 4.55114e-41, 1.28387e-14, 1.29564e-13, 4.55114e-41, 3.27013e-10, 4.55114e-41, 4.55114e-41, 4.55114e-41
0.323852, 0, 5.02431e-10, 5.84718e-40, 1.41421, -5.02431e-10, 0, 5.84718e-40, 5.84718e-40, 5.84718e-40, 5.84718e-40, 5.84718e-40, 5.84718e-40, 5.84718e-40, 5.84718e-40, 5.84718e-40, 3.90432e-13, 5.84718e-40, 5.84718e-40, 2.06392e-14, 2.09759e-13, 5.84718e-40, 5.0181e-10, 5.84718e-40, 5.84718e-40, 5.84718e-40
0.33175, 0, 7.65682e-10, 6.7297e-39, 1.41421, -7.65682e-10, 0, 6.7297e-39, 6.7297e-39, 6.7297e-39, 6.7297e-39, 6.7297e-39, 6.7297e-39, 6.7297e-39, 6.7297e-39, 6.7297e-39, 5.95334e-13, 6.7297e-39, 6.7297e-39, 3.30788e-14, 3.38316e-13, 6.7297e-39, 7.64715e-10, 6.7297e-39, 6.7297e-39, 6.7297e-39
0.339648, 0, 1.15883e-09, 6.9889e-38, 1.41421, -1.15883e-09, 0, 6.9889e-38, 6.9889e-38, 6.9889e-38, 6.9889e-38, 6.9889e-38, 6.9889e-38, 6.9889e-38, 6.9889e-38, 6.9889e-38, 9.01633e-13, 6.9889e-38, 6.9889e-38, 5.28797e-14, 5.43777e-13, 6.9889e-38, 1.15734e-09, 6.9889e-38, 6.9889e-38, 6.9889e-38
0.347546, 0, 1.74186e-09, 6.58536e-37, 1.41421, -1.74186e-09, 0, 6.58536e-37, 6.58536e-37, 6.58536e-37, 6.58536e-37, 6.58536e-37, 6.58536e-37, 6.58536e-37, 6.58536e-37, 6.58536e-37, 1.35638e-12, 6.58536e-37, 6.58536e-37, 8.4356e-14, 8.7126e-13, 6.58536e-37, 1.73955e-09, 6.58536e-37, 6.58536e-37, 6.58536e-37
0.355444, 0, 2.60041e-09, 5.66188e-36, 1.41421, -2.60041e-09, 0, 5.66188e-36, 5.66188e-36, 5.66188e-36, 5.66188e-36, 5.66188e-36, 5.66188e-36, 5.66188e-36, 5.66188e-36, 5.66188e-36, 2.02695e-12, 5.66188e-36, 5.66188e-36, 1.34346e-13, 1.39199e-12, 5.66188e-36, 2.59686e-09, 5.66188e-36, 5.66188e-36, 5.66188e-36
