   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_41.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0314806, 82, 0, 0, 9.16515, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0235879, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0156952, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0078025, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9.02004e-05, 0, 2.29229e-19, 0, 1.41421, -2.29229e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94248e-21, 0, 0, 4.8981e-24, 0, 2.26282e-19, 0, 0, 0
0.0079829, 0, 4.62846e-19, 0, 1.41421, -4.62846e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94128e-21, 0, 0, 1.00697e-23, 0, 4.56894e-19, 0, 0, 0
0.0158756, 0, 9.24876e-19, 0, 1.41421, -9.24876e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18721e-20, 0, 0, 2.04869e-23, 0, 9.12984e-19, 0, 0, 0
0.0237683, 0, 1.82959e-18, 0, 1.41421, -1.82959e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34853e-20, 0, 0, 4.12625e-23, 0, 1.80606e-18, 0, 0, 0
0.031661, 0, 3.58406e-18, 0, 1.41421, -3.58406e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.60064e-20, 0, 0, 8.22987e-23, 0, 3.53797e-18, 0, 0, 0
0.0395537, 0, 6.9545e-18, 0, 1.41421, -6.9545e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.92706e-20, 0, 0, 1.62598e-22, 0, 6.86506e-18, 0, 0, 0
0.0474464, 0, 1.33701e-17, 0, 1.41421, -1.33701e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71623e-19, 0, 0, 3.18303e-22, 0, 1.31981e-17, 0, 0, 0
0.0553391, 0, 2.54729e-17, 0, 1.41421, -2.54729e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26979e-19, 0, 0, 6.17553e-22, 0, 2.51453e-17, 0, 0, 0
0.0632318, 0, 4.8105e-17, 0, 1.41421, -4.8105e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.17493e-19, 0, 0, 1.18773e-21, 0, 4.74863e-17, 0, 0, 0
0.0711245, 0, 9.00645e-17, 0, 1.41421, -9.00645e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1561e-18, 0, 0, 2.26495e-21, 0, 8.89061e-17, 0, 0, 0
0.0790172, 0, 1.67204e-16, 0, 1.41421, -1.67204e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.14629e-18, 0, 0, 4.28336e-21, 0, 1.65053e-16, 0, 0, 0
0.0869099, 0, 3.07851e-16, 0, 1.41421, -3.07851e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.95169e-18, 0, 0, 8.03484e-21, 0, 3.03892e-16, 0, 0, 0
0.0948026, 0, 5.62218e-16, 0, 1.41421, -5.62218e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.21682e-18, 0, 0, 1.49523e-20, 0, 5.54986e-16, 0, 0, 0
0.102695, 0, 1.01859e-15, 0, 1.41421, -1.01859e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30749e-17, 0, 0, 2.76086e-20, 0, 1.00548e-15, 0, 0, 0
0.110588, 0, 1.83095e-15, 0, 1.41421, -1.83095e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35027e-17, 0, 0, 5.05884e-20, 0, 1.8074e-15, 0, 0, 0
0.118481, 0, 3.26585e-15, 0, 1.41421, -3.26585e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19214e-17, 0, 0, 9.19993e-20, 0, 3.22384e-15, 0, 0, 0
0.126373, 0, 5.78102e-15, 0, 1.41421, -5.78102e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.42067e-17, 0, 0, 1.66074e-19, 0, 5.70665e-15, 0, 0, 0
0.134266, 0, 1.01565e-14, 0, 1.41421, -1.01565e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30371e-16, 0, 0, 2.9761e-19, 0, 1.00258e-14, 0, 0, 0
0.142159, 0, 1.77116e-14, 0, 1.41421, -1.77116e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2735e-16, 0, 0, 5.29509e-19, 0, 1.74837e-14, 0, 0, 0
0.150052, 0, 3.06606e-14, 0, 1.41421, -3.06606e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93566e-16, 0, 0, 9.35487e-19, 0, 3.02661e-14, 0, 0, 0
0.157944, 0, 5.26926e-14, 0, 1.41421, -5.26926e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.76374e-16, 0, 0, 1.64128e-18, 0, 5.20146e-14, 0, 0, 0
0.165837, 0, 8.99076e-14, 0, 1.41421, -8.99076e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15407e-15, 0, 0, 2.85991e-18, 0, 8.87507e-14, 0, 0, 0
0.17373, 0, 1.52317e-13, 0, 1.41421, -1.52317e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.95518e-15, 0, 0, 4.94979e-18, 0, 1.50357e-13, 0, 0, 0
0.181622, 0, 2.56233e-13, 0, 1.41421, -2.56233e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.28909e-15, 0, 0, 8.51007e-18, 0, 2.52935e-13, 0, 0, 0
0.189515, 0, 4.28036e-13, 0, 1.41421, -4.28036e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.49444e-15, 0, 0, 1.45357e-17, 0, 4.22527e-13, 0, 0, 0
0.197408, 0, 7.10077e-13, 0, 1.41421, -7.10077e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.11495e-15, 0, 0, 2.46682e-17, 0, 7.00938e-13, 0, 0, 0
0.2053, 0, 1.16986e-12, 0, 1.41421, -1.16986e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50172e-14, 0, 0, 4.15998e-17, 0, 1.1548e-12, 0, 0, 0
0.213193, 0, 1.91419e-12, 0, 1.41421, -1.91419e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45726e-14, 0, 0, 6.97186e-17, 0, 1.88955e-12, 0, 0, 0
0.221086, 0, 3.11084e-12, 0, 1.41421, -3.11084e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99354e-14, 0, 0, 1.16136e-16, 0, 3.07079e-12, 0, 0, 0
0.228979, 0, 5.02146e-12, 0, 1.41421, -5.02146e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.44657e-14, 0, 0, 1.92316e-16, 0, 4.9568e-12, 0, 0, 0
0.236871, 0, 8.05111e-12, 0, 1.41421, -8.05111e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03367e-13, 0, 0, 3.16644e-16, 0, 7.94743e-12, 0, 0, 0
0.244764, 0, 1.28225e-11, 0, 1.41421, -1.28225e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64638e-13, 0, 0, 5.18451e-16, 0, 1.26574e-11, 0, 0, 0
0.252657, 0, 2.0286e-11, 0, 1.41421, -2.0286e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.60492e-13, 0, 0, 8.44333e-16, 0, 2.00247e-11, 0, 0, 0
0.260549, 0, 3.18816e-11, 0, 1.41421, -3.18816e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09442e-13, 0, 0, 1.36801e-15, 0, 3.14708e-11, 0, 0, 0
0.268442, 0, 4.97915e-11, 0, 1.41421, -4.97915e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39563e-13, 0, 0, 2.20963e-15, 0, 4.91497e-11, 0, 0, 0
0.276335, 0, 7.72256e-11, 0, 1.41421, -7.72256e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.92146e-13, 0, 0, 3.54631e-15, 0, 7.62299e-11, 0, 0, 0
0.284227, 0, 1.18996e-10, 1.02295e-43, 1.41421, -1.18996e-10, 0, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.02295e-43, 1.52916e-12, 1.02295e-43, 1.02295e-43, 5.66729e-15, 1.02295e-43, 1.17461e-10, 1.02295e-43, 1.02295e-43, 1.02295e-43
0.29212, 0, 1.82172e-10, 1.77264e-42, 1.41421, -1.82172e-10, 0, 1.77264e-42, 1.77264e-42, 1.77264e-42, 1.77264e-42, 1.77264e-42, 1.77264e-42, 1.77264e-42, 1.77264e-42, 2.34171e-12, 1.77264e-42, 1.77264e-42, 9.02108e-15, 1.77264e-42, 1.79821e-10, 1.77264e-42, 1.77264e-42, 1.77264e-42
0.300013, 0, 2.7709e-10, 2.56578e-41, 1.41421, -2.7709e-10, 0, 2.56578e-41, 2.56578e-41, 2.56578e-41, 2.56578e-41, 2.56578e-41, 2.56578e-41, 2.56578e-41, 2.56578e-41, 3.56314e-12, 2.56578e-41, 2.56578e-41, 1.43082e-14, 2.56578e-41, 2.73513e-10, 2.56578e-41, 2.56578e-41, 2.56578e-41
0.307906, 0, 4.18759e-10, 3.29293e-40, 1.41421, -4.18759e-10, 0, 3.29293e-40, 3.29293e-40, 3.29293e-40, 3.29293e-40, 3.29293e-40, 3.29293e-40, 3.29293e-40, 3.29293e-40, 5.3873e-12, 3.29293e-40, 3.29293e-40, 2.26215e-14, 3.29293e-40, 4.13349e-10, 3.29293e-40, 3.29293e-40, 3.29293e-40
0.315798, 0, 6.28817e-10, 3.77562e-39, 1.41421, -6.28817e-10, 0, 3.77562e-39, 3.77562e-39, 3.77562e-39, 3.77562e-39, 3.77562e-39, 3.77562e-39, 3.77562e-39, 3.77562e-39, 8.09408e-12, 3.77562e-39, 3.77562e-39, 3.56655e-14, 3.77562e-39, 6.20687e-10, 3.77562e-39, 3.77562e-39, 3.77562e-39
0.323691, 0, 9.38242e-10, 3.90841e-38, 1.41421, -9.38242e-10, 0, 3.90841e-38, 3.90841e-38, 3.90841e-38, 3.90841e-38, 3.90841e-38, 3.90841e-38, 3.90841e-38, 3.90841e-38, 1.20849e-11, 3.90841e-38, 3.90841e-38, 5.60977e-14, 3.90841e-38, 9.26101e-10, 3.90841e-38, 3.90841e-38, 3.90841e-38
0.331584, 0, 1.39107e-09, 3.67036e-37, 1.41421, -1.39107e-09, 0, 3.67036e-37, 3.67036e-37, 3.67036e-37, 3.67036e-37, 3.67036e-37, 3.67036e-37, 3.67036e-37, 3.67036e-37, 1.79316e-11, 3.67036e-37, 3.67036e-37, 8.80633e-14, 3.67036e-37, 1.37305e-09, 3.67036e-37, 3.67036e-37, 3.67036e-37
