   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_331.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.176773, 0, 1.93291e-15, 0, 1.41421, -1.93291e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.40442e-18, 0, 0, 5.03359e-20, 0, 1.92345e-15, 0, 0, 0
0.184636, 0, 3.71383e-15, 0, 1.41421, -3.71383e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80694e-17, 0, 0, 9.85524e-20, 0, 3.69566e-15, 0, 0, 0
0.1925, 0, 7.06748e-15, 0, 1.41421, -7.06748e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43862e-17, 0, 0, 1.91167e-19, 0, 7.03291e-15, 0, 0, 0
0.200364, 0, 1.33228e-14, 0, 1.41421, -1.33228e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.48208e-17, 0, 0, 3.67435e-19, 0, 1.32576e-14, 0, 0, 0
0.208228, 0, 2.48812e-14, 0, 1.41421, -2.48812e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21057e-16, 0, 0, 6.99891e-19, 0, 2.47595e-14, 0, 0, 0
0.216092, 0, 4.60405e-14, 0, 1.41421, -4.60405e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24004e-16, 0, 0, 1.32143e-18, 0, 4.58152e-14, 0, 0, 0
0.223956, 0, 8.44208e-14, 0, 1.41421, -8.44208e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.10738e-16, 0, 0, 2.47332e-18, 0, 8.40076e-14, 0, 0, 0
0.23182, 0, 1.53406e-13, 0, 1.41421, -1.53406e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.46375e-16, 0, 0, 4.58987e-18, 0, 1.52655e-13, 0, 0, 0
0.239684, 0, 2.76287e-13, 0, 1.41421, -2.76287e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34423e-15, 0, 0, 8.44628e-18, 0, 2.74934e-13, 0, 0, 0
0.247548, 0, 4.93218e-13, 0, 1.41421, -4.93218e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39969e-15, 0, 0, 1.54149e-17, 0, 4.90803e-13, 0, 0, 0
0.255411, 0, 8.72798e-13, 0, 1.41421, -8.72798e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.24651e-15, 0, 0, 2.7906e-17, 0, 8.68523e-13, 0, 0, 0
0.263275, 0, 1.53114e-12, 0, 1.41421, -1.53114e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.4497e-15, 0, 0, 5.01192e-17, 0, 1.52364e-12, 0, 0, 0
0.271139, 0, 2.66304e-12, 0, 1.41421, -2.66304e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29571e-14, 0, 0, 8.93188e-17, 0, 2.64999e-12, 0, 0, 0
0.279003, 0, 4.59224e-12, 0, 1.41421, -4.59224e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.23443e-14, 0, 0, 1.57978e-16, 0, 4.56974e-12, 0, 0, 0
0.286867, 0, 7.8521e-12, 0, 1.41421, -7.8521e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82072e-14, 0, 0, 2.77374e-16, 0, 7.81361e-12, 0, 0, 0
