   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_311.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0288452, 622, 0, 0, 24.98, 622, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0209785, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0131118, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00524517, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0026215, 0, 1.55555e-21, 0, 1.41421, -1.55555e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.49297e-24, 0, 1.11002e-26, 0, 1.55104e-21, 0, 0, 0
0.0104882, 0, 3.67522e-21, 0, 1.41421, -3.67522e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06153e-23, 0, 2.66556e-26, 0, 3.66457e-21, 0, 0, 0
0.0183548, 0, 8.53535e-21, 0, 1.41421, -8.53535e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46531e-23, 0, 6.29112e-26, 0, 8.51063e-21, 0, 0, 0
0.0262215, 0, 1.95052e-20, 0, 1.41421, -1.95052e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.63379e-23, 0, 1.46091e-25, 0, 1.94487e-20, 0, 0, 0
0.0340882, 0, 4.38999e-20, 0, 1.41421, -4.38999e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26798e-22, 0, 3.34108e-25, 0, 4.37728e-20, 0, 0, 0
0.0419549, 0, 9.73858e-20, 0, 1.41421, -9.73858e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.81284e-22, 0, 7.53125e-25, 0, 9.71038e-20, 0, 0, 0
0.0498215, 0, 2.13081e-19, 0, 1.41421, -2.13081e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.15452e-22, 0, 1.67447e-24, 0, 2.12464e-19, 0, 0, 0
0.0576882, 0, 4.60122e-19, 0, 1.41421, -4.60122e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32899e-21, 0, 3.67445e-24, 0, 4.58789e-19, 0, 0, 0
0.0655549, 0, 9.8111e-19, 0, 1.41421, -9.8111e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.83379e-21, 0, 7.96266e-24, 0, 9.78268e-19, 0, 0, 0
0.0734215, 0, 2.06675e-18, 0, 1.41421, -2.06675e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.96949e-21, 0, 1.70489e-23, 0, 2.06076e-18, 0, 0, 0
0.0812882, 0, 4.303e-18, 0, 1.41421, -4.303e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24286e-20, 0, 3.6083e-23, 0, 4.29053e-18, 0, 0, 0
0.0891549, 0, 8.85808e-18, 0, 1.41421, -8.85808e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.55852e-20, 0, 7.55195e-23, 0, 8.83242e-18, 0, 0, 0
0.0970215, 0, 1.80362e-17, 0, 1.41421, -1.80362e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20949e-20, 0, 1.5636e-22, 0, 1.7984e-17, 0, 0, 0
0.104888, 0, 3.63353e-17, 0, 1.41421, -3.63353e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04949e-19, 0, 3.20365e-22, 0, 3.62301e-17, 0, 0, 0
0.112755, 0, 7.24463e-17, 0, 1.41421, -7.24463e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0925e-19, 0, 6.49766e-22, 0, 7.22364e-17, 0, 0, 0
0.120622, 0, 1.42994e-16, 0, 1.41421, -1.42994e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.13017e-19, 0, 1.30489e-21, 0, 1.4258e-16, 0, 0, 0
0.128488, 0, 2.79474e-16, 0, 1.41421, -2.79474e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.07218e-19, 0, 2.59544e-21, 0, 2.78664e-16, 0, 0, 0
0.136355, 0, 5.40976e-16, 0, 1.41421, -5.40976e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56252e-18, 0, 5.11405e-21, 0, 5.39408e-16, 0, 0, 0
0.144222, 0, 1.03732e-15, 0, 1.41421, -1.03732e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99613e-18, 0, 9.98446e-21, 0, 1.03431e-15, 0, 0, 0
0.152088, 0, 1.9707e-15, 0, 1.41421, -1.9707e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69205e-18, 0, 1.93185e-20, 0, 1.96499e-15, 0, 0, 0
0.159955, 0, 3.70999e-15, 0, 1.41421, -3.70999e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07157e-17, 0, 3.70498e-20, 0, 3.69924e-15, 0, 0, 0
0.167822, 0, 6.92204e-15, 0, 1.41421, -6.92204e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99931e-17, 0, 7.0442e-20, 0, 6.90198e-15, 0, 0, 0
0.175688, 0, 1.28014e-14, 0, 1.41421, -1.28014e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69747e-17, 0, 1.32792e-19, 0, 1.27643e-14, 0, 0, 0
0.183555, 0, 2.34694e-14, 0, 1.41421, -2.34694e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.77871e-17, 0, 2.48235e-19, 0, 2.34014e-14, 0, 0, 0
0.191422, 0, 4.2659e-14, 0, 1.41421, -4.2659e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23213e-16, 0, 4.60216e-19, 0, 4.25353e-14, 0, 0, 0
0.199288, 0, 7.68826e-14, 0, 1.41421, -7.68826e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22061e-16, 0, 8.46326e-19, 0, 7.66597e-14, 0, 0, 0
0.207155, 0, 1.37403e-13, 0, 1.41421, -1.37403e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.96861e-16, 0, 1.54398e-18, 0, 1.37004e-13, 0, 0, 0
0.215022, 0, 2.43528e-13, 0, 1.41421, -2.43528e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.03383e-16, 0, 2.79463e-18, 0, 2.42822e-13, 0, 0, 0
0.222888, 0, 4.28077e-13, 0, 1.41421, -4.28077e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.23642e-15, 0, 5.01926e-18, 0, 4.26836e-13, 0, 0, 0
0.230755, 0, 7.4636e-13, 0, 1.41421, -7.4636e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15573e-15, 0, 8.94627e-18, 0, 7.44195e-13, 0, 0, 0
0.238622, 0, 1.29079e-12, 0, 1.41421, -1.29079e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72825e-15, 0, 1.58266e-17, 0, 1.28704e-12, 0, 0, 0
0.246488, 0, 2.21446e-12, 0, 1.41421, -2.21446e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39623e-15, 0, 2.77931e-17, 0, 2.20803e-12, 0, 0, 0
