   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_249.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0302879, 498, 0, 0, 22.3607, 498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0224169, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.014546, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00667508, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00119584, 0, 1.98426e-22, 0, 1.41421, -1.98426e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.49644e-24, 0, 1.44557e-27, 0, 0, 1.95928e-22, 0, 0, 0
0.00906677, 0, 4.80212e-22, 0, 1.41421, -4.80212e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.04166e-24, 0, 3.55083e-27, 0, 0, 4.74166e-22, 0, 0, 0
0.0169377, 0, 1.14137e-21, 0, 1.41421, -1.14137e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43598e-23, 0, 8.56653e-27, 0, 0, 1.127e-21, 0, 0, 0
0.0248086, 0, 2.66724e-21, 0, 1.41421, -2.66724e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35572e-23, 0, 2.03217e-26, 0, 0, 2.63366e-21, 0, 0, 0
0.0326796, 0, 6.13432e-21, 0, 1.41421, -6.13432e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.71773e-23, 0, 4.74481e-26, 0, 0, 6.05709e-21, 0, 0, 0
0.0405505, 0, 1.38963e-20, 0, 1.41421, -1.38963e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74832e-22, 0, 1.09131e-25, 0, 0, 1.37213e-20, 0, 0, 0
0.0484214, 0, 3.10297e-20, 0, 1.41421, -3.10297e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.90392e-22, 0, 2.47444e-25, 0, 0, 3.06391e-20, 0, 0, 0
0.0562923, 0, 6.83417e-20, 0, 1.41421, -6.83417e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.59822e-22, 0, 5.53459e-25, 0, 0, 6.74813e-20, 0, 0, 0
0.0641633, 0, 1.48549e-19, 0, 1.41421, -1.48549e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.86893e-21, 0, 1.22188e-24, 0, 0, 1.46679e-19, 0, 0, 0
0.0720342, 0, 3.18823e-19, 0, 1.41421, -3.18823e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01118e-21, 0, 2.66398e-24, 0, 0, 3.14809e-19, 0, 0, 0
0.0799051, 0, 6.94714e-19, 0, 1.41421, -6.94714e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.74036e-21, 0, 5.93318e-24, 0, 0, 6.85968e-19, 0, 0, 0
0.087776, 0, 1.45153e-18, 0, 1.41421, -1.45153e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8262e-20, 0, 1.25949e-23, 0, 0, 1.43325e-18, 0, 0, 0
0.095647, 0, 2.99915e-18, 0, 1.41421, -2.99915e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7733e-20, 0, 2.64445e-23, 0, 0, 2.96139e-18, 0, 0, 0
0.103518, 0, 6.12998e-18, 0, 1.41421, -6.12998e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.71227e-20, 0, 5.49352e-23, 0, 0, 6.05281e-18, 0, 0, 0
0.111389, 0, 1.23973e-17, 0, 1.41421, -1.23973e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55973e-19, 0, 1.12944e-22, 0, 0, 1.22412e-17, 0, 0, 0
0.11926, 0, 2.48145e-17, 0, 1.41421, -2.48145e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12196e-19, 0, 2.29873e-22, 0, 0, 2.4502e-17, 0, 0, 0
0.127131, 0, 4.91695e-17, 0, 1.41421, -4.91695e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18612e-19, 0, 4.63259e-22, 0, 0, 4.85504e-17, 0, 0, 0
0.135002, 0, 9.64691e-17, 0, 1.41421, -9.64691e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2137e-18, 0, 9.24631e-22, 0, 0, 9.52545e-17, 0, 0, 0
0.142873, 0, 1.8744e-16, 0, 1.41421, -1.8744e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35822e-18, 0, 1.82813e-21, 0, 0, 1.8508e-16, 0, 0, 0
0.150743, 0, 3.60741e-16, 0, 1.41421, -3.60741e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53855e-18, 0, 3.58111e-21, 0, 0, 3.56199e-16, 0, 0, 0
0.158614, 0, 6.87786e-16, 0, 1.41421, -6.87786e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.65316e-18, 0, 6.95145e-21, 0, 0, 6.79126e-16, 0, 0, 0
0.166485, 0, 1.29927e-15, 0, 1.41421, -1.29927e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63464e-17, 0, 1.33736e-20, 0, 0, 1.28291e-15, 0, 0, 0
0.174356, 0, 2.43217e-15, 0, 1.41421, -2.43217e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05995e-17, 0, 2.55033e-20, 0, 0, 2.40155e-15, 0, 0, 0
0.182227, 0, 4.51221e-15, 0, 1.41421, -4.51221e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67686e-17, 0, 4.82149e-20, 0, 0, 4.45539e-15, 0, 0, 0
0.190098, 0, 8.29725e-15, 0, 1.41421, -8.29725e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04388e-16, 0, 9.03771e-20, 0, 0, 8.19277e-15, 0, 0, 0
0.197969, 0, 1.51243e-14, 0, 1.41421, -1.51243e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9028e-16, 0, 1.67996e-19, 0, 0, 1.49339e-14, 0, 0, 0
0.20584, 0, 2.7331e-14, 0, 1.41421, -2.7331e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.43853e-16, 0, 3.09707e-19, 0, 0, 2.69869e-14, 0, 0, 0
0.213711, 0, 4.89683e-14, 0, 1.41421, -4.89683e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.16073e-16, 0, 5.66336e-19, 0, 0, 4.83517e-14, 0, 0, 0
0.221582, 0, 8.69941e-14, 0, 1.41421, -8.69941e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09448e-15, 0, 1.02735e-18, 0, 0, 8.58986e-14, 0, 0, 0
0.229453, 0, 1.53255e-13, 0, 1.41421, -1.53255e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92812e-15, 0, 1.84904e-18, 0, 0, 1.51325e-13, 0, 0, 0
0.237324, 0, 2.67745e-13, 0, 1.41421, -2.67745e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.36855e-15, 0, 3.30226e-18, 0, 0, 2.64373e-13, 0, 0, 0
0.245195, 0, 4.63917e-13, 0, 1.41421, -4.63917e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.83669e-15, 0, 5.85296e-18, 0, 0, 4.58075e-13, 0, 0, 0
0.253066, 0, 7.97258e-13, 0, 1.41421, -7.97258e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00307e-14, 0, 1.02969e-17, 0, 0, 7.87217e-13, 0, 0, 0
0.260936, 0, 1.35901e-12, 0, 1.41421, -1.35901e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70989e-14, 0, 1.79834e-17, 0, 0, 1.34189e-12, 0, 0, 0
0.268807, 0, 2.29794e-12, 0, 1.41421, -2.29794e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.89134e-14, 0, 3.11856e-17, 0, 0, 2.26899e-12, 0, 0, 0
0.276678, 0, 3.85449e-12, 0, 1.41421, -3.85449e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85007e-14, 0, 5.37077e-17, 0, 0, 3.80594e-12, 0, 0, 0
0.284549, 0, 6.41406e-12, 0, 1.41421, -6.41406e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.07129e-14, 0, 9.18814e-17, 0, 0, 6.33325e-12, 0, 0, 0
0.29242, 0, 1.0589e-11, 0, 1.41421, -1.0589e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33261e-13, 0, 1.56181e-16, 0, 0, 1.04556e-11, 0, 0, 0
0.300291, 0, 1.73442e-11, 0, 1.41421, -1.73442e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.183e-13, 0, 2.63851e-16, 0, 0, 1.71256e-11, 0, 0, 0
0.308162, 0, 2.8187e-11, 0, 1.41421, -2.8187e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54826e-13, 0, 4.43155e-16, 0, 0, 2.78317e-11, 0, 0, 0
