   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_159.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0287047, 318, 0, 0, 17.8885, 318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0208334, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0129621, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00509083, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00278045, 0, 1.25577e-23, 0, 1.41421, -1.25577e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.80059e-25, 0, 1.7123e-28, 0, 0, 1.17774e-23, 0, 0, 0
0.0106517, 0, 3.29614e-23, 0, 1.41421, -3.29614e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0475e-24, 0, 4.56709e-28, 0, 0, 3.09134e-23, 0, 0, 0
0.018523, 0, 8.45168e-23, 0, 1.41421, -8.45168e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.25002e-24, 0, 1.18996e-27, 0, 0, 7.92656e-23, 0, 0, 0
0.0263943, 0, 2.12105e-22, 0, 1.41421, -2.12105e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31756e-23, 0, 3.03453e-27, 0, 0, 1.98926e-22, 0, 0, 0
0.0342656, 0, 5.21811e-22, 0, 1.41421, -5.21811e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.24139e-23, 0, 7.58598e-27, 0, 0, 4.89389e-22, 0, 0, 0
0.0421369, 0, 1.26011e-21, 0, 1.41421, -1.26011e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.82758e-23, 0, 1.86157e-26, 0, 0, 1.18182e-21, 0, 0, 0
0.0500081, 0, 2.99041e-21, 0, 1.41421, -2.99041e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85759e-22, 0, 4.48943e-26, 0, 0, 2.80461e-21, 0, 0, 0
0.0578794, 0, 6.98075e-21, 0, 1.41421, -6.98075e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.33631e-22, 0, 1.06508e-25, 0, 0, 6.54701e-21, 0, 0, 0
0.0657507, 0, 1.60433e-20, 0, 1.41421, -1.60433e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.96577e-22, 0, 2.48786e-25, 0, 0, 1.50465e-20, 0, 0, 0
0.073622, 0, 3.63419e-20, 0, 1.41421, -3.63419e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25749e-21, 0, 5.73063e-25, 0, 0, 3.40838e-20, 0, 0, 0
0.0814933, 0, 8.11552e-20, 0, 1.41421, -8.11552e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.0412e-21, 0, 1.30136e-24, 0, 0, 7.61127e-20, 0, 0, 0
0.0893646, 0, 1.84622e-19, 0, 1.41421, -1.84622e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14684e-20, 0, 3.03066e-24, 0, 0, 1.73151e-19, 0, 0, 0
0.0972358, 0, 3.99937e-19, 0, 1.41421, -3.99937e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48433e-20, 0, 6.67482e-24, 0, 0, 3.75088e-19, 0, 0, 0
0.105107, 0, 8.55759e-19, 0, 1.41421, -8.55759e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.3158e-20, 0, 1.4523e-23, 0, 0, 8.02587e-19, 0, 0, 0
0.112978, 0, 1.80936e-18, 0, 1.41421, -1.80936e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12394e-19, 0, 3.12286e-23, 0, 0, 1.69694e-18, 0, 0, 0
0.12085, 0, 3.78145e-18, 0, 1.41421, -3.78145e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34896e-19, 0, 6.63869e-23, 0, 0, 3.54649e-18, 0, 0, 0
0.128721, 0, 7.81413e-18, 0, 1.41421, -7.81413e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85397e-19, 0, 1.39566e-22, 0, 0, 7.32859e-18, 0, 0, 0
0.136592, 0, 1.59703e-17, 0, 1.41421, -1.59703e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.9204e-19, 0, 2.9025e-22, 0, 0, 1.4978e-17, 0, 0, 0
0.144464, 0, 3.22895e-17, 0, 1.41421, -3.22895e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00575e-18, 0, 5.97266e-22, 0, 0, 3.02831e-17, 0, 0, 0
0.152335, 0, 6.45988e-17, 0, 1.41421, -6.45988e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.01274e-18, 0, 1.21639e-21, 0, 0, 6.05849e-17, 0, 0, 0
0.160206, 0, 1.27907e-16, 0, 1.41421, -1.27907e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9453e-18, 0, 2.45238e-21, 0, 0, 1.19959e-16, 0, 0, 0
0.168077, 0, 2.50699e-16, 0, 1.41421, -2.50699e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55728e-17, 0, 4.89547e-21, 0, 0, 2.35121e-16, 0, 0, 0
0.175949, 0, 4.86491e-16, 0, 1.41421, -4.86491e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02196e-17, 0, 9.67788e-21, 0, 0, 4.56262e-16, 0, 0, 0
0.18382, 0, 9.34834e-16, 0, 1.41421, -9.34834e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.80695e-17, 0, 1.89506e-20, 0, 0, 8.76745e-16, 0, 0, 0
0.191691, 0, 1.77907e-15, 0, 1.41421, -1.77907e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10511e-16, 0, 3.67615e-20, 0, 0, 1.66853e-15, 0, 0, 0
0.199563, 0, 3.35363e-15, 0, 1.41421, -3.35363e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.08318e-16, 0, 7.06575e-20, 0, 0, 3.14524e-15, 0, 0, 0
0.207434, 0, 6.2626e-15, 0, 1.41421, -6.2626e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.89014e-16, 0, 1.34581e-19, 0, 0, 5.87345e-15, 0, 0, 0
0.215305, 0, 1.15868e-14, 0, 1.41421, -1.15868e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.19737e-16, 0, 2.5407e-19, 0, 0, 1.08668e-14, 0, 0, 0
0.223176, 0, 2.12419e-14, 0, 1.41421, -2.12419e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31948e-15, 0, 4.75471e-19, 0, 0, 1.9922e-14, 0, 0, 0
0.231048, 0, 3.8591e-14, 0, 1.41421, -3.8591e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39715e-15, 0, 8.82181e-19, 0, 0, 3.6193e-14, 0, 0, 0
0.238919, 0, 6.94839e-14, 0, 1.41421, -6.94839e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31611e-15, 0, 1.623e-18, 0, 0, 6.51662e-14, 0, 0, 0
0.24679, 0, 1.24001e-13, 0, 1.41421, -1.24001e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.70257e-15, 0, 2.96121e-18, 0, 0, 1.16296e-13, 0, 0, 0
0.254661, 0, 2.19354e-13, 0, 1.41421, -2.19354e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.36257e-14, 0, 5.3589e-18, 0, 0, 2.05723e-13, 0, 0, 0
0.262533, 0, 3.84663e-13, 0, 1.41421, -3.84663e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38945e-14, 0, 9.62077e-18, 0, 0, 3.60759e-13, 0, 0, 0
0.270404, 0, 6.6874e-13, 0, 1.41421, -6.6874e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.15414e-14, 0, 1.71375e-17, 0, 0, 6.27181e-13, 0, 0, 0
0.278275, 0, 1.15267e-12, 0, 1.41421, -1.15267e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16046e-14, 0, 3.02948e-17, 0, 0, 1.08104e-12, 0, 0, 0
