   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_284.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.171381, 0, 2.09398e-16, 0, 1.41421, -2.09398e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.81172e-20, 0, 0, 0, 0, 2.0931e-16, 0, 0, 0
0.179254, 0, 4.35291e-16, 0, 1.41421, -4.35291e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83175e-19, 0, 0, 0, 0, 4.35107e-16, 0, 0, 0
0.187126, 0, 8.94372e-16, 0, 1.41421, -8.94372e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76362e-19, 0, 0, 0, 0, 8.93996e-16, 0, 0, 0
0.194999, 0, 1.81676e-15, 0, 1.41421, -1.81676e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.64514e-19, 0, 0, 0, 0, 1.816e-15, 0, 0, 0
0.202871, 0, 3.64939e-15, 0, 1.41421, -3.64939e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5357e-18, 0, 0, 0, 0, 3.64785e-15, 0, 0, 0
0.210743, 0, 7.2506e-15, 0, 1.41421, -7.2506e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05112e-18, 0, 0, 0, 0, 7.24755e-15, 0, 0, 0
0.218616, 0, 1.42509e-14, 0, 1.41421, -1.42509e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99689e-18, 0, 0, 0, 0, 1.42449e-14, 0, 0, 0
0.226488, 0, 2.77141e-14, 0, 1.41421, -2.77141e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16623e-17, 0, 0, 0, 0, 2.77024e-14, 0, 0, 0
0.234361, 0, 5.33353e-14, 0, 1.41421, -5.33353e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24437e-17, 0, 0, 0, 0, 5.33128e-14, 0, 0, 0
0.242233, 0, 1.01589e-13, 0, 1.41421, -1.01589e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.27491e-17, 0, 0, 0, 0, 1.01546e-13, 0, 0, 0
0.250106, 0, 1.91537e-13, 0, 1.41421, -1.91537e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.05994e-17, 0, 0, 0, 0, 1.91457e-13, 0, 0, 0
0.257978, 0, 3.57507e-13, 0, 1.41421, -3.57507e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5044e-16, 0, 0, 0, 0, 3.57357e-13, 0, 0, 0
0.265851, 0, 6.60673e-13, 0, 1.41421, -6.60673e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78012e-16, 0, 0, 0, 0, 6.60395e-13, 0, 0, 0
0.273723, 0, 1.20894e-12, 0, 1.41421, -1.20894e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.08723e-16, 0, 0, 0, 0, 1.20843e-12, 0, 0, 0
0.281596, 0, 2.19065e-12, 0, 1.41421, -2.19065e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.21837e-16, 0, 0, 0, 0, 2.18973e-12, 0, 0, 0
0.289468, 0, 3.93128e-12, 0, 1.41421, -3.93128e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65432e-15, 0, 0, 0, 0, 3.92962e-12, 0, 0, 0
0.297341, 0, 6.98745e-12, 0, 1.41421, -6.98745e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.94046e-15, 0, 0, 0, 0, 6.98451e-12, 0, 0, 0
0.305213, 0, 1.23015e-11, 0, 1.41421, -1.23015e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1769e-15, 0, 0, 0, 0, 1.22963e-11, 0, 0, 0
0.313086, 0, 2.14529e-11, 0, 1.41421, -2.14529e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.02859e-15, 0, 0, 0, 0, 2.14439e-11, 0, 0, 0
0.320958, 0, 3.7062e-11, 0, 1.41421, -3.7062e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55989e-14, 0, 0, 0, 0, 3.70464e-11, 0, 0, 0
0.328831, 0, 6.34604e-11, 3.78351e-44, 1.41421, -6.34604e-11, 0, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 2.67128e-14, 3.78351e-44, 3.78351e-44, 3.78351e-44, 3.78351e-44, 6.34336e-11, 3.78351e-44, 3.78351e-44, 3.78351e-44
0.336703, 0, 1.07604e-10, 7.28675e-43, 1.41421, -1.07604e-10, 0, 7.28675e-43, 7.28675e-43, 7.28675e-43, 7.28675e-43, 7.28675e-43, 7.28675e-43, 7.28675e-43, 7.28675e-43, 7.28675e-43, 4.53005e-14, 7.28675e-43, 7.28675e-43, 7.28675e-43, 7.28675e-43, 1.07558e-10, 7.28675e-43, 7.28675e-43, 7.28675e-43
0.344576, 0, 1.8078e-10, 1.08292e-41, 1.41421, -1.8078e-10, 0, 1.08292e-41, 1.08292e-41, 1.08292e-41, 1.08292e-41, 1.08292e-41, 1.08292e-41, 1.08292e-41, 1.08292e-41, 1.08292e-41, 7.61217e-14, 1.08292e-41, 1.08292e-41, 1.08292e-41, 1.08292e-41, 1.80704e-10, 1.08292e-41, 1.08292e-41, 1.08292e-41
0.352448, 0, 3.00954e-10, 1.46276e-40, 1.41421, -3.00954e-10, 0, 1.46276e-40, 1.46276e-40, 1.46276e-40, 1.46276e-40, 1.46276e-40, 1.46276e-40, 1.46276e-40, 1.46276e-40, 1.46276e-40, 1.26755e-13, 1.46276e-40, 1.46276e-40, 1.46276e-40, 1.46276e-40, 3.00827e-10, 1.46276e-40, 1.46276e-40, 1.46276e-40
0.360321, 0, 4.96477e-10, 1.776e-39, 1.41421, -4.96477e-10, 0, 1.776e-39, 1.776e-39, 1.776e-39, 1.776e-39, 1.776e-39, 1.776e-39, 1.776e-39, 1.776e-39, 1.776e-39, 2.0917e-13, 1.776e-39, 1.776e-39, 1.776e-39, 1.776e-39, 4.96268e-10, 1.776e-39, 1.776e-39, 1.776e-39
0.368193, 0, 8.11653e-10, 1.94532e-38, 1.41421, -8.11653e-10, 0, 1.94532e-38, 1.94532e-38, 1.94532e-38, 1.94532e-38, 1.94532e-38, 1.94532e-38, 1.94532e-38, 1.94532e-38, 1.94532e-38, 3.42095e-13, 1.94532e-38, 1.94532e-38, 1.94532e-38, 1.94532e-38, 8.11311e-10, 1.94532e-38, 1.94532e-38, 1.94532e-38
0.376066, 0, 1.31504e-09, 1.92985e-37, 1.41421, -1.31504e-09, 0, 1.92985e-37, 1.92985e-37, 1.92985e-37, 1.92985e-37, 1.92985e-37, 1.92985e-37, 1.92985e-37, 1.92985e-37, 1.92985e-37, 5.54551e-13, 1.92985e-37, 1.92985e-37, 1.92985e-37, 1.92985e-37, 1.31449e-09, 1.92985e-37, 1.92985e-37, 1.92985e-37
0.383938, 0, 2.1117e-09, 1.7448e-36, 1.41421, -2.1117e-09, 0, 1.7448e-36, 1.7448e-36, 1.7448e-36, 1.7448e-36, 1.7448e-36, 1.7448e-36, 1.7448e-36, 1.7448e-36, 1.7448e-36, 8.9108e-13, 1.7448e-36, 1.7448e-36, 1.7448e-36, 1.7448e-36, 2.11081e-09, 1.7448e-36, 1.7448e-36, 1.7448e-36
0.391811, 0, 3.36104e-09, 1.44507e-35, 1.41421, -3.36104e-09, 0, 1.44507e-35, 1.44507e-35, 1.44507e-35, 1.44507e-35, 1.44507e-35, 1.44507e-35, 1.44507e-35, 1.44507e-35, 1.44507e-35, 1.41942e-12, 1.44507e-35, 1.44507e-35, 1.44507e-35, 1.44507e-35, 3.35962e-09, 1.44507e-35, 1.44507e-35, 1.44507e-35
0.399683, 0, 5.30259e-09, 1.10101e-34, 1.41421, -5.30259e-09, 0, 1.10101e-34, 1.10101e-34, 1.10101e-34, 1.10101e-34, 1.10101e-34, 1.10101e-34, 1.10101e-34, 1.10101e-34, 1.10101e-34, 2.24163e-12, 1.10101e-34, 1.10101e-34, 1.10101e-34, 1.10101e-34, 5.30034e-09, 1.10101e-34, 1.10101e-34, 1.10101e-34
0.407556, 0, 8.29283e-09, 7.75111e-34, 1.41421, -8.29283e-09, 0, 7.75111e-34, 7.75111e-34, 7.75111e-34, 7.75111e-34, 7.75111e-34, 7.75111e-34, 7.75111e-34, 7.75111e-34, 7.75111e-34, 3.5101e-12, 7.75111e-34, 7.75111e-34, 7.75111e-34, 7.75111e-34, 8.28932e-09, 7.75111e-34, 7.75111e-34, 7.75111e-34
0.415428, 0, 1.28572e-08, 5.35632e-33, 1.41421, -1.28572e-08, 0, 5.35632e-33, 5.35632e-33, 5.35632e-33, 5.35632e-33, 5.35632e-33, 5.35632e-33, 5.35632e-33, 5.35632e-33, 5.35632e-33, 5.45035e-12, 5.35632e-33, 5.35632e-33, 5.35632e-33, 5.35632e-33, 1.28518e-08, 5.35632e-33, 5.35632e-33, 5.35632e-33
0.423301, 0, 1.97628e-08, 3.12098e-32, 1.41421, -1.97628e-08, 0, 3.12098e-32, 3.12098e-32, 3.12098e-32, 3.12098e-32, 3.12098e-32, 3.12098e-32, 3.12098e-32, 3.12098e-32, 3.12098e-32, 8.39325e-12, 3.12098e-32, 3.12098e-32, 3.12098e-32, 3.12098e-32, 1.97544e-08, 3.12098e-32, 3.12098e-32, 3.12098e-32
0.431173, 0, 3.0119e-08, 1.70326e-31, 1.41421, -3.0119e-08, 0, 1.70326e-31, 1.70326e-31, 1.70326e-31, 1.70326e-31, 1.70326e-31, 1.70326e-31, 1.70326e-31, 1.70326e-31, 1.70326e-31, 1.28201e-11, 1.70326e-31, 1.70326e-31, 1.70326e-31, 1.70326e-31, 3.01062e-08, 1.70326e-31, 1.70326e-31, 1.70326e-31
0.439045, 0, 4.55146e-08, 9.18611e-31, 1.41421, -4.55146e-08, 0, 9.18611e-31, 9.18611e-31, 9.18611e-31, 9.18611e-31, 9.18611e-31, 9.18611e-31, 9.18611e-31, 9.18611e-31, 9.18611e-31, 1.94251e-11, 9.18611e-31, 9.18611e-31, 9.18611e-31, 9.18611e-31, 4.54952e-08, 9.18611e-31, 9.18611e-31, 9.18611e-31
0.446918, 0, 6.82048e-08, 4.74826e-30, 1.41421, -6.82048e-08, 0, 4.74826e-30, 4.74826e-30, 4.74826e-30, 4.74826e-30, 4.74826e-30, 4.74826e-30, 4.74826e-30, 4.74826e-30, 4.74826e-30, 2.92019e-11, 4.74826e-30, 4.74826e-30, 4.74826e-30, 4.74826e-30, 6.81756e-08, 4.74826e-30, 4.74826e-30, 4.74826e-30
0.45479, 0, 1.0136e-07, 2.32593e-29, 1.41421, -1.0136e-07, 0, 2.32593e-29, 2.32593e-29, 2.32593e-29, 2.32593e-29, 2.32593e-29, 2.32593e-29, 2.32593e-29, 2.32593e-29, 2.32593e-29, 4.35612e-11, 2.32593e-29, 2.32593e-29, 2.32593e-29, 2.32593e-29, 1.01316e-07, 2.32593e-29, 2.32593e-29, 2.32593e-29
0.462663, 0, 1.49397e-07, 1.0887e-28, 1.41421, -1.49397e-07, 0, 1.0887e-28, 1.0887e-28, 1.0887e-28, 1.0887e-28, 1.0887e-28, 1.0887e-28, 1.0887e-28, 1.0887e-28, 1.0887e-28, 6.44911e-11, 1.0887e-28, 1.0887e-28, 1.0887e-28, 1.0887e-28, 1.49333e-07, 1.0887e-28, 1.0887e-28, 1.0887e-28
0.470535, 0, 2.18415e-07, 4.89828e-28, 1.41421, -2.18415e-07, 0, 4.89828e-28, 4.89828e-28, 4.89828e-28, 4.89828e-28, 4.89828e-28, 4.89828e-28, 4.89828e-28, 4.89828e-28, 4.89828e-28, 9.47724e-11, 4.89828e-28, 4.89828e-28, 4.89828e-28, 4.89828e-28, 2.1832e-07, 4.89828e-28, 4.89828e-28, 4.89828e-28
0.478408, 0, 3.16754e-07, 2.10526e-27, 1.41421, -3.16754e-07, 0, 2.10526e-27, 2.10526e-27, 2.10526e-27, 2.10526e-27, 2.10526e-27, 2.10526e-27, 2.10526e-27, 2.10526e-27, 2.10526e-27, 1.38267e-10, 2.10526e-27, 2.10526e-27, 2.10526e-27, 2.10526e-27, 3.16615e-07, 2.10526e-27, 2.10526e-27, 2.10526e-27
0.48628, 0, 4.55727e-07, 8.63882e-27, 1.41421, -4.55727e-07, 0, 8.63882e-27, 8.63882e-27, 8.63882e-27, 8.63882e-27, 8.63882e-27, 8.63882e-27, 8.63882e-27, 8.63882e-27, 8.63882e-27, 2.00305e-10, 8.63882e-27, 8.63882e-27, 8.63882e-27, 8.63882e-27, 4.55527e-07, 8.63882e-27, 8.63882e-27, 8.63882e-27
0.494153, 0, 6.50537e-07, 3.38642e-26, 1.41421, -6.50537e-07, 0, 3.38642e-26, 3.38642e-26, 3.38642e-26, 3.38642e-26, 3.38642e-26, 2.71795e-12, 3.38642e-26, 3.38642e-26, 3.38642e-26, 2.88184e-10, 3.38642e-26, 3.38642e-26, 3.38642e-26, 3.38642e-26, 6.50246e-07, 3.38642e-26, 3.38642e-26, 3.38642e-26
0.502025, 0, 9.21439e-07, 1.27008e-25, 1.41421, -9.21439e-07, 0, 1.27008e-25, 1.27008e-25, 1.27008e-25, 1.27008e-25, 1.27008e-25, 9.67971e-12, 1.27008e-25, 1.27008e-25, 1.27008e-25, 4.11839e-10, 1.27008e-25, 1.27008e-25, 1.27008e-25, 1.27008e-25, 9.21017e-07, 1.27008e-25, 1.27008e-25, 1.27008e-25
0.509898, 0, 1.29518e-06, 4.5734e-25, 1.41421, -1.29518e-06, 0, 4.5734e-25, 4.5734e-25, 4.5734e-25, 4.5734e-25, 4.5734e-25, 2.68709e-11, 4.5734e-25, 4.5734e-25, 4.5734e-25, 5.84705e-10, 4.5734e-25, 4.5734e-25, 4.5734e-25, 4.5734e-25, 1.29457e-06, 4.5734e-25, 4.5734e-25, 4.5734e-25
0.51777, 0, 1.80939e-06, 1.59694e-24, 1.41421, -1.80939e-06, 0, 3.09036e-15, 6.76712e-10, 2.02111e-11, 7.27985e-13, 6.33008e-11, 2.16506e-10, 8.14467e-11, 8.61823e-13, 1.29253e-09, 8.24849e-10, 2.17076e-12, 2.83338e-12, 4.61703e-14, 1.64204e-15, 1.80618e-06, 1.59694e-24, 1.59694e-24, 3.28047e-11
0.525643, 0, 2.51134e-06, 3.95136e-10, 1.41421, -2.51134e-06, 3.95136e-10, 3.95147e-10, 2.79044e-09, 4.66676e-10, 3.97713e-10, 6.19197e-10, 1.08445e-09, 6.83426e-10, 3.98186e-10, 4.97021e-09, 1.55149e-09, 4.0282e-10, 4.05165e-10, 3.95882e-10, 3.95142e-10, 2.5018e-06, 3.95136e-10, 3.95136e-10, 5.11252e-10
0.533515, 0, 3.4654e-06, 1.39016e-09, 1.41421, -3.4654e-06, 1.39016e-09, 1.39019e-09, 8.00236e-09, 1.58765e-09, 1.39728e-09, 2.00868e-09, 3.22123e-09, 2.18599e-09, 1.39859e-09, 1.40196e-08, 3.00135e-09, 1.41138e-09, 1.41785e-09, 1.39299e-09, 1.39018e-09, 3.44072e-06, 1.39016e-09, 1.39016e-09, 1.7107e-09
0.541388, 0, 4.76054e-06, 3.82214e-09, 1.41421, -4.76054e-06, 3.82214e-09, 3.82222e-09, 2.04746e-08, 4.31949e-09, 3.84005e-09, 5.37984e-09, 8.33268e-09, 5.82637e-09, 3.84335e-09, 3.56286e-08, 6.05357e-09, 3.87556e-09, 3.89186e-09, 3.83037e-09, 3.82218e-09, 4.7003e-06, 3.82214e-09, 3.82214e-09, 4.62939e-09
0.54926, 0, 6.52192e-06, 9.59854e-09, 1.41421, -6.52192e-06, 9.59854e-09, 9.59873e-09, 4.94879e-08, 1.07899e-08, 9.64146e-09, 1.33299e-08, 2.02282e-08, 1.43995e-08, 9.64935e-09, 8.57879e-08, 1.26707e-08, 9.7265e-09, 9.76556e-09, 9.61998e-09, 9.59864e-09, 6.38007e-06, 9.59854e-09, 9.59854e-09, 1.15322e-08
0.557133, 0, 8.93486e-06, 2.29397e-08, 1.41421, -8.93486e-06, 2.29397e-08, 2.29401e-08, 1.15144e-07, 2.56935e-08, 2.30388e-08, 3.15646e-08, 4.71723e-08, 3.4037e-08, 2.30571e-08, 1.99051e-07, 2.71447e-08, 2.32354e-08, 2.33257e-08, 2.29921e-08, 2.29399e-08, 8.61021e-06, 2.29397e-08, 2.29397e-08, 2.74094e-08
0.565005, 0, 1.22901e-05, 5.29212e-08, 1.41421, -1.22901e-05, 5.29212e-08, 5.29221e-08, 2.59742e-07, 5.90982e-08, 5.31437e-08, 7.22675e-08, 1.09829e-07, 7.78134e-08, 5.31846e-08, 4.47952e-07, 5.86435e-08, 5.35846e-08, 5.37871e-08, 5.30444e-08, 5.29217e-08, 1.15631e-05, 5.29212e-08, 5.29212e-08, 6.29472e-08
0.572878, 0, 1.70668e-05, 1.18495e-07, 1.41421, -1.70668e-05, 1.18495e-07, 1.18497e-07, 5.69753e-07, 1.31973e-07, 1.18981e-07, 1.60707e-07, 2.55485e-07, 1.72807e-07, 1.1907e-07, 9.80405e-07, 1.26238e-07, 1.19943e-07, 1.20385e-07, 1.18775e-07, 1.18496e-07, 1.54724e-05, 1.18495e-07, 1.18495e-07, 1.40371e-07
0.58075, 0, 2.41077e-05, 2.58294e-07, 1.41421, -2.41077e-05, 2.58294e-07, 2.58299e-07, 1.21741e-06, 2.8694e-07, 2.59326e-07, 3.48012e-07, 6.08447e-07, 3.73731e-07, 2.59516e-07, 2.09023e-06, 2.68712e-07, 2.61371e-07, 2.6231e-07, 2.58913e-07, 2.58297e-07, 2.06658e-05, 2.58294e-07, 2.58294e-07, 3.04789e-07
0.588623, 0, 3.47848e-05, 5.47683e-07, 1.41421, -3.47848e-05, 5.47683e-07, 5.47692e-07, 2.53288e-06, 6.06975e-07, 5.49819e-07, 7.33382e-07, 1.32329e-06, 7.86615e-07, 5.50212e-07, 4.33945e-06, 5.61623e-07, 5.54051e-07, 5.55995e-07, 5.49009e-07, 5.47688e-07, 2.76174e-05, 5.47683e-07, 5.47683e-07, 6.43919e-07
0.596495, 0, 5.16056e-05, 1.13178e-06, 1.41421, -5.16056e-05, 1.13178e-06, 1.1318e-06, 5.13719e-06, 1.25141e-06, 1.13609e-06, 1.50645e-06, 2.8066e-06, 1.61385e-06, 1.13688e-06, 8.78219e-06, 1.15033e-06, 1.14463e-06, 1.14855e-06, 1.13455e-06, 1.13179e-06, 3.70441e-05, 1.13178e-06, 1.13178e-06, 1.32595e-06
0.604368, 0, 7.89259e-05, 2.27991e-06, 1.41421, -7.89259e-05, 2.27991e-06, 2.27994e-06, 1.01594e-05, 2.51524e-06, 2.28838e-06, 3.01697e-06, 5.80696e-06, 3.22825e-06, 2.28994e-06, 1.73299e-05, 2.30446e-06, 2.30518e-06, 2.3129e-06, 2.28556e-06, 2.27993e-06, 5.00597e-05, 2.27991e-06, 2.27991e-06, 2.66188e-06
0.61224, 0, 0.000124331, 4.47815e-06, 1.41421, -0.000124331, 4.47815e-06, 4.47822e-06, 1.95946e-05, 4.92963e-06, 4.49441e-06, 5.89217e-06, 1.17789e-05, 6.29752e-06, 4.4974e-06, 3.33509e-05, 4.5105e-06, 4.52664e-06, 4.54144e-06, 4.48939e-06, 4.47819e-06, 6.84324e-05, 4.47815e-06, 4.47815e-06, 5.21095e-06
0.620113, 0, 0.000200773, 8.5782e-06, 1.41421, -0.000200773, 8.5782e-06, 8.57833e-06, 3.68658e-05, 9.42305e-06, 8.60863e-06, 1.12243e-05, 2.34328e-05, 1.19828e-05, 8.61422e-06, 6.2608e-05, 8.62059e-06, 8.66894e-06, 8.69664e-06, 8.60003e-06, 8.57827e-06, 9.49943e-05, 8.5782e-06, 8.5782e-06, 9.94948e-06
0.627985, 0, 0.000329971, 1.60287e-05, 1.41421, -0.000329971, 1.60287e-05, 1.60289e-05, 6.7673e-05, 1.75712e-05, 1.60843e-05, 2.08596e-05, 4.57358e-05, 2.22444e-05, 1.60945e-05, 0.00011467, 1.6084e-05, 1.61944e-05, 1.62449e-05, 1.60701e-05, 1.60288e-05, 0.000134285, 1.60287e-05, 1.60287e-05, 1.85322e-05
0.635858, 0, 0.000547543, 2.9221e-05, 1.41421, -0.000547543, 2.9221e-05, 2.92214e-05, 0.000121228, 3.19689e-05, 2.932e-05, 3.78275e-05, 8.76031e-05, 4.02946e-05, 2.93382e-05, 0.000204956, 2.92929e-05, 2.95161e-05, 2.96062e-05, 2.92976e-05, 2.92212e-05, 0.000193484, 2.9221e-05, 2.9221e-05, 3.36812e-05
0.64373, 0, 0.000910636, 5.19855e-05, 1.41421, -0.000910636, 5.19855e-05, 5.19862e-05, 0.000211976, 5.67639e-05, 5.21576e-05, 6.69513e-05, 0.000164705, 7.12414e-05, 5.21893e-05, 0.00035757, 5.20786e-05, 5.24987e-05, 5.26554e-05, 5.21241e-05, 5.19859e-05, 0.000283794, 5.19855e-05, 5.19855e-05, 5.97413e-05
0.651603, 0, 0.00150882, 9.02723e-05, 1.41421, -0.00150882, 9.02723e-05, 9.02735e-05, 0.000361875, 9.83842e-05, 9.05645e-05, 0.000115678, 0.000304001, 0.000122961, 9.06182e-05, 0.000609039, 9.03925e-05, 9.11435e-05, 9.14095e-05, 9.05171e-05, 9.02729e-05, 0.000422336, 9.02723e-05, 9.02723e-05, 0.000103439
0.659475, 0, 0.00247925, 0.000153042, 1.41421, -0.00247925, 0.000153042, 0.000153044, 0.000603284, 0.000166489, 0.000153526, 0.000195158, 0.00055086, 0.000207231, 0.000153615, 0.00101301, 0.000153196, 0.000154486, 0.000154927, 0.000153465, 0.000153043, 0.000634675, 0.000153042, 0.000153042, 0.000174868
