   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_300.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0276362, 600, 0, 0, 24.5357, 600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0197712, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0119062, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00404126, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00382373, 0, 1.50049e-22, 0, 1.41421, -1.50049e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75885e-25, 0, 0, 9.11102e-28, 0, 1.49773e-22, 0, 0, 0
0.0116887, 0, 3.89929e-22, 0, 1.41421, -3.89929e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16934e-25, 0, 0, 2.40776e-27, 0, 3.8921e-22, 0, 0, 0
0.0195537, 0, 9.90085e-22, 0, 1.41421, -9.90085e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.8204e-24, 0, 0, 6.21681e-27, 0, 9.88259e-22, 0, 0, 0
0.0274187, 0, 2.67741e-21, 0, 1.41421, -2.67741e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.92276e-24, 0, 0, 1.72912e-26, 0, 2.67247e-21, 0, 0, 0
0.0352837, 0, 6.47576e-21, 0, 1.41421, -6.47576e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19065e-23, 0, 0, 4.25372e-26, 0, 6.46381e-21, 0, 0, 0
0.0431487, 0, 1.53896e-20, 0, 1.41421, -1.53896e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82956e-23, 0, 0, 1.02806e-25, 0, 1.53612e-20, 0, 0, 0
0.0510136, 0, 3.5973e-20, 0, 1.41421, -3.5973e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.6141e-23, 0, 0, 2.4437e-25, 0, 3.59067e-20, 0, 0, 0
0.0588786, 0, 8.27809e-20, 0, 1.41421, -8.27809e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52203e-22, 0, 0, 5.7182e-25, 0, 8.26281e-20, 0, 0, 0
0.0667436, 0, 1.8768e-19, 0, 1.41421, -1.8768e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.45073e-22, 0, 0, 1.31825e-24, 0, 1.87334e-19, 0, 0, 0
0.0746086, 0, 4.19502e-19, 0, 1.41421, -4.19502e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.71307e-22, 0, 0, 2.99617e-24, 0, 4.18728e-19, 0, 0, 0
0.0824736, 0, 9.2498e-19, 0, 1.41421, -9.2498e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70069e-21, 0, 0, 6.71785e-24, 0, 9.23272e-19, 0, 0, 0
0.0903386, 0, 2.01298e-18, 0, 1.41421, -2.01298e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.70111e-21, 0, 0, 1.4867e-23, 0, 2.00926e-18, 0, 0, 0
0.0982036, 0, 4.32568e-18, 0, 1.41421, -4.32568e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.9533e-21, 0, 0, 3.24904e-23, 0, 4.31769e-18, 0, 0, 0
0.106069, 0, 9.18244e-18, 0, 1.41421, -9.18244e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68831e-20, 0, 0, 7.01478e-23, 0, 9.16549e-18, 0, 0, 0
0.113934, 0, 1.92625e-17, 0, 1.41421, -1.92625e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54166e-20, 0, 0, 1.49683e-22, 0, 1.9227e-17, 0, 0, 0
0.121799, 0, 3.99453e-17, 0, 1.41421, -3.99453e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.34443e-20, 0, 0, 3.15779e-22, 0, 3.98715e-17, 0, 0, 0
0.129663, 0, 8.19128e-17, 0, 1.41421, -8.19128e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50607e-19, 0, 0, 6.5886e-22, 0, 8.17615e-17, 0, 0, 0
0.137528, 0, 1.66147e-16, 0, 1.41421, -1.66147e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.05482e-19, 0, 0, 1.35998e-21, 0, 1.6584e-16, 0, 0, 0
0.145393, 0, 3.33429e-16, 0, 1.41421, -3.33429e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.13049e-19, 0, 0, 2.77796e-21, 0, 3.32813e-16, 0, 0, 0
0.153258, 0, 6.62193e-16, 0, 1.41421, -6.62193e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21752e-18, 0, 0, 5.61672e-21, 0, 6.6097e-16, 0, 0, 0
0.161123, 0, 1.30177e-15, 0, 1.41421, -1.30177e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.39346e-18, 0, 0, 1.12437e-20, 0, 1.29936e-15, 0, 0, 0
