   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_102.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.166665, 0, 1.70317e-14, 0, 1.41421, -1.70317e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60864e-16, 0, 0, 3.27138e-19, 6.17847e-19, 0, 1.68699e-14, 0, 0, 0
0.174542, 0, 3.09474e-14, 0, 1.41421, -3.09474e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92295e-16, 0, 0, 6.06184e-19, 1.14738e-18, 0, 3.06533e-14, 0, 0, 0
0.182419, 0, 5.57643e-14, 0, 1.41421, -5.57643e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.26687e-16, 0, 0, 1.11429e-18, 2.11449e-18, 0, 5.52344e-14, 0, 0, 0
0.190297, 0, 9.96546e-14, 0, 1.41421, -9.96546e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.41224e-16, 0, 0, 2.03218e-18, 3.86748e-18, 0, 9.87075e-14, 0, 0, 0
0.198174, 0, 1.76637e-13, 0, 1.41421, -1.76637e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66831e-15, 0, 0, 3.67741e-18, 7.02153e-18, 0, 1.74958e-13, 0, 0, 0
0.206051, 0, 3.10558e-13, 0, 1.41421, -3.10558e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93317e-15, 0, 0, 6.60369e-18, 1.26552e-17, 0, 3.07606e-13, 0, 0, 0
0.213928, 0, 5.41643e-13, 0, 1.41421, -5.41643e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11575e-15, 0, 0, 1.17692e-17, 2.26463e-17, 0, 5.36493e-13, 0, 0, 0
0.221806, 0, 9.37176e-13, 0, 1.41421, -9.37176e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.85154e-15, 0, 0, 2.08197e-17, 4.02402e-17, 0, 9.28263e-13, 0, 0, 0
0.229683, 0, 1.60878e-12, 0, 1.41421, -1.60878e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51949e-14, 0, 0, 3.65614e-17, 7.10138e-17, 0, 1.59347e-12, 0, 0, 0
0.23756, 0, 2.74006e-12, 0, 1.41421, -2.74006e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.58802e-14, 0, 0, 6.37454e-17, 1.24475e-16, 0, 2.71399e-12, 0, 0, 0
