   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_312.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0283647, 624, 0, 0, 25.02, 624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0204985, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0126323, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0047661, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00310009, 0, 3.91651e-23, 0, 1.41421, -3.91651e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06498e-25, 0, 4.51466e-28, 0, 2.90139e-27, 0, 3.90552e-23, 0, 0, 0
0.0109663, 0, 1.03967e-22, 0, 1.41421, -1.03967e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.82707e-25, 0, 1.21672e-27, 0, 7.90067e-27, 0, 1.03675e-22, 0, 0, 0
0.0188325, 0, 2.69571e-22, 0, 1.41421, -2.69571e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.33018e-25, 0, 3.20288e-27, 0, 2.09719e-26, 0, 2.68814e-22, 0, 0, 0
0.0266987, 0, 6.84011e-22, 0, 1.41421, -6.84011e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85996e-24, 0, 8.25108e-27, 0, 5.43913e-26, 0, 6.82088e-22, 0, 0, 0
0.0345648, 0, 1.70117e-21, 0, 1.41421, -1.70117e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.6258e-24, 0, 2.0835e-26, 0, 1.38087e-25, 0, 1.69639e-21, 0, 0, 0
0.042431, 0, 4.1525e-21, 0, 1.41421, -4.1525e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12914e-23, 0, 5.16388e-26, 0, 3.43722e-25, 0, 4.14082e-21, 0, 0, 0
