   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_343.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0308218, 686, 0, 0, 26.2298, 686, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0229545, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0150871, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00721981, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000647519, 0, 4.31474e-24, 0, 1.41421, -4.31474e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84452e-29, 0, 1.00637e-27, 0, 4.31369e-24, 0, 0, 0
0.00851485, 0, 1.25429e-23, 0, 1.41421, -1.25429e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42992e-28, 0, 3.05566e-27, 0, 1.25397e-23, 0, 0, 0
0.0163822, 0, 4.01412e-23, 0, 1.41421, -4.01412e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.69059e-28, 0, 1.03717e-26, 0, 4.01303e-23, 0, 0, 0
0.0242495, 0, 1.0712e-22, 0, 1.41421, -1.0712e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26821e-27, 0, 2.84782e-26, 0, 1.0709e-22, 0, 0, 0
0.0321169, 0, 2.78828e-22, 0, 1.41421, -2.78828e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34394e-27, 0, 7.6076e-26, 0, 2.78748e-22, 0, 0, 0
0.0399842, 0, 7.09488e-22, 0, 1.41421, -7.09488e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.61825e-27, 0, 1.98275e-25, 0, 7.09281e-22, 0, 0, 0
0.0478515, 0, 1.76796e-21, 0, 1.41421, -1.76796e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.17511e-26, 0, 5.05285e-25, 0, 1.76743e-21, 0, 0, 0
0.0557189, 0, 4.32076e-21, 0, 1.41421, -4.32076e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.38403e-26, 0, 1.26134e-24, 0, 4.31945e-21, 0, 0, 0
0.0635862, 0, 1.03693e-20, 0, 1.41421, -1.03693e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30877e-25, 0, 3.08889e-24, 0, 1.03661e-20, 0, 0, 0
0.0714535, 0, 2.44626e-20, 0, 1.41421, -2.44626e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.12765e-25, 0, 7.43008e-24, 0, 2.44549e-20, 0, 0, 0
0.0793209, 0, 5.67836e-20, 0, 1.41421, -5.67836e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.35526e-25, 0, 1.75744e-23, 0, 5.67653e-20, 0, 0, 0
0.0871882, 0, 1.29795e-19, 0, 1.41421, -1.29795e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.70356e-24, 0, 4.09137e-23, 0, 1.29752e-19, 0, 0, 0
0.0950555, 0, 2.92358e-19, 0, 1.41421, -2.92358e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88883e-24, 0, 9.38248e-23, 0, 2.92261e-19, 0, 0, 0
0.102923, 0, 6.49338e-19, 0, 1.41421, -6.49338e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.75518e-24, 0, 2.121e-22, 0, 6.49118e-19, 0, 0, 0
0.11079, 0, 1.42287e-18, 0, 1.41421, -1.42287e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94512e-23, 0, 4.72956e-22, 0, 1.42238e-18, 0, 0, 0
0.118658, 0, 3.07764e-18, 0, 1.41421, -3.07764e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26667e-23, 0, 1.04089e-21, 0, 3.07656e-18, 0, 0, 0
0.126525, 0, 6.57385e-18, 0, 1.41421, -6.57385e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.24471e-23, 0, 2.26214e-21, 0, 6.5715e-18, 0, 0, 0
0.134392, 0, 1.38722e-17, 0, 1.41421, -1.38722e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97943e-22, 0, 4.85695e-21, 0, 1.38671e-17, 0, 0, 0
0.14226, 0, 2.893e-17, 0, 1.41421, -2.893e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18976e-22, 0, 1.03066e-20, 0, 2.89192e-17, 0, 0, 0
0.150127, 0, 5.96442e-17, 0, 1.41421, -5.96442e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.76978e-22, 0, 2.16242e-20, 0, 5.96217e-17, 0, 0, 0
0.157994, 0, 1.216e-16, 0, 1.41421, -1.216e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81581e-21, 0, 4.4873e-20, 0, 1.21553e-16, 0, 0, 0
0.165862, 0, 2.45216e-16, 0, 1.41421, -2.45216e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72005e-21, 0, 9.21265e-20, 0, 2.45121e-16, 0, 0, 0
0.173729, 0, 4.89243e-16, 0, 1.41421, -4.89243e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.54284e-21, 0, 1.87181e-19, 0, 4.89048e-16, 0, 0, 0
0.181596, 0, 9.65931e-16, 0, 1.41421, -9.65931e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51399e-20, 0, 3.76468e-19, 0, 9.65539e-16, 0, 0, 0
0.189464, 0, 1.88755e-15, 0, 1.41421, -1.88755e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00889e-20, 0, 7.49703e-19, 0, 1.88677e-15, 0, 0, 0
0.197331, 0, 3.65137e-15, 0, 1.41421, -3.65137e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.92192e-20, 0, 1.47857e-18, 0, 3.64984e-15, 0, 0, 0
0.205198, 0, 6.99339e-15, 0, 1.41421, -6.99339e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15442e-19, 0, 2.88851e-18, 0, 6.99039e-15, 0, 0, 0
0.213066, 0, 1.32634e-14, 0, 1.41421, -1.32634e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22938e-19, 0, 5.59078e-18, 0, 1.32576e-14, 0, 0, 0
0.220933, 0, 2.49123e-14, 0, 1.41421, -2.49123e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.26564e-19, 0, 1.0723e-17, 0, 2.49011e-14, 0, 0, 0
0.2288, 0, 4.63465e-14, 0, 1.41421, -4.63465e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.08811e-19, 0, 2.03837e-17, 0, 4.63253e-14, 0, 0, 0
0.236668, 0, 8.54107e-14, 0, 1.41421, -8.54107e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51996e-18, 0, 3.84097e-17, 0, 8.53707e-14, 0, 0, 0
