   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_346.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0275577, 692, 0, 0, 26.3439, 692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.019695, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0118322, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00396951, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00389322, 0, 6.59226e-23, 0, 1.41421, -6.59226e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.59226e-23, 0, 0, 0
0.011756, 0, 1.68315e-22, 0, 1.41421, -1.68315e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68315e-22, 0, 0, 0
0.0196187, 0, 4.20328e-22, 0, 1.41421, -4.20328e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20328e-22, 0, 0, 0
0.0274814, 0, 1.02851e-21, 0, 1.41421, -1.02851e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02851e-21, 0, 0, 0
0.0353441, 0, 2.4696e-21, 0, 1.41421, -2.4696e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4696e-21, 0, 0, 0
0.0432069, 0, 5.82608e-21, 0, 1.41421, -5.82608e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.82608e-21, 0, 0, 0
0.0510696, 0, 1.35181e-20, 0, 1.41421, -1.35181e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35181e-20, 0, 0, 0
0.0589323, 0, 3.08772e-20, 0, 1.41421, -3.08772e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08772e-20, 0, 0, 0
0.0667951, 0, 6.94848e-20, 0, 1.41421, -6.94848e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.94848e-20, 0, 0, 0
0.0746578, 0, 1.5416e-19, 0, 1.41421, -1.5416e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5416e-19, 0, 0, 0
0.0825205, 0, 3.37406e-19, 0, 1.41421, -3.37406e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.37406e-19, 0, 0, 0
0.0903833, 0, 7.28906e-19, 0, 1.41421, -7.28906e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.28906e-19, 0, 0, 0
0.098246, 0, 1.55505e-18, 0, 1.41421, -1.55505e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55505e-18, 0, 0, 0
0.106109, 0, 3.27762e-18, 0, 1.41421, -3.27762e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27762e-18, 0, 0, 0
0.113971, 0, 6.82794e-18, 0, 1.41421, -6.82794e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.82794e-18, 0, 0, 0
0.121834, 0, 1.40634e-17, 0, 1.41421, -1.40634e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.40634e-17, 0, 0, 0
0.129697, 0, 2.86485e-17, 0, 1.41421, -2.86485e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86485e-17, 0, 0, 0
0.13756, 0, 5.77364e-17, 0, 1.41421, -5.77364e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.77364e-17, 0, 0, 0
0.145422, 0, 1.15145e-16, 0, 1.41421, -1.15145e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15145e-16, 0, 0, 0
0.153285, 0, 2.27298e-16, 0, 1.41421, -2.27298e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27298e-16, 0, 0, 0
0.161148, 0, 4.44209e-16, 0, 1.41421, -4.44209e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44209e-16, 0, 0, 0
0.169011, 0, 8.59621e-16, 0, 1.41421, -8.59621e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.59621e-16, 0, 0, 0
0.176873, 0, 1.64752e-15, 0, 1.41421, -1.64752e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.64752e-15, 0, 0, 0
0.184736, 0, 3.1277e-15, 0, 1.41421, -3.1277e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.1277e-15, 0, 0, 0
0.192599, 0, 5.88241e-15, 0, 1.41421, -5.88241e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.88241e-15, 0, 0, 0
0.200462, 0, 1.09617e-14, 0, 1.41421, -1.09617e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09617e-14, 0, 0, 0
0.208324, 0, 2.02414e-14, 0, 1.41421, -2.02414e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02414e-14, 0, 0, 0
0.216187, 0, 3.7042e-14, 0, 1.41421, -3.7042e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7042e-14, 0, 0, 0
0.22405, 0, 6.71866e-14, 0, 1.41421, -6.71866e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71866e-14, 0, 0, 0
0.231912, 0, 1.20794e-13, 0, 1.41421, -1.20794e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20794e-13, 0, 0, 0
0.239775, 0, 2.15288e-13, 0, 1.41421, -2.15288e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15288e-13, 0, 0, 0
0.247638, 0, 3.80399e-13, 0, 1.41421, -3.80399e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80399e-13, 0, 0, 0
0.255501, 0, 6.664e-13, 0, 1.41421, -6.664e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.664e-13, 0, 0, 0
0.263363, 0, 1.15754e-12, 0, 1.41421, -1.15754e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15754e-12, 0, 0, 0
0.271226, 0, 1.99376e-12, 0, 1.41421, -1.99376e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99376e-12, 0, 0, 0
0.279089, 0, 3.40825e-12, 0, 1.41421, -3.40825e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.40825e-12, 0, 0, 0
0.286952, 0, 5.7724e-12, 0, 1.41421, -5.7724e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.7724e-12, 0, 0, 0
0.294814, 0, 9.69608e-12, 0, 1.41421, -9.69608e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.69608e-12, 0, 0, 0
0.302677, 0, 1.61537e-11, 0, 1.41421, -1.61537e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61537e-11, 0, 0, 0
0.31054, 0, 2.66934e-11, 0, 1.41421, -2.66934e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.66934e-11, 0, 0, 0
0.318403, 0, 4.37534e-11, 2.17201e-43, 1.41421, -4.37534e-11, 0, 2.17201e-43, 2.17201e-43, 2.17201e-43, 2.17201e-43, 2.17201e-43, 2.17201e-43, 2.17201e-43, 2.17201e-43, 2.17201e-43, 2.17201e-43, 2.17201e-43, 4.37534e-11, 2.17201e-43, 2.17201e-43, 2.17201e-43
0.326265, 0, 7.11402e-11, 3.72045e-42, 1.41421, -7.11402e-11, 0, 3.72045e-42, 3.72045e-42, 3.72045e-42, 3.72045e-42, 3.72045e-42, 3.72045e-42, 3.72045e-42, 3.72045e-42, 3.72045e-42, 3.72045e-42, 3.72045e-42, 7.11402e-11, 3.72045e-42, 3.72045e-42, 3.72045e-42
0.334128, 0, 1.14745e-10, 5.27084e-41, 1.41421, -1.14745e-10, 0, 5.27084e-41, 5.27084e-41, 5.27084e-41, 5.27084e-41, 5.27084e-41, 5.27084e-41, 5.27084e-41, 5.27084e-41, 5.27084e-41, 5.27084e-41, 5.27084e-41, 1.14745e-10, 5.27084e-41, 5.27084e-41, 5.27084e-41
0.341991, 0, 1.83604e-10, 6.62495e-40, 1.41421, -1.83604e-10, 0, 6.62495e-40, 6.62495e-40, 6.62495e-40, 6.62495e-40, 6.62495e-40, 6.62495e-40, 6.62495e-40, 6.62495e-40, 6.62495e-40, 6.62495e-40, 6.62495e-40, 1.83604e-10, 6.62495e-40, 6.62495e-40, 6.62495e-40
