   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_126.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.174507, 0, 8.83994e-15, 0, 1.41421, -8.83994e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.04551e-17, 0, 0, 9.45777e-20, 0, 0, 8.80939e-15, 0, 0, 0
0.182382, 0, 1.64612e-14, 0, 1.41421, -1.64612e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.67114e-17, 0, 0, 1.79506e-19, 0, 0, 1.64043e-14, 0, 0, 0
0.190258, 0, 3.03803e-14, 0, 1.41421, -3.03803e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04665e-16, 0, 0, 3.37776e-19, 0, 0, 3.02753e-14, 0, 0, 0
0.198133, 0, 5.55759e-14, 0, 1.41421, -5.55759e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91467e-16, 0, 0, 6.30247e-19, 0, 0, 5.53838e-14, 0, 0, 0
0.206008, 0, 1.00783e-13, 0, 1.41421, -1.00783e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.47213e-16, 0, 0, 1.1662e-18, 0, 0, 1.00435e-13, 0, 0, 0
0.213883, 0, 1.81191e-13, 0, 1.41421, -1.81191e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2423e-16, 0, 0, 2.14028e-18, 0, 0, 1.80565e-13, 0, 0, 0
0.221758, 0, 3.22975e-13, 0, 1.41421, -3.22975e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1127e-15, 0, 0, 3.89635e-18, 0, 0, 3.21859e-13, 0, 0, 0
0.229634, 0, 5.70845e-13, 0, 1.41421, -5.70845e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96665e-15, 0, 0, 7.03701e-18, 0, 0, 5.68872e-13, 0, 0, 0
0.237509, 0, 1.0005e-12, 0, 1.41421, -1.0005e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44689e-15, 0, 0, 1.26101e-17, 0, 0, 9.97037e-13, 0, 0, 0
0.245384, 0, 1.73897e-12, 0, 1.41421, -1.73897e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99111e-15, 0, 0, 2.24238e-17, 0, 0, 1.73296e-12, 0, 0, 0
0.253259, 0, 2.9976e-12, 0, 1.41421, -2.9976e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03275e-14, 0, 0, 3.95754e-17, 0, 0, 2.98723e-12, 0, 0, 0
0.261134, 0, 5.12493e-12, 0, 1.41421, -5.12493e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76571e-14, 0, 0, 6.9333e-17, 0, 0, 5.1072e-12, 0, 0, 0
0.269009, 0, 8.69079e-12, 0, 1.41421, -8.69079e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99438e-14, 0, 0, 1.20595e-16, 0, 0, 8.66072e-12, 0, 0, 0
0.276885, 0, 1.46188e-11, 0, 1.41421, -1.46188e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03709e-14, 0, 0, 2.08295e-16, 0, 0, 1.45682e-11, 0, 0, 0
0.28476, 0, 2.4393e-11, 0, 1.41421, -2.4393e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.40548e-14, 0, 0, 3.57351e-16, 0, 0, 2.43086e-11, 0, 0, 0
0.292635, 0, 4.0378e-11, 0, 1.41421, -4.0378e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39149e-13, 0, 0, 6.09092e-16, 0, 0, 4.02382e-11, 0, 0, 0
0.30051, 0, 6.63082e-11, 0, 1.41421, -6.63082e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28535e-13, 0, 0, 1.03172e-15, 0, 0, 6.60787e-11, 0, 0, 0
0.308385, 0, 1.08033e-10, 0, 1.41421, -1.08033e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72396e-13, 0, 0, 1.73727e-15, 0, 0, 1.07659e-10, 0, 0, 0
0.316261, 0, 1.74633e-10, 2.77457e-43, 1.41421, -1.74633e-10, 0, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 6.02089e-13, 2.77457e-43, 2.77457e-43, 2.90907e-15, 2.77457e-43, 2.77457e-43, 1.74028e-10, 2.77457e-43, 2.77457e-43, 2.77457e-43
0.324136, 0, 2.80091e-10, 4.87512e-42, 1.41421, -2.80091e-10, 0, 4.87512e-42, 4.87512e-42, 4.87512e-42, 4.87512e-42, 4.87512e-42, 4.87512e-42, 4.87512e-42, 4.87512e-42, 4.87512e-42, 4.87512e-42, 9.65921e-13, 4.87512e-42, 4.87512e-42, 4.84605e-15, 4.87512e-42, 4.87512e-42, 2.7912e-10, 4.87512e-42, 4.87512e-42, 4.87512e-42
0.332011, 0, 4.45752e-10, 7.09926e-41, 1.41421, -4.45752e-10, 0, 7.09926e-41, 7.09926e-41, 7.09926e-41, 7.09926e-41, 7.09926e-41, 7.09926e-41, 7.09926e-41, 7.09926e-41, 7.09926e-41, 7.09926e-41, 1.5377e-12, 7.09926e-41, 7.09926e-41, 8.03437e-15, 7.09926e-41, 7.09926e-41, 4.44206e-10, 7.09926e-41, 7.09926e-41, 7.09926e-41
0.339886, 0, 7.03926e-10, 9.15345e-40, 1.41421, -7.03926e-10, 0, 9.15345e-40, 9.15345e-40, 9.15345e-40, 9.15345e-40, 9.15345e-40, 9.15345e-40, 9.15345e-40, 9.15345e-40, 9.15345e-40, 9.15345e-40, 2.42927e-12, 9.15345e-40, 9.15345e-40, 1.32631e-14, 9.15345e-40, 9.15345e-40, 7.01484e-10, 9.15345e-40, 9.15345e-40, 9.15345e-40
0.347761, 0, 1.10311e-09, 1.05568e-38, 1.41421, -1.10311e-09, 0, 1.05568e-38, 1.05568e-38, 1.05568e-38, 1.05568e-38, 1.05568e-38, 1.05568e-38, 1.05568e-38, 1.05568e-38, 1.05568e-38, 1.05568e-38, 3.80874e-12, 1.05568e-38, 1.05568e-38, 2.18111e-14, 1.05568e-38, 1.05568e-38, 1.09928e-09, 1.05568e-38, 1.05568e-38, 1.05568e-38
0.355636, 0, 1.71549e-09, 1.09921e-37, 1.41421, -1.71549e-09, 0, 1.09921e-37, 1.09921e-37, 1.09921e-37, 1.09921e-37, 1.09921e-37, 1.09921e-37, 1.09921e-37, 1.09921e-37, 1.09921e-37, 1.09921e-37, 5.9267e-12, 1.09921e-37, 1.09921e-37, 3.57495e-14, 1.09921e-37, 1.09921e-37, 1.70953e-09, 1.09921e-37, 1.09921e-37, 1.09921e-37
