   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_150.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.176375, 0, 6.27082e-15, 0, 1.41421, -6.27082e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.69032e-17, 0, 0, 1.82649e-19, 2.50801e-19, 0, 6.23348e-15, 0, 0, 0
0.184246, 0, 1.16139e-14, 0, 1.41421, -1.16139e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.83465e-17, 0, 0, 3.4369e-19, 4.75409e-19, 0, 1.15447e-14, 0, 0, 0
0.192118, 0, 2.132e-14, 0, 1.41421, -2.132e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25466e-16, 0, 0, 6.41312e-19, 8.93757e-19, 0, 2.1193e-14, 0, 0, 0
0.199989, 0, 3.87966e-14, 0, 1.41421, -3.87966e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.28314e-16, 0, 0, 1.18681e-18, 1.66668e-18, 0, 3.85654e-14, 0, 0, 0
0.20786, 0, 6.99905e-14, 0, 1.41421, -6.99905e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11886e-16, 0, 0, 2.17846e-18, 3.0834e-18, 0, 6.95733e-14, 0, 0, 0
0.215732, 0, 1.25187e-13, 0, 1.41421, -1.25187e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.36711e-16, 0, 0, 3.96672e-18, 5.65993e-18, 0, 1.2444e-13, 0, 0, 0
0.223603, 0, 2.22017e-13, 0, 1.41421, -2.22017e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30655e-15, 0, 0, 7.16596e-18, 1.03099e-17, 0, 2.20692e-13, 0, 0, 0
0.231474, 0, 3.90437e-13, 0, 1.41421, -3.90437e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29771e-15, 0, 0, 1.28449e-17, 1.86388e-17, 0, 3.88108e-13, 0, 0, 0
0.239345, 0, 6.80902e-13, 0, 1.41421, -6.80902e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00714e-15, 0, 0, 2.28485e-17, 3.3447e-17, 0, 6.76839e-13, 0, 0, 0
0.247217, 0, 1.17764e-12, 0, 1.41421, -1.17764e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.9306e-15, 0, 0, 4.03376e-17, 5.95875e-17, 0, 1.17061e-12, 0, 0, 0
0.255088, 0, 2.02005e-12, 0, 1.41421, -2.02005e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18886e-14, 0, 0, 7.06889e-17, 1.05404e-16, 0, 2.00799e-12, 0, 0, 0
0.262959, 0, 3.43681e-12, 0, 1.41421, -3.43681e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.02274e-14, 0, 0, 1.22984e-16, 1.85152e-16, 0, 3.41627e-12, 0, 0, 0
0.270831, 0, 5.79984e-12, 0, 1.41421, -5.79984e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41368e-14, 0, 0, 2.12461e-16, 3.23024e-16, 0, 5.76517e-12, 0, 0, 0
0.278702, 0, 9.70877e-12, 0, 1.41421, -9.70877e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.7148e-14, 0, 0, 3.64527e-16, 5.59817e-16, 0, 9.6507e-12, 0, 0, 0
0.286573, 0, 1.61221e-11, 0, 1.41421, -1.61221e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.49072e-14, 0, 0, 6.21294e-16, 9.63921e-16, 0, 1.60256e-11, 0, 0, 0
