   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_275.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0280362, 550, 0, 0, 23.4947, 550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0201694, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0123025, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00443571, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00343112, 0, 2.77069e-24, 0, 1.41421, -2.77069e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53547e-25, 0, 1.71735e-29, 0, 0, 2.61712e-24, 0, 0, 0
0.0112979, 0, 7.67061e-24, 0, 1.41421, -7.67061e-24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25094e-25, 0, 4.82213e-29, 0, 0, 7.24547e-24, 0, 0, 0
0.0191648, 0, 2.06389e-23, 0, 1.41421, -2.06389e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14378e-24, 0, 1.31579e-28, 0, 0, 1.9495e-23, 0, 0, 0
0.0270316, 0, 5.41321e-23, 0, 1.41421, -5.41321e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99992e-24, 0, 3.49969e-28, 0, 0, 5.11318e-23, 0, 0, 0
0.0348984, 0, 1.38727e-22, 0, 1.41421, -1.38727e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.68804e-24, 0, 9.09531e-28, 0, 0, 1.31038e-22, 0, 0, 0
0.0427653, 0, 3.48041e-22, 0, 1.41421, -3.48041e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92879e-23, 0, 2.31417e-27, 0, 0, 3.28751e-22, 0, 0, 0
0.0506321, 0, 8.56148e-22, 0, 1.41421, -8.56148e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.74465e-23, 0, 5.77383e-27, 0, 0, 8.08696e-22, 0, 0, 0
0.0584989, 0, 2.06772e-21, 0, 1.41421, -2.06772e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1459e-22, 0, 1.41452e-26, 0, 0, 1.95312e-21, 0, 0, 0
0.0663657, 0, 4.90847e-21, 0, 1.41421, -4.90847e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.7202e-22, 0, 3.40665e-26, 0, 0, 4.63642e-21, 0, 0, 0
0.0742326, 0, 1.14639e-20, 0, 1.41421, -1.14639e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.35312e-22, 0, 8.07319e-26, 0, 0, 1.08285e-20, 0, 0, 0
0.0820994, 0, 2.6364e-20, 0, 1.41421, -2.6364e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46105e-21, 0, 1.88422e-25, 0, 0, 2.49028e-20, 0, 0, 0
0.0899662, 0, 5.97448e-20, 0, 1.41421, -5.97448e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31097e-21, 0, 4.33421e-25, 0, 0, 5.64334e-20, 0, 0, 0
0.097833, 0, 1.33498e-19, 0, 1.41421, -1.33498e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.39823e-21, 0, 9.83235e-25, 0, 0, 1.26098e-19, 0, 0, 0
0.1057, 0, 2.94291e-19, 0, 1.41421, -2.94291e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63092e-20, 0, 2.20104e-24, 0, 0, 2.7798e-19, 0, 0, 0
0.113567, 0, 6.4036e-19, 0, 1.41421, -6.4036e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54878e-20, 0, 4.86448e-24, 0, 0, 6.04867e-19, 0, 0, 0
0.121434, 0, 1.37597e-18, 0, 1.41421, -1.37597e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.62539e-20, 0, 1.0619e-23, 0, 0, 1.2997e-18, 0, 0, 0
0.1293, 0, 2.92075e-18, 0, 1.41421, -2.92075e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61864e-19, 0, 2.29055e-23, 0, 0, 2.75887e-18, 0, 0, 0
0.137167, 0, 6.12689e-18, 0, 1.41421, -6.12689e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39543e-19, 0, 4.8839e-23, 0, 0, 5.7873e-18, 0, 0, 0
0.145034, 0, 1.27051e-17, 0, 1.41421, -1.27051e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.04098e-19, 0, 1.02968e-22, 0, 0, 1.20009e-17, 0, 0, 0
0.152901, 0, 2.60517e-17, 0, 1.41421, -2.60517e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.44374e-18, 0, 2.14723e-22, 0, 0, 2.46077e-17, 0, 0, 0
0.160768, 0, 5.28349e-17, 0, 1.41421, -5.28349e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92803e-18, 0, 4.43007e-22, 0, 0, 4.99065e-17, 0, 0, 0
0.168634, 0, 1.06007e-16, 0, 1.41421, -1.06007e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87475e-18, 0, 9.04491e-22, 0, 0, 1.00132e-16, 0, 0, 0
