   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_323.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0320095, 646, 0, 0, 25.4558, 646, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0241401, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0162706, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00840121, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000531775, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00733766, 0, 9.32166e-23, 0, 1.41421, -9.32166e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.62838e-24, 0, 4.56932e-26, 0, 8.85425e-23, 0, 0, 0
0.0152071, 0, 2.40287e-22, 0, 1.41421, -2.40287e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19305e-23, 0, 1.2094e-25, 0, 2.28235e-22, 0, 0, 0
0.0230765, 0, 6.06206e-22, 0, 1.41421, -6.06206e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00985e-23, 0, 3.12712e-25, 0, 5.75795e-22, 0, 0, 0
0.030946, 0, 1.49916e-21, 0, 1.41421, -1.49916e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.44334e-23, 0, 7.91418e-25, 0, 1.42394e-21, 0, 0, 0
0.0388154, 0, 3.6391e-21, 0, 1.41421, -3.6391e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80679e-22, 0, 1.9636e-24, 0, 3.45646e-21, 0, 0, 0
0.0466849, 0, 8.68059e-21, 0, 1.41421, -8.68059e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.30981e-22, 0, 4.7828e-24, 0, 8.24483e-21, 0, 0, 0
0.0545543, 0, 2.03676e-20, 0, 1.41421, -2.03676e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01122e-21, 0, 1.14496e-23, 0, 1.93449e-20, 0, 0, 0
0.0624237, 0, 4.7047e-20, 0, 1.41421, -4.7047e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33578e-21, 0, 2.69655e-23, 0, 4.46843e-20, 0, 0, 0
0.0702932, 0, 1.07066e-19, 0, 1.41421, -1.07066e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.31551e-21, 0, 6.25336e-23, 0, 1.01688e-19, 0, 0, 0
0.0781626, 0, 2.40203e-19, 0, 1.41421, -2.40203e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19253e-20, 0, 1.42901e-22, 0, 2.28135e-19, 0, 0, 0
0.086032, 0, 5.3158e-19, 0, 1.41421, -5.3158e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63909e-20, 0, 3.22009e-22, 0, 5.04867e-19, 0, 0, 0
0.0939015, 0, 1.16103e-18, 0, 1.41421, -1.16103e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76398e-20, 0, 7.15927e-22, 0, 1.10267e-18, 0, 0, 0
0.101771, 0, 2.50381e-18, 0, 1.41421, -2.50381e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24302e-19, 0, 1.57135e-21, 0, 2.37793e-18, 0, 0, 0
0.10964, 0, 5.33362e-18, 0, 1.41421, -5.33362e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64785e-19, 0, 3.40632e-21, 0, 5.06543e-18, 0, 0, 0
0.11751, 0, 1.14553e-17, 0, 1.41421, -1.14553e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.68684e-19, 0, 7.48247e-21, 0, 1.08791e-17, 0, 0, 0
0.125379, 0, 2.37823e-17, 0, 1.41421, -2.37823e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18063e-18, 0, 1.58042e-20, 0, 2.25859e-17, 0, 0, 0
0.133249, 0, 4.88322e-17, 0, 1.41421, -4.88322e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.42416e-18, 0, 3.30173e-20, 0, 4.6375e-17, 0, 0, 0
0.141118, 0, 9.91901e-17, 0, 1.41421, -9.91901e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.924e-18, 0, 6.8247e-20, 0, 9.41979e-17, 0, 0, 0
0.148988, 0, 1.99362e-16, 0, 1.41421, -1.99362e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.89659e-18, 0, 1.39611e-19, 0, 1.89326e-16, 0, 0, 0
0.156857, 0, 3.96568e-16, 0, 1.41421, -3.96568e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96859e-17, 0, 2.82724e-19, 0, 3.766e-16, 0, 0, 0
0.164726, 0, 7.80871e-16, 0, 1.41421, -7.80871e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.87625e-17, 0, 5.66912e-19, 0, 7.41542e-16, 0, 0, 0
0.172596, 0, 1.5223e-15, 0, 1.41421, -1.5223e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.5566e-17, 0, 1.12583e-18, 0, 1.44561e-15, 0, 0, 0
0.180465, 0, 2.93868e-15, 0, 1.41421, -2.93868e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45872e-16, 0, 2.21478e-18, 0, 2.7906e-15, 0, 0, 0
0.188335, 0, 5.61823e-15, 0, 1.41421, -5.61823e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78876e-16, 0, 4.31686e-18, 0, 5.33504e-15, 0, 0, 0
0.196204, 0, 1.0639e-14, 0, 1.41421, -1.0639e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.28084e-16, 0, 8.33806e-18, 0, 1.01025e-14, 0, 0, 0
0.204074, 0, 1.99574e-14, 0, 1.41421, -1.99574e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.90606e-16, 0, 1.59624e-17, 0, 1.89509e-14, 0, 0, 0
0.211943, 0, 3.7091e-14, 0, 1.41421, -3.7091e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.84101e-15, 0, 3.02931e-17, 0, 3.52197e-14, 0, 0, 0
0.219812, 0, 6.83021e-14, 0, 1.41421, -6.83021e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.39011e-15, 0, 5.69988e-17, 0, 6.4855e-14, 0, 0, 0
0.227682, 0, 1.24637e-13, 0, 1.41421, -1.24637e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18609e-15, 0, 1.0635e-16, 0, 1.18344e-13, 0, 0, 0
0.235551, 0, 2.25394e-13, 0, 1.41421, -2.25394e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11867e-14, 0, 1.96795e-16, 0, 2.1401e-13, 0, 0, 0
0.243421, 0, 4.03978e-13, 0, 1.41421, -4.03978e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00499e-14, 0, 3.61217e-16, 0, 3.83567e-13, 0, 0, 0
0.25129, 0, 7.17681e-13, 0, 1.41421, -7.17681e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.56186e-14, 0, 6.5775e-16, 0, 6.81405e-13, 0, 0, 0
0.25916, 0, 1.26384e-12, 0, 1.41421, -1.26384e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.27235e-14, 0, 1.1884e-15, 0, 1.19993e-12, 0, 0, 0
0.267029, 0, 2.20632e-12, 0, 1.41421, -2.20632e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09497e-13, 0, 2.13085e-15, 0, 2.09469e-12, 0, 0, 0
0.274899, 0, 3.81849e-12, 0, 1.41421, -3.81849e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89506e-13, 0, 3.7922e-15, 0, 3.62519e-12, 0, 0, 0
0.282768, 0, 6.55221e-12, 0, 1.41421, -6.55221e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25177e-13, 0, 6.69967e-15, 0, 6.22033e-12, 0, 0, 0
0.290637, 0, 1.11476e-11, 0, 1.41421, -1.11476e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.53247e-13, 0, 1.17521e-14, 0, 1.05826e-11, 0, 0, 0
0.298507, 0, 1.8806e-11, 0, 1.41421, -1.8806e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33357e-13, 0, 2.04723e-14, 0, 1.78521e-11, 0, 0, 0
0.306376, 0, 3.14597e-11, 0, 1.41421, -3.14597e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56145e-12, 0, 3.54238e-14, 0, 2.98629e-11, 0, 0, 0
0.314246, 0, 5.21894e-11, 0, 1.41421, -5.21894e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59053e-12, 0, 6.08986e-14, 0, 4.95379e-11, 0, 0, 0
0.322115, 0, 8.58615e-11, 1.21913e-43, 1.41421, -8.58615e-11, 0, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 1.21913e-43, 4.26238e-12, 1.21913e-43, 1.04043e-13, 1.21913e-43, 8.14951e-11, 1.21913e-43, 1.21913e-43, 1.21913e-43
0.329985, 0, 1.40096e-10, 2.22806e-42, 1.41421, -1.40096e-10, 0, 2.22806e-42, 2.22806e-42, 2.22806e-42, 2.22806e-42, 2.22806e-42, 2.22806e-42, 2.22806e-42, 2.22806e-42, 2.22806e-42, 2.22806e-42, 6.95575e-12, 2.22806e-42, 1.76702e-13, 2.22806e-42, 1.32963e-10, 2.22806e-42, 2.22806e-42, 2.22806e-42
