   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_104.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0295929, 208, 0, 0, 14.4914, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.021717, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.013841, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00596498, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00191101, 0, 5.88235e-23, 0, 1.41421, -5.88235e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.91601e-25, 0, 0, 9.78818e-28, 0, 5.82309e-23, 0, 0, 0
0.009787, 0, 1.55267e-22, 0, 1.41421, -1.55267e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56155e-24, 0, 0, 2.62364e-27, 0, 1.53702e-22, 0, 0, 0
0.017663, 0, 4.00316e-22, 0, 1.41421, -4.00316e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02607e-24, 0, 0, 6.86925e-27, 0, 3.96283e-22, 0, 0, 0
0.025539, 0, 1.01007e-21, 0, 1.41421, -1.01007e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01585e-23, 0, 0, 1.76015e-26, 0, 9.99898e-22, 0, 0, 0
0.033415, 0, 2.49814e-21, 0, 1.41421, -2.49814e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51243e-23, 0, 0, 4.421e-26, 0, 2.47297e-21, 0, 0, 0
0.041291, 0, 6.06419e-21, 0, 1.41421, -6.06419e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.09888e-23, 0, 0, 1.08995e-25, 0, 6.00309e-21, 0, 0, 0
0.0491669, 0, 1.44649e-20, 0, 1.41421, -1.44649e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45476e-22, 0, 0, 2.64065e-25, 0, 1.43192e-20, 0, 0, 0
0.0570429, 0, 3.39366e-20, 0, 1.41421, -3.39366e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.41308e-22, 0, 0, 6.29307e-25, 0, 3.35947e-20, 0, 0, 0
0.0649189, 0, 7.83793e-20, 0, 1.41421, -7.83793e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.88276e-22, 0, 0, 1.47651e-24, 0, 7.75895e-20, 0, 0, 0
0.0727949, 0, 1.78336e-19, 0, 1.41421, -1.78336e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79356e-21, 0, 0, 3.41321e-24, 0, 1.76539e-19, 0, 0, 0
0.0806709, 0, 4.00004e-19, 0, 1.41421, -4.00004e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02292e-21, 0, 0, 7.77915e-24, 0, 3.95974e-19, 0, 0, 0
0.0885469, 0, 8.84975e-19, 0, 1.41421, -8.84975e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.90037e-21, 0, 0, 1.74905e-23, 0, 8.76058e-19, 0, 0, 0
0.0964229, 0, 1.93225e-18, 0, 1.41421, -1.93225e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9433e-20, 0, 0, 3.88152e-23, 0, 1.91278e-18, 0, 0, 0
0.104299, 0, 4.16585e-18, 0, 1.41421, -4.16585e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18968e-20, 0, 0, 8.50837e-23, 0, 4.12387e-18, 0, 0, 0
0.112175, 0, 8.8712e-18, 0, 1.41421, -8.8712e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.92194e-20, 0, 0, 1.84247e-22, 0, 8.7818e-18, 0, 0, 0
