   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_134.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.108636, 0, 2.36379e-17, 0, 1.41421, -2.36379e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75366e-22, 0, 2.36377e-17, 0, 0, 0
0.116513, 0, 4.85508e-17, 0, 1.41421, -4.85508e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.73851e-22, 0, 4.85503e-17, 0, 0, 0
0.12439, 0, 9.8639e-17, 0, 1.41421, -9.8639e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18325e-21, 0, 9.86378e-17, 0, 0, 0
0.132268, 0, 1.98281e-16, 0, 1.41421, -1.98281e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41469e-21, 0, 1.98279e-16, 0, 0, 0
0.140145, 0, 3.94461e-16, 0, 1.41421, -3.94461e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87832e-21, 0, 3.94456e-16, 0, 0, 0
0.148022, 0, 7.76802e-16, 0, 1.41421, -7.76802e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.75892e-21, 0, 7.76792e-16, 0, 0, 0
0.1559, 0, 1.51457e-15, 0, 1.41421, -1.51457e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93352e-20, 0, 1.51455e-15, 0, 0, 0
0.163777, 0, 2.92427e-15, 0, 1.41421, -2.92427e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79485e-20, 0, 2.92423e-15, 0, 0, 0
0.171655, 0, 5.59201e-15, 0, 1.41421, -5.59201e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.37935e-20, 0, 5.59194e-15, 0, 0, 0
0.179532, 0, 1.05927e-14, 0, 1.41421, -1.05927e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42197e-19, 0, 1.05926e-14, 0, 0, 0
0.187409, 0, 1.9879e-14, 0, 1.41421, -1.9879e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71567e-19, 0, 1.98787e-14, 0, 0, 0
0.195287, 0, 3.69646e-14, 0, 1.41421, -3.69646e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.1409e-19, 0, 3.69641e-14, 0, 0, 0
0.203164, 0, 6.8113e-14, 0, 1.41421, -6.8113e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.64794e-19, 0, 6.8112e-14, 0, 0, 0
0.211042, 0, 1.24387e-13, 0, 1.41421, -1.24387e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79529e-18, 0, 1.24386e-13, 0, 0, 0
0.218919, 0, 2.25147e-13, 0, 1.41421, -2.25147e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.31282e-18, 0, 2.25143e-13, 0, 0, 0
0.226796, 0, 4.03961e-13, 0, 1.41421, -4.03961e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.06285e-18, 0, 4.03955e-13, 0, 0, 0
0.234674, 0, 7.18509e-13, 0, 1.41421, -7.18509e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1006e-17, 0, 7.18498e-13, 0, 0, 0
0.242551, 0, 1.26701e-12, 0, 1.41421, -1.26701e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.98206e-17, 0, 1.26699e-12, 0, 0, 0
0.250429, 0, 2.21823e-12, 0, 1.41421, -2.21823e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55121e-17, 0, 2.21819e-12, 0, 0, 0
0.258306, 0, 3.84474e-12, 0, 1.41421, -3.84474e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.29544e-17, 0, 3.84468e-12, 0, 0, 0
0.266183, 0, 6.60819e-12, 0, 1.41421, -6.60819e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.10771e-16, 0, 6.60808e-12, 0, 0, 0
0.274061, 0, 1.12636e-11, 0, 1.41421, -1.12636e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93491e-16, 0, 1.12634e-11, 0, 0, 0
0.281938, 0, 1.90404e-11, 0, 1.41421, -1.90404e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35599e-16, 0, 1.904e-11, 0, 0, 0
0.289816, 0, 3.19226e-11, 0, 1.41421, -3.19226e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.78097e-16, 0, 3.1922e-11, 0, 0, 0
0.297693, 0, 5.30843e-11, 0, 1.41421, -5.30843e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.89263e-16, 0, 5.30833e-11, 0, 0, 0
0.30557, 0, 8.75588e-11, 0, 1.41421, -8.75588e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6822e-15, 0, 8.75571e-11, 0, 0, 0
0.313448, 0, 1.43259e-10, 5.88545e-44, 1.41421, -1.43259e-10, 0, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 5.88545e-44, 2.84342e-15, 5.88545e-44, 1.43256e-10, 5.88545e-44, 5.88545e-44, 5.88545e-44
0.321325, 0, 2.32513e-10, 1.08461e-42, 1.41421, -2.32513e-10, 0, 1.08461e-42, 1.08461e-42, 1.08461e-42, 1.08461e-42, 1.08461e-42, 1.08461e-42, 1.08461e-42, 1.08461e-42, 1.08461e-42, 1.08461e-42, 1.08461e-42, 4.77919e-15, 1.08461e-42, 2.32508e-10, 1.08461e-42, 1.08461e-42, 1.08461e-42
0.329202, 0, 3.74365e-10, 1.65143e-41, 1.41421, -3.74365e-10, 0, 1.65143e-41, 1.65143e-41, 1.65143e-41, 1.65143e-41, 1.65143e-41, 1.65143e-41, 1.65143e-41, 1.65143e-41, 1.65143e-41, 1.65143e-41, 1.65143e-41, 7.99083e-15, 1.65143e-41, 3.74357e-10, 1.65143e-41, 1.65143e-41, 1.65143e-41
0.33708, 0, 5.97984e-10, 2.21128e-40, 1.41421, -5.97984e-10, 0, 2.21128e-40, 2.21128e-40, 2.21128e-40, 2.21128e-40, 2.21128e-40, 2.21128e-40, 2.21128e-40, 2.21128e-40, 2.21128e-40, 2.21128e-40, 2.21128e-40, 1.32968e-14, 2.21128e-40, 5.97971e-10, 2.21128e-40, 2.21128e-40, 2.21128e-40
0.344957, 0, 9.47642e-10, 2.64819e-39, 1.41421, -9.47642e-10, 0, 2.64819e-39, 2.64819e-39, 2.64819e-39, 2.64819e-39, 2.64819e-39, 2.64819e-39, 2.64819e-39, 2.64819e-39, 2.64819e-39, 2.64819e-39, 2.64819e-39, 2.20302e-14, 2.64819e-39, 9.4762e-10, 2.64819e-39, 2.64819e-39, 2.64819e-39
0.352835, 0, 1.48998e-09, 2.85905e-38, 1.41421, -1.48998e-09, 0, 2.85905e-38, 2.85905e-38, 2.85905e-38, 2.85905e-38, 2.85905e-38, 2.85905e-38, 2.85905e-38, 2.85905e-38, 2.85905e-38, 2.85905e-38, 2.85905e-38, 3.63608e-14, 2.85905e-38, 1.48994e-09, 2.85905e-38, 2.85905e-38, 2.85905e-38
0.360712, 0, 2.32444e-09, 2.79532e-37, 1.41421, -2.32444e-09, 0, 2.79532e-37, 2.79532e-37, 2.79532e-37, 2.79532e-37, 2.79532e-37, 2.79532e-37, 2.79532e-37, 2.79532e-37, 2.79532e-37, 2.79532e-37, 2.79532e-37, 5.98162e-14, 2.79532e-37, 2.32438e-09, 2.79532e-37, 2.79532e-37, 2.79532e-37
0.368589, 0, 3.59811e-09, 2.49223e-36, 1.41421, -3.59811e-09, 0, 2.49223e-36, 2.49223e-36, 2.49223e-36, 2.49223e-36, 2.49223e-36, 2.49223e-36, 2.49223e-36, 2.49223e-36, 2.49223e-36, 2.49223e-36, 2.49223e-36, 9.81312e-14, 2.49223e-36, 3.59801e-09, 2.49223e-36, 2.49223e-36, 2.49223e-36
0.376467, 0, 5.52678e-09, 2.03556e-35, 1.41421, -5.52678e-09, 0, 2.03556e-35, 2.03556e-35, 2.03556e-35, 2.03556e-35, 2.03556e-35, 2.03556e-35, 2.03556e-35, 2.03556e-35, 2.03556e-35, 2.03556e-35, 2.03556e-35, 1.60632e-13, 2.03556e-35, 5.52662e-09, 2.03556e-35, 2.03556e-35, 2.03556e-35
0.384344, 0, 8.42425e-09, 1.5297e-34, 1.41421, -8.42425e-09, 0, 1.5297e-34, 1.5297e-34, 1.5297e-34, 1.5297e-34, 1.5297e-34, 1.5297e-34, 1.5297e-34, 1.5297e-34, 1.5297e-34, 1.5297e-34, 1.5297e-34, 2.6249e-13, 1.5297e-34, 8.42399e-09, 1.5297e-34, 1.5297e-34, 1.5297e-34
0.392222, 0, 1.27431e-08, 1.06228e-33, 1.41421, -1.27431e-08, 0, 1.06228e-33, 1.06228e-33, 1.06228e-33, 1.06228e-33, 1.06228e-33, 1.06228e-33, 1.06228e-33, 1.06228e-33, 1.06228e-33, 1.06228e-33, 1.06228e-33, 4.28396e-13, 1.06228e-33, 1.27426e-08, 1.06228e-33, 1.06228e-33, 1.06228e-33
