   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_157.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0287454, 314, 0, 0, 17.7764, 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0208743, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0130032, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00513214, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00273896, 0, 2.87543e-22, 0, 1.41421, -2.87543e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.99359e-27, 0, 1.87633e-26, 0, 2.87518e-22, 0, 0, 0
0.0106101, 0, 7.08397e-22, 0, 1.41421, -7.08397e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74997e-26, 0, 4.71513e-26, 0, 7.08333e-22, 0, 0, 0
0.0184812, 0, 1.71344e-21, 0, 1.41421, -1.71344e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29917e-26, 0, 1.16226e-25, 0, 1.71328e-21, 0, 0, 0
0.0263522, 0, 4.0736e-21, 0, 1.41421, -4.0736e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03818e-25, 0, 2.81387e-25, 0, 4.07321e-21, 0, 0, 0
0.0342233, 0, 9.52877e-21, 0, 1.41421, -9.52877e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.46678e-25, 0, 6.69867e-25, 0, 9.52785e-21, 0, 0, 0
0.0420944, 0, 2.19491e-20, 0, 1.41421, -2.19491e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.77216e-25, 0, 1.56955e-24, 0, 2.19469e-20, 0, 0, 0
0.0499655, 0, 4.98243e-20, 0, 1.41421, -4.98243e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33114e-24, 0, 3.6227e-24, 0, 4.98194e-20, 0, 0, 0
0.0578366, 0, 1.11532e-19, 0, 1.41421, -1.11532e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.02751e-24, 0, 8.24296e-24, 0, 1.11521e-19, 0, 0, 0
0.0657077, 0, 2.46343e-19, 0, 1.41421, -2.46343e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.79473e-24, 0, 1.85017e-23, 0, 2.46318e-19, 0, 0, 0
0.0735788, 0, 5.37142e-19, 0, 1.41421, -5.37142e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50564e-23, 0, 4.09895e-23, 0, 5.37086e-19, 0, 0, 0
0.0814499, 0, 1.15676e-18, 0, 1.41421, -1.15676e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29556e-23, 0, 8.96795e-23, 0, 1.15664e-18, 0, 0, 0
0.089321, 0, 2.4614e-18, 0, 1.41421, -2.4614e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.12833e-23, 0, 1.93856e-22, 0, 2.46114e-18, 0, 0, 0
