   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_227.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.358454, 0, 1.51598e-09, 1.61985e-38, 1.41421, -1.51598e-09, 0, 1.61985e-38, 1.61985e-38, 1.61985e-38, 1.61985e-38, 1.61985e-38, 1.61985e-38, 1.61985e-38, 1.61985e-38, 1.61985e-38, 1.61985e-38, 4.80892e-12, 1.61985e-38, 1.61985e-38, 2.48647e-14, 1.61985e-38, 1.51115e-09, 1.61985e-38, 1.61985e-38, 1.61985e-38
0.36632, 0, 2.39089e-09, 1.63548e-37, 1.41421, -2.39089e-09, 0, 1.63548e-37, 1.63548e-37, 1.63548e-37, 1.63548e-37, 1.63548e-37, 1.63548e-37, 1.63548e-37, 1.63548e-37, 1.63548e-37, 1.63548e-37, 7.58927e-12, 1.63548e-37, 1.63548e-37, 4.13424e-14, 1.63548e-37, 2.38326e-09, 1.63548e-37, 1.63548e-37, 1.63548e-37
0.374187, 0, 3.74005e-09, 1.50273e-36, 1.41421, -3.74005e-09, 0, 1.50273e-36, 1.50273e-36, 1.50273e-36, 1.50273e-36, 1.50273e-36, 1.50273e-36, 1.50273e-36, 1.50273e-36, 1.50273e-36, 1.50273e-36, 1.18815e-11, 1.50273e-36, 1.50273e-36, 6.85492e-14, 1.50273e-36, 3.7281e-09, 1.50273e-36, 1.50273e-36, 1.50273e-36
0.382053, 0, 5.80322e-09, 1.26379e-35, 1.41421, -5.80322e-09, 0, 1.26379e-35, 1.26379e-35, 1.26379e-35, 1.26379e-35, 1.26379e-35, 1.26379e-35, 1.26379e-35, 1.26379e-35, 1.26379e-35, 1.26379e-35, 1.84541e-11, 1.26379e-35, 1.26379e-35, 1.13412e-13, 1.26379e-35, 5.78465e-09, 1.26379e-35, 1.26379e-35, 1.26379e-35
0.38992, 0, 8.93218e-09, 9.76697e-35, 1.41421, -8.93218e-09, 0, 9.76697e-35, 9.76697e-35, 9.76697e-35, 9.76697e-35, 9.76697e-35, 9.76697e-35, 9.76697e-35, 9.76697e-35, 9.76697e-35, 9.76697e-35, 2.84384e-11, 9.76697e-35, 9.76697e-35, 1.87332e-13, 9.76697e-35, 8.90355e-09, 9.76697e-35, 9.76697e-35, 9.76697e-35
0.397786, 0, 1.36385e-08, 6.96681e-34, 1.41421, -1.36385e-08, 0, 6.96681e-34, 6.96681e-34, 6.96681e-34, 6.96681e-34, 6.96681e-34, 6.96681e-34, 6.96681e-34, 6.96681e-34, 6.96681e-34, 6.96681e-34, 4.34861e-11, 6.96681e-34, 6.96681e-34, 3.09081e-13, 6.96681e-34, 1.35947e-08, 6.96681e-34, 6.96681e-34, 6.96681e-34
0.405653, 0, 2.06596e-08, 4.78667e-33, 1.41421, -2.06596e-08, 0, 4.78667e-33, 4.78667e-33, 4.78667e-33, 4.78667e-33, 4.78667e-33, 4.78667e-33, 4.78667e-33, 4.78667e-33, 4.78667e-33, 4.78667e-33, 6.59887e-11, 4.78667e-33, 4.78667e-33, 5.09593e-13, 4.78667e-33, 2.05931e-08, 4.78667e-33, 4.78667e-33, 4.78667e-33
0.41352, 0, 3.10491e-08, 2.68657e-32, 1.41421, -3.10491e-08, 0, 2.68657e-32, 2.68657e-32, 2.68657e-32, 2.68657e-32, 2.68657e-32, 2.68657e-32, 2.68657e-32, 2.68657e-32, 2.68657e-32, 2.68657e-32, 9.93828e-11, 2.68657e-32, 2.68657e-32, 8.39839e-13, 2.68657e-32, 3.09489e-08, 2.68657e-32, 2.68657e-32, 2.68657e-32
0.421386, 0, 4.62995e-08, 1.42437e-31, 1.41421, -4.62995e-08, 0, 1.42437e-31, 1.42437e-31, 1.42437e-31, 1.42437e-31, 1.42437e-31, 1.42437e-31, 1.42437e-31, 1.42437e-31, 1.42437e-31, 1.42437e-31, 1.48568e-10, 1.42437e-31, 1.42437e-31, 1.38376e-12, 1.42437e-31, 4.61495e-08, 1.42437e-31, 1.42437e-31, 1.42437e-31
0.429253, 0, 6.85066e-08, 7.60386e-31, 1.41421, -6.85066e-08, 0, 7.60386e-31, 7.60386e-31, 7.60386e-31, 7.60386e-31, 7.60386e-31, 7.60386e-31, 7.60386e-31, 7.60386e-31, 7.60386e-31, 7.60386e-31, 2.20479e-10, 7.60386e-31, 7.60386e-31, 2.27945e-12, 7.60386e-31, 6.82839e-08, 7.60386e-31, 7.60386e-31, 7.60386e-31
0.437119, 0, 1.00588e-07, 3.91725e-30, 1.41421, -1.00588e-07, 0, 3.91725e-30, 3.91725e-30, 3.91725e-30, 3.91725e-30, 3.91725e-30, 3.91725e-30, 3.91725e-30, 3.91725e-30, 3.91725e-30, 3.91725e-30, 3.24859e-10, 3.91725e-30, 3.91725e-30, 3.75363e-12, 3.91725e-30, 1.0026e-07, 3.91725e-30, 3.91725e-30, 3.91725e-30
0.444986, 0, 1.46573e-07, 1.91598e-29, 1.41421, -1.46573e-07, 0, 1.91598e-29, 1.91598e-29, 1.91598e-29, 1.91598e-29, 1.91598e-29, 1.91598e-29, 1.91598e-29, 1.91598e-29, 1.91598e-29, 1.91598e-29, 4.75297e-10, 1.91598e-29, 1.91598e-29, 6.17741e-12, 1.91598e-29, 1.46091e-07, 1.91598e-29, 1.91598e-29, 1.91598e-29
0.452852, 0, 2.11974e-07, 8.9128e-29, 1.41421, -2.11974e-07, 0, 8.9128e-29, 8.9128e-29, 8.9128e-29, 8.9128e-29, 8.9128e-29, 8.9128e-29, 8.9128e-29, 8.9128e-29, 8.9128e-29, 8.9128e-29, 6.90628e-10, 8.9128e-29, 8.9128e-29, 1.01562e-11, 8.9128e-29, 2.11273e-07, 8.9128e-29, 8.9128e-29, 8.9128e-29
0.460719, 0, 3.04278e-07, 4.01306e-28, 1.41421, -3.04278e-07, 0, 4.01306e-28, 4.01306e-28, 4.01306e-28, 4.01306e-28, 4.01306e-28, 4.01306e-28, 4.01306e-28, 4.01306e-28, 4.01306e-28, 4.01306e-28, 9.96772e-10, 4.01306e-28, 4.01306e-28, 1.66731e-11, 4.01306e-28, 3.03264e-07, 4.01306e-28, 4.01306e-28, 4.01306e-28
0.468586, 0, 4.33561e-07, 1.73136e-27, 1.41421, -4.33561e-07, 0, 1.73136e-27, 1.73136e-27, 1.73136e-27, 1.73136e-27, 1.73136e-27, 1.73136e-27, 1.73136e-27, 1.73136e-27, 1.73136e-27, 1.73136e-27, 1.42918e-09, 1.73136e-27, 1.73136e-27, 2.73162e-11, 1.73136e-27, 4.32105e-07, 1.73136e-27, 1.73136e-27, 1.73136e-27
0.476452, 0, 6.13287e-07, 1.16858e-26, 1.41421, -6.13287e-07, 0, 1.16858e-26, 1.16858e-26, 1.16858e-26, 1.16858e-26, 1.16858e-26, 1.16858e-26, 1.16858e-26, 1.16858e-26, 1.16858e-26, 1.16858e-26, 2.03605e-09, 1.16858e-26, 1.16858e-26, 4.46575e-11, 1.16858e-26, 6.11206e-07, 1.16858e-26, 1.16858e-26, 1.16858e-26
0.484319, 0, 8.61275e-07, 4.41428e-26, 1.41421, -8.61275e-07, 0, 4.41428e-26, 4.41428e-26, 4.41428e-26, 4.41428e-26, 4.41428e-26, 4.41428e-26, 3.70451e-12, 4.41428e-26, 4.41428e-26, 4.41428e-26, 2.8824e-09, 4.41428e-26, 4.41428e-26, 7.27308e-11, 4.41428e-26, 8.58316e-07, 4.41428e-26, 4.41428e-26, 4.41428e-26
0.492185, 0, 1.20096e-06, 1.59772e-25, 1.41421, -1.20096e-06, 0, 1.59772e-25, 1.59772e-25, 1.59772e-25, 1.59772e-25, 1.59772e-25, 1.59772e-25, 1.29972e-11, 1.59772e-25, 1.59772e-25, 1.59772e-25, 4.05563e-09, 1.59772e-25, 1.59772e-25, 1.17999e-10, 1.59772e-25, 1.19677e-06, 1.59772e-25, 1.59772e-25, 1.59772e-25
0.500052, 0, 1.66408e-06, 5.60352e-25, 1.41421, -1.66408e-06, 0, 1.31223e-14, 4.97591e-14, 3.9703e-10, 1.08214e-11, 2.84677e-11, 2.33559e-12, 2.05614e-10, 5.6178e-11, 1.43193e-11, 3.51894e-10, 5.67238e-09, 5.7316e-12, 1.54325e-12, 1.90598e-10, 1.3109e-15, 1.65713e-06, 5.60352e-25, 5.60352e-25, 1.3022e-11
0.507918, 0, 2.2909e-06, 1.43429e-10, 1.41421, -2.2909e-06, 1.43429e-10, 1.43475e-10, 1.43603e-10, 1.5299e-09, 1.81219e-10, 2.42842e-10, 1.51585e-10, 8.25998e-10, 3.39609e-10, 1.93434e-10, 1.37228e-09, 8.03074e-09, 1.63445e-10, 1.48818e-10, 4.49789e-10, 1.43434e-10, 2.27895e-06, 1.43429e-10, 1.43429e-10, 1.88904e-10
0.515785, 0, 3.13468e-06, 4.99965e-10, 1.41421, -3.13468e-06, 4.99965e-10, 5.0009e-10, 5.00438e-10, 4.27491e-09, 6.02854e-10, 7.70635e-10, 5.22172e-10, 2.3275e-09, 1.0341e-09, 6.36113e-10, 3.84576e-09, 1.14043e-08, 5.54461e-10, 5.14638e-10, 9.89737e-10, 4.99978e-10, 3.11308e-06, 4.99965e-10, 4.99965e-10, 6.23778e-10
0.523652, 0, 4.26626e-06, 1.35931e-09, 1.41421, -4.26626e-06, 1.35931e-09, 1.35962e-09, 1.36049e-09, 1.07414e-08, 1.61503e-09, 2.03202e-09, 1.4145e-09, 5.86107e-09, 2.68683e-09, 1.69769e-09, 9.67476e-09, 1.63501e-08, 1.49475e-09, 1.39578e-09, 2.13771e-09, 1.35934e-09, 4.22516e-06, 1.35931e-09, 1.35931e-09, 1.66703e-09
0.531518, 0, 5.7804e-06, 3.37411e-09, 1.41421, -5.7804e-06, 3.37411e-09, 3.37485e-09, 3.3769e-09, 2.55775e-08, 3.97928e-09, 4.96613e-09, 3.50473e-09, 1.39616e-08, 6.51579e-09, 4.1749e-09, 2.30533e-08, 2.3869e-08, 3.69465e-09, 3.46042e-09, 4.60351e-09, 3.37419e-09, 5.69879e-06, 3.37411e-09, 3.37411e-09, 4.10235e-09
0.539385, 0, 7.80799e-06, 7.97518e-09, 1.41421, -7.80799e-06, 7.97518e-09, 7.97685e-09, 7.98154e-09, 5.87555e-08, 9.35923e-09, 1.16162e-08, 8.2739e-09, 3.20609e-08, 1.51604e-08, 9.80662e-09, 5.29825e-08, 3.58424e-08, 8.70825e-09, 8.17256e-09, 9.90409e-09, 7.97534e-09, 7.64138e-06, 7.97518e-09, 7.97518e-09, 9.64069e-09
0.547251, 0, 1.05395e-05, 1.82182e-08, 1.41421, -1.05395e-05, 1.82182e-08, 1.8222e-08, 1.82324e-08, 1.31106e-07, 2.12951e-08, 2.63125e-08, 1.88823e-08, 7.47938e-08, 3.41914e-08, 2.22897e-08, 1.18272e-07, 5.5906e-08, 1.98479e-08, 1.8657e-08, 2.1224e-08, 1.82186e-08, 1.01916e-05, 1.82182e-08, 1.82182e-08, 2.19208e-08
0.555118, 0, 1.42552e-05, 4.04542e-08, 1.41421, -1.42552e-05, 4.04542e-08, 4.04623e-08, 4.04849e-08, 2.8499e-07, 4.71192e-08, 5.79878e-08, 4.18927e-08, 1.66823e-07, 7.50549e-08, 4.92737e-08, 2.57189e-07, 9.11522e-08, 4.39844e-08, 4.14047e-08, 4.51049e-08, 4.0455e-08, 1.35307e-05, 4.04542e-08, 4.04542e-08, 4.84746e-08
0.562985, 0, 1.94383e-05, 8.75337e-08, 1.41421, -1.94383e-05, 8.75337e-08, 8.75508e-08, 8.75984e-08, 6.04269e-07, 1.01618e-07, 1.24584e-07, 9.05735e-08, 4.03014e-07, 1.60649e-07, 1.0617e-07, 5.45524e-07, 1.55374e-07, 9.49934e-08, 8.95422e-08, 9.46775e-08, 8.75354e-08, 1.79007e-05, 8.75337e-08, 8.75337e-08, 1.04482e-07
0.570851, 0, 2.68229e-05, 1.8477e-07, 1.41421, -2.68229e-05, 1.8477e-07, 1.84805e-07, 1.84904e-07, 1.25058e-06, 2.13819e-07, 2.6119e-07, 1.9104e-07, 9.06321e-07, 3.35577e-07, 2.23209e-07, 1.12941e-06, 2.75077e-07, 2.00156e-07, 1.88913e-07, 1.95665e-07, 1.84774e-07, 2.3634e-05, 1.8477e-07, 1.8477e-07, 2.19727e-07
0.578718, 0, 3.76803e-05, 3.80701e-07, 1.41421, -3.76803e-05, 3.80701e-07, 3.80772e-07, 3.8097e-07, 2.52715e-06, 4.39205e-07, 5.34605e-07, 3.93328e-07, 1.95755e-06, 6.84415e-07, 4.58115e-07, 2.28313e-06, 5.003e-07, 4.11688e-07, 3.89045e-07, 3.97194e-07, 3.80708e-07, 3.12022e-05, 3.80701e-07, 3.80701e-07, 4.51102e-07
0.586584, 0, 5.41971e-05, 7.65932e-07, 1.41421, -5.41971e-05, 7.65932e-07, 7.66071e-07, 7.66461e-07, 4.98782e-06, 8.81003e-07, 1.06865e-06, 7.90768e-07, 4.11085e-06, 1.36331e-06, 9.18199e-07, 4.50786e-06, 9.23528e-07, 8.2688e-07, 7.82342e-07, 7.90711e-07, 7.65946e-07, 4.12972e-05, 7.65932e-07, 7.65932e-07, 9.04404e-07
0.594451, 0, 8.01126e-05, 1.50506e-06, 1.41421, -8.01126e-05, 1.50506e-06, 1.50533e-06, 1.50608e-06, 9.61695e-06, 1.72616e-06, 2.0867e-06, 1.55278e-06, 8.40054e-06, 2.65286e-06, 1.79763e-06, 8.69475e-06, 1.71172e-06, 1.62217e-06, 1.53659e-06, 1.54202e-06, 1.50509e-06, 5.49651e-05, 1.50506e-06, 1.50506e-06, 1.77112e-06
0.602317, 0, 0.000121934, 2.88913e-06, 1.41421, -0.000121934, 2.88913e-06, 2.88963e-06, 2.89104e-06, 1.81173e-05, 3.30418e-06, 3.98101e-06, 2.97871e-06, 1.68722e-05, 5.04384e-06, 3.43835e-06, 1.6386e-05, 3.15885e-06, 3.10897e-06, 2.94832e-06, 2.94384e-06, 2.88918e-06, 7.38204e-05, 2.88913e-06, 2.88913e-06, 3.38859e-06
0.610184, 0, 0.000190728, 5.41888e-06, 1.41421, -0.000190728, 5.41888e-06, 5.4198e-06, 5.42238e-06, 3.33546e-05, 6.18029e-06, 7.42192e-06, 5.58321e-06, 3.33142e-05, 9.37166e-06, 6.42641e-06, 3.01788e-05, 5.76933e-06, 5.82216e-06, 5.52746e-06, 5.49931e-06, 5.41897e-06, 0.000100384, 5.41888e-06, 5.41888e-06, 6.33513e-06
0.61805, 0, 0.00030511, 9.93253e-06, 1.41421, -0.00030511, 9.93253e-06, 9.93419e-06, 9.93881e-06, 6.00214e-05, 1.12977e-05, 1.3524e-05, 1.02272e-05, 6.46773e-05, 1.70199e-05, 1.1739e-05, 5.4327e-05, 1.0386e-05, 1.06556e-05, 1.01272e-05, 1.005e-05, 9.9327e-06, 0.000138597, 9.93253e-06, 9.93253e-06, 1.15754e-05
0.625917, 0, 0.000495933, 1.7795e-05, 1.41421, -0.000495933, 1.7795e-05, 1.77979e-05, 1.7806e-05, 0.000105589, 2.01879e-05, 2.409e-05, 1.83114e-05, 0.000123471, 3.02175e-05, 2.09614e-05, 9.56084e-05, 1.83795e-05, 1.90624e-05, 1.81362e-05, 1.79652e-05, 1.77953e-05, 0.000194599, 1.7795e-05, 1.7795e-05, 2.06745e-05
