   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_227.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0270084, 454, 0, 0, 21.3542, 454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0191418, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0112753, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00340869, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00445788, 0, 9.25007e-23, 0, 1.41421, -9.25007e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92727e-25, 0, 0, 6.66089e-28, 0, 9.22073e-23, 0, 0, 0
0.0123245, 0, 2.42575e-22, 0, 1.41421, -2.42575e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.67651e-25, 0, 0, 1.76152e-27, 0, 2.41806e-22, 0, 0, 0
0.020191, 0, 6.22284e-22, 0, 1.41421, -6.22284e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.96927e-24, 0, 0, 4.55818e-27, 0, 6.20311e-22, 0, 0, 0
0.0280576, 0, 1.56417e-21, 0, 1.41421, -1.56417e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.94997e-24, 0, 0, 1.15598e-26, 0, 1.55921e-21, 0, 0, 0
0.0359242, 0, 3.85774e-21, 0, 1.41421, -3.85774e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22082e-23, 0, 0, 2.87717e-26, 0, 3.8455e-21, 0, 0, 0
0.0437907, 0, 9.34632e-21, 0, 1.41421, -9.34632e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95773e-23, 0, 0, 7.03627e-26, 0, 9.31667e-21, 0, 0, 0
0.0516573, 0, 2.22661e-20, 0, 1.41421, -2.22661e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.04632e-23, 0, 0, 1.69247e-25, 0, 2.21955e-20, 0, 0, 0
0.0595239, 0, 5.22064e-20, 0, 1.41421, -5.22064e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65212e-22, 0, 0, 4.00757e-25, 0, 5.20408e-20, 0, 0, 0
0.0673905, 0, 1.20561e-19, 0, 1.41421, -1.20561e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81524e-22, 0, 0, 9.3487e-25, 0, 1.20178e-19, 0, 0, 0
0.075257, 0, 2.74398e-19, 0, 1.41421, -2.74398e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.68356e-22, 0, 0, 2.14994e-24, 0, 2.73527e-19, 0, 0, 0
0.0831236, 0, 6.15896e-19, 0, 1.41421, -6.15896e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.94906e-21, 0, 0, 4.87715e-24, 0, 6.13942e-19, 0, 0, 0
0.0909902, 0, 1.36399e-18, 0, 1.41421, -1.36399e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.31645e-21, 0, 0, 1.09194e-23, 0, 1.35966e-18, 0, 0, 0
0.0988567, 0, 2.98189e-18, 0, 1.41421, -2.98189e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.43644e-21, 0, 0, 2.41395e-23, 0, 2.97243e-18, 0, 0, 0
0.106723, 0, 6.43773e-18, 0, 1.41421, -6.43773e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03728e-20, 0, 0, 5.27161e-23, 0, 6.4173e-18, 0, 0, 0
0.11459, 0, 1.37309e-17, 0, 1.41421, -1.37309e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34525e-20, 0, 0, 1.13765e-22, 0, 1.36873e-17, 0, 0, 0
0.122456, 0, 2.89422e-17, 0, 1.41421, -2.89422e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.15902e-20, 0, 0, 2.42705e-22, 0, 2.88504e-17, 0, 0, 0
0.130323, 0, 6.03073e-17, 0, 1.41421, -6.03073e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.90848e-19, 0, 0, 5.12021e-22, 0, 6.01159e-17, 0, 0, 0
0.13819, 0, 1.2426e-16, 0, 1.41421, -1.2426e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.93231e-19, 0, 0, 1.06847e-21, 0, 1.23866e-16, 0, 0, 0
0.146056, 0, 2.53236e-16, 0, 1.41421, -2.53236e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.01387e-19, 0, 0, 2.20607e-21, 0, 2.52432e-16, 0, 0, 0
0.153923, 0, 5.10565e-16, 0, 1.41421, -5.10565e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61573e-18, 0, 0, 4.50776e-21, 0, 5.08945e-16, 0, 0, 0
0.161789, 0, 1.0186e-15, 0, 1.41421, -1.0186e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22343e-18, 0, 0, 9.11772e-21, 0, 1.01536e-15, 0, 0, 0
0.169656, 0, 2.01122e-15, 0, 1.41421, -2.01122e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.36467e-18, 0, 0, 1.82593e-20, 0, 2.00484e-15, 0, 0, 0
0.177522, 0, 3.93098e-15, 0, 1.41421, -3.93098e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.24399e-17, 0, 0, 3.62106e-20, 0, 3.91851e-15, 0, 0, 0
0.185389, 0, 7.60671e-15, 0, 1.41421, -7.60671e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4072e-17, 0, 0, 7.1125e-20, 0, 7.58257e-15, 0, 0, 0
0.193256, 0, 1.45751e-14, 0, 1.41421, -1.45751e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61239e-17, 0, 0, 1.38392e-19, 0, 1.45288e-14, 0, 0, 0
0.201122, 0, 2.76569e-14, 0, 1.41421, -2.76569e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.75221e-17, 0, 0, 2.66789e-19, 0, 2.75691e-14, 0, 0, 0
0.208989, 0, 5.2187e-14, 0, 1.41421, -5.2187e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6515e-16, 0, 0, 5.1257e-19, 0, 5.20214e-14, 0, 0, 0
0.216855, 0, 9.7104e-14, 0, 1.41421, -9.7104e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07292e-16, 0, 0, 9.69772e-19, 0, 9.67957e-14, 0, 0, 0
0.224722, 0, 1.79006e-13, 0, 1.41421, -1.79006e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66479e-16, 0, 0, 1.81878e-18, 0, 1.78438e-13, 0, 0, 0
0.232588, 0, 3.26964e-13, 0, 1.41421, -3.26964e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0347e-15, 0, 0, 3.38178e-18, 0, 3.25926e-13, 0, 0, 0
0.240455, 0, 5.91787e-13, 0, 1.41421, -5.91787e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87277e-15, 0, 0, 6.23475e-18, 0, 5.89908e-13, 0, 0, 0
0.248322, 0, 1.06145e-12, 0, 1.41421, -1.06145e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.35909e-15, 0, 0, 1.13989e-17, 0, 1.05808e-12, 0, 0, 0
0.256188, 0, 1.88684e-12, 0, 1.41421, -1.88684e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.97123e-15, 0, 0, 2.067e-17, 0, 1.88085e-12, 0, 0, 0
0.264055, 0, 3.32433e-12, 0, 1.41421, -3.32433e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05206e-14, 0, 0, 3.71809e-17, 0, 3.31378e-12, 0, 0, 0
0.271921, 0, 5.80542e-12, 0, 1.41421, -5.80542e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83731e-14, 0, 0, 6.6355e-17, 0, 5.78698e-12, 0, 0, 0
0.279788, 0, 1.00496e-11, 0, 1.41421, -1.00496e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.18064e-14, 0, 0, 1.17513e-16, 0, 1.00177e-11, 0, 0, 0
0.287654, 0, 1.72455e-11, 0, 1.41421, -1.72455e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.45839e-14, 0, 0, 2.06558e-16, 0, 1.71908e-11, 0, 0, 0
0.295521, 0, 2.93386e-11, 0, 1.41421, -2.93386e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28663e-14, 0, 0, 3.60457e-16, 0, 2.92454e-11, 0, 0, 0
0.303388, 0, 4.94838e-11, 0, 1.41421, -4.94838e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.56647e-13, 0, 0, 6.24646e-16, 0, 4.93265e-11, 0, 0, 0
0.311254, 0, 8.27499e-11, 0, 1.41421, -8.27499e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.61988e-13, 0, 0, 1.07526e-15, 0, 8.24869e-11, 0, 0, 0
0.319121, 0, 1.37207e-10, 0, 1.41421, -1.37207e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.34469e-13, 0, 0, 1.83927e-15, 0, 1.3677e-10, 0, 0, 0
0.326987, 0, 2.25583e-10, 4.87652e-43, 1.41421, -2.25583e-10, 0, 4.87652e-43, 4.87652e-43, 4.87652e-43, 4.87652e-43, 4.87652e-43, 4.87652e-43, 4.87652e-43, 4.87652e-43, 4.87652e-43, 4.87652e-43, 7.14466e-13, 4.87652e-43, 4.87652e-43, 3.12745e-15, 4.87652e-43, 2.24865e-10, 4.87652e-43, 4.87652e-43, 4.87652e-43
0.334854, 0, 3.67776e-10, 8.29569e-42, 1.41421, -3.67776e-10, 0, 8.29569e-42, 8.29569e-42, 8.29569e-42, 8.29569e-42, 8.29569e-42, 8.29569e-42, 8.29569e-42, 8.29569e-42, 8.29569e-42, 8.29569e-42, 1.16513e-12, 8.29569e-42, 8.29569e-42, 5.28861e-15, 8.29569e-42, 3.66605e-10, 8.29569e-42, 8.29569e-42, 8.29569e-42
0.34272, 0, 5.94602e-10, 1.16508e-40, 1.41421, -5.94602e-10, 0, 1.16508e-40, 1.16508e-40, 1.16508e-40, 1.16508e-40, 1.16508e-40, 1.16508e-40, 1.16508e-40, 1.16508e-40, 1.16508e-40, 1.16508e-40, 1.88436e-12, 1.16508e-40, 1.16508e-40, 8.89824e-15, 1.16508e-40, 5.92708e-10, 1.16508e-40, 1.16508e-40, 1.16508e-40
0.350587, 0, 9.53358e-10, 1.45198e-39, 1.41421, -9.53358e-10, 0, 1.45198e-39, 1.45198e-39, 1.45198e-39, 1.45198e-39, 1.45198e-39, 1.45198e-39, 1.45198e-39, 1.45198e-39, 1.45198e-39, 1.45198e-39, 3.02259e-12, 1.45198e-39, 1.45198e-39, 1.4904e-14, 1.45198e-39, 9.50321e-10, 1.45198e-39, 1.45198e-39, 1.45198e-39
