   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_198.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.159119, 0, 9.0979e-16, 0, 1.41421, -9.0979e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.0199e-18, 0, 0, 2.9047e-21, 0, 1.26827e-19, 0, 9.0264e-16, 0, 0, 0
0.166991, 0, 1.75693e-15, 0, 1.41421, -1.75693e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35563e-17, 0, 0, 5.70975e-21, 0, 2.49498e-19, 0, 1.74311e-15, 0, 0, 0
0.174862, 0, 3.36026e-15, 0, 1.41421, -3.36026e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59274e-17, 0, 0, 1.11194e-20, 0, 4.86331e-19, 0, 3.33383e-15, 0, 0, 0
0.182734, 0, 6.36596e-15, 0, 1.41421, -6.36596e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.91189e-17, 0, 0, 2.1457e-20, 0, 9.39492e-19, 0, 6.31588e-15, 0, 0, 0
0.190606, 0, 1.19478e-14, 0, 1.41421, -1.19478e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.21873e-17, 0, 0, 4.10339e-20, 0, 1.79899e-18, 0, 1.18538e-14, 0, 0, 0
0.198478, 0, 2.22179e-14, 0, 1.41421, -2.22179e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.71428e-16, 0, 0, 7.77795e-20, 0, 3.41523e-18, 0, 2.2043e-14, 0, 0, 0
0.20635, 0, 4.09408e-14, 0, 1.41421, -4.09408e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15888e-16, 0, 0, 1.46148e-19, 0, 6.42892e-18, 0, 4.06184e-14, 0, 0, 0
0.214222, 0, 7.47648e-14, 0, 1.41421, -7.47648e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.76862e-16, 0, 0, 2.72272e-19, 0, 1.2002e-17, 0, 7.41757e-14, 0, 0, 0
0.222094, 0, 1.35322e-13, 0, 1.41421, -1.35322e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0441e-15, 0, 0, 5.02979e-19, 0, 2.22245e-17, 0, 1.34255e-13, 0, 0, 0
0.229966, 0, 2.42779e-13, 0, 1.41421, -2.42779e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87319e-15, 0, 0, 9.21491e-19, 0, 4.08262e-17, 0, 2.40864e-13, 0, 0, 0
0.237838, 0, 4.31778e-13, 0, 1.41421, -4.31778e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33143e-15, 0, 0, 1.6745e-18, 0, 7.4411e-17, 0, 4.2837e-13, 0, 0, 0
0.24571, 0, 7.61293e-13, 0, 1.41421, -7.61293e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.87384e-15, 0, 0, 3.01852e-18, 0, 1.34582e-16, 0, 7.55281e-13, 0, 0, 0
0.253582, 0, 1.33262e-12, 0, 1.41421, -1.33262e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.02821e-14, 0, 0, 5.41341e-18, 0, 2.42332e-16, 0, 1.32209e-12, 0, 0, 0
0.261454, 0, 2.30935e-12, 0, 1.41421, -2.30935e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.78185e-14, 0, 0, 9.60518e-18, 0, 4.31698e-16, 0, 2.29109e-12, 0, 0, 0
0.269326, 0, 3.96842e-12, 0, 1.41421, -3.96842e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.06201e-14, 0, 0, 1.69153e-17, 0, 7.63529e-16, 0, 3.93702e-12, 0, 0, 0
0.277198, 0, 6.7626e-12, 0, 1.41421, -6.7626e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.21816e-14, 0, 0, 2.95718e-17, 0, 1.34097e-15, 0, 6.70905e-12, 0, 0, 0
0.28507, 0, 1.14288e-11, 0, 1.41421, -1.14288e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.81915e-14, 0, 0, 5.13326e-17, 0, 2.33901e-15, 0, 1.13383e-11, 0, 0, 0
0.292942, 0, 1.9156e-11, 0, 1.41421, -1.9156e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47828e-13, 0, 0, 8.84967e-17, 0, 4.05278e-15, 0, 1.90041e-11, 0, 0, 0
0.300814, 0, 3.18453e-11, 0, 1.41421, -3.18453e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.45775e-13, 0, 0, 1.51563e-16, 0, 6.97698e-15, 0, 3.15924e-11, 0, 0, 0
0.308686, 0, 5.25102e-11, 0, 1.41421, -5.25102e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0531e-13, 0, 0, 2.57943e-16, 0, 1.19365e-14, 0, 5.20927e-11, 0, 0, 0
0.316558, 0, 8.58853e-11, 1.14906e-43, 1.41421, -8.58853e-11, 0, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 1.14906e-43, 6.63027e-13, 1.14906e-43, 1.14906e-43, 4.36375e-16, 1.14906e-43, 2.02996e-14, 1.14906e-43, 8.52015e-11, 1.14906e-43, 1.14906e-43, 1.14906e-43
0.324429, 0, 1.39345e-10, 2.01367e-42, 1.41421, -1.39345e-10, 0, 2.01367e-42, 2.01367e-42, 2.01367e-42, 2.01367e-42, 2.01367e-42, 2.01367e-42, 2.01367e-42, 2.01367e-42, 2.01367e-42, 2.01367e-42, 2.01367e-42, 1.07595e-12, 2.01367e-42, 2.01367e-42, 7.34115e-16, 2.01367e-42, 3.43259e-14, 2.01367e-42, 1.38234e-10, 2.01367e-42, 2.01367e-42, 2.01367e-42
0.332301, 0, 2.24275e-10, 2.93516e-41, 1.41421, -2.24275e-10, 0, 2.93516e-41, 2.93516e-41, 2.93516e-41, 2.93516e-41, 2.93516e-41, 2.93516e-41, 2.93516e-41, 2.93516e-41, 2.93516e-41, 2.93516e-41, 2.93516e-41, 1.7322e-12, 2.93516e-41, 2.93516e-41, 1.22861e-15, 2.93516e-41, 5.77314e-14, 2.93516e-41, 2.22484e-10, 2.93516e-41, 2.93516e-41, 2.93516e-41
0.340173, 0, 3.58103e-10, 3.78391e-40, 1.41421, -3.58103e-10, 0, 3.78391e-40, 3.78391e-40, 3.78391e-40, 3.78391e-40, 3.78391e-40, 3.78391e-40, 3.78391e-40, 3.78391e-40, 3.78391e-40, 3.78391e-40, 3.78391e-40, 2.76675e-12, 3.78391e-40, 3.78391e-40, 2.04644e-15, 3.78391e-40, 9.66059e-14, 3.78391e-40, 3.55238e-10, 3.78391e-40, 3.78391e-40, 3.78391e-40
0.348045, 0, 5.67271e-10, 4.37109e-39, 1.41421, -5.67271e-10, 0, 4.37109e-39, 4.37109e-39, 4.37109e-39, 4.37109e-39, 4.37109e-39, 4.37109e-39, 4.37109e-39, 4.37109e-39, 4.37109e-39, 4.37109e-39, 4.37109e-39, 4.38467e-12, 4.37109e-39, 4.37109e-39, 3.39417e-15, 4.37109e-39, 1.609e-13, 4.37109e-39, 5.62722e-10, 4.37109e-39, 4.37109e-39, 4.37109e-39
0.355917, 0, 8.91555e-10, 4.55817e-38, 1.41421, -8.91555e-10, 0, 4.55817e-38, 4.55817e-38, 4.55817e-38, 4.55817e-38, 4.55817e-38, 4.55817e-38, 4.55817e-38, 4.55817e-38, 4.55817e-38, 4.55817e-38, 4.55817e-38, 6.89486e-12, 4.55817e-38, 4.55817e-38, 5.60834e-15, 4.55817e-38, 2.66834e-13, 4.55817e-38, 8.84388e-10, 4.55817e-38, 4.55817e-38, 4.55817e-38
0.363789, 0, 1.39028e-09, 4.31446e-37, 1.41421, -1.39028e-09, 0, 4.31446e-37, 4.31446e-37, 4.31446e-37, 4.31446e-37, 4.31446e-37, 4.31446e-37, 4.31446e-37, 4.31446e-37, 4.31446e-37, 4.31446e-37, 4.31446e-37, 1.07588e-11, 4.31446e-37, 4.31446e-37, 9.23698e-15, 4.31446e-37, 4.40795e-13, 4.31446e-37, 1.37907e-09, 4.31446e-37, 4.31446e-37, 4.31446e-37
