   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_223.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0287787, 446, 0, 0, 21.166, 446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0209096, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0130405, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00517144, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00269766, 0, 1.48725e-23, 0, 1.41421, -1.48725e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.49995e-26, 0, 0, 1.13366e-28, 0, 5.50412e-28, 0, 1.48369e-23, 0, 0, 0
0.0105668, 0, 4.16232e-23, 0, 1.41421, -4.16232e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.79517e-26, 0, 0, 3.21903e-28, 0, 1.58575e-27, 0, 4.15233e-23, 0, 0, 0
0.0184358, 0, 1.13031e-22, 0, 1.41421, -1.13031e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.65995e-25, 0, 0, 8.86602e-28, 0, 4.41882e-27, 0, 1.12759e-22, 0, 0, 0
0.0263049, 0, 2.98833e-22, 0, 1.41421, -2.98833e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.03241e-25, 0, 0, 2.3769e-27, 0, 1.19596e-26, 0, 2.98115e-22, 0, 0, 0
0.034174, 0, 7.71198e-22, 0, 1.41421, -7.71198e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81485e-24, 0, 0, 6.21945e-27, 0, 3.15388e-26, 0, 7.69346e-22, 0, 0, 0
0.0420431, 0, 1.94677e-21, 0, 1.41421, -1.94677e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.58131e-24, 0, 0, 1.5918e-26, 0, 8.12425e-26, 0, 1.94209e-21, 0, 0, 0
0.0499122, 0, 4.81524e-21, 0, 1.41421, -4.81524e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13316e-23, 0, 0, 3.99201e-26, 0, 2.04835e-25, 0, 4.80366e-21, 0, 0, 0
0.0577813, 0, 1.16867e-20, 0, 1.41421, -1.16867e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.75021e-23, 0, 0, 9.82416e-26, 0, 5.06319e-25, 0, 1.16586e-20, 0, 0, 0
0.0656504, 0, 2.78654e-20, 0, 1.41421, -2.78654e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.55751e-23, 0, 0, 2.37544e-25, 0, 1.2287e-24, 0, 2.77983e-20, 0, 0, 0
0.0735195, 0, 6.53405e-20, 0, 1.41421, -6.53405e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53764e-22, 0, 0, 5.64934e-25, 0, 2.93073e-24, 0, 6.51833e-20, 0, 0, 0
0.0813886, 0, 1.50811e-19, 0, 1.41421, -1.50811e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.54901e-22, 0, 0, 1.32268e-24, 0, 6.87793e-24, 0, 1.50448e-19, 0, 0, 0
0.0892577, 0, 3.42892e-19, 0, 1.41421, -3.42892e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.0692e-22, 0, 0, 3.05113e-24, 0, 1.58954e-23, 0, 3.42066e-19, 0, 0, 0
0.0971268, 0, 7.68511e-19, 0, 1.41421, -7.68511e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80852e-21, 0, 0, 6.9394e-24, 0, 3.62038e-23, 0, 7.6666e-19, 0, 0, 0
0.104996, 0, 1.69892e-18, 0, 1.41421, -1.69892e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99801e-21, 0, 0, 1.55706e-23, 0, 8.13197e-23, 0, 1.69482e-18, 0, 0, 0
0.112865, 0, 3.70641e-18, 0, 1.41421, -3.70641e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.72217e-21, 0, 0, 3.44863e-23, 0, 1.80242e-22, 0, 3.69747e-18, 0, 0, 0
0.120734, 0, 7.98357e-18, 0, 1.41421, -7.98357e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87875e-20, 0, 0, 7.54321e-23, 0, 3.94428e-22, 0, 7.96431e-18, 0, 0, 0
0.128603, 0, 1.69858e-17, 0, 1.41421, -1.69858e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9972e-20, 0, 0, 1.63012e-22, 0, 8.5258e-22, 0, 1.69448e-17, 0, 0, 0
0.136472, 0, 3.57091e-17, 0, 1.41421, -3.57091e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.40329e-20, 0, 0, 3.48181e-22, 0, 1.82114e-21, 0, 3.56229e-17, 0, 0, 0
0.144341, 0, 7.42031e-17, 0, 1.41421, -7.42031e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74619e-19, 0, 0, 7.35292e-22, 0, 3.84556e-21, 0, 7.40239e-17, 0, 0, 0
0.15221, 0, 1.52456e-16, 0, 1.41421, -1.52456e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.58768e-19, 0, 0, 1.53575e-21, 0, 8.03035e-21, 0, 1.52088e-16, 0, 0, 0
0.16008, 0, 3.09787e-16, 0, 1.41421, -3.09787e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.29006e-19, 0, 0, 3.17329e-21, 0, 1.65885e-20, 0, 3.09038e-16, 0, 0, 0
0.167949, 0, 6.22703e-16, 0, 1.41421, -6.22703e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46537e-18, 0, 0, 6.48837e-21, 0, 3.39078e-20, 0, 6.21197e-16, 0, 0, 0
0.175818, 0, 1.2385e-15, 0, 1.41421, -1.2385e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91448e-18, 0, 0, 1.31311e-20, 0, 6.86013e-20, 0, 1.2355e-15, 0, 0, 0
0.183687, 0, 2.43777e-15, 0, 1.41421, -2.43777e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.73665e-18, 0, 0, 2.63085e-20, 0, 1.37408e-19, 0, 2.43186e-15, 0, 0, 0
0.191556, 0, 4.74951e-15, 0, 1.41421, -4.74951e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11767e-17, 0, 0, 5.2192e-20, 0, 2.72546e-19, 0, 4.73801e-15, 0, 0, 0
0.199425, 0, 9.16092e-15, 0, 1.41421, -9.16092e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15577e-17, 0, 0, 1.02543e-19, 0, 5.35437e-19, 0, 9.13872e-15, 0, 0, 0
0.207294, 0, 1.74955e-14, 0, 1.41421, -1.74955e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11708e-17, 0, 0, 1.99558e-19, 0, 1.04209e-18, 0, 1.74531e-14, 0, 0, 0
0.215163, 0, 3.30883e-14, 0, 1.41421, -3.30883e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.78635e-17, 0, 0, 3.84735e-19, 0, 2.00961e-18, 0, 3.3008e-14, 0, 0, 0
0.223032, 0, 6.19777e-14, 0, 1.41421, -6.19777e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45846e-16, 0, 0, 7.34931e-19, 0, 3.8407e-18, 0, 6.18272e-14, 0, 0, 0
0.230901, 0, 1.1499e-13, 0, 1.41421, -1.1499e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70594e-16, 0, 0, 1.39126e-18, 0, 7.27575e-18, 0, 1.14711e-13, 0, 0, 0
0.23877, 0, 2.11348e-13, 0, 1.41421, -2.11348e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9734e-16, 0, 0, 2.61041e-18, 0, 1.36641e-17, 0, 2.10835e-13, 0, 0, 0
0.24664, 0, 3.8485e-13, 0, 1.41421, -3.8485e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.05618e-16, 0, 0, 4.85528e-18, 0, 2.54446e-17, 0, 3.83914e-13, 0, 0, 0
0.254509, 0, 6.94351e-13, 0, 1.41421, -6.94351e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.63392e-15, 0, 0, 8.95334e-18, 0, 4.69878e-17, 0, 6.92661e-13, 0, 0, 0
0.262378, 0, 1.24331e-12, 0, 1.41421, -1.24331e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92575e-15, 0, 0, 1.64215e-17, 0, 8.63418e-17, 0, 1.24029e-12, 0, 0, 0
0.270247, 0, 2.20225e-12, 0, 1.41421, -2.20225e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.18233e-15, 0, 0, 2.97729e-17, 0, 1.56844e-16, 0, 2.19688e-12, 0, 0, 0
0.278116, 0, 3.86604e-12, 0, 1.41421, -3.86604e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.09769e-15, 0, 0, 5.35484e-17, 0, 2.82702e-16, 0, 3.8566e-12, 0, 0, 0
0.285985, 0, 6.72677e-12, 0, 1.41421, -6.72677e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.583e-14, 0, 0, 9.55598e-17, 0, 5.05685e-16, 0, 6.71034e-12, 0, 0, 0
0.293854, 0, 1.16015e-11, 0, 1.41421, -1.16015e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.73027e-14, 0, 0, 1.69242e-16, 0, 8.97846e-16, 0, 1.15732e-11, 0, 0, 0
0.301723, 0, 1.98344e-11, 0, 1.41421, -1.98344e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.668e-14, 0, 0, 2.97552e-16, 0, 1.58263e-15, 0, 1.97858e-11, 0, 0, 0
0.309592, 0, 3.36155e-11, 0, 1.41421, -3.36155e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.91194e-14, 0, 0, 5.19472e-16, 0, 2.77018e-15, 0, 3.35331e-11, 0, 0, 0
0.317461, 0, 5.64812e-11, 0, 1.41421, -5.64812e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3295e-13, 0, 0, 9.00839e-16, 0, 4.81605e-15, 0, 5.63425e-11, 0, 0, 0
0.32533, 0, 9.40873e-11, 2.52234e-43, 1.41421, -9.40873e-11, 0, 2.52234e-43, 2.52234e-43, 2.52234e-43, 2.52234e-43, 2.52234e-43, 2.52234e-43, 2.52234e-43, 2.52234e-43, 2.52234e-43, 2.52234e-43, 2.215e-13, 2.52234e-43, 2.52234e-43, 1.55231e-15, 2.52234e-43, 8.31846e-15, 2.52234e-43, 9.38559e-11, 2.52234e-43, 2.52234e-43, 2.52234e-43
0.3332, 0, 1.55398e-10, 4.40288e-42, 1.41421, -1.55398e-10, 0, 4.40288e-42, 4.40288e-42, 4.40288e-42, 4.40288e-42, 4.40288e-42, 4.40288e-42, 4.40288e-42, 4.40288e-42, 4.40288e-42, 4.40288e-42, 3.659e-13, 4.40288e-42, 4.40288e-42, 2.65909e-15, 4.40288e-42, 1.42789e-14, 4.40288e-42, 1.55015e-10, 4.40288e-42, 4.40288e-42, 4.40288e-42
