   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_137.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0275568, 274, 0, 0, 16.6132, 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0196849, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0118131, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00394121, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00393065, 0, 3.92288e-23, 0, 1.41421, -3.92288e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.85479e-25, 0, 0, 5.76327e-27, 0, 3.90375e-23, 0, 0, 0
0.0118025, 0, 1.0201e-22, 0, 1.41421, -1.0201e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.82313e-25, 0, 0, 1.54614e-26, 0, 1.01512e-22, 0, 0, 0
0.0196744, 0, 2.59565e-22, 0, 1.41421, -2.59565e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22724e-24, 0, 0, 4.04967e-26, 0, 2.58297e-22, 0, 0, 0
0.0275462, 0, 6.47305e-22, 0, 1.41421, -6.47305e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.0605e-24, 0, 0, 1.03765e-25, 0, 6.44141e-22, 0, 0, 0
0.0354181, 0, 1.5842e-21, 0, 1.41421, -1.5842e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.49017e-24, 0, 0, 2.60529e-25, 0, 1.57645e-21, 0, 0, 0
0.0432899, 0, 3.8093e-21, 0, 1.41421, -3.8093e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.80105e-23, 0, 0, 6.41883e-25, 0, 3.79064e-21, 0, 0, 0
0.0511618, 0, 9.00821e-21, 0, 1.41421, -9.00821e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.25909e-23, 0, 0, 1.55369e-24, 0, 8.96406e-21, 0, 0, 0
0.0590337, 0, 2.09683e-20, 0, 1.41421, -2.09683e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.91379e-23, 0, 0, 3.69852e-24, 0, 2.08654e-20, 0, 0, 0
0.0669055, 0, 4.80773e-20, 0, 1.41421, -4.80773e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27308e-22, 0, 0, 8.66624e-24, 0, 4.78414e-20, 0, 0, 0
0.0747774, 0, 1.08657e-19, 0, 1.41421, -1.08657e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13726e-22, 0, 0, 2.00039e-23, 0, 1.08123e-19, 0, 0, 0
0.0826492, 0, 2.42197e-19, 0, 1.41421, -2.42197e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14509e-21, 0, 0, 4.55178e-23, 0, 2.41006e-19, 0, 0, 0
0.0905211, 0, 5.32716e-19, 0, 1.41421, -5.32716e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51864e-21, 0, 0, 1.02163e-22, 0, 5.30095e-19, 0, 0, 0
0.0983929, 0, 1.15675e-18, 0, 1.41421, -1.15675e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.469e-21, 0, 0, 2.26306e-22, 0, 1.15106e-18, 0, 0, 0
0.106265, 0, 2.48075e-18, 0, 1.41421, -2.48075e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17287e-20, 0, 0, 4.94991e-22, 0, 2.46852e-18, 0, 0, 0
0.114137, 0, 5.25635e-18, 0, 1.41421, -5.25635e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.48513e-20, 0, 0, 1.06953e-21, 0, 5.23043e-18, 0, 0, 0
0.122009, 0, 1.10076e-17, 0, 1.41421, -1.10076e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20421e-20, 0, 0, 2.28381e-21, 0, 1.09532e-17, 0, 0, 0
0.12988, 0, 2.27896e-17, 0, 1.41421, -2.27896e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07745e-19, 0, 0, 4.82122e-21, 0, 2.26771e-17, 0, 0, 0
0.137752, 0, 4.66604e-17, 0, 1.41421, -4.66604e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20601e-19, 0, 0, 1.00662e-20, 0, 4.64297e-17, 0, 0, 0
0.145624, 0, 9.4499e-17, 0, 1.41421, -9.4499e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.46771e-19, 0, 0, 2.07914e-20, 0, 9.40314e-17, 0, 0, 0
0.153496, 0, 1.89353e-16, 0, 1.41421, -1.89353e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.95214e-19, 0, 0, 4.24953e-20, 0, 1.88415e-16, 0, 0, 0
