   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_53.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0312259, 106, 0, 0, 10.3923, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0233385, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0154511, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00756369, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000323717, 0, 5.38043e-21, 0, 1.41421, -5.38043e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.0221e-23, 0, 0, 0, 2.91132e-24, 0, 5.3573e-21, 0, 0, 0
0.00821112, 0, 1.21441e-20, 0, 1.41421, -1.21441e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.56399e-23, 0, 0, 0, 6.70022e-24, 0, 1.20917e-20, 0, 0, 0
0.0160985, 0, 2.83818e-20, 0, 1.41421, -2.83818e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06663e-22, 0, 0, 0, 1.60992e-23, 0, 2.8259e-20, 0, 0, 0
0.0239859, 0, 6.19043e-20, 0, 1.41421, -6.19043e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.32643e-22, 0, 0, 0, 3.57428e-23, 0, 6.1636e-20, 0, 0, 0
0.0318733, 0, 1.33293e-19, 0, 1.41421, -1.33293e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.00926e-22, 0, 0, 0, 7.83177e-23, 0, 1.32714e-19, 0, 0, 0
0.0397607, 0, 2.83482e-19, 0, 1.41421, -2.83482e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06533e-21, 0, 0, 0, 1.69464e-22, 0, 2.82247e-19, 0, 0, 0
