   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_73.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.167693, 0, 3.65545e-15, 0, 1.41421, -3.65545e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.37056e-17, 0, 0, 9.58557e-20, 0, 7.74434e-19, 0, 3.63088e-15, 0, 0
0.175572, 0, 6.70815e-15, 0, 1.41421, -6.70815e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.35021e-17, 0, 0, 1.79434e-19, 0, 1.45042e-18, 0, 6.66302e-15, 0, 0
0.183452, 0, 1.2205e-14, 0, 1.41421, -1.2205e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.91483e-17, 0, 0, 3.33116e-19, 0, 2.69509e-18, 0, 1.21228e-14, 0, 0
0.191331, 0, 2.20185e-14, 0, 1.41421, -2.20185e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42787e-16, 0, 0, 6.13417e-19, 0, 4.96918e-18, 0, 2.18701e-14, 0, 0
0.19921, 0, 3.95073e-14, 0, 1.41421, -3.95073e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56198e-16, 0, 0, 1.12596e-18, 0, 9.14098e-18, 0, 3.92408e-14, 0, 0
0.20709, 0, 7.00656e-14, 0, 1.41421, -7.00656e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.54362e-16, 0, 0, 2.03965e-18, 0, 1.65931e-17, 0, 6.95926e-14, 0, 0
0.214969, 0, 1.23248e-13, 0, 1.41421, -1.23248e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.99235e-16, 0, 0, 3.66633e-18, 0, 2.99015e-17, 0, 1.22415e-13, 0, 0
0.222848, 0, 2.15045e-13, 0, 1.41421, -2.15045e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.39451e-15, 0, 0, 6.54042e-18, 0, 5.34977e-17, 0, 2.1359e-13, 0, 0
0.230728, 0, 3.72205e-13, 0, 1.41421, -3.72205e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.41367e-15, 0, 0, 1.15806e-17, 0, 9.50471e-17, 0, 3.69685e-13, 0, 0
0.238607, 0, 6.39093e-13, 0, 1.41421, -6.39093e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1444e-15, 0, 0, 2.03545e-17, 0, 1.67703e-16, 0, 6.3476e-13, 0, 0
0.246486, 0, 1.08868e-12, 0, 1.41421, -1.08868e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05994e-15, 0, 0, 3.55189e-17, 0, 2.939e-16, 0, 1.08129e-12, 0, 0
0.254366, 0, 1.83997e-12, 0, 1.41421, -1.83997e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19322e-14, 0, 0, 6.15452e-17, 0, 5.1165e-16, 0, 1.82746e-12, 0, 0
0.262245, 0, 3.08544e-12, 0, 1.41421, -3.08544e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00097e-14, 0, 0, 1.0591e-16, 0, 8.84961e-16, 0, 3.06444e-12, 0, 0
0.270124, 0, 5.13386e-12, 0, 1.41421, -5.13386e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32954e-14, 0, 0, 1.81043e-16, 0, 1.52097e-15, 0, 5.09886e-12, 0, 0
0.278004, 0, 8.4763e-12, 0, 1.41421, -8.4763e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.4976e-14, 0, 0, 3.07476e-16, 0, 2.59797e-15, 0, 8.41842e-12, 0, 0
0.285883, 0, 1.38876e-11, 0, 1.41421, -1.38876e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.00798e-14, 0, 0, 5.1896e-16, 0, 4.41106e-15, 0, 1.37926e-11, 0, 0
0.293762, 0, 2.25798e-11, 0, 1.41421, -2.25798e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46477e-13, 0, 0, 8.70695e-16, 0, 7.44617e-15, 0, 2.2425e-11, 0, 0
0.301641, 0, 3.6434e-11, 0, 1.41421, -3.6434e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.36383e-13, 0, 0, 1.45258e-15, 0, 1.24996e-14, 0, 3.61837e-11, 0, 0
0.309521, 0, 5.83449e-11, 1.8357e-43, 1.41421, -5.83449e-11, 1.8357e-43, 0, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 1.8357e-43, 3.78608e-13, 1.8357e-43, 1.8357e-43, 2.41046e-15, 1.8357e-43, 2.08707e-14, 1.8357e-43, 5.7943e-11, 1.8357e-43, 1.8357e-43
0.3174, 0, 9.27313e-11, 3.15012e-42, 1.41421, -9.27313e-11, 3.15012e-42, 0, 3.15012e-42, 3.15012e-42, 3.15012e-42, 3.15012e-42, 3.15012e-42, 3.15012e-42, 3.15012e-42, 3.15012e-42, 3.15012e-42, 3.15012e-42, 6.01885e-13, 3.15012e-42, 3.15012e-42, 3.98026e-15, 3.15012e-42, 3.46714e-14, 3.15012e-42, 9.20907e-11, 3.15012e-42, 3.15012e-42
