   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_236.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.16084, 0, 4.58338e-16, 0, 1.41421, -4.58338e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76814e-18, 0, 0, 9.16844e-21, 0, 9.87343e-20, 0, 4.54462e-16, 0, 0, 0
0.168707, 0, 9.10973e-16, 0, 1.41421, -9.10973e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.48935e-18, 0, 0, 1.85537e-20, 0, 1.99529e-19, 0, 9.03265e-16, 0, 0, 0
0.176574, 0, 1.79218e-15, 0, 1.41421, -1.79218e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.47339e-17, 0, 0, 3.71746e-20, 0, 3.99259e-19, 0, 1.77701e-15, 0, 0, 0
0.184441, 0, 3.49053e-15, 0, 1.41421, -3.49053e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.86963e-17, 0, 0, 7.37611e-20, 0, 7.91261e-19, 0, 3.46097e-15, 0, 0, 0
0.192307, 0, 6.77362e-15, 0, 1.41421, -6.77362e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.56868e-17, 0, 0, 1.46252e-19, 0, 1.56739e-18, 0, 6.71622e-15, 0, 0, 0
0.200174, 0, 1.29256e-14, 0, 1.41421, -1.29256e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06262e-16, 0, 0, 2.84443e-19, 0, 3.04594e-18, 0, 1.2816e-14, 0, 0, 0
0.208041, 0, 2.44313e-14, 0, 1.41421, -2.44313e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.00849e-16, 0, 0, 5.48155e-19, 0, 5.86642e-18, 0, 2.4224e-14, 0, 0, 0
0.215907, 0, 4.57461e-14, 0, 1.41421, -4.57461e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.76076e-16, 0, 0, 1.0469e-18, 0, 1.11997e-17, 0, 4.53578e-14, 0, 0, 0
0.223774, 0, 8.48642e-14, 0, 1.41421, -8.48642e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97659e-16, 0, 0, 1.98179e-18, 0, 2.1198e-17, 0, 8.41434e-14, 0, 0, 0
0.231641, 0, 1.55991e-13, 0, 1.41421, -1.55991e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.28237e-15, 0, 0, 3.71892e-18, 0, 3.97834e-17, 0, 1.54665e-13, 0, 0, 0
0.239508, 0, 2.84128e-13, 0, 1.41421, -2.84128e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33575e-15, 0, 0, 6.91899e-18, 0, 7.40443e-17, 0, 2.81712e-13, 0, 0, 0
0.247374, 0, 5.12872e-13, 0, 1.41421, -5.12872e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.21618e-15, 0, 0, 1.27643e-17, 0, 1.36687e-16, 0, 5.08506e-13, 0, 0, 0
0.255241, 0, 9.17521e-13, 0, 1.41421, -9.17521e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.54267e-15, 0, 0, 2.3353e-17, 0, 2.50304e-16, 0, 9.09705e-13, 0, 0, 0
0.263108, 0, 1.62693e-12, 0, 1.41421, -1.62693e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33745e-14, 0, 0, 4.23789e-17, 0, 4.54784e-16, 0, 1.61306e-12, 0, 0, 0
0.270975, 0, 2.85953e-12, 0, 1.41421, -2.85953e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.35075e-14, 0, 0, 7.62944e-17, 0, 8.19958e-16, 0, 2.83512e-12, 0, 0, 0
0.278841, 0, 4.9822e-12, 0, 1.41421, -4.9822e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.09579e-14, 0, 0, 1.36286e-16, 0, 1.46722e-15, 0, 4.93964e-12, 0, 0, 0
0.286708, 0, 8.60547e-12, 0, 1.41421, -8.60547e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.07459e-14, 0, 0, 2.41612e-16, 0, 2.60607e-15, 0, 8.53188e-12, 0, 0, 0
0.294575, 0, 1.4736e-11, 0, 1.41421, -1.4736e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21149e-13, 0, 0, 4.25205e-16, 0, 4.59565e-15, 0, 1.46098e-11, 0, 0, 0
0.302442, 0, 2.50184e-11, 0, 1.41421, -2.50184e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.05695e-13, 0, 0, 7.43039e-16, 0, 8.04751e-15, 0, 2.4804e-11, 0, 0, 0
0.310308, 0, 4.21151e-11, 0, 1.41421, -4.21151e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46285e-13, 0, 0, 1.28969e-15, 0, 1.39967e-14, 0, 4.17535e-11, 0, 0, 0
0.318175, 0, 7.02966e-11, 0, 1.41421, -7.02966e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.78061e-13, 0, 0, 2.22416e-15, 0, 2.41845e-14, 0, 6.96921e-11, 0, 0, 0
0.326042, 0, 1.16351e-10, 3.39114e-43, 1.41421, -1.16351e-10, 0, 3.39114e-43, 3.39114e-43, 3.39114e-43, 3.39114e-43, 3.39114e-43, 3.39114e-43, 3.39114e-43, 3.39114e-43, 3.39114e-43, 3.39114e-43, 3.39114e-43, 9.56905e-13, 3.39114e-43, 3.39114e-43, 3.81262e-15, 3.39114e-43, 4.1526e-14, 3.39114e-43, 1.15349e-10, 3.39114e-43, 3.39114e-43, 3.39114e-43
0.333908, 0, 1.90972e-10, 5.84762e-42, 1.41421, -1.90972e-10, 0, 5.84762e-42, 5.84762e-42, 5.84762e-42, 5.84762e-42, 5.84762e-42, 5.84762e-42, 5.84762e-42, 5.84762e-42, 5.84762e-42, 5.84762e-42, 5.84762e-42, 1.57089e-12, 5.84762e-42, 5.84762e-42, 6.49889e-15, 5.84762e-42, 7.0876e-14, 5.84762e-42, 1.89323e-10, 5.84762e-42, 5.84762e-42, 5.84762e-42
0.341775, 0, 3.10847e-10, 8.32343e-41, 1.41421, -3.10847e-10, 0, 8.32343e-41, 8.32343e-41, 8.32343e-41, 8.32343e-41, 8.32343e-41, 8.32343e-41, 8.32343e-41, 8.32343e-41, 8.32343e-41, 8.32343e-41, 8.32343e-41, 2.55755e-12, 8.32343e-41, 8.32343e-41, 1.10209e-14, 8.32343e-41, 1.20287e-13, 8.32343e-41, 3.08158e-10, 8.32343e-41, 8.32343e-41, 8.32343e-41
0.349642, 0, 5.01793e-10, 1.04957e-39, 1.41421, -5.01793e-10, 0, 1.04957e-39, 1.04957e-39, 1.04957e-39, 1.04957e-39, 1.04957e-39, 1.04957e-39, 1.04957e-39, 1.04957e-39, 1.04957e-39, 1.04957e-39, 1.04957e-39, 4.12985e-12, 1.04957e-39, 1.04957e-39, 1.86028e-14, 1.04957e-39, 2.03066e-13, 1.04957e-39, 4.97442e-10, 1.04957e-39, 1.04957e-39, 1.04957e-39
