   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_263.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0277393, 395.535, 0, 0, 19.9383, 395.535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0198738, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0120082, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00414271, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00372281, 0, 5.95022e-23, 0, 1.41421, -5.95022e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.26799e-26, 0, 0, 3.02896e-28, 0, 3.13126e-27, 0, 5.94261e-23, 0, 0, 0
0.0115883, 0, 1.55362e-22, 0, 1.41421, -1.55362e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.89769e-25, 0, 0, 8.0414e-28, 0, 8.382e-27, 0, 1.55163e-22, 0, 0, 0
0.0194539, 0, 3.96313e-22, 0, 1.41421, -3.96313e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.84081e-25, 0, 0, 2.0856e-27, 0, 2.18782e-26, 0, 3.95805e-22, 0, 0, 0
0.0273194, 0, 9.89562e-22, 0, 1.41421, -9.89562e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.20871e-24, 0, 0, 5.29451e-27, 0, 5.58094e-26, 0, 9.88292e-22, 0, 0, 0
0.0351849, 0, 2.42238e-21, 0, 1.41421, -2.42238e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95884e-24, 0, 0, 1.31768e-26, 0, 1.39396e-25, 0, 2.41927e-21, 0, 0, 0
0.0430504, 0, 5.82123e-21, 0, 1.41421, -5.82123e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.11039e-24, 0, 0, 3.21936e-26, 0, 3.41457e-25, 0, 5.81375e-21, 0, 0, 0
0.050916, 0, 1.37636e-20, 0, 1.41421, -1.37636e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.68117e-23, 0, 0, 7.74485e-26, 0, 8.22825e-25, 0, 1.37459e-20, 0, 0, 0
0.0587815, 0, 3.37079e-20, 0, 1.41421, -3.37079e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.11726e-23, 0, 0, 1.94646e-25, 0, 2.06929e-24, 0, 3.36645e-20, 0, 0, 0
0.066647, 0, 7.67267e-20, 0, 1.41421, -7.67267e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.3718e-23, 0, 0, 4.505e-25, 0, 4.79056e-24, 0, 7.66278e-20, 0, 0, 0
0.0745125, 0, 1.72174e-19, 0, 1.41421, -1.72174e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10302e-22, 0, 0, 1.02793e-24, 0, 1.09292e-23, 0, 1.71952e-19, 0, 0, 0
0.082378, 0, 3.81108e-19, 0, 1.41421, -3.81108e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.65504e-22, 0, 0, 2.31375e-24, 0, 2.45882e-23, 0, 3.80616e-19, 0, 0, 0
0.0902436, 0, 8.32565e-19, 0, 1.41421, -8.32565e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.01693e-21, 0, 0, 5.14032e-24, 0, 5.45833e-23, 0, 8.31488e-19, 0, 0, 0
0.0981091, 0, 1.79588e-18, 0, 1.41421, -1.79588e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.19357e-21, 0, 0, 1.12769e-23, 0, 1.19624e-22, 0, 1.79355e-18, 0, 0, 0
0.105975, 0, 3.82651e-18, 0, 1.41421, -3.82651e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.67387e-21, 0, 0, 2.444e-23, 0, 2.58947e-22, 0, 3.82156e-18, 0, 0, 0
0.11384, 0, 8.0567e-18, 0, 1.41421, -8.0567e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.8408e-21, 0, 0, 5.2347e-23, 0, 5.53886e-22, 0, 8.04625e-18, 0, 0, 0
0.121706, 0, 1.67681e-17, 0, 1.41421, -1.67681e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04812e-20, 0, 0, 1.10844e-22, 0, 1.17117e-21, 0, 1.67463e-17, 0, 0, 0
0.129571, 0, 3.45076e-17, 0, 1.41421, -3.45076e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2149e-20, 0, 0, 2.32116e-22, 0, 2.44885e-21, 0, 3.44628e-17, 0, 0, 0
0.137437, 0, 7.02378e-17, 0, 1.41421, -7.02378e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.57911e-20, 0, 0, 4.80832e-22, 0, 5.06513e-21, 0, 7.01464e-17, 0, 0, 0
0.145302, 0, 1.41436e-16, 0, 1.41421, -1.41436e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72755e-19, 0, 0, 9.8559e-22, 0, 1.03667e-20, 0, 1.41252e-16, 0, 0, 0
0.153168, 0, 2.81828e-16, 0, 1.41421, -2.81828e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44235e-19, 0, 0, 1.9995e-21, 0, 2.10004e-20, 0, 2.81461e-16, 0, 0, 0
0.161033, 0, 5.55824e-16, 0, 1.41421, -5.55824e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.78901e-19, 0, 0, 4.01581e-21, 0, 4.21189e-20, 0, 5.55099e-16, 0, 0, 0
0.168899, 0, 1.08518e-15, 0, 1.41421, -1.08518e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32548e-18, 0, 0, 7.98625e-21, 0, 8.36549e-20, 0, 1.08377e-15, 0, 0, 0
0.176764, 0, 2.0978e-15, 0, 1.41421, -2.0978e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.56231e-18, 0, 0, 1.57296e-20, 0, 1.64579e-19, 0, 2.09506e-15, 0, 0, 0
0.18463, 0, 4.01598e-15, 0, 1.41421, -4.01598e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9052e-18, 0, 0, 3.0689e-20, 0, 3.20792e-19, 0, 4.01072e-15, 0, 0, 0
0.192495, 0, 7.61471e-15, 0, 1.41421, -7.61471e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.30075e-18, 0, 0, 5.93212e-20, 0, 6.19623e-19, 0, 7.60473e-15, 0, 0, 0
0.200361, 0, 1.43025e-14, 0, 1.41421, -1.43025e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.74693e-17, 0, 0, 1.13624e-19, 0, 1.18624e-18, 0, 1.42837e-14, 0, 0, 0
0.208226, 0, 2.6615e-14, 0, 1.41421, -2.6615e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25078e-17, 0, 0, 2.1569e-19, 0, 2.25134e-18, 0, 2.658e-14, 0, 0, 0
0.216092, 0, 4.90738e-14, 0, 1.41421, -4.90738e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.99389e-17, 0, 0, 4.05856e-19, 0, 4.23653e-18, 0, 4.90092e-14, 0, 0, 0
0.223957, 0, 8.96662e-14, 0, 1.41421, -8.96662e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.09518e-16, 0, 0, 7.57104e-19, 0, 7.90593e-18, 0, 8.9548e-14, 0, 0, 0
