   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_291.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0286364, 437.645, 0, 0, 20.9677, 437.645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0207713, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0129062, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00504111, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00282397, 0, 5.65117e-23, 0, 1.41421, -5.65117e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.68758e-25, 0, 0, 0, 1.45301e-26, 0, 5.57284e-23, 0, 0, 0
0.0106891, 0, 1.41991e-22, 0, 1.41421, -1.41991e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93157e-24, 0, 0, 0, 3.7259e-26, 0, 1.40022e-22, 0, 0, 0
0.0185541, 0, 3.4944e-22, 0, 1.41421, -3.4944e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75356e-24, 0, 0, 0, 9.34792e-26, 0, 3.44593e-22, 0, 0, 0
0.0264192, 0, 8.43629e-22, 0, 1.41421, -8.43629e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14761e-23, 0, 0, 0, 2.29879e-25, 0, 8.31922e-22, 0, 0, 0
0.0342843, 0, 2.00064e-21, 0, 1.41421, -2.00064e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.72152e-23, 0, 0, 0, 5.54915e-25, 0, 1.97287e-21, 0, 0, 0
0.0421494, 0, 4.66561e-21, 0, 1.41421, -4.66561e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.34672e-23, 0, 0, 0, 1.31657e-24, 0, 4.60083e-21, 0, 0, 0
0.0500145, 0, 1.07099e-20, 0, 1.41421, -1.07099e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45689e-22, 0, 0, 0, 3.07338e-24, 0, 1.05612e-20, 0, 0, 0
0.0578796, 0, 2.42194e-20, 0, 1.41421, -2.42194e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.29458e-22, 0, 0, 0, 7.06551e-24, 0, 2.38829e-20, 0, 0, 0
0.0657447, 0, 5.39948e-20, 0, 1.41421, -5.39948e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.34491e-22, 0, 0, 0, 1.60095e-23, 0, 5.32443e-20, 0, 0, 0
0.0736097, 0, 1.18748e-19, 0, 1.41421, -1.18748e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61532e-21, 0, 0, 0, 3.57785e-23, 0, 1.17097e-19, 0, 0, 0
0.0814748, 0, 2.57767e-19, 0, 1.41421, -2.57767e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.50637e-21, 0, 0, 0, 7.8913e-23, 0, 2.54182e-19, 0, 0, 0
0.0893399, 0, 5.52549e-19, 0, 1.41421, -5.52549e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.51621e-21, 0, 0, 0, 1.7187e-22, 0, 5.44861e-19, 0, 0, 0
0.097205, 0, 1.17017e-18, 0, 1.41421, -1.17017e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59174e-20, 0, 0, 0, 3.69817e-22, 0, 1.15388e-18, 0, 0, 0
0.10507, 0, 2.4492e-18, 0, 1.41421, -2.4492e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.33156e-20, 0, 0, 0, 7.8651e-22, 0, 2.4151e-18, 0, 0, 0
0.112935, 0, 5.0682e-18, 0, 1.41421, -5.0682e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.89407e-20, 0, 0, 0, 1.65395e-21, 0, 4.99761e-18, 0, 0, 0
0.1208, 0, 1.03723e-17, 0, 1.41421, -1.03723e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.41089e-19, 0, 0, 0, 3.44036e-21, 0, 1.02277e-17, 0, 0, 0
0.128665, 0, 2.09993e-17, 0, 1.41421, -2.09993e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.85642e-19, 0, 0, 0, 7.08088e-21, 0, 2.07066e-17, 0, 0, 0
0.13653, 0, 4.20688e-17, 0, 1.41421, -4.20688e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.72235e-19, 0, 0, 0, 1.44246e-20, 0, 4.14822e-17, 0, 0, 0
0.144396, 0, 8.34141e-17, 0, 1.41421, -8.34141e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13462e-18, 0, 0, 0, 2.90923e-20, 0, 8.22504e-17, 0, 0, 0
0.152261, 0, 1.63733e-16, 0, 1.41421, -1.63733e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22712e-18, 0, 0, 0, 5.81057e-20, 0, 1.61447e-16, 0, 0, 0
0.160126, 0, 3.18221e-16, 0, 1.41421, -3.18221e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32848e-18, 0, 0, 0, 1.14955e-19, 0, 3.13778e-16, 0, 0, 0
0.167991, 0, 6.1249e-16, 0, 1.41421, -6.1249e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.33108e-18, 0, 0, 0, 2.25322e-19, 0, 6.03934e-16, 0, 0, 0
0.175856, 0, 1.16766e-15, 0, 1.41421, -1.16766e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.58823e-17, 0, 0, 0, 4.3766e-19, 0, 1.15134e-15, 0, 0, 0
0.183721, 0, 2.20517e-15, 0, 1.41421, -2.20517e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99942e-17, 0, 0, 0, 8.42581e-19, 0, 2.17433e-15, 0, 0, 0
0.191586, 0, 4.12607e-15, 0, 1.41421, -4.12607e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.61213e-17, 0, 0, 0, 1.60807e-18, 0, 4.06834e-15, 0, 0, 0
0.199451, 0, 7.64989e-15, 0, 1.41421, -7.64989e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0405e-16, 0, 0, 0, 3.04296e-18, 0, 7.5428e-15, 0, 0, 0
0.207316, 0, 1.40555e-14, 0, 1.41421, -1.40555e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91174e-16, 0, 0, 0, 5.71024e-18, 0, 1.38586e-14, 0, 0, 0
0.215181, 0, 2.55952e-14, 0, 1.41421, -2.55952e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.48125e-16, 0, 0, 0, 1.0628e-17, 0, 2.52364e-14, 0, 0, 0
0.223046, 0, 4.61989e-14, 0, 1.41421, -4.61989e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.28354e-16, 0, 0, 0, 1.96223e-17, 0, 4.5551e-14, 0, 0, 0
0.230911, 0, 8.28447e-14, 0, 1.41421, -8.28447e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12677e-15, 0, 0, 0, 3.60933e-17, 0, 8.16818e-14, 0, 0, 0
0.238777, 0, 1.46907e-13, 0, 1.41421, -1.46907e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99807e-15, 0, 0, 0, 6.55753e-17, 0, 1.44844e-13, 0, 0, 0
0.246642, 0, 2.58293e-13, 0, 1.41421, -2.58293e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.51298e-15, 0, 0, 0, 1.18246e-16, 0, 2.54661e-13, 0, 0, 0
0.254507, 0, 4.50297e-13, 0, 1.41421, -4.50297e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.12438e-15, 0, 0, 0, 2.11646e-16, 0, 4.43961e-13, 0, 0, 0
0.262372, 0, 7.78453e-13, 0, 1.41421, -7.78453e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05876e-14, 0, 0, 0, 3.7608e-16, 0, 7.67489e-13, 0, 0, 0
0.270237, 0, 1.33456e-12, 0, 1.41421, -1.33456e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81513e-14, 0, 0, 0, 6.63533e-16, 0, 1.31574e-12, 0, 0, 0
0.278102, 0, 2.26903e-12, 0, 1.41421, -2.26903e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.08618e-14, 0, 0, 0, 1.16259e-15, 0, 2.23701e-12, 0, 0, 0
0.285967, 0, 3.82616e-12, 0, 1.41421, -3.82616e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.20426e-14, 0, 0, 0, 2.02326e-15, 0, 3.7721e-12, 0, 0, 0
0.293832, 0, 6.39922e-12, 0, 1.41421, -6.39922e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.70455e-14, 0, 0, 0, 3.49797e-15, 0, 6.30868e-12, 0, 0, 0
