   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_63.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.142902, 0, 6.28002e-17, 0, 1.41421, -6.28002e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.57335e-19, 0, 0, 3.0621e-21, 0, 0, 6.20398e-17, 0, 0, 0
0.150784, 0, 1.24065e-16, 0, 1.41421, -1.24065e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49615e-18, 0, 0, 6.15678e-21, 0, 0, 1.22562e-16, 0, 0, 0
0.158667, 0, 2.42634e-16, 0, 1.41421, -2.42634e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.92602e-18, 0, 0, 1.22582e-20, 0, 0, 2.39696e-16, 0, 0, 0
0.166549, 0, 4.69849e-16, 0, 1.41421, -4.69849e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.66609e-18, 0, 0, 2.41727e-20, 0, 0, 4.64159e-16, 0, 0, 0
0.174432, 0, 9.01039e-16, 0, 1.41421, -9.01039e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08659e-17, 0, 0, 4.72211e-20, 0, 0, 8.90126e-16, 0, 0, 0
0.182314, 0, 1.7115e-15, 0, 1.41421, -1.7115e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06395e-17, 0, 0, 9.13969e-20, 0, 0, 1.69077e-15, 0, 0, 0
0.190197, 0, 3.22048e-15, 0, 1.41421, -3.22048e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.88367e-17, 0, 0, 1.753e-19, 0, 0, 3.18147e-15, 0, 0, 0
0.198079, 0, 6.00389e-15, 0, 1.41421, -6.00389e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24024e-17, 0, 0, 3.33233e-19, 0, 0, 5.93116e-15, 0, 0, 0
0.205962, 0, 1.10909e-14, 0, 1.41421, -1.10909e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.33747e-16, 0, 0, 6.279e-19, 0, 0, 1.09565e-14, 0, 0, 0
0.213844, 0, 2.03034e-14, 0, 1.41421, -2.03034e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.44842e-16, 0, 0, 1.17297e-18, 0, 0, 2.00574e-14, 0, 0, 0
0.221727, 0, 3.6837e-14, 0, 1.41421, -3.6837e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.44222e-16, 0, 0, 2.17268e-18, 0, 0, 3.63906e-14, 0, 0, 0
0.229609, 0, 6.62452e-14, 0, 1.41421, -6.62452e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.98859e-16, 0, 0, 3.99089e-18, 0, 0, 6.54423e-14, 0, 0, 0
0.237492, 0, 1.18091e-13, 0, 1.41421, -1.18091e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42407e-15, 0, 0, 7.27059e-18, 0, 0, 1.16659e-13, 0, 0, 0
0.245374, 0, 2.0869e-13, 0, 1.41421, -2.0869e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.51664e-15, 0, 0, 1.31388e-17, 0, 0, 2.06161e-13, 0, 0, 0
0.253257, 0, 3.65635e-13, 0, 1.41421, -3.65635e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.40929e-15, 0, 0, 2.35557e-17, 0, 0, 3.61202e-13, 0, 0, 0
0.261139, 0, 6.35157e-13, 0, 1.41421, -6.35157e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.65963e-15, 0, 0, 4.19042e-17, 0, 0, 6.27456e-13, 0, 0, 0
0.269022, 0, 1.09404e-12, 0, 1.41421, -1.09404e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31937e-14, 0, 0, 7.39802e-17, 0, 0, 1.08077e-12, 0, 0, 0
0.276904, 0, 1.87018e-12, 0, 1.41421, -1.87018e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.25547e-14, 0, 0, 1.29928e-16, 0, 0, 1.84749e-12, 0, 0, 0
0.284787, 0, 3.1673e-12, 0, 1.41421, -3.1673e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.82e-14, 0, 0, 2.26037e-16, 0, 0, 3.12888e-12, 0, 0, 0
0.292669, 0, 5.31979e-12, 0, 1.41421, -5.31979e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.41649e-14, 0, 0, 3.90527e-16, 0, 0, 5.25524e-12, 0, 0, 0
0.300552, 0, 8.86179e-12, 0, 1.41421, -8.86179e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06896e-13, 0, 0, 6.70247e-16, 0, 0, 8.75422e-12, 0, 0, 0
