   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_79.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.159606, 0, 1.49449e-15, 0, 1.41421, -1.49449e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.683e-18, 0, 0, 4.73802e-20, 2.98037e-19, 0, 1.48446e-15, 0, 0, 0
0.167484, 0, 2.83136e-15, 0, 1.41421, -2.83136e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.83447e-17, 0, 0, 9.14913e-20, 5.75361e-19, 0, 2.81235e-15, 0, 0, 0
0.175363, 0, 5.31511e-15, 0, 1.41421, -5.31511e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4437e-17, 0, 0, 1.75105e-19, 1.10118e-18, 0, 5.2794e-15, 0, 0, 0
0.183241, 0, 9.88772e-15, 0, 1.41421, -9.88772e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.40628e-17, 0, 0, 3.32207e-19, 2.08975e-18, 0, 9.82124e-15, 0, 0, 0
0.19112, 0, 1.82304e-14, 0, 1.41421, -1.82304e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18115e-16, 0, 0, 6.24841e-19, 3.93296e-18, 0, 1.81078e-14, 0, 0, 0
0.198998, 0, 3.33167e-14, 0, 1.41421, -3.33167e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15857e-16, 0, 0, 1.16534e-18, 7.34184e-18, 0, 3.30924e-14, 0, 0, 0
0.206877, 0, 6.03579e-14, 0, 1.41421, -6.03579e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.91053e-16, 0, 0, 2.15528e-18, 1.3596e-17, 0, 5.99511e-14, 0, 0, 0
0.214755, 0, 1.08406e-13, 0, 1.41421, -1.08406e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.02345e-16, 0, 0, 3.95351e-18, 2.49807e-17, 0, 1.07674e-13, 0, 0, 0
0.222634, 0, 1.93043e-13, 0, 1.41421, -1.93043e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.25069e-15, 0, 0, 7.19354e-18, 4.55448e-17, 0, 1.9174e-13, 0, 0, 0
0.230513, 0, 3.40857e-13, 0, 1.41421, -3.40857e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.20835e-15, 0, 0, 1.29849e-17, 8.24093e-17, 0, 3.38554e-13, 0, 0, 0
0.238391, 0, 5.96816e-13, 0, 1.41421, -5.96816e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.86666e-15, 0, 0, 2.32555e-17, 1.48004e-16, 0, 5.92778e-13, 0, 0, 0
0.24627, 0, 1.03631e-12, 0, 1.41421, -1.03631e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71406e-15, 0, 0, 4.13306e-17, 2.63889e-16, 0, 1.02929e-12, 0, 0, 0
0.254148, 0, 1.78461e-12, 0, 1.41421, -1.78461e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15623e-14, 0, 0, 7.2902e-17, 4.67157e-16, 0, 1.77251e-12, 0, 0, 0
0.262027, 0, 3.04813e-12, 0, 1.41421, -3.04813e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97489e-14, 0, 0, 1.27645e-16, 8.21231e-16, 0, 3.02744e-12, 0, 0, 0
0.269905, 0, 5.16396e-12, 0, 1.41421, -5.16396e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34583e-14, 0, 0, 2.21891e-16, 1.43383e-15, 0, 5.12885e-12, 0, 0, 0
0.277784, 0, 8.67791e-12, 0, 1.41421, -8.67791e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.62282e-14, 0, 0, 3.8304e-16, 2.48675e-15, 0, 8.61881e-12, 0, 0, 0
0.285662, 0, 1.44662e-11, 0, 1.41421, -1.44662e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.37387e-14, 0, 0, 6.56778e-16, 4.28497e-15, 0, 1.43675e-11, 0, 0, 0
0.293541, 0, 2.39232e-11, 0, 1.41421, -2.39232e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55032e-13, 0, 0, 1.11884e-15, 7.33721e-15, 0, 2.37597e-11, 0, 0, 0
0.301419, 0, 3.92493e-11, 0, 1.41421, -3.92493e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.54379e-13, 0, 0, 1.89418e-15, 1.24875e-14, 0, 3.89806e-11, 0, 0, 0
0.309298, 0, 6.38871e-11, 0, 1.41421, -6.38871e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.1412e-13, 0, 0, 3.18797e-15, 2.11291e-14, 0, 6.34486e-11, 0, 0, 0
0.317177, 0, 1.03177e-10, 2.38221e-43, 1.41421, -1.03177e-10, 0, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 2.38221e-43, 6.68927e-13, 2.38221e-43, 2.38221e-43, 5.33584e-15, 3.55522e-14, 2.38221e-43, 1.02467e-10, 2.38221e-43, 2.38221e-43, 2.38221e-43
0.325055, 0, 1.65332e-10, 4.10721e-42, 1.41421, -1.65332e-10, 0, 4.10721e-42, 4.10721e-42, 4.10721e-42, 4.10721e-42, 4.10721e-42, 4.10721e-42, 4.10721e-42, 4.10721e-42, 4.10721e-42, 4.10721e-42, 4.10721e-42, 1.07216e-12, 4.10721e-42, 4.10721e-42, 8.88502e-15, 5.9505e-14, 4.10721e-42, 1.64191e-10, 4.10721e-42, 4.10721e-42, 4.10721e-42
