   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_317.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.137579, 0, 1.72585e-16, 0, 1.41421, -1.72585e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.96532e-19, 0, 0, 1.00517e-21, 2.30223e-22, 0, 1.71887e-16, 0, 0, 0
0.145444, 0, 3.41766e-16, 0, 1.41421, -3.41766e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.37933e-18, 0, 0, 2.01694e-21, 4.65426e-22, 0, 3.40384e-16, 0, 0, 0
0.153309, 0, 6.69988e-16, 0, 1.41421, -6.69988e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.70399e-18, 0, 0, 4.00787e-21, 9.3167e-22, 0, 6.67279e-16, 0, 0, 0
0.161173, 0, 1.30047e-15, 0, 1.41421, -1.30047e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.24855e-18, 0, 0, 7.88849e-21, 1.84711e-21, 0, 1.29522e-15, 0, 0, 0
0.169038, 0, 2.49985e-15, 0, 1.41421, -2.49985e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00891e-17, 0, 0, 1.53822e-20, 3.62782e-21, 0, 2.48975e-15, 0, 0, 0
0.176903, 0, 4.75968e-15, 0, 1.41421, -4.75968e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.92094e-17, 0, 0, 2.97214e-20, 7.06023e-21, 0, 4.74043e-15, 0, 0, 0
0.184768, 0, 8.97752e-15, 0, 1.41421, -8.97752e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.62321e-17, 0, 0, 5.69135e-20, 1.36176e-20, 0, 8.94121e-15, 0, 0, 0
0.192632, 0, 1.67768e-14, 0, 1.41421, -1.67768e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.77089e-17, 0, 0, 1.08025e-19, 2.60359e-20, 0, 1.6709e-14, 0, 0, 0
0.200497, 0, 3.10666e-14, 0, 1.41421, -3.10666e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2538e-16, 0, 0, 2.03262e-19, 4.93532e-20, 0, 3.0941e-14, 0, 0, 0
0.208362, 0, 5.70108e-14, 0, 1.41421, -5.70108e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.30088e-16, 0, 0, 3.79209e-19, 9.27691e-20, 0, 5.67803e-14, 0, 0, 0
0.216227, 0, 1.03692e-13, 0, 1.41421, -1.03692e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.18485e-16, 0, 0, 7.01538e-19, 1.72944e-19, 0, 1.03272e-13, 0, 0, 0
0.224091, 0, 1.86937e-13, 0, 1.41421, -1.86937e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.54455e-16, 0, 0, 1.28715e-18, 3.19807e-19, 0, 1.86181e-13, 0, 0, 0
0.231956, 0, 3.3408e-13, 0, 1.41421, -3.3408e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.34831e-15, 0, 0, 2.34246e-18, 5.867e-19, 0, 3.32729e-13, 0, 0, 0
0.239821, 0, 5.91893e-13, 0, 1.41421, -5.91893e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.38883e-15, 0, 0, 4.22895e-18, 1.06795e-18, 0, 5.89498e-13, 0, 0, 0
0.247686, 0, 1.03969e-12, 0, 1.41421, -1.03969e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.19616e-15, 0, 0, 7.57475e-18, 1.92909e-18, 0, 1.03548e-12, 0, 0, 0
0.25555, 0, 1.81076e-12, 0, 1.41421, -1.81076e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.30834e-15, 0, 0, 1.3463e-17, 3.45843e-18, 0, 1.80344e-12, 0, 0, 0
0.263415, 0, 3.12714e-12, 0, 1.41421, -3.12714e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26216e-14, 0, 0, 2.37478e-17, 6.15504e-18, 0, 3.11449e-12, 0, 0, 0
0.27128, 0, 5.3553e-12, 0, 1.41421, -5.3553e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16156e-14, 0, 0, 4.15798e-17, 1.08756e-17, 0, 5.33363e-12, 0, 0, 0
0.279144, 0, 9.09483e-12, 0, 1.41421, -9.09483e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.67115e-14, 0, 0, 7.22766e-17, 1.90817e-17, 0, 9.05803e-12, 0, 0, 0
0.287009, 0, 1.53181e-11, 0, 1.41421, -1.53181e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.18362e-14, 0, 0, 1.24756e-16, 3.32505e-17, 0, 1.52561e-11, 0, 0, 0
0.294874, 0, 2.56006e-11, 0, 1.41421, -2.56006e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03356e-13, 0, 0, 2.14257e-16, 5.76651e-17, 0, 2.5497e-11, 0, 0, 0
