   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_29.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0311147, 43.6141, 0, 0, 6.75382, 43.6141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0232197, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0153247, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00742964, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000465397, 0, 5.67416e-21, 0, 1.41421, -5.67416e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.81585e-23, 0, 0, 1.02546e-25, 1.87992e-24, 0, 5.63402e-21, 0, 0, 0
0.00836043, 0, 1.28088e-20, 0, 1.41421, -1.28088e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.6138e-23, 0, 0, 2.35861e-25, 4.3235e-24, 0, 1.27181e-20, 0, 0, 0
0.0162555, 0, 2.99289e-20, 0, 1.41421, -2.99289e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01267e-22, 0, 0, 5.6664e-25, 1.03732e-23, 0, 2.97167e-20, 0, 0, 0
0.0241505, 0, 6.52838e-20, 0, 1.41421, -6.52838e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39021e-22, 0, 0, 1.25829e-24, 2.30148e-23, 0, 6.48205e-20, 0, 0, 0
0.0320455, 0, 1.40575e-19, 0, 1.41421, -1.40575e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.45333e-22, 0, 0, 2.75819e-24, 5.03938e-23, 0, 1.39576e-19, 0, 0, 0
0.0399406, 0, 2.98964e-19, 0, 1.41421, -2.98964e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.01045e-21, 0, 0, 5.97132e-24, 1.08963e-22, 0, 2.96839e-19, 0, 0, 0
0.0478356, 0, 6.28263e-19, 0, 1.41421, -6.28263e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.22487e-21, 0, 0, 1.27741e-23, 2.32778e-22, 0, 6.23793e-19, 0, 0, 0
