   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_196.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0262011, 294.771, 0, 0, 17.227, 294.771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0183343, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0104676, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0026009, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00526582, 0, 4.87283e-22, 0, 1.41421, -4.87283e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.00178e-24, 0, 0, 1.22206e-26, 4.49361e-27, 0, 4.84264e-22, 0, 0, 0
0.0131325, 0, 1.1963e-21, 0, 1.41421, -1.1963e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.36949e-24, 0, 0, 3.02971e-26, 1.12976e-26, 0, 1.18889e-21, 0, 0, 0
0.0209993, 0, 2.88206e-21, 0, 1.41421, -2.88206e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77542e-23, 0, 0, 7.37209e-26, 2.78405e-26, 0, 2.86421e-21, 0, 0, 0
0.028866, 0, 6.82206e-21, 0, 1.41421, -6.82206e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.20254e-23, 0, 0, 1.76284e-25, 6.73431e-26, 0, 6.77979e-21, 0, 0, 0
0.0367327, 0, 1.58834e-20, 0, 1.41421, -1.58834e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.78452e-23, 0, 0, 4.14704e-25, 1.60094e-25, 0, 1.5785e-20, 0, 0, 0
0.0445994, 0, 3.64069e-20, 0, 1.41421, -3.64069e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.24275e-22, 0, 0, 9.60661e-25, 3.74439e-25, 0, 3.61813e-20, 0, 0, 0
0.0524661, 0, 8.22218e-20, 0, 1.41421, -8.22218e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.06504e-22, 0, 0, 2.19312e-24, 8.62395e-25, 0, 8.17122e-20, 0, 0, 0
0.0603328, 0, 1.83086e-19, 0, 1.41421, -1.83086e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.12785e-21, 0, 0, 4.93765e-24, 1.95748e-24, 0, 1.81951e-19, 0, 0, 0
0.0681996, 0, 4.02209e-19, 0, 1.41421, -4.02209e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4777e-21, 0, 0, 1.09702e-23, 4.38189e-24, 0, 3.99716e-19, 0, 0, 0
