   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_344.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0321354, 517.353, 0, 0, 22.7893, 517.353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0242673, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0163993, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00853122, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.000663169, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00720489, 0, 8.14761e-23, 0, 1.41421, -8.14761e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.33306e-25, 0, 0, 1.2054e-27, 0, 0, 8.12416e-23, 0, 0, 0
0.0150729, 0, 2.09588e-22, 0, 1.41421, -2.09588e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.00153e-25, 0, 0, 3.13662e-27, 0, 0, 2.08985e-22, 0, 0, 0
0.022941, 0, 5.27684e-22, 0, 1.41421, -5.27684e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51102e-24, 0, 0, 7.98994e-27, 0, 0, 5.26165e-22, 0, 0, 0
0.030809, 0, 1.30239e-21, 0, 1.41421, -1.30239e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72937e-24, 0, 0, 1.99555e-26, 0, 0, 1.29864e-21, 0, 0, 0
0.0386771, 0, 3.15532e-21, 0, 1.41421, -3.15532e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.03521e-24, 0, 0, 4.89328e-26, 0, 0, 3.14624e-21, 0, 0, 0
0.0465452, 0, 7.51232e-21, 0, 1.41421, -7.51232e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.15114e-23, 0, 0, 1.17936e-25, 0, 0, 7.49069e-21, 0, 0, 0
0.0544132, 0, 1.75937e-20, 0, 1.41421, -1.75937e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.03792e-23, 0, 0, 2.7966e-25, 0, 0, 1.7543e-20, 0, 0, 0
0.0622813, 0, 4.05658e-20, 0, 1.41421, -4.05658e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1616e-22, 0, 0, 6.53014e-25, 0, 0, 4.0449e-20, 0, 0, 0
0.0701493, 0, 9.21526e-20, 0, 1.41421, -9.21526e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63877e-22, 0, 0, 1.50262e-24, 0, 0, 9.18872e-20, 0, 0, 0
0.0780174, 0, 2.06386e-19, 0, 1.41421, -2.06386e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.90981e-22, 0, 0, 3.40951e-24, 0, 0, 2.05791e-19, 0, 0, 0
0.0858854, 0, 4.55964e-19, 0, 1.41421, -4.55964e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.30564e-21, 0, 0, 7.63328e-24, 0, 0, 4.5465e-19, 0, 0, 0
0.0937535, 0, 9.94216e-19, 0, 1.41421, -9.94216e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.84692e-21, 0, 0, 1.68706e-23, 0, 0, 9.91352e-19, 0, 0, 0
0.101622, 0, 2.14059e-18, 0, 1.41421, -2.14059e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.12952e-21, 0, 0, 3.68262e-23, 0, 0, 2.13442e-18, 0, 0, 0
