   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_227.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.0505384, 0, 1.82667e-19, 0, 1.41421, -1.82667e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.34645e-22, 0, 0, 1.86943e-24, 0, 0, 1.8173e-19, 0, 0, 0
0.0584055, 0, 4.17136e-19, 0, 1.41421, -4.17136e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.13434e-21, 0, 0, 4.37647e-24, 0, 0, 4.14997e-19, 0, 0, 0
0.0662727, 0, 9.00945e-19, 0, 1.41421, -9.00945e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.60983e-21, 0, 0, 9.61333e-24, 0, 0, 8.96326e-19, 0, 0, 0
0.0741398, 0, 1.92221e-18, 0, 1.41421, -1.92221e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.83528e-21, 0, 0, 2.08613e-23, 0, 0, 1.91235e-18, 0, 0, 0
0.0820069, 0, 4.05289e-18, 0, 1.41421, -4.05289e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.07373e-20, 0, 0, 4.47422e-23, 0, 0, 4.03211e-18, 0, 0, 0
0.0898741, 0, 8.44795e-18, 0, 1.41421, -8.44795e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.32253e-20, 0, 0, 9.48779e-23, 0, 0, 8.40463e-18, 0, 0, 0
0.0977412, 0, 1.74143e-17, 0, 1.41421, -1.74143e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.91029e-20, 0, 0, 1.98993e-22, 0, 0, 1.7325e-17, 0, 0, 0
0.105608, 0, 3.55106e-17, 0, 1.41421, -3.55106e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.81695e-19, 0, 0, 4.12923e-22, 0, 0, 3.53285e-17, 0, 0, 0
0.113475, 0, 7.1651e-17, 0, 1.41421, -7.1651e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.66614e-19, 0, 0, 8.47973e-22, 0, 0, 7.12836e-17, 0, 0, 0
0.121343, 0, 1.4309e-16, 0, 1.41421, -1.4309e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.32142e-19, 0, 0, 1.72381e-21, 0, 0, 1.42356e-16, 0, 0, 0
