   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_265.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0287541, 398.542, 0, 0, 20.0136, 398.542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0208873, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0130205, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00515377, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00271301, 0, 2.39037e-22, 0, 1.41421, -2.39037e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.27214e-24, 0, 0, 4.01043e-27, 0, 5.58638e-26, 0, 2.36705e-22, 0, 0, 0
0.0105798, 0, 5.79712e-22, 0, 1.41421, -5.79712e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.51036e-24, 0, 0, 9.88082e-27, 0, 1.38326e-25, 0, 5.74053e-22, 0, 0, 0
0.0184466, 0, 1.38076e-21, 0, 1.41421, -1.38076e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31245e-23, 0, 0, 2.39089e-26, 0, 3.36047e-25, 0, 1.36727e-21, 0, 0, 0
0.0263133, 0, 3.23347e-21, 0, 1.41421, -3.23347e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07349e-23, 0, 0, 5.68835e-26, 0, 8.0202e-25, 0, 3.20188e-21, 0, 0, 0
0.0341801, 0, 7.45221e-21, 0, 1.41421, -7.45221e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.08348e-23, 0, 0, 1.33198e-25, 0, 1.88256e-24, 0, 7.37936e-21, 0, 0, 0
0.0420469, 0, 1.69173e-20, 0, 1.41421, -1.69173e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.60801e-22, 0, 0, 3.07232e-25, 0, 4.35019e-24, 0, 1.67518e-20, 0, 0, 0
0.0499137, 0, 3.78548e-20, 0, 1.41421, -3.78548e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.59814e-22, 0, 0, 6.98576e-25, 0, 9.90444e-24, 0, 3.74843e-20, 0, 0, 0
0.0577804, 0, 8.35487e-20, 0, 1.41421, -8.35487e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.94136e-22, 0, 0, 1.56686e-24, 0, 2.22351e-23, 0, 8.27308e-20, 0, 0, 0
0.0656472, 0, 1.81984e-19, 0, 1.41421, -1.81984e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72976e-21, 0, 0, 3.46867e-24, 0, 4.92512e-23, 0, 1.80201e-19, 0, 0, 0
0.073514, 0, 3.91403e-19, 0, 1.41421, -3.91403e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.72027e-21, 0, 0, 7.58309e-24, 0, 1.07701e-22, 0, 3.87567e-19, 0, 0, 0
0.0813808, 0, 8.31585e-19, 0, 1.41421, -8.31585e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.90416e-21, 0, 0, 1.63786e-23, 0, 2.32635e-22, 0, 8.23432e-19, 0, 0, 0
0.0892476, 0, 1.74606e-18, 0, 1.41421, -1.74606e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65961e-20, 0, 0, 3.49656e-23, 0, 4.96574e-22, 0, 1.72893e-18, 0, 0, 0
0.0971143, 0, 3.7038e-18, 0, 1.41421, -3.7038e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5204e-20, 0, 0, 7.58271e-23, 0, 1.07643e-21, 0, 3.66745e-18, 0, 0, 0
0.104981, 0, 7.58561e-18, 0, 1.41421, -7.58561e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.20994e-20, 0, 0, 1.57913e-22, 0, 2.24108e-21, 0, 7.51111e-18, 0, 0, 0
0.112848, 0, 1.53723e-17, 0, 1.41421, -1.53723e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.46109e-19, 0, 0, 3.25461e-22, 0, 4.61744e-21, 0, 1.52212e-17, 0, 0, 0
0.120715, 0, 3.08315e-17, 0, 1.41421, -3.08315e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93043e-19, 0, 0, 6.6402e-22, 0, 9.41771e-21, 0, 3.05284e-17, 0, 0, 0
0.128581, 0, 6.1216e-17, 0, 1.41421, -6.1216e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.81834e-19, 0, 0, 1.34144e-21, 0, 1.90201e-20, 0, 6.06138e-17, 0, 0, 0
0.136448, 0, 1.20347e-16, 0, 1.41421, -1.20347e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.14384e-18, 0, 0, 2.68388e-21, 0, 3.80459e-20, 0, 1.19162e-16, 0, 0, 0
0.144315, 0, 2.34307e-16, 0, 1.41421, -2.34307e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.22697e-18, 0, 0, 5.31918e-21, 0, 7.53938e-20, 0, 2.32e-16, 0, 0, 0
0.152182, 0, 4.51852e-16, 0, 1.41421, -4.51852e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.29459e-18, 0, 0, 1.04447e-20, 0, 1.48044e-19, 0, 4.47399e-16, 0, 0, 0
0.160049, 0, 8.63243e-16, 0, 1.41421, -8.63243e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.20456e-18, 0, 0, 2.03232e-20, 0, 2.8811e-19, 0, 8.5473e-16, 0, 0, 0
0.167915, 0, 1.63403e-15, 0, 1.41421, -1.63403e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.55302e-17, 0, 0, 3.91921e-20, 0, 5.55804e-19, 0, 1.6179e-15, 0, 0, 0
0.175782, 0, 3.06502e-15, 0, 1.41421, -3.06502e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.91305e-17, 0, 0, 7.4917e-20, 0, 1.06306e-18, 0, 3.03475e-15, 0, 0, 0
0.183649, 0, 5.69781e-15, 0, 1.41421, -5.69781e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.41526e-17, 0, 0, 1.4197e-19, 0, 2.01624e-18, 0, 5.6415e-15, 0, 0, 0
0.191516, 0, 1.04987e-14, 0, 1.41421, -1.04987e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.97793e-17, 0, 0, 2.66747e-19, 0, 3.79263e-18, 0, 1.03948e-14, 0, 0, 0
