   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_305.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0273233, 458.7, 0, 0, 21.4639, 458.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0194607, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0115981, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0037354, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00412725, 0, 1.92565e-23, 0, 1.41421, -1.92565e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76507e-25, 0, 0, 1.49334e-28, 0, 2.41219e-27, 0, 1.90774e-23, 0, 0, 0
0.0119899, 0, 5.23132e-23, 0, 1.41421, -5.23132e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79505e-25, 0, 0, 4.0883e-28, 0, 6.79624e-27, 0, 5.18265e-23, 0, 0, 0
0.0198525, 0, 1.38364e-22, 0, 1.41421, -1.38364e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26825e-24, 0, 0, 1.08981e-27, 0, 1.85783e-26, 0, 1.37077e-22, 0, 0, 0
0.0277152, 0, 3.57233e-22, 0, 1.41421, -3.57233e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.27438e-24, 0, 0, 2.83612e-27, 0, 4.94426e-26, 0, 3.53906e-22, 0, 0, 0
0.0355778, 0, 9.02185e-22, 0, 1.41421, -9.02185e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.26936e-24, 0, 0, 7.22086e-27, 0, 1.28442e-25, 0, 8.9378e-22, 0, 0, 0
0.0434405, 0, 2.23254e-21, 0, 1.41421, -2.23254e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04632e-23, 0, 0, 1.80174e-26, 0, 3.26404e-25, 0, 2.21173e-21, 0, 0, 0
0.0513031, 0, 5.42103e-21, 0, 1.41421, -5.42103e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.96883e-23, 0, 0, 4.41225e-26, 0, 8.12834e-25, 0, 5.37048e-21, 0, 0, 0
0.0591658, 0, 1.2932e-20, 0, 1.41421, -1.2932e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18533e-22, 0, 0, 1.06176e-25, 0, 1.98645e-24, 0, 1.28114e-20, 0, 0, 0
0.0670284, 0, 3.0339e-20, 0, 1.41421, -3.0339e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.78081e-22, 0, 0, 2.51332e-25, 0, 4.76996e-24, 0, 3.00559e-20, 0, 0, 0
0.0748911, 0, 7.00608e-20, 0, 1.41421, -7.00608e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.42159e-22, 0, 0, 5.85751e-25, 0, 1.1266e-23, 0, 6.94067e-20, 0, 0, 0
