   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_248.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.160833, 0, 1.73362e-16, 0, 1.41421, -1.73362e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97083e-18, 0, 0, 6.94024e-21, 0, 1.36812e-19, 0, 1.71248e-16, 0, 0, 0
0.168699, 0, 3.46782e-16, 0, 1.41421, -3.46782e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.94225e-18, 0, 0, 1.41292e-20, 0, 2.78022e-19, 0, 3.42547e-16, 0, 0, 0
0.176565, 0, 6.86483e-16, 0, 1.41421, -6.86483e-16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.8039e-18, 0, 0, 2.8475e-20, 0, 5.59359e-19, 0, 6.78091e-16, 0, 0, 0
0.184432, 0, 1.34511e-15, 0, 1.41421, -1.34511e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.52909e-17, 0, 0, 5.68201e-20, 0, 1.11445e-18, 0, 1.32865e-15, 0, 0, 0
0.192298, 0, 2.60923e-15, 0, 1.41421, -2.60923e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.96606e-17, 0, 0, 1.12282e-19, 0, 2.19926e-18, 0, 2.57726e-15, 0, 0, 0
0.200165, 0, 5.01144e-15, 0, 1.41421, -5.01144e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.69669e-17, 0, 0, 2.19769e-19, 0, 4.29961e-18, 0, 4.94996e-15, 0, 0, 0
0.208031, 0, 9.53169e-15, 0, 1.41421, -9.53169e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08348e-16, 0, 0, 4.26121e-19, 0, 8.32903e-18, 0, 9.41459e-15, 0, 0, 0
0.215898, 0, 1.79553e-14, 0, 1.41421, -1.79553e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04096e-16, 0, 0, 8.18607e-19, 0, 1.59902e-17, 0, 1.77344e-14, 0, 0, 0
0.223764, 0, 3.35028e-14, 0, 1.41421, -3.35028e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.80815e-16, 0, 0, 1.5584e-18, 0, 3.04285e-17, 0, 3.309e-14, 0, 0, 0
0.23163, 0, 6.21131e-14, 0, 1.41421, -6.21131e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.06003e-16, 0, 0, 2.95448e-18, 0, 5.76923e-17, 0, 6.13464e-14, 0, 0, 0
0.239497, 0, 1.13702e-13, 0, 1.41421, -1.13702e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.29236e-15, 0, 0, 5.52282e-18, 0, 1.07861e-16, 0, 1.12296e-13, 0, 0, 0
0.247363, 0, 2.06242e-13, 0, 1.41421, -2.06242e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34413e-15, 0, 0, 1.02356e-17, 0, 1.9999e-16, 0, 2.03688e-13, 0, 0, 0
0.25523, 0, 3.70721e-13, 0, 1.41421, -3.70721e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.2135e-15, 0, 0, 1.88108e-17, 0, 3.67797e-16, 0, 3.66121e-13, 0, 0, 0
0.263096, 0, 6.60406e-13, 0, 1.41421, -6.60406e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.50584e-15, 0, 0, 3.42852e-17, 0, 6.71051e-16, 0, 6.52195e-13, 0, 0, 0
0.270963, 0, 1.166e-12, 0, 1.41421, -1.166e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.3252e-14, 0, 0, 6.19848e-17, 0, 1.21479e-15, 0, 1.15147e-12, 0, 0, 0
0.278829, 0, 2.04052e-12, 0, 1.41421, -2.04052e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31909e-14, 0, 0, 1.1118e-16, 0, 2.1823e-15, 0, 2.01503e-12, 0, 0, 0
0.286695, 0, 3.53967e-12, 0, 1.41421, -3.53967e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02291e-14, 0, 0, 1.97885e-16, 0, 3.89106e-15, 0, 3.49536e-12, 0, 0, 0
0.294562, 0, 6.08685e-12, 0, 1.41421, -6.08685e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.91788e-14, 0, 0, 3.49587e-16, 0, 6.88717e-15, 0, 6.01043e-12, 0, 0, 0
0.302428, 0, 1.03766e-11, 0, 1.41421, -1.03766e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.17935e-13, 0, 0, 6.13146e-16, 0, 1.21037e-14, 0, 1.02459e-11, 0, 0, 0
0.310295, 0, 1.75376e-11, 0, 1.41421, -1.75376e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99333e-13, 0, 0, 1.06799e-15, 0, 2.11249e-14, 0, 1.73161e-11, 0, 0, 0
0.318161, 0, 2.93875e-11, 0, 1.41421, -2.93875e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.34041e-13, 0, 0, 1.848e-15, 0, 3.66243e-14, 0, 2.9015e-11, 0, 0, 0
0.326028, 0, 4.88265e-11, 2.46629e-43, 1.41421, -4.88265e-11, 0, 2.46629e-43, 2.46629e-43, 2.46629e-43, 2.46629e-43, 2.46629e-43, 2.46629e-43, 2.46629e-43, 2.46629e-43, 2.46629e-43, 2.46629e-43, 2.46629e-43, 5.55053e-13, 2.46629e-43, 2.46629e-43, 3.17788e-15, 2.46629e-43, 6.30897e-14, 2.46629e-43, 4.82052e-11, 2.46629e-43, 2.46629e-43, 2.46629e-43
0.333894, 0, 8.04394e-11, 4.26135e-42, 1.41421, -8.04394e-11, 0, 4.26135e-42, 4.26135e-42, 4.26135e-42, 4.26135e-42, 4.26135e-42, 4.26135e-42, 4.26135e-42, 4.26135e-42, 4.26135e-42, 4.26135e-42, 4.26135e-42, 9.14549e-13, 4.26135e-42, 4.26135e-42, 5.43311e-15, 4.26135e-42, 1.08016e-13, 4.26135e-42, 7.94114e-11, 4.26135e-42, 4.26135e-42, 4.26135e-42
0.34176, 0, 1.31409e-10, 6.07421e-41, 1.41421, -1.31409e-10, 0, 6.07421e-41, 6.07421e-41, 6.07421e-41, 6.07421e-41, 6.07421e-41, 6.07421e-41, 6.07421e-41, 6.07421e-41, 6.07421e-41, 6.07421e-41, 6.07421e-41, 1.49432e-12, 6.07421e-41, 6.07421e-41, 9.23924e-15, 6.07421e-41, 1.83867e-13, 6.07421e-41, 1.29721e-10, 6.07421e-41, 6.07421e-41, 6.07421e-41
0.349627, 0, 2.12884e-10, 7.67352e-40, 1.41421, -2.12884e-10, 0, 7.67352e-40, 7.67352e-40, 7.67352e-40, 7.67352e-40, 7.67352e-40, 7.67352e-40, 7.67352e-40, 7.67352e-40, 7.67352e-40, 7.67352e-40, 7.67352e-40, 2.42141e-12, 7.67352e-40, 7.67352e-40, 1.56357e-14, 7.67352e-40, 3.11286e-13, 7.67352e-40, 2.10136e-10, 7.67352e-40, 7.67352e-40, 7.67352e-40
0.357493, 0, 3.42016e-10, 8.68209e-39, 1.41421, -3.42016e-10, 0, 8.68209e-39, 8.68209e-39, 8.68209e-39, 8.68209e-39, 8.68209e-39, 8.68209e-39, 8.68209e-39, 8.68209e-39, 8.68209e-39, 8.68209e-39, 8.68209e-39, 3.89146e-12, 8.68209e-39, 8.68209e-39, 2.63466e-14, 8.68209e-39, 5.2436e-13, 8.68209e-39, 3.37574e-10, 8.68209e-39, 8.68209e-39, 8.68209e-39
0.36536, 0, 5.44948e-10, 8.88226e-38, 1.41421, -5.44948e-10, 0, 8.88226e-38, 8.88226e-38, 8.88226e-38, 8.88226e-38, 8.88226e-38, 8.88226e-38, 8.88226e-38, 8.88226e-38, 8.88226e-38, 8.88226e-38, 8.88226e-38, 6.203e-12, 8.88226e-38, 8.88226e-38, 4.42287e-14, 8.88226e-38, 8.79231e-13, 8.88226e-38, 5.37822e-10, 8.88226e-38, 8.88226e-38, 8.88226e-38
0.373226, 0, 8.61175e-10, 8.25973e-37, 1.41421, -8.61175e-10, 0, 8.25973e-37, 8.25973e-37, 8.25973e-37, 8.25973e-37, 8.25973e-37, 8.25973e-37, 8.25973e-37, 8.25973e-37, 8.25973e-37, 8.25973e-37, 8.25973e-37, 9.80769e-12, 8.25973e-37, 8.25973e-37, 7.40129e-14, 8.25973e-37, 1.46819e-12, 8.25973e-37, 8.49825e-10, 8.25973e-37, 8.25973e-37, 8.25973e-37
0.381093, 0, 1.34983e-09, 7.02373e-36, 1.41421, -1.34983e-09, 0, 7.02373e-36, 7.02373e-36, 7.02373e-36, 7.02373e-36, 7.02373e-36, 7.02373e-36, 7.02373e-36, 7.02373e-36, 7.02373e-36, 7.02373e-36, 7.02373e-36, 1.5383e-11, 7.02373e-36, 7.02373e-36, 1.23534e-13, 7.02373e-36, 2.44277e-12, 7.02373e-36, 1.33188e-09, 7.02373e-36, 7.02373e-36, 7.02373e-36
0.388959, 0, 2.09864e-09, 5.48464e-35, 1.41421, -2.09864e-09, 0, 5.48464e-35, 5.48464e-35, 5.48464e-35, 5.48464e-35, 5.48464e-35, 5.48464e-35, 5.48464e-35, 5.48464e-35, 5.48464e-35, 5.48464e-35, 5.48464e-35, 2.39364e-11, 5.48464e-35, 5.48464e-35, 2.05768e-13, 5.48464e-35, 4.05154e-12, 5.48464e-35, 2.07045e-09, 5.48464e-35, 5.48464e-35, 5.48464e-35
0.396825, 0, 3.23666e-09, 3.95086e-34, 1.41421, -3.23666e-09, 0, 3.95086e-34, 3.95086e-34, 3.95086e-34, 3.95086e-34, 3.95086e-34, 3.95086e-34, 3.95086e-34, 3.95086e-34, 3.95086e-34, 3.95086e-34, 3.95086e-34, 3.69536e-11, 3.95086e-34, 3.95086e-34, 3.42215e-13, 3.95086e-34, 6.70223e-12, 3.95086e-34, 3.19266e-09, 3.95086e-34, 3.95086e-34, 3.95086e-34
0.404692, 0, 4.95197e-09, 2.72384e-33, 1.41421, -4.95197e-09, 0, 2.72384e-33, 2.72384e-33, 2.72384e-33, 2.72384e-33, 2.72384e-33, 2.72384e-33, 2.72384e-33, 2.72384e-33, 2.72384e-33, 2.72384e-33, 2.72384e-33, 5.66077e-11, 2.72384e-33, 2.72384e-33, 5.68503e-13, 2.72384e-33, 1.10635e-11, 2.72384e-33, 4.88373e-09, 2.72384e-33, 2.72384e-33, 2.72384e-33
0.412558, 0, 7.5164e-09, 1.66483e-32, 1.41421, -7.5164e-09, 0, 1.66483e-32, 1.66483e-32, 1.66483e-32, 1.66483e-32, 1.66483e-32, 1.66483e-32, 1.66483e-32, 1.66483e-32, 1.66483e-32, 1.66483e-32, 1.66483e-32, 8.60516e-11, 1.66483e-32, 1.66483e-32, 9.43666e-13, 1.66483e-32, 1.82317e-11, 1.66483e-32, 7.41117e-09, 1.66483e-32, 1.66483e-32, 1.66483e-32
0.420425, 0, 1.13193e-08, 1.00626e-31, 1.41421, -1.13193e-08, 0, 1.00626e-31, 1.00626e-31, 1.00626e-31, 1.00626e-31, 1.00626e-31, 1.00626e-31, 1.00626e-31, 1.00626e-31, 1.00626e-31, 1.00626e-31, 1.00626e-31, 1.29823e-10, 1.00626e-31, 1.00626e-31, 1.56545e-12, 1.00626e-31, 3.00051e-11, 1.00626e-31, 1.11579e-08, 1.00626e-31, 1.00626e-31, 1.00626e-31
0.428291, 0, 1.69137e-08, 5.49468e-31, 1.41421, -1.69137e-08, 0, 5.49468e-31, 5.49468e-31, 5.49468e-31, 5.49468e-31, 5.49468e-31, 5.49468e-31, 5.49468e-31, 5.49468e-31, 5.49468e-31, 5.49468e-31, 5.49468e-31, 1.94405e-10, 5.49468e-31, 5.49468e-31, 2.59549e-12, 5.49468e-31, 4.93308e-11, 5.49468e-31, 1.66674e-08, 5.49468e-31, 5.49468e-31, 5.49468e-31
0.436157, 0, 2.50784e-08, 2.89921e-30, 1.41421, -2.50784e-08, 0, 2.89921e-30, 2.89921e-30, 2.89921e-30, 2.89921e-30, 2.89921e-30, 2.89921e-30, 2.89921e-30, 2.89921e-30, 2.89921e-30, 2.89921e-30, 2.89921e-30, 2.88987e-10, 2.89921e-30, 2.89921e-30, 4.30052e-12, 2.89921e-30, 8.10353e-11, 2.89921e-30, 2.47041e-08, 2.89921e-30, 2.89921e-30, 2.89921e-30
0.444024, 0, 3.69009e-08, 1.45292e-29, 1.41421, -3.69009e-08, 0, 1.45292e-29, 1.45292e-29, 1.45292e-29, 1.45292e-29, 1.45292e-29, 1.45292e-29, 1.45292e-29, 1.45292e-29, 1.45292e-29, 1.45292e-29, 1.45292e-29, 4.26501e-10, 1.45292e-29, 1.45292e-29, 7.11949e-12, 1.45292e-29, 1.33009e-10, 1.45292e-29, 3.63343e-08, 1.45292e-29, 1.45292e-29, 1.45292e-29
0.45189, 0, 5.38871e-08, 6.8945e-29, 1.41421, -5.38871e-08, 0, 6.8945e-29, 6.8945e-29, 6.8945e-29, 6.8945e-29, 6.8945e-29, 6.8945e-29, 6.8945e-29, 6.8945e-29, 6.8945e-29, 6.8945e-29, 6.8945e-29, 6.25019e-10, 6.8945e-29, 6.8945e-29, 1.1772e-11, 6.8945e-29, 2.18121e-10, 6.8945e-29, 5.30322e-08, 6.8945e-29, 6.8945e-29, 6.8945e-29
0.459757, 0, 7.81059e-08, 3.14533e-28, 1.41421, -7.81059e-08, 0, 3.14533e-28, 3.14533e-28, 3.14533e-28, 3.14533e-28, 3.14533e-28, 3.14533e-28, 3.14533e-28, 3.14533e-28, 3.14533e-28, 3.14533e-28, 3.14533e-28, 9.09621e-10, 3.14533e-28, 3.14533e-28, 1.94328e-11, 3.14533e-28, 3.57289e-10, 3.14533e-28, 7.68195e-08, 3.14533e-28, 3.14533e-28, 3.14533e-28
0.467623, 0, 1.12376e-07, 1.37026e-27, 1.41421, -1.12376e-07, 0, 1.37026e-27, 1.37026e-27, 1.37026e-27, 1.37026e-27, 1.37026e-27, 1.37026e-27, 1.37026e-27, 1.37026e-27, 1.37026e-27, 1.37026e-27, 1.37026e-27, 1.31488e-09, 1.37026e-27, 1.37026e-27, 3.20092e-11, 1.37026e-27, 5.84363e-10, 1.37026e-27, 1.10445e-07, 1.37026e-27, 1.37026e-27, 1.37026e-27
0.47549, 0, 1.60509e-07, 5.68852e-27, 1.41421, -1.60509e-07, 0, 5.68852e-27, 5.68852e-27, 5.68852e-27, 5.68852e-27, 5.68852e-27, 5.68852e-27, 5.68852e-27, 5.68852e-27, 5.68852e-27, 5.68852e-27, 5.68852e-27, 1.88816e-09, 5.68852e-27, 5.68852e-27, 5.25802e-11, 5.68852e-27, 9.53841e-10, 5.68852e-27, 1.57614e-07, 5.68852e-27, 5.68852e-27, 5.68852e-27
0.483356, 0, 2.27617e-07, 2.25334e-26, 1.41421, -2.27617e-07, 0, 2.25334e-26, 2.25334e-26, 2.25334e-26, 2.25334e-26, 2.25334e-26, 2.25334e-26, 2.25334e-26, 2.25334e-26, 2.25334e-26, 2.25334e-26, 2.25334e-26, 2.69391e-09, 2.25334e-26, 2.25334e-26, 8.60836e-11, 2.25334e-26, 1.5529e-09, 2.25334e-26, 2.23284e-07, 2.25334e-26, 2.25334e-26, 2.25334e-26
0.491223, 0, 3.20512e-07, 8.53012e-26, 1.41421, -3.20512e-07, 0, 8.53012e-26, 8.53012e-26, 8.53012e-26, 8.53012e-26, 8.53012e-26, 8.53012e-26, 8.53012e-26, 8.53012e-26, 3.56037e-12, 8.53012e-26, 8.53012e-26, 3.81933e-09, 8.53012e-26, 8.53012e-26, 1.40383e-10, 8.53012e-26, 2.51999e-09, 8.53012e-26, 3.14029e-07, 8.53012e-26, 8.53012e-26, 8.53012e-26
0.499089, 0, 4.48191e-07, 3.09169e-25, 1.41421, -4.48191e-07, 0, 3.09169e-25, 3.09169e-25, 3.09169e-25, 3.09169e-25, 3.09169e-25, 3.09169e-25, 3.09169e-25, 3.09169e-25, 1.23063e-11, 3.09169e-25, 3.09169e-25, 5.38162e-09, 3.09169e-25, 3.09169e-25, 2.27905e-10, 3.09169e-25, 4.07324e-09, 3.09169e-25, 4.38496e-07, 3.09169e-25, 3.09169e-25, 3.09169e-25
0.506955, 0, 6.22468e-07, 1.08414e-24, 1.41421, -6.22468e-07, 0, 1.08414e-24, 1.08414e-24, 1.08414e-24, 1.08414e-24, 1.08414e-24, 1.08414e-24, 1.08414e-24, 1.08414e-24, 3.30825e-11, 1.08414e-24, 1.08414e-24, 7.53742e-09, 1.08414e-24, 1.08414e-24, 3.68134e-10, 1.08414e-24, 6.55328e-09, 1.08414e-24, 6.07976e-07, 1.08414e-24, 1.08414e-24, 1.08414e-24
0.514822, 0, 8.65084e-07, 9.97064e-10, 1.41421, -8.65084e-07, 9.97064e-10, 9.97135e-10, 9.97349e-10, 9.97693e-10, 2.07619e-09, 1.03249e-09, 9.97154e-10, 9.97234e-10, 1.04948e-09, 1.3165e-09, 1.35599e-09, 4.30894e-09, 1.14924e-08, 9.98358e-10, 1.00216e-09, 1.58862e-09, 9.98377e-10, 1.1485e-08, 9.97068e-10, 8.3829e-07, 9.97064e-10, 9.97064e-10, 1.04947e-09
0.522688, 0, 1.19438e-06, 2.72026e-09, 1.41421, -1.19438e-06, 2.72026e-09, 2.72046e-09, 2.72104e-09, 2.72198e-09, 5.66735e-09, 2.81702e-09, 2.72051e-09, 2.72072e-09, 2.8634e-09, 3.55737e-09, 3.70047e-09, 1.17649e-08, 1.72498e-08, 2.72379e-09, 2.73419e-09, 3.66494e-09, 2.72469e-09, 1.94022e-08, 2.72027e-09, 1.14801e-06, 2.72026e-09, 2.72026e-09, 2.86338e-09
0.530555, 0, 1.64633e-06, 6.77844e-09, 1.41421, -1.64633e-06, 6.77844e-09, 6.77892e-09, 6.78038e-09, 6.78272e-09, 1.41273e-08, 7.01972e-09, 6.77905e-09, 6.77959e-09, 7.13536e-09, 8.81744e-09, 9.2227e-09, 2.93323e-08, 2.67796e-08, 6.78725e-09, 6.81316e-09, 8.27753e-09, 6.79069e-09, 3.3136e-08, 6.77847e-09, 1.56306e-06, 6.77844e-09, 6.77844e-09, 7.13532e-09
