   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_27.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0313009, 40.6062, 0, 0, 6.52734, 40.6062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0234047, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0155085, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00761223, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.000283986, 0, 7.17605e-21, 0, 1.41421, -7.17605e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64032e-23, 0, 0, 1.24847e-25, 1.39409e-24, 0, 7.10813e-21, 0, 0, 0
0.00818021, 0, 1.59982e-20, 0, 1.41421, -1.59982e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48038e-22, 0, 0, 2.83342e-25, 3.1633e-24, 0, 1.58467e-20, 0, 0, 0
0.0160764, 0, 3.5165e-20, 0, 1.41421, -3.5165e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25395e-22, 0, 0, 6.33933e-25, 7.07356e-24, 0, 3.48319e-20, 0, 0, 0
0.0239726, 0, 7.62592e-20, 0, 1.41421, -7.62592e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.05652e-22, 0, 0, 1.3992e-24, 1.55999e-23, 0, 7.55365e-20, 0, 0, 0
0.0318689, 0, 1.63256e-19, 0, 1.41421, -1.63256e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51066e-21, 0, 0, 3.0485e-24, 3.39537e-23, 0, 1.61708e-19, 0, 0, 0
0.0397651, 0, 3.45198e-19, 0, 1.41421, -3.45198e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.19422e-21, 0, 0, 6.55999e-24, 7.29787e-23, 0, 3.41925e-19, 0, 0, 0
