   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_86.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.191702, 0, 2.50943e-14, 0, 1.41421, -2.50943e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64768e-16, 0, 6.49079e-19, 0, 6.65134e-18, 0, 2.48222e-14, 0, 0, 0
0.199576, 0, 4.54679e-14, 0, 1.41421, -4.54679e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.79726e-16, 0, 1.20031e-18, 0, 1.23117e-17, 0, 4.49747e-14, 0, 0, 0
0.207451, 0, 8.16806e-14, 0, 1.41421, -8.16806e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.61795e-16, 0, 2.20163e-18, 0, 2.26123e-17, 0, 8.0794e-14, 0, 0, 0
0.215325, 0, 1.45498e-13, 0, 1.41421, -1.45498e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.53511e-15, 0, 4.00596e-18, 0, 4.12144e-17, 0, 1.43918e-13, 0, 0, 0
0.2232, 0, 2.57014e-13, 0, 1.41421, -2.57014e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.71167e-15, 0, 7.23163e-18, 0, 7.45576e-17, 0, 2.54221e-13, 0, 0, 0
0.231074, 0, 4.5025e-13, 0, 1.41421, -4.5025e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.75043e-15, 0, 1.29536e-17, 0, 1.33885e-16, 0, 4.45353e-13, 0, 0, 0
0.238949, 0, 7.82311e-13, 0, 1.41421, -7.82311e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.25388e-15, 0, 2.30268e-17, 0, 2.38687e-16, 0, 7.73796e-13, 0, 0, 0
0.246823, 0, 1.34823e-12, 0, 1.41421, -1.34823e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.42247e-14, 0, 4.06279e-17, 0, 4.22545e-16, 0, 1.33354e-12, 0, 0, 0
0.254698, 0, 2.30479e-12, 0, 1.41421, -2.30479e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43173e-14, 0, 7.11595e-17, 0, 7.42861e-16, 0, 2.27965e-12, 0, 0, 0
0.262572, 0, 3.90849e-12, 0, 1.41421, -3.90849e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.12385e-14, 0, 1.23747e-16, 0, 1.29716e-15, 0, 3.86583e-12, 0, 0, 0
0.270447, 0, 6.57539e-12, 0, 1.41421, -6.57539e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.93791e-14, 0, 2.13702e-16, 0, 2.25011e-15, 0, 6.50354e-12, 0, 0, 0
0.278321, 0, 1.09746e-11, 0, 1.41421, -1.09746e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.15802e-13, 0, 3.66567e-16, 0, 3.87797e-15, 0, 1.08546e-11, 0, 0, 0
0.286196, 0, 1.81734e-11, 0, 1.41421, -1.81734e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.91775e-13, 0, 6.24707e-16, 0, 6.64166e-15, 0, 1.79743e-11, 0, 0, 0
0.29407, 0, 2.98592e-11, 0, 1.41421, -2.98592e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.15118e-13, 0, 1.058e-15, 0, 1.13059e-14, 0, 2.95317e-11, 0, 0, 0
0.301945, 0, 4.86785e-11, 0, 1.41421, -4.86785e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.13789e-13, 0, 1.78122e-15, 0, 1.91329e-14, 0, 4.81438e-11, 0, 0, 0
0.309819, 0, 7.87465e-11, 0, 1.41421, -7.87465e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.31281e-13, 0, 2.98202e-15, 0, 3.21967e-14, 0, 7.78801e-11, 0, 0, 0
0.317694, 0, 1.26409e-10, 2.77457e-43, 1.41421, -1.26409e-10, 0, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 2.77457e-43, 1.3347e-12, 2.77457e-43, 4.96625e-15, 2.77457e-43, 5.38897e-14, 2.77457e-43, 1.25016e-10, 2.77457e-43, 2.77457e-43, 2.77457e-43
0.325568, 0, 2.01415e-10, 2.8288e-41, 1.41421, -2.01415e-10, 0, 2.8288e-41, 2.8288e-41, 2.8288e-41, 2.8288e-41, 2.8288e-41, 2.8288e-41, 2.8288e-41, 2.8288e-41, 2.8288e-41, 2.8288e-41, 2.8288e-41, 2.8288e-41, 2.12727e-12, 2.8288e-41, 8.2464e-15, 2.8288e-41, 8.98978e-14, 2.8288e-41, 1.99189e-10, 2.8288e-41, 2.8288e-41, 2.8288e-41
0.333442, 0, 3.18408e-10, 3.57862e-40, 1.41421, -3.18408e-10, 0, 3.57862e-40, 3.57862e-40, 3.57862e-40, 3.57862e-40, 3.57862e-40, 3.57862e-40, 3.57862e-40, 3.57862e-40, 3.57862e-40, 3.57862e-40, 3.57862e-40, 3.57862e-40, 3.36405e-12, 3.57862e-40, 1.36077e-14, 3.57862e-40, 1.48991e-13, 3.57862e-40, 3.14882e-10, 3.57862e-40, 3.57862e-40, 3.57862e-40
0.341317, 0, 4.99558e-10, 4.06246e-39, 1.41421, -4.99558e-10, 0, 4.06246e-39, 4.06246e-39, 4.06246e-39, 4.06246e-39, 4.06246e-39, 4.06246e-39, 4.06246e-39, 4.06246e-39, 4.06246e-39, 4.06246e-39, 4.06246e-39, 4.06246e-39, 5.28016e-12, 4.06246e-39, 2.2367e-14, 4.06246e-39, 2.45836e-13, 4.06246e-39, 4.9401e-10, 4.06246e-39, 4.06246e-39, 4.06246e-39
0.349191, 0, 7.77884e-10, 4.16558e-38, 1.41421, -7.77884e-10, 0, 4.16558e-38, 4.16558e-38, 4.16558e-38, 4.16558e-38, 4.16558e-38, 4.16558e-38, 4.16558e-38, 4.16558e-38, 4.16558e-38, 4.16558e-38, 4.16558e-38, 4.16558e-38, 8.2263e-12, 4.16558e-38, 3.66393e-14, 4.16558e-38, 4.03981e-13, 4.16558e-38, 7.69217e-10, 4.16558e-38, 4.16558e-38, 4.16558e-38
0.357066, 0, 1.20223e-09, 3.88026e-37, 1.41421, -1.20223e-09, 0, 3.88026e-37, 3.88026e-37, 3.88026e-37, 3.88026e-37, 3.88026e-37, 3.88026e-37, 3.88026e-37, 3.88026e-37, 3.88026e-37, 3.88026e-37, 3.88026e-37, 3.88026e-37, 1.27221e-11, 3.88026e-37, 5.98447e-14, 3.88026e-37, 6.61404e-13, 3.88026e-37, 1.18879e-09, 3.88026e-37, 3.88026e-37, 3.88026e-37
0.36494, 0, 1.84427e-09, 3.30104e-36, 1.41421, -1.84427e-09, 0, 3.30104e-36, 3.30104e-36, 3.30104e-36, 3.30104e-36, 3.30104e-36, 3.30104e-36, 3.30104e-36, 3.30104e-36, 3.30104e-36, 3.30104e-36, 3.30104e-36, 3.30104e-36, 1.95318e-11, 3.30104e-36, 9.75144e-14, 3.30104e-36, 1.07928e-12, 3.30104e-36, 1.82356e-09, 3.30104e-36, 3.30104e-36, 3.30104e-36
0.372815, 0, 2.8083e-09, 2.57736e-35, 1.41421, -2.8083e-09, 0, 2.57736e-35, 2.57736e-35, 2.57736e-35, 2.57736e-35, 2.57736e-35, 2.57736e-35, 2.57736e-35, 2.57736e-35, 2.57736e-35, 2.57736e-35, 2.57736e-35, 2.57736e-35, 2.97703e-11, 2.57736e-35, 1.58596e-13, 2.57736e-35, 1.75603e-12, 2.57736e-35, 2.77662e-09, 2.57736e-35, 2.57736e-35, 2.57736e-35
0.380689, 0, 4.24489e-09, 1.85571e-34, 1.41421, -4.24489e-09, 0, 1.85571e-34, 1.85571e-34, 1.85571e-34, 1.85571e-34, 1.85571e-34, 1.85571e-34, 1.85571e-34, 1.85571e-34, 1.85571e-34, 1.85571e-34, 1.85571e-34, 1.85571e-34, 4.5052e-11, 1.85571e-34, 2.57572e-13, 1.85571e-34, 2.8499e-12, 1.85571e-34, 4.19673e-09, 1.85571e-34, 1.85571e-34, 1.85571e-34
0.388564, 0, 6.36958e-09, 1.28019e-33, 1.41421, -6.36958e-09, 0, 1.28019e-33, 1.28019e-33, 1.28019e-33, 1.28019e-33, 1.28019e-33, 1.28019e-33, 1.28019e-33, 1.28019e-33, 1.28019e-33, 1.28019e-33, 1.28019e-33, 1.28019e-33, 6.76975e-11, 1.28019e-33, 4.17891e-13, 1.28019e-33, 4.61509e-12, 1.28019e-33, 6.29685e-09, 1.28019e-33, 1.28019e-33, 1.28019e-33
0.396438, 0, 9.48857e-09, 8.38052e-33, 1.41421, -9.48857e-09, 0, 8.38052e-33, 8.38052e-33, 8.38052e-33, 8.38052e-33, 8.38052e-33, 8.38052e-33, 8.38052e-33, 8.38052e-33, 8.38052e-33, 8.38052e-33, 8.38052e-33, 8.38052e-33, 1.01017e-10, 8.38052e-33, 6.77525e-13, 8.38052e-33, 7.45983e-12, 8.38052e-33, 9.37941e-09, 8.38052e-33, 8.38052e-33, 8.38052e-33
0.404313, 0, 1.40332e-08, 5.24814e-32, 1.41421, -1.40332e-08, 0, 5.24814e-32, 5.24814e-32, 5.24814e-32, 5.24814e-32, 5.24814e-32, 5.24814e-32, 5.24814e-32, 5.24814e-32, 5.24814e-32, 5.24814e-32, 5.24814e-32, 5.24814e-32, 1.49702e-10, 5.24814e-32, 1.09796e-12, 5.24814e-32, 1.2039e-11, 5.24814e-32, 1.38704e-08, 5.24814e-32, 5.24814e-32, 5.24814e-32
0.412187, 0, 2.06067e-08, 3.03488e-31, 1.41421, -2.06067e-08, 0, 3.03488e-31, 3.03488e-31, 3.03488e-31, 3.03488e-31, 3.03488e-31, 3.03488e-31, 3.03488e-31, 3.03488e-31, 3.03488e-31, 3.03488e-31, 3.03488e-31, 3.03488e-31, 2.20347e-10, 3.03488e-31, 1.77865e-12, 3.03488e-31, 1.94023e-11, 3.03488e-31, 2.03651e-08, 3.03488e-31, 3.03488e-31, 3.03488e-31
0.420062, 0, 3.00452e-08, 1.65888e-30, 1.41421, -3.00452e-08, 0, 1.65888e-30, 1.65888e-30, 1.65888e-30, 1.65888e-30, 1.65888e-30, 1.65888e-30, 1.65888e-30, 1.65888e-30, 1.65888e-30, 1.65888e-30, 1.65888e-30, 1.65888e-30, 3.22172e-10, 1.65888e-30, 2.88031e-12, 1.65888e-30, 3.12296e-11, 1.65888e-30, 2.96889e-08, 1.65888e-30, 1.65888e-30, 1.65888e-30
0.427936, 0, 4.34997e-08, 8.53379e-30, 1.41421, -4.34997e-08, 0, 8.53379e-30, 8.53379e-30, 8.53379e-30, 8.53379e-30, 8.53379e-30, 8.53379e-30, 8.53379e-30, 8.53379e-30, 8.53379e-30, 8.53379e-30, 8.53379e-30, 8.53379e-30, 4.67968e-10, 8.53379e-30, 4.66205e-12, 8.53379e-30, 5.0204e-11, 8.53379e-30, 4.29769e-08, 8.53379e-30, 8.53379e-30, 8.53379e-30
0.435811, 0, 6.25418e-08, 4.13605e-29, 1.41421, -6.25418e-08, 0, 4.13605e-29, 4.13605e-29, 4.13605e-29, 4.13605e-29, 4.13605e-29, 4.13605e-29, 4.13605e-29, 4.13605e-29, 4.13605e-29, 4.13605e-29, 4.13605e-29, 4.13605e-29, 6.75376e-10, 4.13605e-29, 7.54045e-12, 4.13605e-29, 8.05994e-11, 4.13605e-29, 6.17782e-08, 4.13605e-29, 4.13605e-29, 4.13605e-29
0.443685, 0, 8.93008e-08, 1.9038e-28, 1.41421, -8.93008e-08, 0, 1.9038e-28, 1.9038e-28, 1.9038e-28, 1.9038e-28, 1.9038e-28, 1.9038e-28, 1.9038e-28, 1.9038e-28, 1.9038e-28, 1.9038e-28, 1.9038e-28, 1.9038e-28, 9.68573e-10, 1.9038e-28, 1.21829e-11, 1.9038e-28, 1.292e-10, 1.9038e-28, 8.81909e-08, 1.9038e-28, 1.9038e-28, 1.9038e-28
0.45156, 0, 1.26641e-07, 8.31839e-28, 1.41421, -1.26641e-07, 0, 8.31839e-28, 8.31839e-28, 8.31839e-28, 8.31839e-28, 8.31839e-28, 8.31839e-28, 8.31839e-28, 8.31839e-28, 8.31839e-28, 8.31839e-28, 8.31839e-28, 8.31839e-28, 1.38049e-09, 8.31839e-28, 1.96543e-11, 8.31839e-28, 2.06733e-10, 8.31839e-28, 1.25034e-07, 8.31839e-28, 8.31839e-28, 8.31839e-28
0.459434, 0, 1.78385e-07, 3.45462e-27, 1.41421, -1.78385e-07, 0, 3.45462e-27, 3.45462e-27, 3.45462e-27, 3.45462e-27, 3.45462e-27, 3.45462e-27, 3.45462e-27, 3.45462e-27, 3.45462e-27, 3.45462e-27, 3.45462e-27, 3.45462e-27, 1.95572e-09, 3.45462e-27, 3.16449e-11, 3.45462e-27, 3.30068e-10, 3.45462e-27, 1.76067e-07, 3.45462e-27, 3.45462e-27, 3.45462e-27
0.467309, 0, 2.49597e-07, 1.3666e-26, 1.41421, -2.49597e-07, 0, 1.3666e-26, 1.3666e-26, 1.3666e-26, 1.3666e-26, 1.3666e-26, 1.3666e-26, 1.3666e-26, 1.3666e-26, 1.3666e-26, 1.3666e-26, 1.3666e-26, 1.3666e-26, 2.75429e-09, 1.3666e-26, 5.08237e-11, 1.3666e-26, 5.25593e-10, 1.3666e-26, 2.46266e-07, 1.3666e-26, 1.3666e-26, 1.3666e-26
0.475183, 0, 3.46944e-07, 5.16109e-26, 1.41421, -3.46944e-07, 0, 5.16109e-26, 5.16109e-26, 5.16109e-26, 5.16109e-26, 5.16109e-26, 5.16109e-26, 5.16109e-26, 5.16109e-26, 3.26416e-12, 5.16109e-26, 5.16109e-26, 5.16109e-26, 3.85658e-09, 5.16109e-26, 8.13788e-11, 5.16109e-26, 8.34308e-10, 5.16109e-26, 3.42169e-07, 5.16109e-26, 5.16109e-26, 5.16109e-26
0.483058, 0, 4.79126e-07, 1.86506e-25, 1.41421, -4.79126e-07, 0, 1.86506e-25, 1.86506e-25, 1.86506e-25, 1.86506e-25, 1.86506e-25, 1.86506e-25, 1.86506e-25, 1.86506e-25, 1.10558e-11, 1.86506e-25, 1.86506e-25, 1.86506e-25, 5.3696e-09, 1.86506e-25, 1.29839e-10, 1.86506e-25, 1.31945e-09, 1.86506e-25, 4.72296e-07, 1.86506e-25, 1.86506e-25, 1.86506e-25
0.490932, 0, 6.57431e-07, 6.51998e-25, 1.41421, -6.57431e-07, 0, 6.51998e-25, 6.51998e-25, 6.51998e-25, 6.51998e-25, 6.51998e-25, 6.51998e-25, 6.51998e-25, 6.51998e-25, 2.90906e-11, 6.51998e-25, 6.51998e-25, 6.51998e-25, 7.43505e-09, 6.51998e-25, 2.06311e-10, 6.51998e-25, 2.07782e-09, 6.51998e-25, 6.47683e-07, 6.51998e-25, 6.51998e-25, 6.51998e-25
0.498807, 0, 9.00458e-07, 7.83694e-10, 1.41421, -9.00458e-07, 7.83694e-10, 7.83751e-10, 7.83821e-10, 7.83837e-10, 9.67057e-10, 7.85207e-10, 7.84884e-10, 7.91334e-10, 7.8424e-10, 1.0059e-09, 8.63266e-10, 7.85905e-10, 3.48582e-09, 1.10234e-08, 7.85059e-10, 1.11002e-09, 7.8394e-10, 4.03993e-09, 7.83697e-10, 8.83398e-07, 7.83694e-10, 7.83694e-10, 8.18571e-10
0.506681, 0, 1.22833e-06, 2.63429e-09, 1.41421, -1.22833e-06, 2.63429e-09, 2.63449e-09, 2.63472e-09, 2.63477e-09, 3.25216e-09, 2.63939e-09, 2.6383e-09, 2.66004e-09, 2.63613e-09, 3.30722e-09, 2.90242e-09, 2.64174e-09, 1.17394e-08, 1.66622e-08, 2.63889e-09, 3.14792e-09, 2.64088e-09, 7.70982e-09, 2.6343e-09, 1.19787e-06, 2.63429e-09, 2.63429e-09, 2.75182e-09
0.514556, 0, 1.6719e-06, 6.88785e-09, 1.41421, -1.6719e-06, 6.88785e-09, 6.88835e-09, 6.88897e-09, 6.88911e-09, 8.50624e-09, 6.9012e-09, 6.89835e-09, 6.95528e-09, 6.89267e-09, 8.58485e-09, 7.59016e-09, 6.90736e-09, 3.07373e-08, 2.6006e-08, 6.89989e-09, 7.69188e-09, 6.90921e-09, 1.47522e-08, 6.88788e-09, 1.61579e-06, 6.88785e-09, 6.88785e-09, 7.19568e-09
0.52243, 0, 2.27618e-06, 1.64228e-08, 1.41421, -2.27618e-06, 1.64228e-08, 1.6424e-08, 1.64255e-08, 1.64258e-08, 2.02874e-08, 1.64547e-08, 1.64479e-08, 1.65839e-08, 1.64343e-08, 2.03908e-08, 1.80999e-08, 1.64694e-08, 7.33722e-08, 4.23456e-08, 1.64516e-08, 1.76742e-08, 1.64797e-08, 2.853e-08, 1.64229e-08, 2.16934e-06, 1.64228e-08, 1.64228e-08, 1.71579e-08
0.530304, 0, 3.11083e-06, 3.7305e-08, 1.41421, -3.11083e-06, 3.7305e-08, 3.73077e-08, 3.73111e-08, 3.73118e-08, 4.60921e-08, 3.73775e-08, 3.7362e-08, 3.76711e-08, 3.73311e-08, 4.61892e-08, 4.11182e-08, 3.74109e-08, 1.66796e-07, 7.22778e-08, 3.73704e-08, 3.92406e-08, 3.74431e-08, 5.58155e-08, 3.73051e-08, 2.90191e-06, 3.7305e-08, 3.7305e-08, 3.89764e-08
0.538179, 0, 4.29031e-06, 8.19881e-08, 1.41421, -4.29031e-06, 8.19881e-08, 8.19941e-08, 8.20014e-08, 8.20031e-08, 1.01314e-07, 8.21475e-08, 8.21135e-08, 8.27933e-08, 8.20456e-08, 1.02821e-07, 9.03746e-08, 8.22211e-08, 3.66784e-07, 1.28937e-07, 8.21319e-08, 8.49632e-08, 8.23063e-08, 1.10119e-07, 8.19884e-08, 3.87336e-06, 8.19881e-08, 8.19881e-08, 8.5664e-08
0.546053, 0, 6.00741e-06, 1.75421e-07, 1.41421, -6.00741e-06, 1.75421e-07, 1.75434e-07, 1.7545e-07, 1.75453e-07, 2.16794e-07, 1.75763e-07, 1.7569e-07, 1.77145e-07, 1.75544e-07, 2.22966e-07, 1.93375e-07, 1.7592e-07, 7.85109e-07, 2.38138e-07, 1.75729e-07, 1.79964e-07, 1.76128e-07, 2.17818e-07, 1.75422e-07, 5.16929e-06, 1.75421e-07, 1.75421e-07, 1.83291e-07
0.553928, 0, 8.62796e-06, 3.66378e-07, 1.41421, -8.62796e-06, 3.66378e-07, 3.66405e-07, 3.66438e-07, 3.66445e-07, 4.52829e-07, 3.67091e-07, 3.66939e-07, 3.6998e-07, 3.66635e-07, 5.00706e-07, 4.03894e-07, 3.6742e-07, 1.64036e-06, 4.49751e-07, 3.67021e-07, 3.73267e-07, 3.67901e-07, 4.29782e-07, 3.66379e-07, 6.91707e-06, 3.66378e-07, 3.66378e-07, 3.82822e-07
0.561802, 0, 1.27554e-05, 7.47851e-07, 1.41421, -1.27554e-05, 7.47851e-07, 7.47905e-07, 7.47973e-07, 7.47988e-07, 9.24392e-07, 7.49307e-07, 7.48996e-07, 7.55206e-07, 7.48376e-07, 1.06913e-06, 8.24462e-07, 7.49979e-07, 3.34946e-06, 8.58151e-07, 7.49165e-07, 7.58228e-07, 7.51052e-07, 8.41928e-07, 7.47854e-07, 9.31362e-06, 7.47851e-07, 7.47851e-07, 7.8143e-07
0.569677, 0, 1.94917e-05, 1.49284e-06, 1.41421, -1.94917e-05, 1.49284e-06, 1.49295e-06, 1.49309e-06, 1.49312e-06, 1.84541e-06, 1.49575e-06, 1.49513e-06, 1.50753e-06, 1.49389e-06, 2.20921e-06, 1.64584e-06, 1.49709e-06, 6.6884e-06, 1.63808e-06, 1.49547e-06, 1.50837e-06, 1.49942e-06, 1.63133e-06, 1.49285e-06, 1.26729e-05, 1.49284e-06, 1.49284e-06, 1.5599e-06
