   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_252.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0281977, 378.991, 0, 0, 19.519, 378.991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0203299, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0124621, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00459432, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00327348, 0, 3.17821e-23, 0, 1.41421, -3.17821e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1049e-25, 0, 0, 2.07082e-28, 1.50386e-27, 0, 3.15699e-23, 0, 0, 0
0.0111413, 0, 8.50097e-23, 0, 1.41421, -8.50097e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.63011e-25, 0, 0, 5.62315e-28, 4.12453e-27, 0, 8.4442e-23, 0, 0, 0
0.0190091, 0, 2.22078e-22, 0, 1.41421, -2.22078e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4708e-24, 0, 0, 1.4913e-27, 1.10264e-26, 0, 2.20595e-22, 0, 0, 0
0.0268769, 0, 5.67706e-22, 0, 1.41421, -5.67706e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75986e-24, 0, 0, 3.87024e-27, 2.87992e-26, 0, 5.63914e-22, 0, 0, 0
0.0347447, 0, 1.42236e-21, 0, 1.41421, -1.42236e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.42011e-24, 0, 0, 9.84439e-27, 7.36264e-26, 0, 1.41285e-21, 0, 0, 0
0.0426125, 0, 3.49736e-21, 0, 1.41421, -3.49736e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31626e-23, 0, 0, 2.45757e-26, 1.84538e-25, 0, 3.47399e-21, 0, 0, 0
0.0504803, 0, 8.44918e-21, 0, 1.41421, -8.44918e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.59578e-23, 0, 0, 6.02826e-26, 4.5406e-25, 0, 8.39271e-21, 0, 0, 0
0.0583481, 0, 2.0075e-20, 0, 1.41421, -2.0075e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.32954e-22, 0, 0, 1.45438e-25, 1.09801e-24, 0, 1.99408e-20, 0, 0, 0
0.0662159, 0, 4.69497e-20, 0, 1.41421, -4.69497e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.10941e-22, 0, 0, 3.45415e-25, 2.61214e-24, 0, 4.66358e-20, 0, 0, 0
0.0740837, 0, 1.08161e-19, 0, 1.41421, -1.08161e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16335e-22, 0, 0, 8.08184e-25, 6.11854e-24, 0, 1.07438e-19, 0, 0, 0
0.0819514, 0, 2.45615e-19, 0, 1.41421, -2.45615e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.62667e-21, 0, 0, 1.86413e-24, 1.41218e-23, 0, 2.43972e-19, 0, 0, 0
0.0898192, 0, 5.50092e-19, 0, 1.41421, -5.50092e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.64317e-21, 0, 0, 4.2413e-24, 3.21375e-23, 0, 5.46412e-19, 0, 0, 0
0.097687, 0, 1.21573e-18, 0, 1.41421, -1.21573e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.05157e-21, 0, 0, 9.5237e-24, 7.21554e-23, 0, 1.2076e-18, 0, 0, 0
0.105555, 0, 2.65253e-18, 0, 1.41421, -2.65253e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.75672e-20, 0, 0, 2.11156e-23, 1.59916e-22, 0, 2.63478e-18, 0, 0, 0
0.113423, 0, 5.71589e-18, 0, 1.41421, -5.71589e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.78553e-20, 0, 0, 4.62464e-23, 3.50014e-22, 0, 5.67764e-18, 0, 0, 0
0.12129, 0, 1.21694e-17, 0, 1.41421, -1.21694e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.05959e-20, 0, 0, 1.00092e-22, 7.56901e-22, 0, 1.2088e-17, 0, 0, 0
0.129158, 0, 2.56073e-17, 0, 1.41421, -2.56073e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.69592e-19, 0, 0, 2.14146e-22, 1.61778e-21, 0, 2.54359e-17, 0, 0, 0
