   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_308.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0268774, 463.212, 0, 0, 21.5688, 463.212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0190155, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0111535, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00329156, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0045704, 0, 1.54627e-22, 0, 1.41421, -1.54627e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.87582e-25, 0, 1.67572e-27, 0, 6.62768e-27, 0, 1.53931e-22, 0, 0, 0
0.0124324, 0, 3.95057e-22, 0, 1.41421, -3.95057e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.7567e-24, 0, 4.31946e-27, 0, 1.74852e-26, 0, 3.93279e-22, 0, 0, 0
0.0202943, 0, 9.87974e-22, 0, 1.41421, -9.87974e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.39322e-24, 0, 1.09013e-26, 0, 4.50495e-26, 0, 9.83524e-22, 0, 0, 0
0.0281563, 0, 2.4223e-21, 0, 1.41421, -2.4223e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.07712e-23, 0, 2.69792e-26, 0, 1.13577e-25, 0, 2.41139e-21, 0, 0, 0
0.0360182, 0, 5.83023e-21, 0, 1.41421, -5.83023e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.59252e-23, 0, 6.55627e-26, 0, 2.80663e-25, 0, 5.80396e-21, 0, 0, 0
0.0438802, 0, 1.37914e-20, 0, 1.41421, -1.37914e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.13258e-23, 0, 1.56623e-25, 0, 6.80763e-25, 0, 1.37292e-20, 0, 0, 0
