   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_229.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
-0.0282297, 344.401, 0, 0, 18.6118, 344.401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0203621, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0124945, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00462684, 0, 0, 0, 1.41421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00324077, 0, 1.26322e-23, 0, 1.41421, -1.26322e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.46509e-26, 0, 0, 0, 5.56021e-28, 0, 1.2537e-23, 0, 0, 0
0.0111084, 0, 3.51619e-23, 0, 1.41421, -3.51619e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63462e-25, 0, 0, 0, 1.58905e-27, 0, 3.48968e-23, 0, 0, 0
0.018976, 0, 9.50374e-23, 0, 1.41421, -9.50374e-23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.12099e-25, 0, 0, 0, 4.39802e-27, 0, 9.43209e-23, 0, 0, 0
0.0268436, 0, 2.50227e-22, 0, 1.41421, -2.50227e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87491e-24, 0, 0, 0, 1.18339e-26, 0, 2.4834e-22, 0, 0, 0
0.0347112, 0, 6.43396e-22, 0, 1.41421, -6.43396e-22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.82085e-24, 0, 0, 0, 3.10484e-26, 0, 6.38544e-22, 0, 0, 0
0.0425788, 0, 1.61883e-21, 0, 1.41421, -1.61883e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.21296e-23, 0, 0, 0, 7.96193e-26, 0, 1.60662e-21, 0, 0, 0
0.0504465, 0, 3.99225e-21, 0, 1.41421, -3.99225e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.99131e-23, 0, 0, 0, 1.99936e-25, 0, 3.96214e-21, 0, 0, 0
0.0583141, 0, 9.6634e-21, 0, 1.41421, -9.6634e-21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.24059e-23, 0, 0, 0, 4.92427e-25, 0, 9.5905e-21, 0, 0, 0
0.0661817, 0, 2.29851e-20, 0, 1.41421, -2.29851e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.72223e-22, 0, 0, 0, 1.19109e-24, 0, 2.28117e-20, 0, 0, 0
0.0740493, 0, 5.37779e-20, 0, 1.41421, -5.37779e-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.02946e-22, 0, 0, 0, 2.83261e-24, 0, 5.33721e-20, 0, 0, 0
0.0819169, 0, 1.23873e-19, 0, 1.41421, -1.23873e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.28156e-22, 0, 0, 0, 6.62969e-24, 0, 1.22939e-19, 0, 0, 0
0.0897845, 0, 2.81124e-19, 0, 1.41421, -2.81124e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1064e-21, 0, 0, 0, 1.52837e-23, 0, 2.79003e-19, 0, 0, 0
0.0976521, 0, 6.29e-19, 0, 1.41421, -6.29e-19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.71295e-21, 0, 0, 0, 3.47308e-23, 0, 6.24252e-19, 0, 0, 0
0.10552, 0, 1.38832e-18, 0, 1.41421, -1.38832e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.04024e-20, 0, 0, 0, 7.78456e-23, 0, 1.37784e-18, 0, 0, 0
0.113387, 0, 3.02438e-18, 0, 1.41421, -3.02438e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.26609e-20, 0, 0, 0, 1.72201e-22, 0, 3.00155e-18, 0, 0, 0
0.121255, 0, 6.50561e-18, 0, 1.41421, -6.50561e-18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.87449e-20, 0, 0, 0, 3.76131e-22, 0, 6.45649e-18, 0, 0, 0
0.129123, 0, 1.38236e-17, 0, 1.41421, -1.38236e-17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.03577e-19, 0, 0, 0, 8.11609e-22, 0, 1.37192e-17, 0, 0, 0
